sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
TISJZLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TISJZOL,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TISJOLZ,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X,X
TISJOZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TISZLJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TISZLOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TISZJLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TISZJOL,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,O
TISZOLJ,X,X,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TISZOJL,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TISOLJZ,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
TISOLZJ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O
TISOJLZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TISOJZL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O
TISOZLJ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,O,O
TISOZJL,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TIZLJSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZLJOS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOJS,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJLSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZJLOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIZJSOL,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZJOLS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TIZJOSL,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TIZSLOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
TIZSJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TIZSJOL,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O
TIZSOLJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O
TIZSOJL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
TIZOLJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TIZOJLS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TIZOJSL,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
TIOLJSZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
