sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
IZJSOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJOLTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
IZSTLOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
IZSTJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
IZSTJOL,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O
IZSTOLJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O
IZSTOJL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
IZSLTJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZSLTOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZSLJTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZSLOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
IZSJTOL,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O
IZSJLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O
IZSOTJL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSOLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
IZOTJLS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
IZOTSJL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IZOLTJS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
IZOLJTS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOJLTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZOJLST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
IZOSTJL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IZOSLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IZOSJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTLJZS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
IOTLSZJ,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O
IOTLZJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOTJLSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTJLZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
IOTJZLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IOTSLZJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
IOTSJLZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOTSJZL,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
IOTSZLJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
IOTSZJL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
IOTZLJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOTZJLS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOTZSJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOLTJSZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLTJZS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
IOLTSZJ,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O
IOLTZJS,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOLJTSZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLJTZS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLJSZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
IOLSTZJ,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O
IOLSJTZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOLZJTS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLZJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJTLZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
IOJTZLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJLTZS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJLSZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,O
IOJSLTZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJSZLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOJZTSL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOJZLTS,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IOSTLZJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
IOSTJLZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOSTJZL,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
IOSTZLJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
IOSTZJL,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
IOSLTJZ,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
IOSLTZJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
IOSLJTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O
IOSLZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O
IOSJLTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSJZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOSZTJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOSZLTJ,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IOSZJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOZTJLS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOZTSJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOZLTJS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOZLJTS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOZLJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOZJTSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZJLTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOZJLST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
IOZSTJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOZSLTJ,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
IOZSLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IOZSJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
LTISZOJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
LTISOJZ,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
LTISOZJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
LTIZJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIZJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIZSJO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
LTIZSOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTIZOJS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTIOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
LTIOZJS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTJISZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJIZSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTJSIOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LTJSZIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTJSZOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
LTJSOIZ,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
LTJSOZI,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
LTJZISO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJZSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJZOIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTJOIZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJOSZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJOZIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSIJOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LTSIZJO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O
LTSIZOJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
LTSIOJZ,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LTSIOZJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LTSJIZO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSJIOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LTSJZIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTSJZOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
LTSJOIZ,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
LTSJOZI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
LTSZIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
LTSZIOJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O
LTSZJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
LTSZJOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
LTSZOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
LTSZOJI,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
LTSOIZJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
LTSOJIZ,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
LTSOJZI,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
LTSOZIJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
LTSOZJI,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X
LTZIJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZIJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZISJO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTZISOJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTZIOJS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZJIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZJSIO,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTZJSOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZJOSI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZSIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTZSIOJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
LTZSJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTZSJOI,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
LTZSOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
LTZSOJI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
LTZOIJS,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTZOISJ,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X
LTZOJIS,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTZOJSI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
LTZOSIJ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
LTZOSJI,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
LTOIJSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTOIJZS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOISJZ,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
LTOISZJ,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,O
LTOIZJS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTOIZSJ,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
LTOJISZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LTOJIZS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,X
LTOJSZI,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,X
LTOJZIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X
LTOSIJZ,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X
LTOSIZJ,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O
LTOSJIZ,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
LTOSJZI,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
LTOSZIJ,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O
LTOSZJI,X,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
LTOZIJS,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
LTOZISJ,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
LTOZJIS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTOZJSI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
LTOZSIJ,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
LTOZSJI,X,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
LITJSZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJZSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJOZS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSJZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSZJO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
LITSZOJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
LITSOJZ,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
LITSOZJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
LITZJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LITZJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LITZSJO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
LITZSOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LITZOJS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LITZOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITOJSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LITOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LITOSJZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LITOSZJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
LITOZJS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LITOZSJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LIJTSZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
