sequence,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8Jex6IvhFicBzdB?OkBXgBFnBUsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFCbB2hB?zdBXgBFnBUsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFufBcgB?TcBidBFnB3sB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFGbB/hB?FdB8iBzfBKsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeT7IvhF/hBRdB?OkBliB0fBKsB
TLJZOIS,O,X,O,X,X
TLJZOSI,O,X,O,X,O
TLJOISZ,O,O,X,X,O
TLJOIZS,O,X,O,X,X
TLJOSIZ,O,O,X,X,O
TLJOSZI,O,O,X,X,O
TLJOZIS,O,X,O,X,X
TLJOZSI,O,X,O,X,O
TLSIJZO,O,O,X,O,O
TLSIJOZ,O,O,X,X,O
TLSIZJO,X,O,O,O,O
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,X,O,O
TLSIOZJ,O,O,O,O,O
TLSJIZO,O,O,X,O,O
TLSJIOZ,O,O,X,X,O
TLSJZIO,O,O,X,O,O
TLSJZOI,O,O,X,O,O
TLSJOIZ,O,O,X,X,O
TLSJOZI,O,O,X,X,O
TLSZIJO,X,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,X,O,O
TLSOIZJ,O,O,O,O,O
TLSOJIZ,O,O,X,O,O
TLSOJZI,O,O,X,O,O
TLSOZIJ,O,O,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,X,X,O,O,X
TLZIJOS,X,X,O,X,X
TLZISJO,X,X,O,O,X
TLZISOJ,X,X,O,O,X
TLZIOJS,X,X,O,O,X
TLZIOSJ,X,X,O,O,X
TLZJISO,X,X,O,O,X
TLZJIOS,O,X,O,X,X
TLZJSIO,O,X,O,O,O
TLZJSOI,O,X,O,O,O
TLZJOIS,O,X,O,X,X
TLZJOSI,O,X,O,X,O
TLZSIJO,X,X,O,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,X,O,O,O
TLZSJOI,O,X,O,O,O
TLZSOIJ,O,X,O,O,O
TLZSOJI,O,X,O,O,O
TLZOIJS,X,X,O,O,X
TLZOISJ,X,X,O,O,X
TLZOJIS,O,X,O,O,X
TLZOJSI,O,X,O,O,O
TLZOSIJ,O,X,O,O,O
TLZOSJI,O,X,O,O,O
TLOIJSZ,O,O,X,O,O
TLOIJZS,O,X,O,O,X
TLOISJZ,O,O,X,O,O
TLOISZJ,O,O,O,O,O
TLOIZJS,X,X,O,O,X
TLOIZSJ,X,X,O,O,X
TLOJISZ,O,O,X,O,O
TLOJIZS,O,X,O,O,X
TLOJSIZ,O,O,X,O,O
TLOJSZI,O,O,X,O,O
TLOJZIS,O,X,O,O,X
TLOJZSI,O,X,O,O,O
TLOSIJZ,O,O,X,O,O
TLOSIZJ,O,O,O,O,O
TLOSJIZ,O,O,X,O,O
TLOSJZI,O,O,X,O,O
TLOSZIJ,O,O,O,O,O
TLOSZJI,O,O,O,O,O
TLOZIJS,X,X,O,O,X
TLOZISJ,X,X,O,O,X
TLOZJIS,O,X,O,O,X
TLOZJSI,O,X,O,O,O
TLOZSIJ,O,X,O,O,O
TLOZSJI,O,X,O,O,O
TJILSZO,O,O,X,O,X
TJILSOZ,O,O,X,X,X
TJILZSO,X,X,O,O,X
TJILZOS,O,X,O,X,X
TJILOSZ,O,O,X,X,X
TJILOZS,O,X,O,X,X
TJISLZO,O,O,X,X,X
TJISLOZ,O,O,X,X,X
TJISZLO,O,O,X,X,X
TJISZOL,O,O,X,X,X
TJISOLZ,O,O,X,X,X
TJISOZL,O,O,X,X,X
TJIZLSO,X,X,O,O,X
TJIZLOS,O,X,O,X,X
TJIZSLO,X,O,O,X,X
TJIZSOL,X,O,O,X,X
TJIZOLS,O,X,O,X,X
TJIZOSL,X,O,O,X,X
TJIOLSZ,O,O,X,X,X
TJIOLZS,O,X,O,X,X
TJIOSLZ,O,O,X,X,X
TJIOSZL,O,O,X,X,X
TJIOZLS,O,X,O,X,X
TJIOZSL,X,O,O,X,X
TJLISZO,O,O,X,O,O
TJLISOZ,O,O,X,X,O
TJLIZSO,X,X,O,O,X
TJLIZOS,O,X,O,X,X
TJLIOSZ,O,O,X,X,O
TJLIOZS,O,X,O,X,X
TJLSIZO,O,O,X,O,O
TJLSIOZ,O,O,X,X,O
TJLSZIO,O,O,X,O,O
TJLSZOI,O,O,X,O,O
TJLSOIZ,O,O,X,X,O
TJLSOZI,O,O,X,X,O
TJLZISO,X,X,O,O,X
TJLZIOS,O,X,O,X,X
TJLZSIO,O,X,O,O,O
TJLZSOI,O,X,O,O,O
TJLZOIS,O,X,O,X,X
TJLZOSI,O,X,O,X,O
TJLOISZ,O,O,X,X,O
TJLOIZS,O,X,O,X,X
TJLOSIZ,O,O,X,X,O
TJLOSZI,O,O,X,X,O
TJLOZIS,O,X,O,X,X
TJLOZSI,O,X,O,X,O
TJSILZO,O,O,X,X,X
TJSILOZ,O,O,X,X,X
TJSIZLO,O,O,X,X,X
TJSIZOL,O,O,X,X,X
TJSIOLZ,O,O,X,X,X
TJSIOZL,O,O,X,X,X
TJSLIZO,O,O,X,X,X
TJSLIOZ,O,O,X,X,X
TJSLZIO,O,O,X,X,X
TJSLZOI,O,O,X,X,X
TJSLOIZ,O,O,X,X,X
TJSLOZI,O,O,X,X,X
TJSZILO,O,O,X,X,X
TJSZIOL,O,O,X,X,X
TJSZLIO,O,O,X,X,X
TJSZLOI,O,O,X,X,X
TJSZOIL,O,O,X,X,X
TJSZOLI,O,O,X,X,X
TJSOILZ,O,O,X,X,X
TJSOIZL,O,O,X,X,X
TJSOLIZ,O,O,X,X,X
TJSOLZI,O,O,X,X,X
TJSOZIL,O,O,X,X,X
TJSOZLI,O,O,X,X,X
TJZILSO,X,X,O,O,X
TJZILOS,O,X,O,X,X
TJZISLO,X,O,O,X,X
TJZISOL,X,O,O,X,X
TJZIOLS,O,X,O,X,X
TJZIOSL,X,O,O,X,X
TJZLISO,X,X,O,O,X
TJZLIOS,O,X,O,X,X
TJZLSIO,O,X,O,O,X
TJZLSOI,O,X,O,O,X
TJZLOIS,O,X,O,X,X
TJZLOSI,O,X,O,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,X,O,X,X
TJZOISL,X,O,O,X,X
TJZOLIS,O,X,O,X,X
TJZOLSI,O,X,O,X,X
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,O,X,X
TJOILSZ,O,O,X,X,X
TJOILZS,O,X,O,X,X
TJOISLZ,O,O,X,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,O,X,O,X,X
TJOIZSL,X,O,O,X,X
TJOLISZ,O,O,X,X,O
TJOLIZS,O,X,O,X,X
TJOLSIZ,O,O,X,X,O
TJOLSZI,O,O,X,X,O
TJOLZIS,O,X,O,X,X
TJOLZSI,O,X,O,X,O
TJOSILZ,O,O,X,X,X
TJOSIZL,O,O,X,X,X
TJOSLIZ,O,O,X,X,X
TJOSLZI,O,O,X,X,X
TJOSZIL,O,O,X,X,X
TJOSZLI,O,O,X,X,X
TJOZILS,O,X,O,X,X
TJOZISL,X,O,O,X,X
TJOZLIS,O,X,O,X,X
TJOZLSI,O,X,O,X,X
TJOZSIL,O,O,O,X,X
TJOZSLI,O,O,O,X,X
TSILJZO,O,O,X,X,X
TSILJOZ,O,O,X,X,X
TSILZJO,X,O,O,X,X
TSILZOJ,O,O,O,X,X
TSILOJZ,O,O,X,X,X
TSILOZJ,O,O,O,X,X
TSIJLZO,O,O,X,X,X
TSIJLOZ,O,O,X,X,X
TSIJZLO,O,O,X,X,X
TSIJZOL,O,O,X,X,X
TSIJOLZ,O,O,X,X,X
TSIJOZL,O,O,X,X,X
TSIZLJO,X,O,O,X,X
TSIZLOJ,O,O,O,X,X
TSIZJLO,X,O,O,X,X
TSIZJOL,X,O,O,X,X
TSIZOLJ,O,O,O,X,X
TSIZOJL,X,O,O,X,X
TSIOLJZ,O,O,X,X,X
TSIOLZJ,O,O,O,X,X
TSIOJLZ,O,O,X,X,X
TSIOJZL,O,O,X,X,X
TSIOZLJ,O,O,O,X,X
TSIOZJL,X,O,O,X,X
TSLIJZO,O,O,X,X,X
TSLIJOZ,O,O,X,X,X
TSLIZJO,X,O,O,X,X
TSLIZOJ,O,O,O,X,X
TSLIOJZ,O,O,X,X,X
TSLIOZJ,O,O,O,X,X
TSLJIZO,O,O,X,X,X
TSLJIOZ,O,O,X,X,X
TSLJZIO,O,O,X,X,X
TSLJZOI,O,O,X,X,X
TSLJOIZ,O,O,X,X,X
TSLJOZI,O,O,X,X,X
TSLZIJO,X,O,O,X,X
TSLZIOJ,O,O,O,X,X
TSLZJIO,O,O,O,X,X
TSLZJOI,O,O,O,X,X
TSLZOIJ,O,O,O,X,X
TSLZOJI,O,O,O,X,X
TSLOIJZ,O,O,X,X,X
TSLOIZJ,O,O,O,X,X
TSLOJIZ,O,O,X,X,X
TSLOJZI,O,O,X,X,X
TSLOZIJ,O,O,O,X,X
TSLOZJI,O,O,O,X,X
TSJILZO,O,O,X,X,X
TSJILOZ,O,O,X,X,X
TSJIZLO,O,O,X,X,X
TSJIZOL,O,O,X,X,X
TSJIOLZ,O,O,X,X,X
TSJIOZL,O,O,X,X,X
TSJLIZO,O,O,X,X,X
TSJLIOZ,O,O,X,X,X
TSJLZIO,O,O,X,X,X
TSJLZOI,O,O,X,X,X
TSJLOIZ,O,O,X,X,X
TSJLOZI,O,O,X,X,X
TSJZILO,O,O,X,X,X
TSJZIOL,O,O,X,X,X
TSJZLIO,O,O,X,X,X
TSJZLOI,O,O,X,X,X
TSJZOIL,O,O,X,X,X
TSJZOLI,O,O,X,X,X
TSJOILZ,O,O,X,X,X
TSJOIZL,O,O,X,X,X
TSJOLIZ,O,O,X,X,X
TSJOLZI,O,O,X,X,X
TSJOZIL,O,O,X,X,X
TSJOZLI,O,O,X,X,X
TSZILJO,X,O,O,X,X
TSZILOJ,O,O,O,X,X
TSZIJLO,X,O,O,X,X
TSZIJOL,X,O,O,X,X
TSZIOLJ,O,O,O,X,X
TSZIOJL,X,O,O,X,X
TSZLIJO,X,O,O,X,X
TSZLIOJ,O,O,O,X,X
TSZLJIO,O,O,O,X,X
TSZLJOI,O,O,O,X,X
TSZLOIJ,O,O,O,X,X
TSZLOJI,O,O,O,X,X
TSZJILO,O,O,O,X,X
TSZJIOL,O,O,O,X,X
TSZJLIO,O,O,O,X,X
TSZJLOI,O,O,O,X,X
TSZJOIL,O,O,O,X,X
TSZJOLI,O,O,O,X,X
TSZOILJ,O,O,O,X,X
TSZOIJL,X,O,O,X,X
TSZOLIJ,O,O,O,X,X
TSZOLJI,O,O,O,X,X
TSZOJIL,O,O,O,X,X
TSZOJLI,O,O,O,X,X
TSOILJZ,O,O,X,X,X
TSOILZJ,O,O,O,X,X
TSOIJLZ,O,O,X,X,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,O,O,O,X,X
TSOIZJL,X,O,O,X,X
TSOLIJZ,O,O,X,X,X
TSOLIZJ,O,O,O,X,X
TSOLJIZ,O,O,X,X,X
TSOLJZI,O,O,X,X,X
TSOLZIJ,O,O,O,X,X
TSOLZJI,O,O,O,X,X
TSOJILZ,O,O,X,X,X
TSOJIZL,O,O,X,X,X
TSOJLIZ,O,O,X,X,X
TSOJLZI,O,O,X,X,X
TSOJZIL,O,O,X,X,X
TSOJZLI,O,O,X,X,X
TSOZILJ,O,O,O,X,X
TSOZIJL,X,O,O,X,X
TSOZLIJ,O,O,O,X,X
TSOZLJI,O,O,O,X,X
TSOZJIL,O,O,O,X,X
TSOZJLI,O,O,O,X,X
TZILJSO,X,X,O,O,X
TZILJOS,X,X,O,X,X
TZILSJO,X,X,O,O,X
TZILSOJ,X,X,O,O,X
TZILOJS,X,X,O,O,X
TZILOSJ,X,X,O,O,X
TZIJLSO,X,X,O,O,X
TZIJLOS,X,X,O,X,X
TZIJSLO,X,O,O,X,X
TZIJSOL,X,O,O,X,X
TZIJOLS,X,X,O,X,X
TZIJOSL,X,O,O,X,X
TZISLJO,X,O,O,X,X
TZISLOJ,X,O,O,X,X
TZISJLO,X,O,O,X,X
TZISJOL,X,O,O,X,X
TZISOLJ,X,O,O,X,X
TZISOJL,X,O,O,X,X
TZIOLJS,X,X,O,O,X
TZIOLSJ,X,X,O,O,X
TZIOJLS,X,X,O,O,X
TZIOJSL,X,O,O,X,X
TZIOSLJ,X,O,O,X,X
TZIOSJL,X,O,O,X,X
TZLIJSO,X,X,O,O,X
TZLIJOS,X,X,O,X,X
TZLISJO,X,X,O,O,X
TZLISOJ,X,X,O,O,X
TZLIOJS,X,X,O,O,X
TZLIOSJ,X,X,O,O,X
TZLJISO,X,X,O,O,X
TZLJIOS,O,X,O,X,X
TZLJSIO,O,X,O,O,X
TZLJSOI,O,X,O,O,X
TZLJOIS,O,X,O,X,X
TZLJOSI,O,X,O,X,X
TZLSIJO,X,X,O,O,X
TZLSIOJ,O,X,O,O,X
TZLSJIO,O,X,O,O,X
TZLSJOI,O,X,O,O,X
TZLSOIJ,O,X,O,O,X
TZLSOJI,O,X,O,O,X
TZLOIJS,X,X,O,O,X
TZLOISJ,X,X,O,O,X
TZLOJIS,O,X,O,O,X
TZLOJSI,O,X,O,O,X
TZLOSIJ,O,X,O,O,X
TZLOSJI,O,X,O,O,X
TZJILSO,X,X,O,O,X
TZJILOS,O,X,O,X,X
TZJISLO,X,O,O,X,X
TZJISOL,X,O,O,X,X
TZJIOLS,O,X,O,X,X
TZJIOSL,X,O,O,X,X
TZJLISO,X,X,O,O,X
TZJLIOS,O,X,O,X,X
TZJLSIO,O,X,O,O,X
TZJLSOI,O,X,O,O,X
TZJLOIS,O,X,O,X,X
TZJLOSI,O,X,O,X,X
TZJSILO,O,O,O,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,X,O,X,X
TZJOISL,X,O,O,X,X
TZJOLIS,O,X,O,X,X
TZJOLSI,O,X,O,X,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,X,O,O,X,X
TZSILOJ,O,O,O,X,X
TZSIJLO,X,O,O,X,X
TZSIJOL,X,O,O,X,X
TZSIOLJ,O,O,O,X,X
TZSIOJL,X,O,O,X,X
TZSLIJO,X,O,O,X,X
TZSLIOJ,O,O,O,X,X
TZSLJIO,O,O,O,X,X
TZSLJOI,O,O,O,X,X
TZSLOIJ,O,O,O,X,X
TZSLOJI,O,O,O,X,X
TZSJILO,O,O,O,X,X
TZSJIOL,O,O,O,X,X
TZSJLIO,O,O,O,X,X
TZSJLOI,O,O,O,X,X
TZSJOIL,O,O,O,X,X
TZSJOLI,O,O,O,X,X
TZSOILJ,O,O,O,X,X
TZSOIJL,X,O,O,X,X
TZSOLIJ,O,O,O,X,X
TZSOLJI,O,O,O,X,X
TZSOJIL,O,O,O,X,X
TZSOJLI,O,O,O,X,X
TZOILJS,X,X,O,O,X
TZOILSJ,X,X,O,O,X
TZOIJLS,X,X,O,O,X
TZOIJSL,X,O,O,X,X
TZOISLJ,X,O,O,X,X
TZOISJL,X,O,O,X,X
TZOLIJS,X,X,O,O,X
TZOLISJ,X,X,O,O,X
TZOLJIS,O,X,O,O,X
TZOLJSI,O,X,O,O,X
TZOLSIJ,O,X,O,O,X
TZOLSJI,O,X,O,O,X
TZOJILS,O,X,O,O,X
TZOJISL,X,O,O,X,X
TZOJLIS,O,X,O,O,X
TZOJLSI,O,X,O,O,X
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,O,X,X
TZOSILJ,O,O,O,X,X
TZOSIJL,X,O,O,X,X
TZOSLIJ,O,O,O,X,X
TZOSLJI,O,O,O,X,X
TZOSJIL,O,O,O,X,X
TZOSJLI,O,O,O,X,X
TOILJSZ,O,O,X,O,X
TOILJZS,O,X,O,O,X
TOILSJZ,O,O,X,O,X
TOILSZJ,O,O,O,O,X
TOILZJS,X,X,O,O,X
TOILZSJ,X,X,O,O,X
TOIJLSZ,O,O,X,O,X
TOIJLZS,O,X,O,O,X
TOIJSLZ,O,O,X,X,X
TOIJSZL,O,O,X,X,X
TOIJZLS,O,X,O,O,X
TOIJZSL,X,O,O,X,X
TOISLJZ,O,O,X,X,X
TOISLZJ,O,O,O,X,X
TOISJLZ,O,O,X,X,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,O,X,X
TOISZJL,X,O,O,X,X
TOIZLJS,X,X,O,O,X
TOIZLSJ,X,X,O,O,X
TOIZJLS,X,X,O,O,X
TOIZJSL,X,O,O,X,X
TOIZSLJ,X,O,O,X,X
TOIZSJL,X,O,O,X,X
TOLIJSZ,O,O,X,O,O
TOLIJZS,O,X,O,O,X
TOLISJZ,O,O,X,O,O
