sequence,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBasB8sB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBysBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBxdB?3gBSnBOoBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBFnB8sBisB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeU7IvhFRdBSjB?lhB3gBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iB8sBasB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBSjB?3gBRnBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFCeBTgB?lhBXjB2sBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFSjBTgB?lhBmnB3nBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iBysBUsB
TIZOJSL,O,X,X,O,O,O,X,X,X,X
TIZOSLJ,X,X,X,X,O,O,X,X,X,X
TIZOSJL,O,X,X,O,X,O,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,O,O,O
TIOLJZS,X,X,O,X,O,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,X,X,X,O,O
TIOLSZJ,X,X,O,X,O,X,X,X,X,O
TIOLZJS,X,X,O,X,O,X,X,X,O,X
TIOLZSJ,X,X,O,X,O,O,X,X,X,O
TIOJLSZ,X,X,O,X,O,X,X,O,O,O
TIOJLZS,X,X,O,X,O,X,X,X,O,X
TIOJSLZ,X,X,O,X,O,X,X,O,O,X
TIOJSZL,X,X,X,X,O,X,X,O,X,X
TIOJZLS,X,X,O,X,O,X,X,X,O,X
TIOJZSL,X,X,X,X,O,O,X,O,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,O,O
TIOSLZJ,X,X,X,X,O,X,X,X,X,O
TIOSJLZ,X,X,X,X,X,X,X,O,O,X
TIOSJZL,X,X,X,X,X,X,X,O,X,X
TIOSZLJ,X,X,X,X,O,O,X,X,X,X
TIOSZJL,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,X,X,X,O,X,X,X,O,X
TIOZLSJ,X,X,X,X,O,O,X,X,X,O
TIOZJLS,X,X,X,X,O,X,X,X,O,X
TIOZJSL,X,X,X,X,O,O,X,O,X,X
TIOZSLJ,X,X,X,X,O,O,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X,X,X,X
TLIJZSO,X,O,O,X,O,X,X,X,X,X
TLIJZOS,X,O,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,O,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,O
TLISZJO,O,O,O,X,O,X,O,X,X,X
TLISZOJ,O,O,O,X,O,X,O,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,X,O
TLISOZJ,X,O,O,X,X,X,O,X,X,O
TLIZJSO,O,O,O,X,O,X,X,X,X,X
TLIZJOS,O,O,O,X,O,X,X,X,X,X
TLIZSJO,O,O,O,X,O,X,O,X,X,X
TLIZSOJ,O,O,O,X,O,X,O,X,X,X
TLIZOJS,O,O,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,O,O
TLIOJZS,X,O,X,X,X,X,X,X,O,X
TLIOSJZ,X,O,X,X,X,X,X,X,O,O
TLIOSZJ,X,O,X,X,X,X,X,X,X,O
TLIOZJS,X,O,O,X,X,X,X,X,O,X
TLIOZSJ,X,O,O,X,O,X,X,X,X,O
TLJISZO,O,O,O,X,O,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,O,X,X,X,X,X
TLJIZOS,X,O,O,X,O,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,O,X
TLJIOZS,X,O,O,X,O,X,X,X,O,X
TLJSIZO,O,O,O,X,O,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,O,X,O
TLJSZIO,X,O,O,X,O,X,X,X,X,X
TLJSZOI,X,O,O,X,O,X,X,O,X,O
TLJSOIZ,O,O,O,X,X,X,X,O,O,O
TLJSOZI,X,O,O,X,X,X,X,O,O,O
TLJZISO,X,O,O,X,O,X,X,X,X,X
TLJZIOS,X,O,O,X,O,X,X,X,X,X
TLJZSIO,X,O,O,X,O,X,X,X,X,X
TLJZSOI,X,O,O,X,O,X,X,X,X,X
TLJZOIS,X,O,O,X,O,X,X,X,O,X
TLJZOSI,X,O,X,X,O,X,X,X,O,X
TLJOISZ,O,O,O,X,X,X,X,O,O,O
TLJOIZS,X,O,O,X,O,X,X,X,O,X
TLJOSIZ,O,O,O,X,X,X,X,O,O,O
TLJOSZI,X,O,O,X,X,X,X,O,O,O
TLJOZIS,X,O,O,X,O,X,X,X,O,X
TLJOZSI,X,O,O,X,O,X,X,X,O,X
TLSIJZO,O,O,O,X,X,X,O,X,X,X
TLSIJOZ,O,O,O,X,X,X,X,X,X,O
TLSIZJO,O,O,O,X,O,X,O,X,X,X
TLSIZOJ,O,O,O,X,O,X,O,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X,X,O
TLSIOZJ,X,O,O,X,X,X,O,X,X,O
TLSJIZO,O,O,O,X,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,O
TLSJZIO,X,O,O,X,X,X,O,X,X,X
TLSJZOI,X,O,O,X,X,X,O,X,X,O
TLSJOIZ,O,O,O,X,X,X,X,X,X,O
TLSJOZI,X,O,O,X,X,X,X,X,X,O
TLSZIJO,O,O,O,X,O,X,O,X,X,X
TLSZIOJ,O,O,O,X,O,X,O,X,X,X
TLSZJIO,O,O,O,X,O,X,O,X,X,X
TLSZJOI,O,O,O,X,O,X,O,X,X,O
TLSZOIJ,O,O,O,X,O,X,O,X,X,O
TLSZOJI,O,O,O,X,O,X,O,X,X,O
TLSOIJZ,O,O,X,X,X,X,X,X,O,O
TLSOIZJ,O,O,O,X,X,X,O,X,X,O
TLSOJIZ,O,O,O,X,X,X,X,X,O,O
TLSOJZI,X,O,O,X,X,X,X,X,O,O
TLSOZIJ,O,O,O,X,X,X,O,X,X,O
TLSOZJI,O,O,O,X,X,X,O,X,X,O
TLZIJSO,O,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,O,X,O,X,X,X,X,X
TLZISJO,O,O,O,X,O,X,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,X,X,X
TLZIOJS,O,O,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,X,X,X
TLZJISO,O,O,O,X,O,X,X,X,X,X
TLZJIOS,O,O,O,X,O,X,X,X,X,X
TLZJSIO,O,O,O,X,O,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X,X,X,X
TLZJOIS,O,O,O,X,O,X,X,X,X,X
TLZJOSI,O,O,X,X,O,X,X,X,X,X
TLZSIJO,O,O,O,X,O,X,X,X,X,X
TLZSIOJ,O,O,O,X,O,X,X,X,X,X
TLZSJIO,O,O,O,X,O,X,X,X,X,X
TLZSJOI,O,O,O,X,O,O,X,X,X,O
TLZSOIJ,O,O,O,X,O,O,X,X,X,O
TLZSOJI,O,O,O,X,O,O,X,X,X,O
TLZOIJS,O,O,O,X,O,X,X,X,O,X
TLZOISJ,O,O,O,X,O,O,X,X,X,O
TLZOJIS,O,O,O,X,O,X,X,X,O,X
TLZOJSI,O,O,X,X,O,X,X,X,O,X
TLZOSIJ,O,O,X,X,O,O,X,X,X,O
TLZOSJI,O,O,X,X,O,O,X,X,X,O
TLOIJSZ,O,O,O,X,X,X,X,O,O,O
TLOIJZS,X,O,O,X,O,X,X,X,O,X
TLOISJZ,O,O,X,X,X,X,X,X,O,O
TLOISZJ,O,O,O,X,O,X,X,X,X,O
TLOIZJS,O,O,O,X,O,X,X,X,O,X
TLOIZSJ,O,O,O,X,O,O,X,X,X,O
TLOJISZ,O,O,O,X,O,X,X,O,O,O
TLOJIZS,X,O,O,X,O,X,X,X,O,X
TLOJSIZ,O,O,O,X,O,X,X,O,O,O
TLOJSZI,X,O,O,X,O,X,X,O,O,O
TLOJZIS,X,O,O,X,O,X,X,X,O,X
TLOJZSI,X,O,O,X,O,X,X,X,O,X
TLOSIJZ,O,O,X,X,X,X,X,X,O,O
TLOSIZJ,O,O,O,X,O,X,X,X,X,O
TLOSJIZ,O,O,O,X,X,X,X,X,O,O
TLOSJZI,X,O,O,X,X,X,X,X,O,O
TLOSZIJ,O,O,O,X,O,X,X,X,X,O
TLOSZJI,O,O,O,X,O,X,X,X,X,O
TLOZIJS,O,O,O,X,O,X,X,X,O,X
TLOZISJ,O,O,O,X,O,O,X,X,X,O
TLOZJIS,O,O,O,X,O,X,X,X,O,X
TLOZJSI,O,O,O,X,O,X,X,X,O,X
TLOZSIJ,O,O,O,X,O,O,X,X,X,O
TLOZSJI,O,O,O,X,O,O,X,X,X,O
TJILSZO,O,O,O,X,O,X,X,X,X,X
TJILSOZ,O,O,O,X,X,X,X,X,X,X
TJILZSO,X,O,O,X,O,X,X,X,X,X
TJILZOS,X,O,O,X,O,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X,X,X,O,X
TJILOZS,X,X,O,X,O,X,X,X,O,X
TJISLZO,O,O,O,X,O,X,X,X,X,X
TJISLOZ,O,O,O,X,X,X,X,O,X,X
TJISZLO,O,X,O,O,O,X,X,X,X,X
TJISZOL,O,X,O,O,X,X,X,X,X,X
TJISOLZ,O,O,O,X,X,X,X,O,X,X
TJISOZL,O,X,O,O,X,X,X,O,X,X
TJIZLSO,O,X,O,O,O,X,X,X,X,X
TJIZLOS,O,X,O,X,O,X,X,X,X,X
