sequence,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBxcB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem6IvhFRcBSiB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBfhB?xcBqmBTiBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFfiB6iB?xfBTfB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFGdBRhB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFfhBxcB?umBcnBTfBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeK/IvhFzaBGdB?RhBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBTdB?3fBxmB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBzbB?CdBxmBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhF0cBTfB?mgBSnBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhFXdBTfB?mgBSnB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Je2/IvhFCcBxhB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFzbB3fB?xmBumBcnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jez7IvhFWiB0kB?xmBikBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeC8IvhFTdB3fB?xmB2pB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFxfB3hB?cnBTfBCnBlpB
TILJSZO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TILJZOS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TILJOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TILSJZO,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TILSJOZ,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TILSZJO,X,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X
TILSZOJ,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X
TILSOJZ,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X
TILSOZJ,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TILZJSO,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TILZJOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TILZSJO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TILZSOJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
TILOSZJ,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TILOZJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIJLSZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TIJLZSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TIJLZOS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIJSLZO,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIJSLOZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TIJSZLO,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TIJSZOL,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJSOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJZLSO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TIJZLOS,X,O,X,X,O,X,O,X,O,O,X,O,X,O,X,X
TIJZSLO,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TIJZSOL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TIJZOLS,O,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X
TIJZOSL,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIJOSZL,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X
TIJOZSL,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TISLJZO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TISLJOZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISLZJO,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X
TISLZOJ,O,O,O,X,X,X,O,O,O,X,X,X,O,X,O,X
TISLOJZ,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TISLOZJ,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X
TISJLZO,O,O,X,X,O,X,O,O,X,X,X,X,O,X,O,X
TISJLOZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISJZLO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X
TISJZOL,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TISJOLZ,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISJOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TISZLJO,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O
TISZLOJ,O,O,O,O,X,X,O,O,O,X,X,X,O,X,O,X
TISZJLO,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O
TISZJOL,O,O,O,O,X,O,X,O,O,X,X,X,O,X,O,O
TISZOLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,O,X
TISZOJL,O,O,O,O,X,X,X,O,O,X,X,X,O,X,O,O
TISOLJZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISOLZJ,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X
TISOJLZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISOJZL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TISOZLJ,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TISOZJL,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X
TIZLJSO,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TIZLJOS,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X
TIZLSJO,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TIZLSOJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZLOJS,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TIZLOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZJLSO,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TIZJLOS,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X
TIZJSLO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
TIZJSOL,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
TIZJOLS,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TIZJOSL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIZSLJO,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O
TIZSLOJ,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZSJLO,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O
TIZSJOL,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TIZSOLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZSOJL,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TIZOLJS,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TIZOJSL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZOSJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOLJSZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X
TIOLZJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
