sequence,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBihBUjBF?nBTrB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFCeB/mBUiBT?jB2wBlsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeU8IvhFFdBXeBSoBT?mB2sBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhB3iBcoBK?rBGmBTsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhF+iBTeBlhBK?rBXoBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFGeBRiBFnBX?oBTrBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeF8IvhFxdB3iBcoBO?rBzmBSxB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhBcnBTjBK?rBGmB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFxdBGjBFnB8?sBTrBfsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Je38IvhFciBTeBamBW?sBFoBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBliBimBX?oBUsBTrB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeT+IvhFxhBUhB/sBF?oBCnB2wB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFThBcoBXnBl?nB2wBCtB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeG9IvhFTeB3hBxnB0?rBlsBarB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFXiBTjB0rBl?sBOrBCtB
TILJSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
TILZJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TILZSJO,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TILZSOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TILZOJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TILZOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TILOJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILOJZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TILOSJZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TILOZJS,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
TIJLSZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJLZOS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJSLZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TIJZLSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O
TIJZLOS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJZSLO,X,O,O,X,X,X,O,X,X,O,X,X,X,O,O
TIJZSOL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O
TIJZOLS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X
TIJZOSL,X,X,X,X,X,X,O,X,X,O,X,O,X,O,O
TIJOLSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOSZL,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X
TIJOZLS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X
TISLJZO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISLJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
