sequence,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBXgBl?hBcqBerB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFGbB0cB6iBZ?lBVmBzqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF0cB6iBlfB3?gBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFXgBxhBGiBF?mB0qBiqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBlgBGiBa?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBFlBX?mBiqB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF6iB0fBlgB3?hBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBUlBF?mBKqBfrB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFFbBxcBUhBG?iBTlByvB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhF6iBlhBRlBO?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBfmBl?hBUlB2vB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFZhBTgBCiBG?iB0qBFqB
TILJSZO,O,O,O,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,O,X,X,X,X,X,X,O,X,X
TILJZSO,O,O,O,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,O,X,X,X,X,X,X,O,X,X
TILJOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TILJOZS,O,X,O,X,X,X,X,X,X,O,X,X
TILSJZO,O,O,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,O,X,X
TILSZJO,X,O,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,O,X,X,X,X,X,O,X,X
TILSOZJ,X,O,O,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X,X,O,X,X
TILZSJO,X,O,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,X,X,X,X,X,O,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,O,X,X,X,X,X,X,O,X,X
TILOJZS,O,O,O,X,X,X,X,X,X,O,X,X
TILOSJZ,O,O,O,O,X,X,X,X,X,O,X,X
