sequence,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFufBcgB?icBzdBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBmdB?XgBlhBcnBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBzdB?XgBFnBOrB8rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdBOkB?RhB0fBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRdB?fnBliBikBUrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdB0fB?RhBOkBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jex6IvhFOkBXgB?0hBliBinBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFGbBFdB?8iBzfBfnBKrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRiB?fnBliBikBUrB
TLSZIJO,O,X,O,X,O,X,X,X,X
TLSZIOJ,O,X,O,X,O,X,X,X,X
TLSZJIO,O,X,X,X,O,X,O,X,X
TLSZJOI,O,X,X,X,O,X,O,X,X
TLSZOIJ,O,X,O,X,O,X,X,X,X
TLSZOJI,O,X,X,X,O,X,X,X,X
TLSOIJZ,X,X,O,X,O,X,X,X,X
TLSOIZJ,O,X,O,X,O,X,X,X,X
TLSOJIZ,X,X,O,X,O,X,X,X,X
TLSOJZI,X,X,X,X,O,X,X,X,X
TLSOZIJ,O,X,O,X,O,X,X,X,X
TLSOZJI,O,X,X,X,O,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,O,X,X,X
TLZIOJS,O,X,X,X,X,O,X,X,X
TLZIOSJ,O,X,X,X,X,O,X,X,X
TLZJISO,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,O,X,X,X
TLZJSIO,O,X,X,X,X,X,O,X,X
TLZJSOI,O,X,X,X,X,X,O,X,X
TLZJOIS,O,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,O,X,X,X
TLZSJIO,O,X,X,X,X,X,O,X,X
TLZSJOI,O,X,X,X,X,X,O,X,X
TLZSOIJ,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,O,X,X,X
TLZOISJ,O,X,X,X,X,O,X,X,X
TLZOJIS,O,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,X,X,X,X,O
TLOIJZS,O,X,X,O,X,O,X,X,X
TLOISJZ,X,X,O,O,X,X,X,X,X
TLOISZJ,O,X,O,X,X,O,X,X,X
TLOIZJS,O,X,X,O,X,O,X,X,X
TLOIZSJ,O,X,X,X,X,O,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X,O
TLOJIZS,O,X,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,X,O,X,X,X,X
TLOJSZI,X,X,X,X,O,X,X,X,X
TLOJZIS,O,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,O,X,X,X,X
TLOSIZJ,O,X,O,X,O,X,X,X,X
TLOSJIZ,X,X,O,X,O,X,X,X,X
TLOSJZI,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,O,X,O,X,X,X,X
TLOSZJI,O,X,X,X,O,X,X,X,X
TLOZIJS,O,X,X,X,X,O,X,X,X
TLOZISJ,O,X,X,X,X,O,X,X,X
TLOZJIS,O,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,O,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,O,X,O,X,X,X
TJILOSZ,X,X,X,O,X,X,X,X,O
TJILOZS,O,X,X,O,X,O,X,X,X
TJISLZO,X,O,O,X,X,X,O,X,X
TJISLOZ,X,X,O,O,X,X,X,X,X
TJISZLO,X,O,O,X,X,X,O,X,X
TJISZOL,X,O,O,X,X,X,O,X,X
TJISOLZ,X,X,O,O,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,O,X,X
TJIZLSO,O,O,X,X,X,X,X,X,X
TJIZLOS,O,X,X,O,X,O,X,X,X
TJIZSLO,O,O,X,X,X,X,O,X,X
TJIZSOL,O,O,X,X,X,X,O,X,X
TJIZOLS,O,X,X,O,X,O,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,X
TJIOLZS,O,X,X,O,X,O,X,X,X
TJIOSLZ,X,X,O,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X,X
TJIOZLS,O,X,X,O,X,O,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,O,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,X,O
TJLIOZS,O,X,X,O,X,X,X,X,X
TJLSIZO,X,X,X,X,O,X,O,X,X
TJLSIOZ,X,X,X,X,O,X,X,X,X
TJLSZIO,X,X,X,X,O,X,O,X,X
TJLSZOI,X,X,X,X,O,X,O,X,X
TJLSOIZ,X,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,O,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,O,X,X
TJLZSOI,O,X,X,X,X,X,O,X,X
TJLZOIS,O,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,O
TJLOIZS,O,X,X,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,X,X,X,X
TJLOSZI,X,X,X,X,O,X,X,X,X
TJLOZIS,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,X,O,X,X
TJSILOZ,X,X,O,O,O,X,X,X,X
TJSIZLO,X,O,O,X,O,X,O,X,X
TJSIZOL,X,O,O,X,X,X,O,X,X
TJSIOLZ,X,X,O,O,O,X,X,X,X
TJSIOZL,X,X,O,X,X,X,O,X,X
TJSLIZO,X,O,O,X,O,X,O,X,X
TJSLIOZ,X,X,O,X,O,X,X,X,X
TJSLZIO,X,O,X,X,O,X,O,X,X
TJSLZOI,X,O,X,X,O,X,O,X,X
TJSLOIZ,X,X,O,X,O,X,X,X,X
TJSLOZI,X,X,X,X,O,X,X,X,X
TJSZILO,X,O,X,X,O,X,O,X,X
TJSZIOL,X,O,X,X,X,X,O,X,X
TJSZLIO,X,O,X,X,O,X,O,X,X
TJSZLOI,X,O,X,X,O,X,O,X,X
TJSZOIL,X,O,X,X,X,X,O,X,X
TJSZOLI,X,O,X,X,X,X,O,X,X
TJSOILZ,X,X,O,O,O,X,X,X,X
TJSOIZL,X,X,O,X,X,X,O,X,X
TJSOLIZ,X,X,O,X,O,X,X,X,X
TJSOLZI,X,X,X,X,O,X,X,X,X
TJSOZIL,X,X,X,X,X,X,O,X,X
TJSOZLI,X,X,X,X,X,X,O,X,X
TJZILSO,O,O,X,X,X,X,X,X,X
TJZILOS,O,X,X,O,X,O,X,X,X
TJZISLO,O,O,X,X,X,X,O,X,X
TJZISOL,O,O,X,X,X,X,O,X,X
TJZIOLS,O,X,X,O,X,O,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X,X
TJZLISO,O,O,X,X,X,X,X,X,X
TJZLIOS,O,X,X,X,X,O,X,X,X
TJZLSIO,O,O,X,X,X,X,O,X,X
TJZLSOI,O,O,X,X,X,X,O,X,X
TJZLOIS,O,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X
TJZSILO,O,O,X,X,X,X,O,X,X
TJZSIOL,O,O,X,X,X,X,O,X,X
TJZSLIO,O,O,X,X,X,X,O,X,X
TJZSLOI,O,O,X,X,X,X,O,X,X
TJZSOIL,O,O,X,X,X,X,O,X,X
TJZSOLI,O,O,X,X,X,X,O,X,X
TJZOILS,O,X,X,O,X,O,X,X,X
TJZOISL,O,O,X,X,X,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,X,O,X,X
TJOILSZ,X,X,X,O,X,X,X,X,X
TJOILZS,O,X,X,O,X,O,X,X,X
TJOISLZ,X,X,O,O,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X,X
TJOIZLS,O,X,X,O,X,O,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,O,X,X,X,X,X
TJOLIZS,O,X,X,O,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,O,X,X,X,X,X
TJOSIZL,X,X,O,X,X,X,O,X,X
TJOSLIZ,X,X,O,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,O,X,X
TJOSZLI,X,X,X,X,X,X,O,X,X
TJOZILS,O,X,X,O,X,O,X,X,X
TJOZISL,O,X,X,X,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,O,X,X
TJOZSLI,O,X,X,X,X,X,O,X,X
TSILJZO,X,O,O,X,O,X,X,X,X
TSILJOZ,X,X,O,O,O,X,X,X,X
TSILZJO,O,O,O,X,O,X,X,X,X
TSILZOJ,O,O,O,X,O,O,X,X,X
TSILOJZ,X,X,O,O,O,X,X,X,X
TSILOZJ,O,X,O,X,O,O,X,X,X
TSIJLZO,X,O,O,X,O,X,O,X,X
TSIJLOZ,X,X,O,O,O,X,X,X,X
TSIJZLO,X,O,O,X,O,X,O,X,X
TSIJZOL,X,O,O,X,X,X,O,X,X
TSIJOLZ,X,X,O,O,O,X,X,X,X
TSIJOZL,X,X,O,X,X,X,O,X,X
TSIZLJO,O,O,O,X,O,X,X,X,X
TSIZLOJ,O,O,O,X,O,O,X,O,X
TSIZJLO,O,O,O,X,O,X,O,X,X
TSIZJOL,O,O,O,X,X,X,O,O,X
TSIZOLJ,O,O,O,X,X,O,X,O,X
TSIZOJL,O,O,O,X,X,X,X,O,X
TSIOLJZ,X,X,O,O,O,X,X,X,X
TSIOLZJ,O,X,O,X,O,O,X,X,X
TSIOJLZ,X,X,O,O,O,X,X,X,X
TSIOJZL,X,X,O,X,X,X,X,X,X
TSIOZLJ,O,X,O,X,X,O,X,O,X
TSIOZJL,O,X,O,X,X,X,X,O,X
TSLIJZO,X,O,O,X,O,X,X,X,X
TSLIJOZ,X,X,O,X,O,X,X,X,X
TSLIZJO,O,O,O,X,O,X,X,X,X
TSLIZOJ,O,O,O,X,O,X,X,X,X
TSLIOJZ,X,X,O,X,O,X,X,X,X
TSLIOZJ,O,X,O,X,O,X,X,X,X
TSLJIZO,X,O,O,X,O,X,O,X,X
TSLJIOZ,X,X,O,X,O,X,X,X,X
TSLJZIO,X,O,X,X,O,X,O,X,X
TSLJZOI,X,O,X,X,O,X,O,X,X
TSLJOIZ,X,X,O,X,O,X,X,X,X
TSLJOZI,X,X,X,X,O,X,X,X,X
TSLZIJO,O,O,O,X,O,X,X,X,X
TSLZIOJ,O,O,O,X,O,X,X,X,X
TSLZJIO,O,O,X,X,O,X,O,X,X
TSLZJOI,O,O,X,X,O,X,O,X,X
TSLZOIJ,O,O,O,X,O,X,X,X,X
TSLZOJI,O,O,X,X,O,X,X,X,X
TSLOIJZ,X,X,O,X,O,X,X,X,X
TSLOIZJ,O,X,O,X,O,X,X,X,X
TSLOJIZ,X,X,O,X,O,X,X,X,X
TSLOJZI,X,X,X,X,O,X,X,X,X
TSLOZIJ,O,X,O,X,O,X,X,X,X
TSLOZJI,O,X,X,X,O,X,X,X,X
TSJILZO,X,O,O,X,O,X,O,X,X
TSJILOZ,X,X,O,O,O,X,X,X,X
TSJIZLO,X,O,O,X,O,X,O,X,X
TSJIZOL,X,O,O,X,X,X,O,X,X
TSJIOLZ,X,X,O,O,O,X,X,X,X
TSJIOZL,X,X,O,X,X,X,O,X,X
TSJLIZO,X,O,O,X,O,X,O,X,X
TSJLIOZ,X,X,O,X,O,X,X,X,X
TSJLZIO,X,O,X,X,O,X,O,X,X
TSJLZOI,X,O,X,X,O,X,O,X,X
TSJLOIZ,X,X,O,X,O,X,X,X,X
TSJLOZI,X,X,X,X,O,X,X,X,X
TSJZILO,X,O,X,X,O,X,O,X,X
TSJZIOL,X,O,X,X,X,X,O,X,X
TSJZLIO,X,O,X,X,O,X,O,X,X
TSJZLOI,X,O,X,X,O,X,O,X,X
TSJZOIL,X,O,X,X,X,X,O,X,X
TSJZOLI,X,O,X,X,X,X,O,X,X
TSJOILZ,X,X,O,O,O,X,X,X,X
TSJOIZL,X,X,O,X,X,X,O,X,X
TSJOLIZ,X,X,O,X,O,X,X,X,X
TSJOLZI,X,X,X,X,O,X,X,X,X
TSJOZIL,X,X,X,X,X,X,O,X,X
TSJOZLI,X,X,X,X,X,X,O,X,X
TSZILJO,O,O,O,X,O,X,X,X,X
TSZILOJ,O,O,O,X,O,O,X,O,X
TSZIJLO,O,O,O,X,O,X,O,X,X
TSZIJOL,O,O,O,X,X,X,O,O,X
TSZIOLJ,O,O,O,X,X,O,X,O,X
TSZIOJL,O,O,O,X,X,X,X,O,X
TSZLIJO,O,O,O,X,O,X,X,X,X
TSZLIOJ,O,O,O,X,O,O,X,O,X
TSZLJIO,O,O,X,X,O,X,O,X,X
TSZLJOI,O,O,X,X,O,X,O,X,X
TSZLOIJ,O,O,O,X,O,X,X,O,X
TSZLOJI,O,O,X,X,O,X,X,X,X
TSZJILO,O,O,X,X,O,X,O,X,X
TSZJIOL,O,O,X,X,X,X,O,O,X
TSZJLIO,O,O,X,X,O,X,O,X,X
TSZJLOI,O,O,X,X,O,X,O,X,X
TSZJOIL,O,O,X,X,X,X,O,O,X
TSZJOLI,O,O,X,X,X,X,O,X,X
TSZOILJ,O,O,O,X,X,O,X,O,X
TSZOIJL,O,O,O,X,X,X,X,O,X
TSZOLIJ,O,O,O,X,X,X,X,O,X
TSZOLJI,O,O,X,X,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,O,O,X
TSZOJLI,O,O,X,X,X,X,O,X,X
TSOILJZ,X,X,O,O,O,X,X,X,X
TSOILZJ,O,X,O,X,O,O,X,X,X
TSOIJLZ,X,X,O,O,O,X,X,X,X
TSOIJZL,X,X,O,X,X,X,X,X,X
TSOIZLJ,O,X,O,X,X,O,X,O,X
TSOIZJL,O,X,O,X,X,X,X,O,X
TSOLIJZ,X,X,O,X,O,X,X,X,X
TSOLIZJ,O,X,O,X,O,X,X,X,X
TSOLJIZ,X,X,O,X,O,X,X,X,X
TSOLJZI,X,X,X,X,O,X,X,X,X
TSOLZIJ,O,X,O,X,O,X,X,X,X
TSOLZJI,O,X,X,X,O,X,X,X,X
TSOJILZ,X,X,O,O,O,X,X,X,X
TSOJIZL,X,X,O,X,X,X,O,X,X
TSOJLIZ,X,X,O,X,O,X,X,X,X
TSOJLZI,X,X,X,X,O,X,X,X,X
TSOJZIL,X,X,X,X,X,X,O,X,X
TSOJZLI,X,X,X,X,X,X,O,X,X
TSOZILJ,O,X,O,X,X,O,X,O,X
TSOZIJL,O,X,O,X,X,X,X,O,X
TSOZLIJ,O,X,O,X,X,X,X,O,X
TSOZLJI,O,X,X,X,X,X,X,X,X
TSOZJIL,O,X,X,X,X,X,O,O,X
TSOZJLI,O,X,X,X,X,X,O,X,X
TZILJSO,O,O,X,X,X,X,X,X,X
TZILJOS,O,X,X,O,X,O,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,O,X,X,X
TZILOJS,O,X,X,O,X,O,X,X,X
TZILOSJ,O,X,X,X,X,O,X,X,X
TZIJLSO,O,O,X,X,X,X,X,X,X
TZIJLOS,O,X,X,O,X,O,X,X,X
TZIJSLO,O,O,X,X,X,X,O,X,X
TZIJSOL,O,O,X,X,X,X,O,X,X
TZIJOLS,O,X,X,O,X,O,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,X,X,X,X
TZISLOJ,O,O,O,X,X,O,X,O,X
TZISJLO,O,O,O,X,X,X,O,X,X
TZISJOL,O,O,O,X,X,X,O,O,X
