sequence,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFufBcgB?icBzdBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBmdB?XgBlhBcnBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBzdB?XgBFnBOrB8rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdBOkB?RhB0fBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRdB?fnBliBikBUrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdB0fB?RhBOkBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jex6IvhFOkBXgB?0hBliBinBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFGbBFdB?8iBzfBfnBKrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRiB?fnBliBikBUrB
TILJSZO,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,O,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X,O
TILJOZS,O,X,X,O,X,O,X,X,X
TILSJZO,X,X,O,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,X,X,X,X
TILSZJO,O,X,O,X,X,X,X,X,X
TILSZOJ,O,X,O,X,X,O,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,X
TILSOZJ,O,X,O,X,X,O,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,O,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,O,X,X,X
TILZOJS,O,X,X,O,X,O,X,X,X
TILZOSJ,O,X,X,X,X,O,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,O
TILOJZS,O,X,X,O,X,O,X,X,X
TILOSJZ,X,X,O,O,X,X,X,X,X
TILOSZJ,O,X,O,X,X,O,X,X,X
TILOZJS,O,X,X,O,X,O,X,X,X
TILOZSJ,O,X,X,X,X,O,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,O,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,O
TIJLOZS,O,X,X,O,X,O,X,X,X
TIJSLZO,X,O,O,X,X,X,O,X,X
TIJSLOZ,X,X,O,O,X,X,X,X,X
TIJSZLO,X,O,O,X,X,X,O,X,X
TIJSZOL,X,O,O,X,X,X,O,X,X
TIJSOLZ,X,X,O,O,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,O,X,X
TIJZLSO,O,O,X,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,O,X,X,X
TIJZSLO,O,O,X,X,X,X,O,X,X
TIJZSOL,O,O,X,X,X,X,O,X,X
TIJZOLS,O,X,X,O,X,O,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,X,X
TIJOLZS,O,X,X,O,X,O,X,X,X
TIJOSLZ,X,X,O,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,O,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X
TISLJZO,X,O,O,X,X,X,X,X,X
TISLJOZ,X,X,O,O,X,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,X,X
TISLZOJ,O,O,O,X,X,O,X,X,X
TISLOJZ,X,X,O,O,X,X,X,X,X
TISLOZJ,O,X,O,X,X,O,X,X,X
TISJLZO,X,O,O,X,X,X,O,X,X
TISJLOZ,X,X,O,O,X,X,X,X,X
TISJZLO,X,O,O,X,X,X,O,X,X
TISJZOL,X,O,O,X,X,X,O,X,X
TISJOLZ,X,X,O,O,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,O,X,X
TISZLJO,O,O,O,X,X,X,X,X,X
TISZLOJ,O,O,O,X,X,O,X,O,X
TISZJLO,O,O,O,X,X,X,O,X,X
TISZJOL,O,O,O,X,X,X,O,O,X
TISZOLJ,O,O,O,X,X,O,X,O,X
TISZOJL,O,O,O,X,X,X,X,O,X
TISOLJZ,X,X,O,O,X,X,X,X,X
TISOLZJ,O,X,O,X,X,O,X,X,X
TISOJLZ,X,X,O,O,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X
TISOZLJ,O,X,O,X,X,O,X,O,X
TISOZJL,O,X,O,X,X,X,X,O,X
TIZLJSO,O,O,X,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,O,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,O,X,X,X
TIZLOJS,O,X,X,O,X,O,X,X,X
TIZLOSJ,O,X,X,X,X,O,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,O,X,X,X
TIZJSLO,O,O,X,X,X,X,O,X,X
TIZJSOL,O,O,X,X,X,X,O,X,X
TIZJOLS,O,X,X,O,X,O,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,O,X,O,X
TIZSJLO,O,O,O,X,X,X,O,X,X
TIZSJOL,O,O,O,X,X,X,O,O,X
TIZSOLJ,O,O,O,X,X,O,X,O,X
TIZSOJL,O,O,O,X,X,X,X,O,X
TIZOLJS,O,X,X,O,X,O,X,X,X
TIZOLSJ,O,X,X,X,X,O,X,X,X
TIZOJLS,O,X,X,O,X,O,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,O,X,O,X
TIZOSJL,O,O,O,X,X,X,X,O,X
TIOLJSZ,X,X,X,O,X,X,X,X,X
TIOLJZS,O,X,X,O,X,O,X,X,X
TIOLSJZ,X,X,O,O,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,O,X,X,X
TIOLZJS,O,X,X,O,X,O,X,X,X
TIOLZSJ,O,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,X,X
TIOJLZS,O,X,X,O,X,O,X,X,X
TIOJSLZ,X,X,O,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,O,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,O,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,O,X,X,X
TIOSJLZ,X,X,O,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,O,X,O,X
TIOSZJL,O,X,O,X,X,X,X,O,X
TIOZLJS,O,X,X,O,X,O,X,X,X
TIOZLSJ,O,X,X,X,X,O,X,X,X
TIOZJLS,O,X,X,O,X,O,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,O,X,O,X
TIOZSJL,O,X,O,X,X,X,X,O,X
TLIJSZO,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,O,X,O,X,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,O
TLIJOZS,O,X,X,O,X,O,X,X,X
TLISJZO,X,X,O,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,X,X,X,X
TLISZJO,O,X,O,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,O,X,X,X
TLISOJZ,X,X,O,O,X,X,X,X,X
TLISOZJ,O,X,O,X,X,O,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,O,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,O,X,X,X
TLIZOJS,O,X,X,O,X,O,X,X,X
TLIZOSJ,O,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,X,O,X,X,X,X,O
TLIOJZS,O,X,X,O,X,O,X,X,X
TLIOSJZ,X,X,O,O,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,O,X,X,X
TLIOZJS,O,X,X,O,X,O,X,X,X
TLIOZSJ,O,X,X,X,X,O,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X,O
TLJIOZS,O,X,X,O,X,X,X,X,X
TLJSIZO,X,X,X,X,O,X,O,X,X
TLJSIOZ,X,X,X,X,O,X,X,X,X
TLJSZIO,X,X,X,X,O,X,O,X,X
TLJSZOI,X,X,X,X,O,X,O,X,X
TLJSOIZ,X,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,O,X,X
TLJZSOI,O,X,X,X,X,X,O,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,O
TLJOIZS,O,X,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,X
TLJOZIS,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,X
TLSIJOZ,X,X,O,X,O,X,X,X,X
TLSIZJO,O,X,O,X,O,X,X,X,X
TLSIZOJ,O,X,O,X,O,X,X,X,X
TLSIOJZ,X,X,O,X,O,X,X,X,X
TLSIOZJ,O,X,O,X,O,X,X,X,X
TLSJIZO,X,X,O,X,O,X,O,X,X
TLSJIOZ,X,X,O,X,O,X,X,X,X
TLSJZIO,X,X,X,X,O,X,O,X,X
TLSJZOI,X,X,X,X,O,X,O,X,X
TLSJOIZ,X,X,O,X,O,X,X,X,X
TLSJOZI,X,X,X,X,O,X,X,X,X
