sequence,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFGeBylBRiBF?nBTrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBlhB3?iBKrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBihB3?iBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBlhBcnBm?lBCnBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFehBSiBTeBF?nB3mBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF6iBTeBmhBX?hB1rBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je38IvhFGeBTgBliBU?hByrBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeX9IvhFTeBigBcnBG?mBFmBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBxlBirBc?sBlrBGsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Jez7IvhFfiBxdB2lBC?jBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je1AJvhF0cBTeBxlBX?nB2wB6sB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFicBGeBRiBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxdBFmBXnBO?rBzrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxiBFmBXnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBRdBSjBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFXhBxiBFnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBTeBFmB3?rB5nBasB
ISOZJLT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZTLJSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
IZTLJOS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTLSJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZTLOJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
IZTJLOS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTJSLO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
IZTJSOL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X
IZTJOLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZTSLJO,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTSLOJ,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,X
IZTSJLO,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTSJOL,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,O,X
IZTSOLJ,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,X
IZTSOJL,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,O,X
IZTOLJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZTOSJL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IZLTJSO,X,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X
IZLTJOS,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
IZLTOJS,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
IZLJTOS,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZLJSTO,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZLJSOT,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZLJOTS,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZLSTJO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
IZLSTOJ,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,O,X
IZLSJTO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZLSOJT,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZLOSTJ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZLOSJT,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
IZJTLOS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJTSOL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X
IZJTOLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZJLTSO,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
IZJLTOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJLSOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJLOTS,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJSTLO,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJSTOL,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X
IZJSLTO,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZJSLOT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZJSOTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZJSOLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZJOTLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJOSTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZJOSLT,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTLJO,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,O
IZSTLOJ,X,X,X,X,O,O,X,O,X,X,X,O,O,O,O,O,O
IZSTJLO,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,O
IZSTJOL,X,X,X,X,O,O,X,X,X,X,X,O,O,O,O,O,O
IZSTOLJ,X,X,X,X,O,O,X,O,X,X,X,O,O,O,O,O,O
IZSTOJL,X,X,X,X,O,O,X,X,X,X,X,O,O,O,O,O,O
IZSLTJO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IZSLTOJ,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,O,X
IZSLJTO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZSLOJT,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSJTLO,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
IZSJTOL,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X
IZSJLTO,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZSJLOT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZSJOTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZSJOLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IZSOTJL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IZSOLTJ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZSOLJT,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSOJTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZSOJLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZOTLJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZOTSJL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IZOLTJS,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZOLJST,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZOLSJT,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOJLTS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJSTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZOJSLT,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IZOSTJL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IZOSLTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZOSLJT,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZOSJLT,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTLJZS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTJLZS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTJSZL,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTSJZL,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOTZSLJ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOTZSJL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IOLTJSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLTJZS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZJS,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLJTZS,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSZT,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLJZTS,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLJZST,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLZTJS,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLZJTS,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLZJST,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOLZSJT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJTLZS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOJLTSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJLTZS,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLSZT,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJLZTS,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJLZST,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJSTZL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJSZTL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJZTLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJZTSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOJZLTS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJZSTL,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOJZSLT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSTLJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSJTZL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJLZT,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSJZTL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOSZTLJ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOSZTJL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IOSZLTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOSZLJT,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSZJTL,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOSZJLT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOZTLJS,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZTSLJ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOZTSJL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IOZLTJS,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOZLJTS,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOZLSJT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZJLTS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZJSTL,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOZJSLT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOZSTJL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IOZSLTJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOZSLJT,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZSJTL,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOZSJLT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIJSZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIJSOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTISJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LTISOJZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LTIZJSO,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LTIZJOS,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LTIZSJO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X
LTIZOJS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJISOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJZIOS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSOI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTJZOIS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOSI,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTSIJZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSJIZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
LTSZIOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
LTSZJIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
LTSZJOI,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
LTSZOIJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
LTSZOJI,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
LTSOIJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
