sequence,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0gBlkBXqB,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0kBllBXqB,v115@EhB8FeF8CeG8BeG8Jex6IvhFygBzcBGeBlkB3lB0pB,v115@EhB8FeF8CeG8BeG8JeU7IvhFahBzcBGeBxkBFqB/pB,v115@EhB8FeF8CeG8BeG8Jel7IvhFzcBGeB/kBZlB8lB6pB
TLJOSIZ,O,X,O,O,X
TLJOSZI,O,X,O,X,X
TLJOZIS,O,O,X,O,X
TLJOZSI,O,O,X,X,X
TLSIJZO,O,O,O,O,X
TLSIJOZ,O,X,O,O,X
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,O,O,O,X
TLSIOJZ,O,X,O,O,X
TLSIOZJ,O,X,O,O,X
TLSJIZO,O,O,O,O,X
TLSJIOZ,O,X,O,O,X
TLSJZIO,O,O,O,X,X
TLSJZOI,O,O,O,X,X
TLSJOIZ,O,X,O,O,X
TLSJOZI,O,X,O,X,X
TLSZIJO,O,O,O,X,X
TLSZIOJ,O,O,O,X,X
TLSZJIO,O,O,O,X,X
TLSZJOI,O,O,O,X,X
TLSZOIJ,O,O,O,X,X
TLSZOJI,O,O,O,X,X
TLSOIJZ,O,X,O,O,X
TLSOIZJ,O,X,O,O,X
TLSOJIZ,O,X,O,O,X
TLSOJZI,O,X,O,X,X
TLSOZIJ,O,X,O,X,X
TLSOZJI,O,X,O,X,X
TLZIJSO,O,O,X,O,X
TLZIJOS,O,O,X,O,X
TLZISJO,O,O,X,O,X
TLZISOJ,O,O,X,O,X
TLZIOJS,O,O,X,O,X
TLZIOSJ,O,O,X,O,X
TLZJISO,O,O,X,O,X
TLZJIOS,O,O,X,O,X
TLZJSIO,O,O,X,X,X
TLZJSOI,O,O,X,X,X
TLZJOIS,O,O,X,O,X
TLZJOSI,O,O,X,X,X
TLZSIJO,O,O,X,X,X
TLZSIOJ,O,O,X,X,X
TLZSJIO,O,O,X,X,X
TLZSJOI,O,O,X,X,X
TLZSOIJ,O,O,X,X,X
TLZSOJI,O,O,X,X,X
TLZOIJS,O,O,X,O,X
TLZOISJ,O,O,X,O,X
TLZOJIS,O,O,X,O,X
TLZOJSI,O,O,X,X,X
TLZOSIJ,O,O,X,X,X
TLZOSJI,O,O,X,X,X
TLOIJSZ,O,X,X,O,X
TLOIJZS,O,O,X,O,X
TLOISJZ,O,X,X,O,X
TLOISZJ,X,X,X,O,X
TLOIZJS,O,O,X,O,X
TLOIZSJ,O,O,X,O,X
TLOJISZ,O,X,X,O,X
TLOJIZS,O,O,X,O,X
TLOJSIZ,O,X,O,O,X
TLOJSZI,O,X,O,X,X
TLOJZIS,O,O,X,O,X
TLOJZSI,O,O,X,X,X
TLOSIJZ,O,X,O,O,X
TLOSIZJ,X,X,O,O,X
TLOSJIZ,O,X,O,O,X
TLOSJZI,O,X,O,X,X
TLOSZIJ,O,X,O,X,X
TLOSZJI,O,X,O,X,X
TLOZIJS,O,O,X,O,X
TLOZISJ,O,O,X,O,X
TLOZJIS,O,O,X,O,X
TLOZJSI,O,O,X,X,X
TLOZSIJ,O,O,X,X,X
TLOZSJI,O,O,X,X,X
TJILSZO,X,O,X,O,X
TJILSOZ,O,X,X,O,X
TJILZSO,O,O,X,O,X
TJILZOS,O,O,X,O,X
TJILOSZ,O,X,X,O,X
TJILOZS,O,O,X,O,X
TJISLZO,X,X,O,O,X
TJISLOZ,X,X,O,O,X
TJISZLO,X,X,O,X,O
TJISZOL,X,X,O,X,O
TJISOLZ,X,X,O,O,X
TJISOZL,X,X,O,X,O
TJIZLSO,O,O,X,O,O
TJIZLOS,O,O,X,O,O
TJIZSLO,O,O,X,X,O
TJIZSOL,O,O,X,X,O
TJIZOLS,O,O,X,O,O
TJIZOSL,O,X,X,X,O
TJIOLSZ,O,X,X,O,X
TJIOLZS,O,X,X,O,X
TJIOSLZ,X,X,O,O,X
TJIOSZL,X,X,O,X,O
TJIOZLS,O,X,X,O,O
TJIOZSL,O,X,X,X,O
TJLISZO,O,O,X,O,X
TJLISOZ,O,X,X,O,X
TJLIZSO,O,O,X,O,X
TJLIZOS,O,O,X,O,X
TJLIOSZ,O,X,X,O,X
TJLIOZS,O,O,X,O,X
TJLSIZO,O,O,O,O,X
TJLSIOZ,O,X,O,O,X
TJLSZIO,O,O,O,X,X
TJLSZOI,O,O,O,X,X
TJLSOIZ,O,X,O,O,X
TJLSOZI,O,X,O,X,X
TJLZISO,O,O,X,O,X
TJLZIOS,O,O,X,O,X
TJLZSIO,O,O,X,X,X
TJLZSOI,O,O,X,X,X
TJLZOIS,O,O,X,O,X
TJLZOSI,O,O,X,X,X
TJLOISZ,O,X,X,O,X
TJLOIZS,O,O,X,O,X
TJLOSIZ,O,X,O,O,X
TJLOSZI,O,X,O,X,X
TJLOZIS,O,O,X,O,X
TJLOZSI,O,O,X,X,X
TJSILZO,O,X,O,O,X
TJSILOZ,O,X,O,O,X
TJSIZLO,O,X,O,X,O
TJSIZOL,O,X,O,X,O
TJSIOLZ,O,X,O,O,X
TJSIOZL,O,X,O,X,O
TJSLIZO,O,O,O,O,X
TJSLIOZ,O,X,O,O,X
TJSLZIO,O,O,O,X,X
TJSLZOI,O,O,O,X,X
TJSLOIZ,O,X,O,O,X
TJSLOZI,O,X,O,X,X
TJSZILO,O,O,O,X,O
TJSZIOL,O,O,O,X,O
TJSZLIO,O,O,O,X,X
TJSZLOI,O,O,O,X,X
TJSZOIL,O,O,O,X,O
TJSZOLI,O,O,O,X,X
TJSOILZ,O,X,O,O,X
TJSOIZL,O,X,O,X,O
TJSOLIZ,O,X,O,O,X
TJSOLZI,O,X,O,X,X
TJSOZIL,O,X,O,X,O
TJSOZLI,O,X,O,X,X
TJZILSO,O,O,X,O,O
TJZILOS,O,O,X,O,O
TJZISLO,O,O,X,X,O
TJZISOL,O,O,X,X,O
TJZIOLS,O,O,X,O,O
TJZIOSL,O,X,X,X,O
TJZLISO,O,O,X,O,O
TJZLIOS,O,O,X,O,O
TJZLSIO,O,O,X,X,X
TJZLSOI,O,O,X,X,X
TJZLOIS,O,O,X,O,O
TJZLOSI,O,O,X,X,X
TJZSILO,O,O,O,X,O
TJZSIOL,O,O,O,X,O
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,O
TJZSOLI,O,O,O,X,X
TJZOILS,O,O,X,O,O
TJZOISL,O,X,X,X,O
TJZOLIS,O,O,X,O,O
TJZOLSI,O,O,X,X,X
TJZOSIL,O,O,O,X,O
TJZOSLI,O,O,O,X,X
TJOILSZ,O,X,X,O,X
TJOILZS,O,X,X,O,X
TJOISLZ,X,X,O,O,X
TJOISZL,X,X,O,X,O
TJOIZLS,O,X,X,O,O
TJOIZSL,O,X,X,X,O
TJOLISZ,O,X,X,O,X
TJOLIZS,O,O,X,O,X
TJOLSIZ,O,X,O,O,X
TJOLSZI,O,X,O,X,X
