sequence,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFOgBfiB6iBZjB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBSiBZjBUiBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBRdBUiBaoBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeOAJv?hFfiB6iBZjBTfB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFGdBZjBykBUiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Jex6Iv?hFzcBmfBaoB3iB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifBXgBTiB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifB0fBTiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Je06Iv?hFCdBZjB/kBTiBOlBFsB
TILJSZO,O,O,O,O,X,X,O,O,X
TILJSOZ,O,O,O,O,X,X,O,O,X
TILJZSO,O,O,O,X,O,X,O,O,X
TILJZOS,O,X,O,X,O,X,O,O,X
TILJOSZ,X,O,O,O,X,X,O,O,X
TILJOZS,X,O,O,X,O,X,O,O,X
TILSJZO,O,O,O,O,X,X,O,O,X
TILSJOZ,O,O,O,O,X,X,O,O,X
TILSZJO,O,O,O,O,O,X,X,X,X
TILSZOJ,O,X,O,O,O,X,X,X,O
TILSOJZ,O,O,O,O,X,X,X,X,O
TILSOZJ,O,O,O,O,O,X,X,X,O
TILZJSO,O,O,O,X,O,O,O,O,X
TILZJOS,O,X,O,X,O,O,O,O,X
TILZSJO,O,O,O,X,O,X,X,X,X
TILZSOJ,O,X,O,X,O,X,X,X,X
TILZOJS,O,O,O,X,O,O,X,X,X
TILZOSJ,O,O,O,X,O,X,X,X,X
TILOJSZ,X,O,O,O,X,X,O,O,O
TILOJZS,X,O,O,X,O,X,O,O,X
TILOSJZ,X,O,O,O,X,X,X,X,O
TILOSZJ,X,O,O,O,O,X,X,X,O
TILOZJS,X,O,O,X,O,O,X,X,X
TILOZSJ,X,O,O,X,O,X,X,X,O
TIJLSZO,O,O,O,O,X,X,O,O,X
TIJLSOZ,O,O,O,O,X,X,O,O,X
TIJLZSO,O,O,O,X,O,X,O,O,X
TIJLZOS,O,X,O,X,O,X,O,O,X
TIJLOSZ,X,O,O,O,X,X,O,O,X
TIJLOZS,X,O,X,X,O,X,O,O,X
TIJSLZO,O,O,O,O,X,X,O,O,X
TIJSLOZ,O,O,O,O,X,X,O,O,X
TIJSZLO,O,O,O,O,X,X,X,X,X
TIJSZOL,O,X,O,O,X,X,X,X,O
TIJSOLZ,O,O,X,O,X,X,X,X,O
TIJSOZL,O,X,X,O,X,X,X,X,O
TIJZLSO,O,O,O,X,O,X,O,O,X
TIJZLOS,O,X,O,X,O,X,O,O,X
TIJZSLO,O,O,O,O,O,X,X,X,X
TIJZSOL,O,X,O,O,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X,X
TIJZOSL,O,X,O,O,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,O,O,O
TIJOLZS,X,O,X,X,X,X,O,O,X
TIJOSLZ,O,O,X,O,X,X,X,X,O
TIJOSZL,O,O,X,O,X,X,X,X,O
TIJOZLS,O,O,X,X,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,O,O,X
TISLJOZ,O,O,O,O,X,X,O,O,X
TISLZJO,O,O,O,O,O,X,X,X,X
TISLZOJ,O,X,O,O,O,X,X,X,O
TISLOJZ,O,O,O,O,X,X,X,X,O
TISLOZJ,O,O,X,O,O,X,X,X,O
TISJLZO,O,O,O,O,X,X,O,O,X
TISJLOZ,O,O,O,O,X,X,O,O,X
TISJZLO,O,O,O,O,X,X,X,X,X
TISJZOL,O,X,O,O,X,X,X,X,O
TISJOLZ,O,O,X,O,X,X,X,X,O
TISJOZL,O,X,X,O,X,X,X,X,O
TISZLJO,O,O,O,O,O,X,X,X,X
TISZLOJ,O,X,O,O,O,X,X,X,O
TISZJLO,O,O,O,O,O,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,O
TISZOLJ,O,X,X,O,X,X,X,X,O
TISZOJL,O,X,O,O,X,X,X,X,O
TISOLJZ,O,O,X,O,X,X,X,X,O
TISOLZJ,O,O,X,O,X,X,X,X,O
TISOJLZ,O,O,X,O,X,X,X,X,O
TISOJZL,O,O,X,O,X,X,X,X,O
TISOZLJ,O,O,X,O,X,X,X,X,O
TISOZJL,O,O,X,O,X,X,X,X,O
TIZLJSO,O,O,O,X,O,O,O,O,X
TIZLJOS,O,X,O,X,O,O,O,O,X
TIZLSJO,O,O,O,X,O,X,X,X,X
TIZLSOJ,O,X,O,X,O,X,X,X,X
TIZLOJS,O,O,O,X,O,O,X,X,X
TIZLOSJ,O,O,O,X,O,X,X,X,X
TIZJLSO,O,O,O,X,O,O,O,O,X
