sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
TILJSZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X
TISJOLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISZLJO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TISZOLJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TISOLJZ,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISOZLJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TIZLJSO,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TIZSOJL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISZJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLISZOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLISOJZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISOZJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLIZJOS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIZOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIOZJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJIZSO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJSZIO,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJSZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJSOIZ,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJSOZI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJZISO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLJZIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
TLJZSOI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
TLJZOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TLJOISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
