sequence,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFciBFhBfsBimBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFTdBFhBUnBGrByx?BXrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB0nBCrB2x?BTrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiBTmBWwBis?B0sB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFUhBFiBXmBOsBSw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBTdBcmBVsBWw?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFlcBciBamBfsBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFVhBXiB8qB+rBTn?ByxB
TILJSZO,O,X,X,O,O,O,X,X,O,O,O,X
TILJSOZ,O,X,X,X,O,O,X,X,O,X,X,X
TILJZSO,O,X,O,O,X,O,X,O,O,X,X,O
TILJZOS,X,X,X,O,X,X,X,O,O,X,X,X
TILJOSZ,O,X,X,X,X,O,O,X,O,X,X,X
TILJOZS,X,X,X,O,X,X,O,X,O,X,X,X
TILSJZO,O,X,X,X,O,O,X,X,X,O,X,X
TILSJOZ,O,X,X,X,O,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,O,X,O,O,O,O,O
TILSZOJ,X,X,X,O,X,X,X,O,O,O,O,O
TILSOJZ,O,X,X,X,O,O,X,X,X,X,X,X
TILSOZJ,X,X,X,O,O,X,X,X,O,O,X,X
TILZJSO,X,O,O,O,X,O,X,O,O,X,X,O
TILZJOS,X,O,X,O,X,X,X,O,O,X,X,X
TILZSJO,O,O,O,X,X,O,X,O,O,O,X,O
TILZSOJ,X,X,O,O,X,X,X,O,O,O,X,O
TILZOJS,X,X,X,O,X,X,X,O,O,X,X,X
TILZOSJ,X,X,X,O,X,X,X,O,O,X,X,O
TILOJSZ,O,X,X,X,X,O,X,X,O,X,O,X
TILOJZS,X,X,X,O,X,X,X,X,O,X,X,X
TILOSJZ,O,X,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,X,X,O,O,O,X
TILOZJS,X,X,X,O,X,X,X,O,O,X,X,X
TILOZSJ,O,X,X,O,X,X,X,O,O,X,X,O
TIJLSZO,O,X,X,O,O,O,X,X,O,X,O,X
TIJLSOZ,O,X,X,X,O,O,X,X,O,X,X,X
TIJLZSO,O,X,O,O,X,O,X,X,O,X,X,O
TIJLZOS,X,X,X,O,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,X,X,X,O,O,X,O,X,X,X
TIJLOZS,X,X,X,O,X,X,O,X,O,X,X,X
TIJSLZO,X,X,O,X,O,O,X,X,X,O,X,X
