sequence,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeX8IvhFxdBcmB6nBT?jBdsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jex8IvhF6jB3hBziBN?sBUmBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFeiBfjB6jBc?sB5mBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Je08IvhFxdBamB9nBT?jBfsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFWiBxdBTjBc?sBCrB3rB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhF5hB0dB6jB2?nBzqBXsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez8IvhFGeBUjBxmBC?rBXsBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFRdB+jB3iBq?rBUnBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Je08IvhFxdB9nBTjBK?rBfsBuqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFXeBSoBUnB5?mBzqBOsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFfiB8iB+jBS?rBTnBRwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFXdBTeBWoBU?nBSrBRwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jex8IvhFXeBUhBSoBN?sBurBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhF6jBXiB8nB5?mBOsBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeX8IvhFTeBcmBxnB6?nBdsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFTeBCiBxnB3?mBcsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFRdB+jBUiBq?rB3nBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez8IvhFGeB8qBqrBx?nB3nBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeC9IvhFTeB8qBWsBx?sBdrBXsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeWCJvhFxdBTjB8qBC?nBXsBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFCdBxiBTjB3?mBcsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez9IvhF+jBRhBUiBC?rBXsBNrB
TILJSZO,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TILJOZS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILSOZJ,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILZJOS,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILZSJO,O,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TILOZJS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
