sequence,v115@7gB8HeB8FeF8EeF8AeF8Jem6IvhFRcBSiBTfB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFzaBGdBRhB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFxbBTdBflBlgBqm?B8qB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFibBchBTdBflB5l?B1wB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFTbBSiBflBRrB8q?BlrB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFfgBxbBTdBWmB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhF0bBxcBzfBSmBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFlbBGdBxkB0mB/q?BirB,v115@7gB8HeB8FeF8EeF8AeF8Je36IvhFTdBxgB2kBChB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFGbBUgBxhBThBXn?BlqB
TJZISLO,X,O,X,O,X,X,X,O,X,O,X,O,X
TJZISOL,X,X,X,O,X,X,X,O,X,O,O,X,X
TJZIOLS,X,O,X,X,X,X,X,O,O,O,X,O,X
TJZIOSL,X,X,X,O,X,X,X,O,O,O,O,X,X
TJZLISO,O,O,X,X,X,X,O,O,X,X,X,O,X
TJZLIOS,O,O,O,X,X,X,O,O,O,X,X,O,X
TJZLSIO,O,O,O,O,X,O,O,O,X,X,X,O,X
TJZLSOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TJZLOIS,O,O,O,X,X,X,O,O,O,X,X,O,X
TJZLOSI,O,O,O,O,X,O,X,X,O,X,X,X,X
TJZSILO,O,O,X,O,X,X,X,O,X,X,X,O,X
TJZSIOL,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,O,X,X,X,O,X
TJZSLOI,O,O,O,O,X,X,X,X,O,X,X,X,X
TJZSOIL,O,X,X,O,X,X,X,X,O,X,X,X,X
TJZSOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TJZOILS,O,O,X,X,X,X,O,O,O,X,X,O,X
TJZOISL,X,X,X,O,X,X,O,O,O,X,O,X,X
TJZOLIS,O,O,O,X,X,X,O,O,O,X,X,O,X
TJZOLSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TJZOSIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TJZOSLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TJOILSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TJOILZS,O,O,X,X,X,X,O,X,O,X,X,O,X
TJOISLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TJOISZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TJOIZLS,O,X,X,X,X,X,O,X,O,X,X,O,X
TJOIZSL,X,X,X,O,X,X,O,X,O,X,X,X,X
TJOLISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TJOLIZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TJOLSIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TJOLSZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TJOLZIS,O,O,O,X,X,X,O,X,O,X,X,O,X
TJOLZSI,O,X,O,O,X,O,O,X,O,X,X,X,X
TJOSILZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TJOSIZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TJOSLIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TJOSLZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TJOSZIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TJOSZLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TJOZILS,O,X,X,X,X,X,O,O,O,X,X,O,X
TJOZISL,X,X,X,O,X,X,O,O,O,X,X,X,X
TJOZLIS,O,X,O,X,X,X,O,O,O,X,X,O,X
TJOZLSI,O,X,O,O,X,O,O,X,O,X,X,X,X
TJOZSIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TJOZSLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TSILJZO,O,X,X,O,O,X,X,X,X,X,X,O,X
TSILJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSILZJO,O,X,X,O,O,X,X,O,X,X,X,X,O
TSILZOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSIJLZO,O,X,X,O,O,X,X,X,X,X,X,O,X
TSIJLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,X,X,O,O,X,X,X,X,X,X,O,X
TSIJZOL,O,X,X,O,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIZLJO,O,X,X,O,O,X,X,O,X,X,X,X,X
TSIZLOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
TSIZJLO,O,X,X,O,O,X,X,O,X,X,X,X,X
TSIZJOL,O,X,X,O,O,X,X,O,X,X,X,X,X
TSIZOLJ,O,X,X,O,O,X,X,O,X,X,X,X,X
TSIZOJL,O,X,X,O,O,X,X,O,X,X,X,X,X
TSIOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSIOZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLIJZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TSLIJOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLIZJO,O,X,X,O,O,X,O,X,X,X,X,X,O
TSLIZOJ,O,X,X,O,O,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TSLIOZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TSLJIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TSLJIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLJZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
TSLJZOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSLJOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TSLJOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSLZIJO,O,O,O,O,X,X,O,X,X,X,X,X,O
TSLZIOJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLZJIO,O,O,O,O,X,O,O,X,X,X,X,X,O
TSLZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLZOIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLZOJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLOIJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TSLOIZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TSLOJZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TSLOZIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLOZJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TSJILZO,O,X,X,O,O,X,X,X,X,X,X,O,X
TSJILOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,X,X,O,O,X,X,X,X,X,X,O,X
TSJIZOL,O,X,X,O,O,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TSJLIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSJLZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
TSJLZOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSJLOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TSJLOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSJZILO,O,X,X,O,X,X,X,O,X,X,X,O,X
TSJZIOL,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJZLIO,O,X,O,O,X,X,X,O,X,X,X,O,X
TSJZLOI,O,X,O,O,X,X,X,X,O,X,X,X,X
TSJZOIL,O,X,X,O,X,X,X,X,O,X,X,X,X
TSJZOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TSJOILZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TSJOIZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TSJOLIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TSJOLZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TSJOZIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TSJOZLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TSZILJO,O,O,X,O,X,X,X,O,X,X,X,X,X
TSZILOJ,O,O,X,O,X,X,X,O,X,X,O,X,X
TSZIJLO,O,O,X,O,X,X,X,O,X,X,X,X,X
TSZIJOL,O,X,X,O,X,X,X,O,X,X,O,X,X
TSZIOLJ,O,X,X,O,X,X,X,O,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X,X,O,X,X,O,X,X
TSZLIJO,O,O,O,O,X,X,X,O,X,X,X,X,X
TSZLIOJ,O,O,O,O,X,X,X,O,X,X,X,X,X
TSZLJIO,O,O,O,O,X,X,X,O,X,X,X,X,X
TSZLJOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZLOIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZJILO,O,O,X,O,X,X,X,O,X,X,X,X,X
TSZJIOL,O,X,X,O,X,X,X,O,X,X,X,X,X
TSZJLIO,O,O,O,O,X,X,X,O,X,X,X,X,X
TSZJLOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZJOIL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,X,X,O,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X,O,X,X
TSZOLIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOLJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZOJLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOILJZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TSOILZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TSOIJZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TSOIZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOIZJL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOLIJZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TSOLIZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TSOLJIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TSOLJZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TSOLZIJ,O,X,O,O,X,O,O,X,X,X,X,X,X
TSOLZJI,O,X,O,O,X,O,O,X,X,X,X,X,X
TSOJILZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TSOJIZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TSOJLIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TSOJLZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TSOJZIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TSOJZLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TSOZILJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOZIJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TSOZLIJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TSOZLJI,O,X,O,O,X,X,O,X,X,X,X,X,X
TSOZJIL,O,X,X,O,X,X,O,X,X,X,X,X,X
TSOZJLI,O,X,O,O,X,X,O,X,X,X,X,X,X
TZILJSO,O,O,X,X,X,X,X,O,X,O,X,O,O
TZILJOS,O,O,X,X,X,X,X,O,X,O,X,O,O
TZILSJO,O,O,X,O,X,X,X,O,X,O,X,X,O
TZILSOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TZILOJS,O,O,X,X,X,X,X,O,X,O,X,X,O
TZILOSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TZIJLSO,X,O,X,X,X,X,X,O,X,O,X,O,X
TZIJLOS,X,O,X,X,X,X,X,O,X,O,X,O,X
TZIJSLO,X,O,X,O,X,X,X,O,X,O,X,O,X
TZIJSOL,X,X,X,O,X,X,X,O,X,O,O,X,X
TZIJOLS,X,O,X,X,X,X,X,O,X,O,X,O,X
TZIJOSL,X,X,X,O,X,X,X,O,X,O,O,X,X
TZISLJO,O,O,X,O,X,X,X,O,X,O,X,X,X
TZISLOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TZISJLO,O,O,X,O,X,X,X,O,X,O,X,X,X
TZISJOL,O,X,X,O,X,X,X,O,X,O,O,X,X
TZISOLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
TZISOJL,O,X,X,O,X,X,X,O,X,O,O,X,X
TZIOLJS,O,O,X,X,X,X,X,O,X,O,X,X,X
TZIOLSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TZIOJLS,O,O,X,X,X,X,X,O,X,O,X,X,X
TZIOJSL,X,X,X,O,X,X,X,O,X,O,O,X,X
TZIOSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
TZIOSJL,O,X,X,O,X,X,X,O,X,O,O,X,X
TZLIJSO,O,O,X,X,X,X,O,O,X,X,X,O,O
TZLIJOS,O,O,O,X,X,X,O,O,X,X,X,O,O
TZLISJO,O,O,O,O,X,X,O,O,X,X,X,X,O
TZLISOJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TZLIOJS,O,O,O,X,X,X,O,O,O,X,X,X,O
TZLIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TZLJISO,O,O,X,X,X,X,O,O,X,X,X,O,O
TZLJIOS,O,O,O,X,X,X,O,O,O,X,X,O,O
TZLJSIO,O,O,O,O,X,O,O,O,X,X,X,O,O
TZLJSOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TZLJOIS,O,O,O,X,X,X,O,O,O,X,X,O,O
TZLJOSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TZLSIJO,O,O,O,O,X,X,O,O,X,X,X,X,O
TZLSIOJ,O,O,O,O,X,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,X,O,O,O,X,X,X,X,O
TZLSJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TZLSOIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TZLSOJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TZLOIJS,O,O,O,X,X,X,O,O,O,X,X,X,O
TZLOISJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TZLOJIS,O,O,O,X,X,X,O,O,O,X,X,X,O
TZLOJSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TZLOSIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TZLOSJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,O,X,O,X,O,X
TZJILOS,X,O,X,X,X,X,X,O,O,O,X,O,X
TZJISLO,X,O,X,O,X,X,X,O,X,O,X,O,X
TZJISOL,X,X,X,O,X,X,X,O,X,O,O,X,X
TZJIOLS,X,O,X,X,X,X,X,O,O,O,X,O,X
TZJIOSL,X,X,X,O,X,X,X,O,O,O,O,X,X
TZJLISO,O,O,X,X,X,X,O,O,X,X,X,O,X
TZJLIOS,O,O,O,X,X,X,O,O,O,X,X,O,X
TZJLSIO,O,O,O,O,X,O,O,O,X,X,X,O,X
TZJLSOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TZJLOIS,O,O,O,X,X,X,O,O,O,X,X,O,X
TZJLOSI,O,O,O,O,X,O,X,X,O,X,X,X,X
TZJSILO,O,O,X,O,X,X,X,O,X,X,X,O,X
TZJSIOL,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,O,X,X,X,O,X
TZJSLOI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZJSOIL,O,X,X,O,X,X,X,X,O,X,X,X,X
TZJSOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TZJOILS,O,O,X,X,X,X,O,O,O,X,X,O,X
TZJOISL,X,X,X,O,X,X,O,O,O,X,O,X,X
TZJOLIS,O,O,O,X,X,X,O,O,O,X,X,O,X
TZJOLSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TZJOSIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TZJOSLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TZSILJO,O,O,X,O,X,X,X,O,X,X,X,X,X
TZSILOJ,O,O,X,O,X,X,X,O,X,X,O,X,X
TZSIJLO,O,O,X,O,X,X,X,O,X,X,X,X,X
TZSIJOL,O,X,X,O,X,X,X,O,X,X,O,X,X
TZSIOLJ,O,X,X,O,X,X,X,O,X,X,O,X,X
TZSIOJL,O,X,X,O,X,X,X,O,X,X,O,X,X
TZSLIJO,O,O,O,O,X,X,X,O,X,X,X,X,X
TZSLIOJ,O,O,O,O,X,X,X,O,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,X,O,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSLOIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSLOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSJILO,O,O,X,O,X,X,X,O,X,X,X,X,X
TZSJIOL,O,X,X,O,X,X,X,O,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X,O,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSJOIL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSJOLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X,O,X,X
TZSOIJL,O,X,X,O,X,X,X,X,X,X,O,X,X
TZSOLIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOLJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOJIL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSOJLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOILJS,O,O,X,X,X,X,O,O,O,X,X,X,X
TZOILSJ,O,O,X,O,X,X,O,O,X,X,O,X,X
TZOIJLS,O,O,X,X,X,X,O,O,O,X,X,X,X
TZOIJSL,X,X,X,O,X,X,O,O,O,X,O,X,X
TZOISLJ,O,X,X,O,X,X,X,O,X,X,O,X,X
TZOISJL,O,X,X,O,X,X,O,O,X,X,O,X,X
TZOLIJS,O,O,O,X,X,X,O,O,O,X,X,X,X
TZOLISJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TZOLJIS,O,O,O,X,X,X,O,O,O,X,X,X,X
TZOLJSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TZOLSIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TZOLSJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,O,O,O,X,X,X,X
TZOJISL,X,X,X,O,X,X,O,O,O,X,O,X,X
TZOJLIS,O,O,O,X,X,X,O,O,O,X,X,X,X
TZOJLSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TZOJSIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TZOJSLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TZOSILJ,O,X,X,O,X,X,X,X,X,X,O,X,X
TZOSIJL,O,X,X,O,X,X,O,X,X,X,O,X,X
TZOSLIJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TZOSLJI,O,X,O,O,X,X,O,X,X,X,X,X,X
TZOSJIL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZOSJLI,O,X,O,O,X,X,O,X,X,X,X,X,X
TOILJSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TOILJZS,O,O,X,X,X,X,O,O,O,X,X,O,X
TOILSJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
TOILSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TOILZJS,O,O,X,X,X,X,O,O,O,X,X,X,O
TOILZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TOIJLSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TOIJLZS,O,O,X,X,X,X,O,O,O,X,X,O,X
TOIJSLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TOIJZLS,O,X,X,X,X,X,O,O,O,X,X,O,X
TOIJZSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TOISLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOISLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TOISJLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TOISZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,O,O,O,X,X,X,X
TOIZLSJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,O,O,O,X,X,X,X
TOIZJSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TOIZSJL,O,X,X,O,X,X,O,O,X,X,X,X,X
TOLIJSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TOLIJZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TOLISJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TOLISZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TOLIZJS,O,O,O,X,X,X,O,X,O,X,X,X,O
TOLIZSJ,X,O,O,O,X,X,O,X,X,X,X,X,X
TOLJISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TOLJIZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TOLJSIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TOLJSZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOLJZIS,O,O,O,X,X,X,O,X,O,X,X,O,X
TOLJZSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TOLSIJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TOLSIZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TOLSJZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TOLSZJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TOLZIJS,O,O,O,X,X,X,O,X,O,X,X,X,O
TOLZISJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TOLZJIS,O,O,O,X,X,X,O,X,O,X,X,X,O
TOLZJSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TOLZSIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TOLZSJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TOJILSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TOJILZS,O,O,X,X,X,X,O,X,O,X,X,O,X
TOJISLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOJISZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TOJIZLS,O,X,X,X,X,X,O,X,O,X,X,O,X
TOJIZSL,X,X,X,O,X,X,O,X,O,X,X,X,X
TOJLISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TOJLIZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TOJLSIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TOJLSZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOJLZIS,O,O,O,X,X,X,O,X,O,X,X,O,X
TOJLZSI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOJSILZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOJSIZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TOJSLIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TOJSLZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOJSZIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TOJSZLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TOJZILS,O,X,X,X,X,X,O,O,O,X,X,O,X
TOJZISL,X,X,X,O,X,X,O,O,O,X,X,X,X
TOJZLIS,O,X,O,X,X,X,O,O,O,X,X,O,X
TOJZLSI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOJZSIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TOJZSLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TOSILJZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOSILZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOSIJZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TOSIZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSIZJL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSLIJZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TOSLIZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TOSLJIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TOSLJZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOSLZIJ,O,X,O,O,X,O,O,X,X,X,X,X,X
TOSLZJI,O,X,O,O,X,O,O,X,X,X,X,X,X
TOSJILZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TOSJIZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TOSJLIZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TOSJLZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TOSJZIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TOSJZLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TOSZILJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSZIJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TOSZLIJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TOSZLJI,O,X,O,O,X,X,O,X,X,X,X,X,X
TOSZJIL,O,X,X,O,X,X,O,X,X,X,X,X,X
TOSZJLI,O,X,O,O,X,X,O,X,X,X,X,X,X
TOZILJS,O,O,X,X,X,X,O,O,O,X,X,X,X
TOZILSJ,O,O,X,O,X,X,O,O,X,X,O,X,X
TOZIJLS,O,O,X,X,X,X,O,O,O,X,X,X,X
TOZIJSL,X,X,X,O,X,X,O,O,O,X,O,X,X
TOZISLJ,O,X,X,O,X,X,X,O,X,X,O,X,X
TOZISJL,O,X,X,O,X,X,O,O,X,X,O,X,X
TOZLIJS,O,O,O,X,X,X,O,O,O,X,X,X,X
TOZLISJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TOZLJIS,O,O,O,X,X,X,O,O,O,X,X,X,X
