sequence,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbByhB8kBWmB3i?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Je2/IvhFRbBzcBUhB3iBCl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFOhB8hB6kBTgB3i?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbB8hBmgB3iBCl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFygBzcB0fB3iBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFmcB6kBcmB3iBTl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFlbB2iBClBxmBcm?B/qB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFygBRiBXgBUiBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Je//IvhFagBzbBRiBUiBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Jem6IvhFzbB6kBRiBUiB/q?BFrB,v115@6gC8IeB8GeC8DeH8AeF8Jei6IvhFzbBukBRiBUiB/q?BFrB,v115@6gC8IeB8GeC8DeH8AeF8Jex7IvhF8hBmfBzgB3iB6k?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbB8hBVlBamB3i?BGqB,v115@6gC8IeB8GeC8DeH8AeF8JeOBJvhF8hBxfB3iB6kBTg?BlqB
TILJSZO,X,O,O,O,X,X,O,X,O,O,O,X,X,X
TILJSOZ,X,O,O,O,O,X,O,O,O,O,O,X,X,X
TILJZSO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TILJOSZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TILJOZS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TILSJZO,X,O,O,O,X,X,O,X,X,O,X,X,X,X
TILSJOZ,X,O,O,O,O,X,O,X,O,O,X,X,X,X
TILSZJO,X,O,O,O,O,X,O,X,X,O,X,X,X,O
TILSZOJ,X,O,O,O,O,X,O,X,O,O,X,X,X,X
TILSOJZ,X,O,O,O,O,X,O,O,O,O,X,X,X,X
TILSOZJ,X,X,O,O,O,X,O,O,O,O,X,X,X,X
TILZJSO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TILZJOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TILZSJO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TILZSOJ,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TILZOJS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TILZOSJ,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TILOJSZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TILOJZS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TILOSJZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TILOSZJ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TILOZJS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TILOZSJ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIJLSZO,O,O,X,O,O,X,O,X,O,X,O,X,X,X
TIJLSOZ,X,O,X,O,O,X,O,O,O,X,O,X,X,X
TIJLZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TIJLZOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,O,O,X,O,O,O,X,X,X,X,X
TIJLOZS,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TIJSLZO,O,O,X,O,O,X,X,X,O,X,O,X,X,X
TIJSLOZ,O,O,X,O,O,X,X,O,O,X,O,X,X,X
TIJSZLO,O,O,X,O,O,X,X,X,O,X,O,X,X,O
TIJSZOL,O,O,X,O,O,X,X,X,O,X,O,O,X,O
TIJSOLZ,O,O,X,X,O,X,X,O,O,X,O,X,X,X
TIJSOZL,O,O,X,O,O,X,X,X,O,X,O,O,X,X
TIJZLSO,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJZSOL,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJZOLS,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJZOSL,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJOLSZ,X,O,X,X,O,X,O,O,O,X,X,X,X,X
TIJOLZS,O,O,X,X,O,X,O,O,X,X,X,X,X,X
