sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
TJZSOIL,O,X,X,X,O,X,X,O,O,X,X
TJZSOLI,O,X,X,X,O,X,X,O,O,X,X
TJZOILS,X,O,O,X,O,X,O,X,X,X,X
TJZOISL,O,O,X,X,O,O,O,O,O,X,X
TJZOLIS,X,O,O,X,O,O,O,X,X,X,X
TJZOLSI,X,O,O,X,O,O,O,X,X,X,X
TJZOSIL,O,O,X,X,O,O,O,O,O,X,X
TJZOSLI,O,O,X,X,O,O,O,O,O,X,X
TJOILSZ,X,X,X,X,O,O,O,X,X,X,X
TJOILZS,X,X,X,X,X,O,O,X,X,X,X
TJOISLZ,X,X,X,X,O,O,X,X,X,X,X
TJOISZL,X,X,X,X,O,O,O,X,X,X,X
TJOIZLS,X,O,X,X,O,X,O,X,O,X,X
TJOIZSL,X,O,X,X,O,O,O,X,O,X,X
TJOLISZ,X,X,X,X,O,O,O,X,X,X,X
TJOLIZS,X,X,O,X,X,O,O,X,X,X,X
TJOLSIZ,X,X,X,X,O,O,O,X,X,X,X
TJOLSZI,X,X,O,X,O,O,O,X,X,X,X
TJOLZIS,X,O,O,X,X,O,O,X,O,X,X
TJOLZSI,X,O,O,X,X,O,O,X,O,X,X
TJOSILZ,X,X,X,X,O,O,X,X,X,X,X
TJOSIZL,X,X,X,X,O,O,O,X,X,X,X
TJOSLIZ,X,X,X,X,O,O,O,X,X,X,X
TJOSLZI,O,X,X,X,O,O,O,X,X,X,X
TJOSZIL,O,O,X,X,O,O,O,X,O,X,X
TJOSZLI,O,O,X,X,O,O,O,X,O,X,X
TJOZILS,X,O,O,X,O,X,O,X,O,X,X
TJOZISL,O,O,X,X,O,O,O,O,O,X,X
TJOZLIS,X,O,O,X,O,O,O,X,O,X,X
TJOZLSI,X,O,O,X,O,O,O,X,O,X,X
TJOZSIL,O,O,X,X,O,O,O,O,O,X,X
TJOZSLI,O,O,X,X,O,O,O,O,O,X,X
TSILJZO,O,X,X,O,O,X,X,X,X,X,X
TSILJOZ,X,X,X,O,O,X,X,X,X,X,X
TSILZJO,O,X,X,O,O,X,X,X,X,O,X
TSILZOJ,O,X,X,O,O,X,X,X,X,O,X
TSILOJZ,X,X,X,O,O,X,X,X,X,X,X
TSILOZJ,X,X,X,O,O,X,X,X,X,O,X
TSIJLZO,O,X,X,X,O,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,O,X,X,X,X,X,X
TSIJZLO,O,X,X,X,O,X,X,X,X,X,X
TSIJZOL,O,X,X,X,O,X,O,X,X,X,X
TSIJOLZ,X,X,X,X,O,O,X,X,X,X,X
TSIJOZL,X,X,X,X,O,O,X,X,X,X,X
TSIZLJO,O,X,X,O,O,X,X,X,X,O,X
TSIZLOJ,O,X,X,O,O,X,X,X,X,O,X
TSIZJLO,O,X,X,O,O,X,X,X,X,O,X
TSIZJOL,O,X,X,X,O,X,O,X,X,O,X
TSIZOLJ,O,X,X,O,O,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X,O,X,X,O,X
TSIOLJZ,X,X,X,X,O,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,O,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,O,O,X,X,X,X,X
TSIOJZL,X,X,X,X,O,O,O,X,X,X,X
TSIOZLJ,X,X,X,X,O,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,O,X,X,O,X
TSLIJZO,O,X,X,O,O,X,X,X,X,O,X
TSLIJOZ,X,X,X,O,O,X,X,X,X,O,X
TSLIZJO,O,X,X,O,O,X,X,X,X,O,X
TSLIZOJ,O,X,X,O,O,X,X,X,X,O,X
TSLIOJZ,X,X,X,O,O,X,X,X,X,O,X
TSLIOZJ,X,X,X,O,O,X,X,X,X,O,X
TSLJIZO,O,X,X,O,O,X,X,X,X,O,X
TSLJIOZ,X,X,X,O,O,X,X,X,X,O,X
TSLJZIO,O,X,X,O,O,X,X,X,X,O,X
TSLJZOI,O,X,X,O,O,X,X,X,X,O,X
TSLJOIZ,X,X,X,O,O,X,X,X,X,O,X
TSLJOZI,O,X,X,O,O,X,X,X,X,O,X
TSLZIJO,O,X,X,O,O,X,X,X,X,O,X
TSLZIOJ,O,X,O,O,O,X,X,X,X,O,X
TSLZJIO,O,X,X,O,O,X,X,X,X,O,X
TSLZJOI,O,X,X,O,O,X,X,X,X,O,X
TSLZOIJ,O,X,O,O,O,X,X,X,X,O,X
TSLZOJI,O,X,O,O,X,X,X,X,X,O,X
TSLOIJZ,X,X,X,O,O,X,X,X,X,O,X
TSLOIZJ,X,X,X,O,O,X,X,X,X,O,X
TSLOJIZ,X,X,X,O,O,X,X,X,X,O,X
TSLOJZI,X,X,X,O,O,X,X,X,X,O,X
TSLOZIJ,O,X,O,O,O,X,X,X,X,O,X
TSLOZJI,O,X,O,O,X,X,X,X,X,O,X
TSJILZO,O,X,X,X,O,X,X,X,X,X,X
TSJILOZ,X,X,X,X,O,X,X,X,X,X,X
TSJIZLO,O,X,X,X,O,X,X,X,X,X,X
TSJIZOL,O,X,X,X,O,X,O,X,X,X,X
TSJIOLZ,X,X,X,X,O,O,X,X,X,X,X
TSJIOZL,X,X,X,X,O,O,X,X,X,X,X
TSJLIZO,O,X,X,O,O,X,X,X,X,X,X
TSJLIOZ,X,X,X,O,O,X,X,X,X,X,X
TSJLZIO,O,X,X,O,O,X,X,X,X,X,X
TSJLZOI,O,X,X,O,O,X,X,X,X,X,X
TSJLOIZ,X,X,X,O,O,X,X,X,X,X,X
TSJLOZI,O,X,X,O,O,X,X,X,X,X,X
TSJZILO,O,X,X,O,O,X,X,O,O,X,X
TSJZIOL,O,X,X,X,O,X,O,O,O,X,X
TSJZLIO,O,X,X,O,O,X,X,O,O,X,X
TSJZLOI,O,X,X,O,O,X,X,O,O,X,X
TSJZOIL,O,X,X,X,O,X,X,O,O,X,X
TSJZOLI,O,X,X,X,O,X,X,O,O,X,X
TSJOILZ,X,X,X,X,O,O,X,X,X,X,X
TSJOIZL,X,X,X,X,O,O,X,X,X,X,X
TSJOLIZ,X,X,X,X,O,O,X,X,X,X,X
TSJOLZI,O,X,X,X,O,O,X,X,X,X,X
TSJOZIL,O,X,X,X,O,O,X,X,X,X,X
TSJOZLI,O,X,X,X,O,O,X,X,X,X,X
TSZILJO,O,X,X,O,O,X,X,X,X,O,X
TSZILOJ,O,X,O,O,O,X,X,X,X,O,X
TSZIJLO,O,X,X,O,O,X,X,O,O,O,X
TSZIJOL,O,X,X,X,O,X,O,O,O,O,X
TSZIOLJ,O,X,X,O,O,X,X,X,X,X,X
TSZIOJL,X,O,X,X,X,X,O,X,X,O,X
TSZLIJO,O,X,X,O,O,X,X,X,X,O,X
TSZLIOJ,O,X,O,O,O,X,X,X,X,O,X
TSZLJIO,O,X,X,O,O,X,X,X,X,O,X
TSZLJOI,O,X,X,O,O,X,X,X,X,O,X
TSZLOIJ,O,X,O,O,O,X,X,X,X,O,X
TSZLOJI,O,X,O,O,X,X,X,X,X,O,X
TSZJILO,O,X,X,O,O,X,X,O,O,O,X
TSZJIOL,O,X,X,X,O,X,O,O,O,O,X
TSZJLIO,O,X,X,O,O,X,X,O,O,O,X
TSZJLOI,O,X,X,O,O,X,X,O,O,O,X
TSZJOIL,O,X,X,X,O,X,X,O,O,O,X
TSZJOLI,O,X,X,X,O,X,X,O,O,O,X
TSZOILJ,O,X,X,O,O,X,X,X,X,X,X
TSZOIJL,X,O,X,X,X,X,O,X,X,O,X
TSZOLIJ,O,X,X,O,O,X,O,X,X,O,X
TSZOLJI,O,X,X,O,X,X,O,X,X,O,X
TSZOJIL,X,O,X,X,X,X,O,X,X,O,X
TSZOJLI,X,O,X,X,X,X,O,X,X,O,X
TSOILJZ,X,X,X,X,O,X,X,X,X,X,X
TSOILZJ,X,X,X,X,O,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,O,O,X,X,X,X,X
TSOIJZL,X,X,X,X,O,O,O,X,X,X,X
TSOIZLJ,X,X,X,X,O,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X,O,X,X,O,X
TSOLIJZ,X,X,X,O,O,X,O,X,X,O,X
TSOLIZJ,X,X,X,O,O,X,O,X,X,O,X
TSOLJIZ,X,X,X,O,O,X,O,X,X,O,X
TSOLJZI,X,X,X,O,O,X,O,X,X,O,X
TSOLZIJ,O,X,X,O,O,X,O,X,X,O,X
TSOLZJI,O,X,X,O,X,X,O,X,X,O,X
TSOJILZ,X,X,X,X,O,O,X,X,X,X,X
TSOJIZL,X,X,X,X,O,O,O,X,X,X,X
TSOJLIZ,X,X,X,X,O,O,O,X,X,X,X
TSOJLZI,X,X,X,X,O,O,O,X,X,X,X
TSOJZIL,X,O,X,X,O,O,O,X,X,X,X
TSOJZLI,X,O,X,X,O,O,O,X,X,X,X
TSOZILJ,O,X,X,O,O,X,X,X,X,X,X
TSOZIJL,X,O,X,X,X,X,O,X,X,O,X
TSOZLIJ,O,X,X,O,O,X,O,X,X,O,X
TSOZLJI,O,X,X,O,X,X,O,X,X,O,X
TSOZJIL,X,O,X,X,X,X,O,X,X,O,X
TSOZJLI,X,O,X,X,X,X,O,X,X,O,X
TZILJSO,X,X,O,X,X,X,X,O,O,O,X
TZILJOS,X,O,O,O,X,X,O,O,X,X,X
TZILSJO,O,X,X,O,X,X,X,O,X,O,X
TZILSOJ,O,O,O,O,X,X,X,X,X,O,X
TZILOJS,X,O,O,O,X,X,O,O,X,X,X
TZILOSJ,X,O,O,O,X,X,X,X,X,X,X
TZIJLSO,O,X,O,X,O,X,O,O,O,O,X
TZIJLOS,X,X,O,O,O,X,O,O,X,X,X
TZIJSLO,O,X,O,X,O,X,X,O,O,O,X
TZIJSOL,O,X,X,X,O,X,O,O,O,O,X
TZIJOLS,X,O,O,X,O,X,O,X,X,X,X
TZIJOSL,O,O,X,X,O,O,O,O,O,O,X
TZISLJO,O,X,X,X,O,X,X,X,X,O,X
TZISLOJ,O,X,O,O,O,X,X,X,X,O,X
TZISJLO,O,X,X,X,O,X,X,O,O,O,X
TZISJOL,O,X,X,X,O,X,O,O,O,O,X
TZISOLJ,O,X,X,X,O,X,X,X,X,X,X
TZISOJL,X,O,X,X,X,X,O,X,X,O,X
TZIOLJS,X,O,O,O,X,X,O,X,X,X,X
TZIOLSJ,X,O,O,O,X,X,O,X,X,X,X
TZIOJLS,X,O,X,X,X,X,O,X,X,X,X
TZIOJSL,X,O,X,X,X,O,O,O,O,O,X
TZIOSLJ,O,X,X,X,O,X,X,X,X,X,X
TZIOSJL,X,O,X,X,X,X,O,X,X,X,X
TZLIJSO,X,X,O,X,X,X,O,O,O,O,X
TZLIJOS,X,O,O,O,X,X,O,O,X,X,X
TZLISJO,O,X,X,O,X,X,O,O,X,O,X
TZLISOJ,O,O,O,O,X,X,O,X,X,O,X
TZLIOJS,X,O,O,O,X,X,O,O,X,X,X
TZLIOSJ,X,O,O,O,X,X,O,X,X,X,X
TZLJISO,X,X,O,X,X,X,O,O,O,O,X
TZLJIOS,X,O,O,O,X,X,O,O,X,X,X
TZLJSIO,X,X,O,O,X,X,O,O,O,X,X
TZLJSOI,X,X,O,O,X,X,X,O,O,X,X
TZLJOIS,X,O,O,O,X,X,O,O,X,X,X
TZLJOSI,X,O,O,O,X,X,O,O,X,X,X
TZLSIJO,O,X,X,O,X,X,O,O,X,X,X
TZLSIOJ,O,O,O,O,X,X,O,X,X,X,X
TZLSJIO,O,X,X,O,X,X,O,O,X,X,X
TZLSJOI,O,X,X,O,X,X,X,O,X,X,X
TZLSOIJ,O,O,O,O,X,X,O,X,X,X,X
TZLSOJI,O,O,O,O,X,X,O,X,X,X,X
TZLOIJS,X,O,O,O,X,X,O,O,X,X,O
TZLOISJ,X,O,O,O,X,X,O,X,X,X,O
TZLOJIS,X,O,O,O,X,X,O,O,X,X,O
TZLOJSI,X,O,O,O,X,X,O,O,X,X,X
TZLOSIJ,X,O,O,O,X,X,O,X,X,X,X
TZLOSJI,X,O,O,O,X,X,O,X,X,X,X
TZJILSO,O,X,O,X,O,X,O,O,O,O,X
TZJILOS,X,X,O,O,O,X,O,O,X,X,X
TZJISLO,O,X,O,X,O,X,X,O,O,O,X
TZJISOL,O,X,X,X,O,X,O,O,O,O,X
TZJIOLS,X,O,O,X,O,X,O,X,X,X,X
TZJIOSL,O,O,X,X,O,O,O,O,O,O,X
TZJLISO,O,X,O,X,O,X,O,O,O,O,X
TZJLIOS,X,X,O,O,O,X,O,O,X,X,X
TZJLSIO,O,X,O,O,O,X,O,O,O,X,X
TZJLSOI,O,X,O,O,O,X,X,O,O,X,X
TZJLOIS,X,X,O,O,O,X,O,O,X,X,X
TZJLOSI,X,X,O,O,O,X,X,O,X,X,X
TZJSILO,O,X,O,X,O,X,X,O,O,O,X
TZJSIOL,O,X,X,X,O,X,O,O,O,O,X
TZJSLIO,O,X,O,X,O,X,X,O,O,O,X
TZJSLOI,O,X,O,X,O,X,X,O,O,O,X
TZJSOIL,O,X,X,X,O,X,X,O,O,O,X
TZJSOLI,O,X,X,X,O,X,X,O,O,O,X
TZJOILS,X,O,O,X,O,X,O,X,X,X,X
TZJOISL,O,O,X,X,O,O,O,O,O,O,X
TZJOLIS,X,O,O,X,O,O,O,X,X,X,X
TZJOLSI,X,O,O,X,O,O,O,X,X,X,X
TZJOSIL,O,O,X,X,O,O,O,O,O,O,X
TZJOSLI,O,O,X,X,O,O,O,O,O,O,X
TZSILJO,O,X,X,O,O,X,X,X,X,O,X
TZSILOJ,O,X,O,O,O,X,X,X,X,O,X
TZSIJLO,O,X,X,O,O,X,X,O,O,O,X
TZSIJOL,O,X,X,X,O,X,O,O,O,O,X
TZSIOLJ,O,X,X,O,O,X,X,X,X,X,X
TZSIOJL,X,O,X,X,X,X,O,X,X,O,X
TZSLIJO,O,X,X,O,O,X,X,X,X,O,X
TZSLIOJ,O,X,O,O,O,X,X,X,X,O,X
TZSLJIO,O,X,X,O,O,X,X,X,X,O,X
TZSLJOI,O,X,X,O,O,X,X,X,X,O,X
TZSLOIJ,O,X,O,O,O,X,X,X,X,O,X
TZSLOJI,O,X,O,O,X,X,X,X,X,O,X
TZSJILO,O,X,X,O,O,X,X,O,O,O,X
TZSJIOL,O,X,X,X,O,X,O,O,O,O,X
TZSJLIO,O,X,X,O,O,X,X,O,O,O,X
TZSJLOI,O,X,X,O,O,X,X,O,O,O,X
TZSJOIL,O,X,X,X,O,X,X,O,O,O,X
TZSJOLI,O,X,X,X,O,X,X,O,O,O,X
TZSOILJ,O,X,X,O,O,X,X,X,X,X,X
TZSOIJL,X,O,X,X,X,X,O,X,X,O,X
TZSOLIJ,O,X,X,O,O,X,O,X,X,O,X
TZSOLJI,O,X,X,O,X,X,O,X,X,O,X
TZSOJIL,X,O,X,X,X,X,O,X,X,O,X
TZSOJLI,X,O,X,X,X,X,O,X,X,O,X
TZOILJS,X,O,O,O,X,X,O,X,X,X,X
TZOILSJ,X,O,O,O,X,X,O,X,X,X,X
TZOIJLS,X,O,X,X,X,X,O,X,X,X,X
TZOIJSL,X,O,X,X,X,O,O,O,O,O,X
TZOISLJ,O,X,X,X,O,X,X,X,X,X,X
TZOISJL,X,O,X,X,X,X,O,X,X,X,X
TZOLIJS,X,O,O,O,X,X,O,X,X,X,O
TZOLISJ,X,O,O,O,X,X,O,X,X,X,O
TZOLJIS,X,O,O,O,X,X,O,X,X,X,O
TZOLJSI,X,O,O,O,X,X,O,X,X,X,X
TZOLSIJ,X,O,O,O,X,X,O,X,X,X,X
TZOLSJI,X,O,O,O,X,X,O,X,X,X,X
TZOJILS,X,O,X,X,X,X,O,X,X,X,X
TZOJISL,X,O,X,X,X,O,O,O,O,O,X
TZOJLIS,X,O,X,X,X,O,O,X,X,X,O
TZOJLSI,X,O,X,X,X,O,O,X,X,X,X
TZOJSIL,X,O,X,X,X,O,O,O,O,O,X
TZOJSLI,X,O,X,X,X,O,O,O,O,O,X
TZOSILJ,O,X,X,X,O,X,X,X,X,X,X
TZOSIJL,X,O,X,X,X,X,O,X,X,O,X
TZOSLIJ,O,X,X,X,O,X,O,X,X,O,X
TZOSLJI,O,X,X,X,X,X,O,X,X,O,X
TZOSJIL,X,O,X,X,X,X,O,X,X,O,X
TZOSJLI,X,O,X,X,X,X,O,X,X,O,X
TOILJSZ,X,X,X,X,X,O,O,X,X,X,X
TOILJZS,X,O,X,X,X,X,O,X,X,X,X
TOILSJZ,X,X,X,X,O,X,O,X,X,X,X
TOILSZJ,X,X,X,X,O,X,O,X,X,X,X
TOILZJS,X,O,X,X,X,X,O,X,X,X,X
TOILZSJ,X,O,X,X,X,X,O,X,X,X,X
TOIJLSZ,X,X,X,X,O,O,O,X,X,X,X
TOIJLZS,X,O,X,X,X,O,O,X,X,X,X
TOIJSLZ,X,X,X,X,O,O,X,X,X,X,X
TOIJSZL,X,X,X,X,O,O,O,X,X,X,X
TOIJZLS,X,O,X,X,O,X,O,X,O,X,X
TOIJZSL,X,O,X,X,O,O,O,X,O,X,X
TOISLJZ,X,X,X,X,O,X,X,X,X,X,X
TOISLZJ,X,X,X,X,O,X,X,X,X,X,X
TOISJLZ,X,X,X,X,O,O,X,X,X,X,X
TOISJZL,X,X,X,X,O,O,O,X,X,X,X
TOISZLJ,X,X,X,X,O,X,X,X,X,X,X
TOISZJL,X,X,X,X,X,X,O,X,X,X,X
TOIZLJS,X,O,X,X,X,X,O,X,O,X,X
TOIZLSJ,X,O,X,X,X,X,O,X,X,X,X
TOIZJLS,X,O,X,X,X,X,O,X,O,X,X
TOIZJSL,X,O,X,X,X,O,O,X,O,O,X
TOIZSLJ,X,X,X,X,O,X,X,X,X,X,X
TOIZSJL,X,O,X,X,X,X,O,X,O,X,X
TOLIJSZ,X,X,X,X,X,O,O,X,X,X,O
TOLIJZS,X,O,X,X,X,O,O,X,X,X,O
TOLISJZ,X,X,X,O,O,O,O,X,X,X,O
TOLISZJ,X,X,X,O,O,X,O,X,X,X,O
TOLIZJS,X,O,O,O,X,O,O,X,X,X,O
TOLIZSJ,X,O,O,O,X,X,O,X,X,X,O
TOLJISZ,X,X,X,X,X,O,O,X,X,X,O
TOLJIZS,X,O,X,X,X,O,O,X,X,X,O
TOLJSIZ,X,X,X,O,X,O,O,X,X,X,X
TOLJSZI,X,O,X,O,X,O,O,X,X,X,X
TOLJZIS,X,O,O,O,X,O,O,X,O,X,O
TOLJZSI,X,O,O,O,X,O,O,X,O,X,X
TOLSIJZ,X,X,X,O,O,O,O,X,X,X,X
TOLSIZJ,X,X,X,O,O,X,O,X,X,X,X
TOLSJIZ,X,X,X,O,O,O,O,X,X,X,X
TOLSJZI,X,O,X,O,X,O,O,X,X,X,X
TOLSZIJ,X,O,O,O,O,X,O,X,X,X,X
TOLSZJI,X,O,O,O,X,X,O,X,X,X,X
TOLZIJS,X,O,O,O,X,O,O,X,O,X,O
TOLZISJ,X,O,O,O,X,X,O,X,X,X,O
TOLZJIS,X,O,O,O,X,O,O,X,O,X,O
TOLZJSI,X,O,O,O,X,O,O,X,O,X,X
TOLZSIJ,X,O,O,O,X,X,O,X,X,X,X
TOLZSJI,X,O,O,O,X,X,O,X,X,X,X
TOJILSZ,X,X,X,X,O,O,O,X,X,X,X
TOJILZS,X,O,X,X,X,O,O,X,X,X,X
TOJISLZ,X,X,X,X,O,O,X,X,X,X,X
TOJISZL,X,X,X,X,O,O,O,X,X,X,X
TOJIZLS,X,O,X,X,O,X,O,X,O,X,X
TOJIZSL,X,O,X,X,O,O,O,X,O,X,X
TOJLISZ,X,X,X,X,O,O,O,X,X,X,O
TOJLIZS,X,O,X,X,X,O,O,X,X,X,O
TOJLSIZ,X,X,X,X,O,O,O,X,X,X,X
TOJLSZI,X,O,X,X,O,O,O,X,X,X,X
TOJLZIS,X,O,X,X,X,O,O,X,O,X,O
TOJLZSI,X,O,X,X,X,O,O,X,O,X,X
TOJSILZ,X,X,X,X,O,O,X,X,X,X,X
TOJSIZL,X,X,X,X,O,O,O,X,X,X,X
TOJSLIZ,X,X,X,X,O,O,O,X,X,X,X
TOJSLZI,X,X,X,X,O,O,O,X,X,X,X
TOJSZIL,X,O,X,X,O,O,O,X,O,X,X
TOJSZLI,X,O,X,X,O,O,O,X,O,X,X
TOJZILS,X,O,X,X,O,X,O,X,O,X,X
TOJZISL,X,O,X,X,O,O,O,O,O,X,X
TOJZLIS,X,O,X,X,O,O,O,X,O,X,O
TOJZLSI,X,O,X,X,O,O,O,X,O,X,X
TOJZSIL,X,O,X,X,O,O,O,O,O,X,X
TOJZSLI,X,O,X,X,O,O,O,O,O,X,X
TOSILJZ,X,X,X,X,O,X,X,X,X,X,X
TOSILZJ,X,X,X,X,O,X,X,X,X,X,X
TOSIJLZ,X,X,X,X,O,O,X,X,X,X,X
TOSIJZL,X,X,X,X,O,O,O,X,X,X,X
TOSIZLJ,X,X,X,X,O,X,X,X,X,X,X
TOSIZJL,X,X,X,X,X,X,O,X,X,O,X
TOSLIJZ,X,X,X,X,O,X,O,X,X,O,X
TOSLIZJ,X,X,X,X,O,X,O,X,X,O,X
TOSLJIZ,X,X,X,X,O,X,O,X,X,O,X
TOSLJZI,X,X,X,X,O,X,O,X,X,O,X
TOSLZIJ,O,X,X,X,O,X,O,X,X,O,X
TOSLZJI,O,X,X,X,X,X,O,X,X,O,X
TOSJILZ,X,X,X,X,O,O,X,X,X,X,X
TOSJIZL,X,X,X,X,O,O,O,X,X,X,X
TOSJLIZ,X,X,X,X,O,O,O,X,X,X,X
TOSJLZI,X,X,X,X,O,O,O,X,X,X,X
TOSJZIL,X,O,X,X,O,O,O,X,O,X,X
TOSJZLI,X,O,X,X,O,O,O,X,O,X,X
TOSZILJ,O,X,X,X,O,X,X,X,X,X,X
TOSZIJL,X,O,X,X,X,X,O,X,O,O,X
TOSZLIJ,O,X,X,X,O,X,O,X,X,O,X
TOSZLJI,O,X,X,X,X,X,O,X,X,O,X
TOSZJIL,X,O,X,X,X,X,O,X,O,O,X
TOSZJLI,X,O,X,X,X,X,O,X,O,O,X
TOZILJS,X,O,O,O,X,X,O,X,O,X,X
TOZILSJ,X,O,O,O,X,X,O,X,X,X,X
TOZIJLS,X,O,X,X,X,X,O,X,O,X,X
TOZIJSL,X,O,X,X,X,O,O,O,O,O,X
TOZISLJ,O,X,X,X,O,X,X,X,X,X,X
TOZISJL,X,O,X,X,X,X,O,X,O,X,X
TOZLIJS,X,O,O,O,X,X,O,X,O,X,O
TOZLISJ,X,O,O,O,X,X,O,X,X,X,O
TOZLJIS,X,O,O,O,X,X,O,X,O,X,O
TOZLJSI,X,O,O,O,X,X,O,X,O,X,X
TOZLSIJ,X,O,O,O,X,X,O,X,X,X,X
TOZLSJI,X,O,O,O,X,X,O,X,X,X,X
TOZJILS,X,O,X,X,X,X,O,X,O,X,X
TOZJISL,X,O,X,X,X,O,O,O,O,O,X
TOZJLIS,X,O,X,X,X,O,O,X,O,X,O
TOZJLSI,X,O,X,X,X,O,O,X,O,X,X
TOZJSIL,X,O,X,X,X,O,O,O,O,O,X
TOZJSLI,X,O,X,X,X,O,O,O,O,O,X
TOZSILJ,O,X,X,X,O,X,X,X,X,X,X
TOZSIJL,X,O,X,X,X,X,O,X,O,O,X
TOZSLIJ,O,X,X,X,O,X,O,X,X,O,X
TOZSLJI,O,X,X,X,X,X,O,X,X,O,X
TOZSJIL,X,O,X,X,X,X,O,X,O,O,X
TOZSJLI,X,O,X,X,X,X,O,X,O,O,X
ITLJSZO,X,X,X,X,O,O,X,X,X,X,X
ITLJSOZ,X,X,X,X,O,O,X,X,X,X,X
ITLJZSO,X,X,O,X,O,O,X,O,X,X,X
ITLJZOS,X,X,O,X,O,O,O,O,X,X,X
ITLJOSZ,X,X,X,X,O,O,X,X,X,X,X
ITLJOZS,X,X,O,X,X,O,X,X,X,X,X
ITLSJZO,X,X,X,O,O,O,X,X,X,X,X
ITLSJOZ,X,X,X,O,O,O,X,X,X,X,X
ITLSZJO,X,X,X,O,O,O,X,X,X,O,X
ITLSZOJ,X,X,X,O,O,O,X,X,X,O,X
ITLSOJZ,X,X,X,O,O,O,X,X,X,X,X
ITLSOZJ,X,X,X,O,O,X,X,X,X,O,X
ITLZJSO,X,X,O,X,X,O,X,O,X,O,X
ITLZJOS,X,O,O,O,X,O,O,O,X,X,X
ITLZSJO,X,X,X,O,X,O,X,O,X,O,X
ITLZSOJ,X,O,O,O,X,O,X,X,X,O,X
ITLZOJS,X,O,O,O,X,O,O,O,X,X,X
ITLZOSJ,X,O,O,O,X,O,X,X,X,X,X
ITLOJSZ,X,X,X,X,X,O,X,X,X,X,X
ITLOJZS,X,O,O,X,X,O,O,X,X,X,X
ITLOSJZ,X,X,X,O,O,O,X,X,X,X,X
ITLOSZJ,X,X,X,O,O,X,X,X,X,X,X
ITLOZJS,X,O,O,O,X,O,O,X,X,X,X
ITLOZSJ,X,O,O,O,X,O,X,X,X,X,X
ITJLSZO,X,X,X,X,O,O,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,O,X,X,X,X,X
ITJLZSO,X,X,O,X,O,O,X,O,X,X,X
ITJLZOS,X,X,O,X,O,O,O,O,X,X,X
ITJLOSZ,X,X,X,X,O,O,X,X,X,X,X
ITJLOZS,X,X,O,X,X,O,X,X,X,X,X
ITJSLZO,O,X,X,X,O,X,X,X,X,X,X
ITJSLOZ,X,X,X,X,O,X,X,X,X,X,X
ITJSZLO,O,X,X,X,O,X,X,X,X,X,X
ITJSZOL,O,X,X,X,O,X,O,X,X,X,X
ITJSOLZ,X,X,X,X,O,O,X,X,X,X,X
ITJSOZL,X,X,X,X,O,O,X,X,X,X,X
ITJZLSO,O,X,O,X,O,X,X,O,O,X,X
ITJZLOS,X,X,O,X,O,X,O,O,X,X,X
ITJZSLO,O,X,O,X,O,X,X,O,O,X,X
ITJZSOL,O,X,X,X,O,X,O,O,O,X,X
ITJZOLS,X,X,O,X,O,X,O,X,X,X,X
ITJZOSL,O,X,X,X,O,O,O,O,O,X,X
ITJOLSZ,X,X,X,X,O,O,X,X,X,X,X
ITJOLZS,X,X,X,X,X,O,O,X,X,X,X
ITJOSLZ,X,X,X,X,O,O,X,X,X,X,X
ITJOSZL,X,X,X,X,O,O,O,X,X,X,X
ITJOZLS,X,X,X,X,O,X,O,X,X,X,X
ITJOZSL,X,X,X,X,O,O,O,X,X,X,X
ITSLJZO,O,X,X,X,O,X,X,X,X,X,X
ITSLJOZ,X,X,X,X,O,X,X,X,X,X,X
