sequence,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhF/mBUiBGjBzkBtq?BywB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Je0/IvhFThBGjBRqB3rB6q?BNsB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFTgBNnBGjBxqBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNmBGjBClBXnB0q?BzrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlBXr?B0rB
TILJSZO,O,X,X,X,X,O,X,O,X,O
TILJSOZ,O,X,O,X,X,O,X,X,X,O
TILJZSO,O,X,X,X,X,O,X,O,O,X
TILJZOS,X,O,X,X,X,O,X,O,O,X
TILJOSZ,O,O,O,X,X,O,O,X,X,X
TILJOZS,O,O,O,X,O,O,X,X,X,X
TILSJZO,O,X,X,X,X,O,X,O,X,O
TILSJOZ,O,X,O,X,X,O,X,X,X,O
TILSZJO,O,X,X,X,X,O,X,O,X,O
TILSZOJ,O,X,X,X,X,O,X,O,X,X
TILSOJZ,O,X,O,X,X,O,X,X,X,O
TILSOZJ,O,X,O,X,X,O,X,X,X,X
TILZJSO,O,X,X,X,X,O,X,O,O,X
TILZJOS,X,O,X,X,X,O,X,O,O,X
TILZSJO,O,X,X,X,X,O,X,O,O,X
TILZSOJ,O,X,X,X,X,O,X,O,X,X
TILZOJS,X,O,X,X,X,O,X,O,O,X
TILZOSJ,X,O,X,X,X,O,X,O,X,X
TILOJSZ,O,O,O,X,X,O,O,X,X,X
TILOJZS,O,O,O,X,O,O,X,X,X,X
TILOSJZ,O,O,O,X,X,O,O,X,X,X
TILOSZJ,O,X,O,X,X,O,O,X,X,X
TILOZJS,O,O,O,X,O,O,X,X,X,X
TILOZSJ,O,O,X,X,O,O,X,X,X,X
TIJLSZO,O,X,X,X,X,O,X,O,X,O
TIJLSOZ,O,X,O,X,X,O,X,X,X,O
TIJLZSO,O,X,X,X,X,O,X,O,O,X
TIJLZOS,X,O,X,X,X,O,X,O,O,X
TIJLOSZ,O,O,O,X,X,O,O,X,X,X
TIJLOZS,O,O,O,X,O,O,X,X,X,X
TIJSLZO,O,X,X,O,X,O,X,O,X,O
TIJSLOZ,O,X,O,O,X,O,O,X,X,O
TIJSZLO,O,X,X,O,X,X,X,O,X,O
TIJSZOL,O,X,X,O,X,X,X,X,X,X
TIJSOLZ,O,X,O,O,X,O,O,X,X,O
TIJSOZL,O,X,O,O,O,X,O,X,X,X
TIJZLSO,O,X,X,X,X,O,X,O,O,X
TIJZLOS,X,O,X,X,O,O,X,O,O,X
TIJZSLO,O,X,X,O,X,X,X,O,O,X
TIJZSOL,O,X,X,O,X,X,X,X,X,X
TIJZOLS,X,O,X,X,O,O,X,X,O,X
TIJZOSL,X,O,X,X,O,X,O,X,X,X
TIJOLSZ,O,O,O,X,X,O,O,X,X,X
TIJOLZS,O,O,O,X,O,O,X,X,X,X
TIJOSLZ,O,O,O,X,X,O,O,X,X,X
TIJOSZL,O,X,O,X,O,X,O,X,X,X
TIJOZLS,O,O,O,X,O,O,X,X,X,X
TIJOZSL,O,O,X,X,O,X,O,X,X,X
TISLJZO,O,X,X,O,X,O,X,O,X,O
TISLJOZ,O,X,O,O,X,O,O,X,X,O
TISLZJO,O,X,X,O,X,O,X,O,X,O
TISLZOJ,O,X,X,O,X,O,X,O,X,X
TISLOJZ,O,X,O,O,X,O,O,X,X,O
TISLOZJ,O,X,O,O,X,O,O,X,X,X
TISJLZO,O,X,X,O,X,O,X,O,X,O
