sequence,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhFzgBUiB5oB3kBWs?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeOEJvhF8kBzgBqmB/nB5o?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhF3gBumB5oB1pB8q?BTsB,v115@EhB8IeA8IeA8AeC8AeE8Kel/IvhF3gBzhB5oB2pB8q?BSxB,v115@EhB8IeA8IeA8AeC8AeE8Kem/IvhFChB/nB5oBTkB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Ke0/IvhFlgB3hB5oB2pBTn?BCrB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFzfBWmB/nB5oB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFflBlgBumB5oB8q?BTsB
TIOZJLS,X,X,O,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,O,X
TLIJZSO,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,O,X
TLIJOZS,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,O,X
TLISOZJ,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X
TLIZSJO,X,X,O,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,O,X
TLIOJZS,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,O,X
TLJIZSO,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,O,X
TLJIOZS,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X
TLJSZIO,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,O,X
TLJSOZI,X,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X
TLJZSIO,X,X,O,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,O,X
TLJOIZS,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,O,X
TLJOSZI,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,O,X
TLSIZJO,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,X
TLSIOZJ,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,X
TLSJZIO,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X
TLSJOZI,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,X
TLSOIZJ,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X
TLSOJZI,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X
TLZISJO,X,X,O,X,X,X,X,X
TLZISOJ,X,X,O,X,X,X,X,X
TLZIOJS,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,O,X,X,X,X,X
TLZJISO,X,X,O,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X
TLZJSIO,X,X,O,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,X,X,X,X
TLZSIOJ,X,X,O,X,X,X,X,X
TLZSJIO,X,X,O,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,X,X
TLZSOJI,X,X,O,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X,X,X
TLZOISJ,X,X,O,X,X,X,X,X
TLZOJIS,X,X,O,X,X,X,X,X
TLZOJSI,X,X,O,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,X,X
TLZOSJI,X,X,O,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,O,X
TLOIJZS,X,X,O,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,O,X
TLOISZJ,X,X,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,O,X
TLOJIZS,X,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,O,X
TLOJSZI,X,X,X,X,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,O,X
TLOSIZJ,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,O,X
TLOSJZI,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,X
TLOZISJ,X,X,O,X,X,X,X,X
TLOZJIS,X,X,O,X,X,X,X,X
TLOZJSI,X,X,O,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,X,X
TLOZSJI,X,X,O,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,O,X
TJILZSO,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,O,X
TJILOZS,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,X,X
TJISLOZ,O,X,X,X,O,X,O,X
TJISZLO,O,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X
TJIZLSO,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,O,X
TJLIZSO,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,O,X
TJLIOZS,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,O,X
TJLSZIO,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,O,X
TJLSOZI,X,X,X,X,X,X,X,X
TJLZISO,X,X,O,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X
TJLZSIO,X,X,O,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,O,X
TJLOIZS,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,O,X
TJLOSZI,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,O,X,X,X
TJSILOZ,O,X,X,X,O,X,O,X
TJSIZLO,O,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,O,X,X,X
TJSLIOZ,O,X,X,X,O,X,O,X
TJSLZIO,O,X,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X,O,X
TJSLOZI,O,X,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X
TJZISLO,O,X,O,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,X
TJZLISO,X,X,O,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X
TJZLSIO,X,X,O,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X
TJZSILO,O,X,O,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,X,X
TJZSLIO,O,X,O,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X,X,X
TJZOISL,O,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X
TSILJZO,O,X,X,X,O,X,X,X
TSILJOZ,O,X,X,X,O,X,O,X
TSILZJO,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X
TSILOJZ,O,X,X,X,O,X,O,X
TSILOZJ,X,O,X,X,X,X,X,X
TSIJLZO,O,X,X,X,O,X,X,X
TSIJLOZ,O,X,X,X,O,X,O,X
TSIJZLO,O,X,X,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X,X
TSIZLJO,X,O,X,X,X,X,X,X
TSIZLOJ,X,O,X,X,X,X,X,X
TSIZJLO,X,O,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,O,X,X,X
TSIOLZJ,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,O,X,X,X
TSIOJZL,O,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,X
TSLIJZO,O,X,X,X,O,X,X,X
TSLIJOZ,O,X,X,X,O,X,O,X
TSLIZJO,X,O,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,O,X,O,X
TSLIOZJ,X,O,X,X,X,X,X,X
TSLJIZO,O,X,X,X,O,X,X,X
TSLJIOZ,O,X,X,X,O,X,O,X
TSLJZIO,O,X,X,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X,O,X
TSLJOZI,O,X,X,X,X,X,X,X
TSLZIJO,X,O,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,X,X,X,X
TSLZJIO,X,O,X,X,X,X,X,X
TSLZJOI,X,O,X,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,X,X
TSLZOJI,X,O,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,O,X,O,X
TSLOIZJ,X,O,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,O,X,O,X
TSLOJZI,O,X,X,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X
TSLOZJI,X,O,X,X,X,X,X,X
TSJILZO,O,X,X,X,O,X,X,X
TSJILOZ,O,X,X,X,O,X,O,X
TSJIZLO,O,X,X,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,O,X,X,X
TSJLIOZ,O,X,X,X,O,X,O,X
TSJLZIO,O,X,X,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X,O,X
TSJLOZI,O,X,X,X,X,X,X,X
TSJZILO,O,X,X,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X,X,X
TSJOILZ,O,X,X,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,X,X,X,X,X
TSJOLZI,O,X,X,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X,X,X
TSZILJO,X,O,X,X,X,X,X,X
TSZILOJ,X,O,X,X,X,X,X,X
TSZIJLO,X,O,X,X,X,X,X,X
