sequence,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFxcByiB?WnBllBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhF6hBZiB?zdBllB+sBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?1mB6nBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFRiB3iB?6qBOrBlmBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?0mB6sBzqBFsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdB+mB?llB6sBZnBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdBWnB?llBxrBKsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhF3cBiiB?unBxlBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je2BJvhFRdB3iB?llBcrBTsB6qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFyiBWnB?llBxrBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFyiBWnB?llBxrB0qBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFmdBCiB?llBxrBTsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhF8hBunB?llByrBzqB3sB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhFylBRiB?UiBfsBusBzqB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFmdBCiB?llBxrBTsB0qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFzhBllB?xrBusB0qBisB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeT8IvhF1lB3iB?SrBZnBusB0qB
TILJSZO,X,X,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X
TILJSOZ,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TILJOZS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TILSJOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TILSZJO,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TILSZOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TILSOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TILZJSO,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TILZSOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TILZOJS,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TILZOSJ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X
TILOJZS,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
TILOSJZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O
TILOZJS,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJLSZO,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIJLZSO,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TIJLOZS,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIJSZLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIJSZOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TIJSOZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJZLSO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIJZLOS,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIJZSLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIJZSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TIJZOSL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIJOLSZ,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X
TIJOLZS,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TIJOSLZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,O,X
TIJOSZL,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIJOZLS,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TIJOZSL,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TISLJZO,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TISLJOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TISLZJO,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TISLZOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TISLOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TISLOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TISJLZO,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TISJZLO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISJZOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TISJOZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TISZLJO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TISZOJL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TISOLJZ,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISOZLJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TISOZJL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZLJSO,X,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TIZLJOS,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZLSJO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZJLSO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIZJLOS,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZJSLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZJSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TIZJOSL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZSLJO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
