sequence,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhF8kBzgBCiB5oBXn?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFzgBumBcnB5oB3k?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhF3gBGiB5oB1pB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Kel/IvhF3gBqmBTiB5oB2p?B8qB,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhFlgB3hBcnB5oBzk?BCrB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFWmBTiB5oB3kB0m?BlqB,v115@FhA8IeA8HeB8AeC8AeE8KeKEJvhFflBlgBGiB5oB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Ke2EJvhFChBTiB5oB0mB3k?BlqB
TILJSZO,X,X,O,O,O,O,O,O
TILJSOZ,X,X,O,O,X,O,O,X
TILJZSO,X,X,O,O,O,X,O,O
TILJZOS,X,X,O,O,O,X,X,O
TILJOSZ,X,X,O,O,O,O,O,X
TILJOZS,X,X,O,O,O,X,O,O
TILSJZO,O,O,O,X,O,O,O,O
TILSJOZ,O,O,O,X,X,O,O,X
TILSZJO,O,O,O,X,O,O,O,O
TILSZOJ,O,O,O,X,O,O,O,O
TILSOJZ,O,O,O,X,O,O,O,X
TILSOZJ,O,O,O,X,O,O,O,X
TILZJSO,O,O,O,O,O,X,O,O
TILZJOS,O,O,O,O,O,X,X,O
TILZSJO,O,O,O,O,O,X,O,O
TILZSOJ,O,O,O,O,O,X,O,O
TILZOJS,O,O,O,O,O,X,O,O
TILZOSJ,O,O,O,O,O,X,O,O
TILOJSZ,X,X,O,O,O,O,O,X
TILOJZS,X,X,O,O,O,X,O,O
TILOSJZ,O,O,O,X,O,O,O,X
TILOSZJ,O,O,O,X,O,O,O,X
TILOZJS,O,O,O,O,O,X,O,O
TILOZSJ,O,O,O,O,O,X,O,O
TIJLSZO,X,X,O,O,O,O,O,O
TIJLSOZ,X,X,O,O,X,O,O,X
TIJLZSO,X,X,O,O,O,X,O,O
TIJLZOS,X,X,O,O,O,X,X,O
TIJLOSZ,X,X,O,O,X,O,O,X
TIJLOZS,X,X,O,O,O,X,O,O
TIJSLZO,O,O,O,O,X,O,X,O
TIJSLOZ,O,O,O,O,X,O,X,X
TIJSZLO,O,O,O,O,X,O,X,O
TIJSZOL,O,O,O,O,X,O,X,O
TIJSOLZ,O,O,O,O,X,O,X,X
TIJSOZL,O,O,O,O,X,O,X,X
TIJZLSO,O,O,O,O,O,X,O,O
TIJZLOS,O,O,O,O,O,X,X,O
TIJZSLO,O,O,O,O,O,O,X,O
TIJZSOL,O,O,O,O,O,O,X,O
TIJZOLS,O,O,O,O,O,X,X,O
TIJZOSL,O,O,O,O,O,O,X,O
TIJOLSZ,X,X,O,O,O,O,O,X
TIJOLZS,X,X,O,O,O,X,O,O
TIJOSLZ,O,O,O,O,O,O,X,X
TIJOSZL,O,O,O,O,O,O,X,X
TIJOZLS,O,O,O,O,O,X,O,O
TIJOZSL,O,O,O,O,O,O,X,O
TISLJZO,O,O,O,X,X,O,X,O
TISLJOZ,O,O,O,X,X,O,X,X
TISLZJO,O,O,O,X,X,O,X,O
TISLZOJ,O,O,O,X,X,O,X,O
TISLOJZ,O,O,O,X,X,O,X,X
TISLOZJ,O,O,O,X,X,O,X,X
TISJLZO,O,O,O,X,X,O,X,O
TISJLOZ,O,O,O,X,X,O,X,X
TISJZLO,O,O,O,X,X,O,X,O
TISJZOL,O,O,O,X,X,O,X,O
TISJOLZ,O,O,O,X,X,O,X,X
TISJOZL,O,O,O,X,X,O,X,X
TISZLJO,O,O,O,X,X,O,X,O
TISZLOJ,O,O,O,X,X,O,X,O
TISZJLO,O,O,O,X,X,O,X,O
TISZJOL,O,O,O,X,X,O,X,O
TISZOLJ,O,O,O,X,X,O,X,O
TISZOJL,O,O,O,X,X,O,X,O
TISOLJZ,O,O,O,X,X,O,X,X
TISOLZJ,O,O,O,X,X,O,X,X
TISOJLZ,O,O,O,X,X,O,X,X
TISOJZL,O,O,O,X,X,O,X,X
TISOZLJ,O,O,O,X,X,O,X,X
TISOZJL,O,O,O,X,X,O,X,X
TIZLJSO,O,O,O,O,O,X,O,O
TIZLJOS,O,O,O,O,O,X,X,O
TIZLSJO,O,O,O,O,O,X,O,O
TIZLSOJ,O,O,O,O,O,X,O,O
TIZLOJS,O,O,O,O,O,X,O,O
TIZLOSJ,O,O,O,O,O,X,O,O
TIZJLSO,O,O,O,O,O,X,O,O
TIZJLOS,O,O,O,O,O,X,X,O
TIZJSLO,O,O,O,O,O,O,X,O
TIZJSOL,O,O,O,O,O,O,X,O
TIZJOLS,O,O,O,O,O,X,X,O
TIZJOSL,O,O,O,O,O,O,X,O
TIZSLJO,O,O,O,O,O,O,X,O
TIZSLOJ,O,O,O,O,O,O,X,O
TIZSJLO,O,O,O,O,O,O,X,O
TIZSJOL,O,O,O,O,O,O,X,O
TIZSOLJ,O,O,O,O,O,O,X,O
TIZSOJL,O,O,O,X,O,O,X,O
TIZOLJS,O,O,O,O,O,X,O,O
TIZOLSJ,O,O,O,O,O,X,O,O
TIZOJLS,O,O,O,O,O,X,O,O
TIZOJSL,O,O,O,O,O,O,X,O
TIZOSLJ,O,O,O,X,O,O,X,O
TIZOSJL,O,O,O,X,O,O,X,O
TIOLJSZ,X,X,O,O,O,O,O,X
TIOLJZS,X,X,O,O,O,X,O,O
TIOLSJZ,O,O,O,X,O,O,O,X
TIOLSZJ,O,O,O,X,O,O,O,X
TIOLZJS,O,O,O,O,O,X,O,O
TIOLZSJ,O,O,O,O,O,X,O,O
TIOJLSZ,X,X,O,O,O,O,O,X
TIOJLZS,X,X,O,O,O,X,O,O
TIOJSLZ,O,O,O,O,O,O,X,X
TIOJSZL,O,O,O,O,O,O,X,X
TIOJZLS,O,O,O,O,O,X,O,O
TIOJZSL,O,O,O,O,O,O,X,O
TIOSLJZ,O,O,O,X,O,O,X,X
TIOSLZJ,O,O,O,X,O,O,X,X
TIOSJLZ,O,O,O,X,O,O,X,X
TIOSJZL,O,O,O,X,O,O,X,X
TIOSZLJ,O,O,O,X,O,O,X,X
TIOSZJL,O,O,O,X,O,O,X,X
TIOZLJS,O,O,O,O,O,X,O,O
TIOZLSJ,O,O,O,O,O,X,O,O
TIOZJLS,O,O,O,O,O,X,O,O
TIOZJSL,O,O,O,O,O,O,X,O
TIOZSLJ,O,O,O,X,O,O,X,O
TIOZSJL,O,O,O,X,O,O,X,O
TLIJSZO,X,X,O,O,O,O,O,O
TLIJSOZ,X,X,O,O,X,O,O,X
TLIJZSO,X,X,O,O,O,X,O,O
TLIJZOS,X,X,O,O,O,X,X,O
TLIJOSZ,X,X,O,O,O,O,O,X
TLIJOZS,X,X,O,O,O,X,O,O
TLISJZO,O,O,O,X,O,O,O,O
TLISJOZ,O,O,O,X,X,O,O,X
TLISZJO,O,O,O,X,O,O,O,O
TLISZOJ,O,O,O,X,O,O,O,O
TLISOJZ,O,O,O,X,O,O,O,X
TLISOZJ,O,O,O,X,O,O,O,X
TLIZJSO,O,O,O,O,O,X,O,O
TLIZJOS,O,O,O,O,O,X,X,O
TLIZSJO,O,O,O,O,O,X,O,O
TLIZSOJ,O,O,O,O,O,X,O,O
TLIZOJS,O,O,O,O,O,X,O,O
TLIZOSJ,O,O,O,O,O,X,O,O
TLIOJSZ,X,X,O,O,O,O,O,X
TLIOJZS,X,X,O,O,O,X,O,O
TLIOSJZ,O,O,O,X,O,O,O,X
TLIOSZJ,O,O,O,X,O,O,O,X
TLIOZJS,O,O,O,O,O,X,O,O
TLIOZSJ,O,O,O,O,O,X,O,O
TLJISZO,X,X,O,O,O,O,O,O
