sequence,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhF6hBZiBGeBz?iBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBqiBTeB+?mBllB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFZiBqiBTeB+?mBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFSiBTeBllBR?nBmmBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jem7IvhFRdBcjB1lBC?iBXnBzqB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeT8IvhFxdBOnBXjBl?lBcrB6qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jel7IvhFqiBTeBmhB3?hBRrB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeqCJvhFTeBRhBllB3?mBmmB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBSjB+mBz?iBllB0qB
TILJSZO,X,O,O,O,X,X,X,X,O
TILJSOZ,X,O,O,O,X,X,O,X,O
TILJZSO,O,O,O,X,X,X,O,X,O
TILJZOS,O,O,O,O,X,X,O,X,X
TILJOSZ,X,O,O,O,X,X,O,O,O
TILJOZS,X,O,O,O,X,X,O,X,X
TILSJZO,X,O,X,O,X,X,X,X,O
TILSJOZ,X,O,X,O,X,X,O,O,O
TILSZJO,X,X,X,O,X,X,O,X,X
TILSZOJ,X,X,X,O,X,X,O,O,X
TILSOJZ,X,O,X,O,X,X,O,O,X
TILSOZJ,X,X,X,O,X,X,O,O,X
TILZJSO,O,X,O,X,X,X,O,X,X
TILZJOS,O,X,O,O,X,X,O,X,X
TILZSJO,O,X,X,O,X,X,O,X,X
TILZSOJ,O,X,X,O,X,X,O,X,X
TILZOJS,O,X,O,O,X,X,O,X,X
TILZOSJ,O,X,X,O,X,X,O,O,X
TILOJSZ,X,O,O,O,X,X,O,O,X
TILOJZS,O,O,O,O,X,X,O,X,X
TILOSJZ,X,O,X,O,X,X,O,O,X
TILOSZJ,X,X,X,O,X,X,O,O,X
TILOZJS,O,X,O,O,X,X,O,X,X
TILOZSJ,O,X,X,O,X,X,O,O,X
TIJLSZO,X,O,O,O,X,X,X,X,O
TIJLSOZ,X,O,O,O,X,X,O,X,O
TIJLZSO,O,O,O,X,X,X,O,X,O
TIJLZOS,O,O,O,O,X,X,O,X,X
TIJLOSZ,X,O,O,O,X,X,O,O,O
TIJLOZS,X,O,O,O,X,X,O,X,X
TIJSLZO,O,O,O,O,O,X,X,X,O
TIJSLOZ,O,O,O,O,X,X,O,X,O
TIJSZLO,O,O,O,O,O,X,X,X,O
TIJSZOL,O,X,X,O,O,X,X,X,X
TIJSOLZ,O,O,X,O,X,X,O,X,O
TIJSOZL,O,X,X,O,X,X,X,X,X
TIJZLSO,O,O,O,X,O,X,O,X,O
TIJZLOS,O,O,O,O,X,X,O,X,X
TIJZSLO,O,O,O,X,O,X,O,X,O
TIJZSOL,X,X,X,X,O,X,O,X,X
TIJZOLS,O,X,O,O,X,X,O,X,X
TIJZOSL,O,X,X,X,O,X,O,X,X
TIJOLSZ,X,O,O,O,X,X,O,O,O
TIJOLZS,O,O,O,O,X,X,O,X,X
TIJOSLZ,X,O,X,O,X,X,O,X,O
TIJOSZL,O,X,X,O,X,X,X,X,X
TIJOZLS,O,X,O,O,X,X,O,X,X
TIJOZSL,O,X,X,X,X,X,O,X,X
TISLJZO,O,O,X,O,O,X,X,X,O
TISLJOZ,O,O,X,O,X,X,O,O,O
TISLZJO,O,X,X,O,O,X,O,X,X
TISLZOJ,O,X,X,O,O,X,O,O,X
TISLOJZ,O,O,X,O,X,X,O,O,X
TISLOZJ,O,X,X,O,X,X,O,O,X
TISJLZO,O,O,X,O,O,X,X,X,O
TISJLOZ,O,O,X,O,X,X,O,O,O
TISJZLO,O,O,X,O,O,X,X,X,O
TISJZOL,O,X,X,O,O,X,X,X,X
TISJOLZ,O,O,X,O,X,X,O,O,O
TISJOZL,O,X,X,O,X,X,X,X,X
TISZLJO,O,X,X,O,O,X,O,X,X
TISZLOJ,O,X,X,O,O,X,O,O,X
TISZJLO,O,X,X,O,O,X,O,X,X
TISZJOL,O,X,X,O,O,X,O,X,X
TISZOLJ,O,X,X,O,X,X,O,O,X
TISZOJL,O,X,X,O,O,X,O,X,X
TISOLJZ,O,O,X,O,X,X,O,O,X
TISOLZJ,O,X,X,O,X,X,O,O,X
TISOJLZ,O,O,X,O,X,X,O,O,X
TISOJZL,O,X,X,O,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,O,O,X
TISOZJL,O,X,X,O,X,X,O,X,X
TIZLJSO,O,X,O,X,O,X,O,X,X
TIZLJOS,O,X,O,O,X,X,O,X,X
TIZLSJO,O,X,X,O,X,X,O,X,X
TIZLSOJ,O,X,X,O,X,X,O,X,X
TIZLOJS,O,X,O,O,X,X,O,X,X
TIZLOSJ,O,X,X,O,X,X,O,O,X
TIZJLSO,O,X,O,X,O,X,O,X,X
TIZJLOS,O,X,O,O,X,X,O,X,X
TIZJSLO,O,X,O,X,O,X,O,X,X
TIZJSOL,X,X,X,X,O,X,O,X,X
TIZJOLS,O,X,O,O,X,X,O,X,X
TIZJOSL,O,X,X,X,O,X,O,X,X
TIZSLJO,O,X,X,O,O,X,O,X,X
TIZSLOJ,O,X,X,O,O,X,O,X,X
TIZSJLO,O,X,X,O,O,X,O,X,X
TIZSJOL,X,X,X,O,O,X,O,X,X
TIZSOLJ,O,X,X,O,X,X,O,X,X
TIZSOJL,O,X,X,O,O,X,O,X,X
TIZOLJS,O,X,O,O,X,X,O,X,X
TIZOLSJ,O,X,X,O,X,X,O,O,X
TIZOJLS,O,X,O,O,X,X,O,X,X
TIZOJSL,O,X,X,X,O,X,O,X,X
TIZOSLJ,O,X,X,O,X,X,O,X,X
TIZOSJL,O,X,X,O,X,X,O,X,X
TIOLJSZ,X,O,O,O,X,X,O,O,X
TIOLJZS,O,O,O,O,X,X,O,X,X
TIOLSJZ,X,O,X,O,X,X,O,O,X
TIOLSZJ,X,X,X,O,X,X,O,O,X
TIOLZJS,O,X,O,O,X,X,O,X,X
TIOLZSJ,O,X,X,O,X,X,O,O,X
TIOJLSZ,X,O,O,O,X,X,O,O,X
TIOJLZS,O,O,O,O,X,X,O,X,X
TIOJSLZ,O,O,X,O,X,X,O,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X
TIOJZLS,O,X,O,O,X,X,O,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X
TIOSLJZ,O,O,X,O,X,X,O,O,X
TIOSLZJ,O,X,X,O,X,X,O,O,X
TIOSJLZ,O,O,X,O,X,X,O,O,X
TIOSJZL,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,O,O,X
TIOSZJL,O,X,X,O,X,X,O,X,X
TIOZLJS,O,X,O,O,X,X,O,X,X
TIOZLSJ,O,X,X,O,X,X,O,O,X
TIOZJLS,O,X,O,O,X,X,O,X,X
TIOZJSL,O,X,X,X,X,X,O,X,X
TIOZSLJ,O,X,X,O,X,X,O,X,X
TIOZSJL,O,X,X,O,X,X,O,X,X
TLIJSZO,X,O,O,O,X,X,X,X,O
TLIJSOZ,X,O,O,O,X,X,O,X,O
TLIJZSO,O,O,O,X,X,X,O,X,O
TLIJZOS,O,O,O,O,X,X,O,X,X
TLIJOSZ,X,O,O,O,X,X,O,O,O
TLIJOZS,X,O,O,O,X,X,O,X,X
TLISJZO,X,O,X,O,X,X,X,X,O
TLISJOZ,X,O,X,O,X,X,O,O,O
TLISZJO,X,X,X,O,X,X,O,X,X
TLISZOJ,X,X,X,O,X,X,O,O,X
TLISOJZ,X,O,X,O,X,X,O,O,X
TLISOZJ,X,X,X,O,X,X,O,O,X
TLIZJSO,O,X,O,X,X,X,O,X,X
TLIZJOS,O,X,O,O,X,X,O,X,X
TLIZSJO,O,X,X,O,X,X,O,X,X
TLIZSOJ,O,X,X,O,X,X,O,X,X
TLIZOJS,O,X,O,O,X,X,O,X,X
TLIZOSJ,O,X,X,O,X,X,O,O,X
TLIOJSZ,X,O,O,O,X,X,O,O,X
TLIOJZS,O,O,O,O,X,X,O,X,X
TLIOSJZ,X,O,X,O,X,X,O,O,X
TLIOSZJ,X,X,X,O,X,X,O,O,X
TLIOZJS,O,X,O,O,X,X,O,X,X
TLIOZSJ,O,X,X,O,X,X,O,O,X
TLJISZO,X,O,O,X,X,X,X,X,O
TLJISOZ,X,O,O,X,X,X,O,X,O
TLJIZSO,O,O,O,X,X,X,O,X,O
TLJIZOS,O,O,O,X,X,X,O,X,X
TLJIOSZ,X,O,O,X,X,X,O,O,O
TLJIOZS,X,O,O,X,X,X,O,X,X
TLJSIZO,X,O,O,X,O,X,X,X,O
TLJSIOZ,X,O,O,X,X,X,X,O,O
TLJSZIO,X,O,O,X,O,X,X,X,O
TLJSZOI,X,O,O,X,O,X,X,X,X
TLJSOIZ,X,O,O,X,X,X,X,O,O
TLJSOZI,X,O,O,X,O,X,X,X,X
TLJZISO,O,O,O,X,O,X,X,X,O
TLJZIOS,O,O,O,X,X,X,X,X,X
TLJZSIO,O,O,O,X,O,X,X,X,O
TLJZSOI,X,O,O,X,O,X,X,X,X
