sequence,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFfhBxcBTfBC?iBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBxcBq?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhF0cBTfBmgBf?sBlnB6sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?iBlmBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFCcBxhB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFRcBSiBTfBU?hBVsB3sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBRcBciBF?hBfsBusB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFqiBRhB3fBF?hB8mBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFRhB1nB3fBU?hBCnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBfhBViBR?nB0mB+sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBSiBR?nBlmBTsB
TILJSZO,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X,X
TILJSOZ,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TILJZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TILJZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TILJOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
TILJOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TILSJZO,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X
TILSJOZ,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TILSZJO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O
TILSZOJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TILSOJZ,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TILSOZJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TILZJSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,O
TILZJOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TILZSJO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TILZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TILZOJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILOJSZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TILOJZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TILOSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TILOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TILOZJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJLSZO,X,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TIJLSOZ,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TIJLZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TIJLZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
