sequence,v115@9gB8HeD8FeE8CeH8AeC8Jem6IvhFCcBxdB/mBFiBTj?BcsB,v115@9gB8HeD8FeE8CeH8AeC8Jex6IvhFXdB6jBmgBziB0h?BFsB,v115@9gB8HeD8FeE8CeH8AeC8Jex6IvhFygBzdB+jB3hBUi?BFsB,v115@9gB8HeD8FeE8CeH8AeC8Jex6IvhFfjB6jBmgBzhBcs?BlrB,v115@9gB8HeD8FeE8CeH8AeC8Jem6IvhFfhB0cBxdBSnBTj?BFsB
TILJSZO,X,X,O,O,O
TILJSOZ,X,O,O,X,O
TILJZSO,X,X,O,X,O
TILJZOS,X,O,O,X,X
TILJOSZ,X,O,O,X,O
TILJOZS,X,O,O,X,O
TILSJZO,X,X,O,O,O
TILSJOZ,X,O,O,X,O
TILSZJO,X,X,O,O,O
TILSZOJ,X,X,X,O,O
TILSOJZ,X,O,O,X,O
TILSOZJ,X,O,X,X,O
TILZJSO,X,X,O,X,O
TILZJOS,X,O,O,X,X
TILZSJO,X,X,O,X,O
TILZSOJ,X,X,X,X,O
TILZOJS,X,O,X,X,X
TILZOSJ,X,O,X,X,X
TILOJSZ,X,O,O,X,O
TILOJZS,X,O,O,X,O
TILOSJZ,X,O,O,X,O
TILOSZJ,X,O,X,X,O
TILOZJS,X,O,X,X,O
TILOZSJ,X,O,X,X,O
TIJLSZO,X,X,O,O,O
TIJLSOZ,X,O,O,X,O
TIJLZSO,X,X,O,X,O
TIJLZOS,X,O,O,X,X
TIJLOSZ,X,O,O,X,O
TIJLOZS,X,O,O,X,O
TIJSLZO,X,X,O,O,O
TIJSLOZ,X,O,O,X,O
TIJSZLO,X,X,O,O,O
TIJSZOL,X,X,O,O,O
TIJSOLZ,X,O,O,X,O
TIJSOZL,X,O,O,X,O
TIJZLSO,X,X,O,X,X
TIJZLOS,X,O,O,X,X
TIJZSLO,X,X,O,O,X
TIJZSOL,X,X,O,O,X
TIJZOLS,X,O,O,X,X
TIJZOSL,X,O,O,O,X
TIJOLSZ,X,O,O,X,O
TIJOLZS,X,O,O,X,O
TIJOSLZ,X,O,O,X,O
TIJOSZL,X,O,O,X,O
TIJOZLS,X,O,O,X,O
TIJOZSL,X,O,O,X,O
TISLJZO,X,X,O,O,O
TISLJOZ,X,O,O,X,O
TISLZJO,X,X,O,O,O
TISLZOJ,X,X,X,O,O
TISLOJZ,X,O,O,X,O
TISLOZJ,X,O,X,X,O
TISJLZO,X,X,O,O,O
TISJLOZ,X,O,O,X,O
TISJZLO,X,X,O,O,O
TISJZOL,X,X,O,O,O
TISJOLZ,X,O,O,X,O
TISJOZL,X,O,O,X,O
TISZLJO,X,X,O,O,O
TISZLOJ,X,X,X,O,O
TISZJLO,X,X,O,O,O
TISZJOL,X,X,O,O,O
TISZOLJ,X,X,X,O,O
TISZOJL,X,X,X,O,O
TISOLJZ,X,O,O,X,O
TISOLZJ,X,O,X,X,O
TISOJLZ,X,O,O,X,O
TISOJZL,X,O,O,X,O
TISOZLJ,X,O,X,X,O
TISOZJL,X,O,X,X,O
TIZLJSO,X,X,O,X,X
TIZLJOS,X,O,O,X,X
TIZLSJO,X,X,O,X,X
TIZLSOJ,X,X,X,X,X
TIZLOJS,X,O,X,X,X
TIZLOSJ,X,O,X,X,X
TIZJLSO,X,X,O,X,X
TIZJLOS,X,O,O,X,X
TIZJSLO,X,X,O,O,X
TIZJSOL,X,X,O,O,X
TIZJOLS,X,O,O,X,X
TIZJOSL,X,O,O,O,X
TIZSLJO,X,X,O,O,X
TIZSLOJ,X,X,X,O,X
TIZSJLO,X,X,O,O,X
TIZSJOL,X,X,O,O,X
