sequence,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRcB3fBGhBTiBll?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcB/kBUgBFhBSn?BTqB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFXbBVhBUdBClBxm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jel6IvhFcgBicB/kBGiBRm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcBTfB/lBFhBSn?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Je2/IvhFRbBzcBSnB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFuhBRgBTiB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFxbB/iBqkB0hBll?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFuhBifBTiBfqBll?B8qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRgBGiBzhB0kBll?B3qB
TILJSZO,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,X,X
TILJOZS,X,O,O,X,X,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,X,X,X,X
TILSZJO,X,X,O,O,X,X,X,X,X,X
TILSZOJ,X,X,O,O,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,O,X,X,X,X
TILZJOS,X,X,O,X,X,O,X,X,X,X
TILZSJO,X,X,O,O,X,O,X,X,X,X
TILZSOJ,X,X,O,O,X,O,X,X,X,X
TILZOJS,X,X,O,X,X,O,X,X,X,X
TILZOSJ,X,X,O,X,X,O,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,O,X,X,X,X
TILOZSJ,X,X,O,X,X,O,X,X,X,X
TIJLSZO,O,O,O,O,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,X,X,X
TIJLZSO,X,O,O,O,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,X
TIJSLZO,O,O,O,O,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,O,O,X,X,X,X,X,X
TIJSZOL,X,O,O,O,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X
TIJSOZL,X,O,O,X,X,X,X,X,X,X
TIJZLSO,X,O,O,O,X,X,X,X,X,O
TIJZLOS,X,O,O,X,X,X,X,X,X,O
TIJZSLO,O,O,O,O,O,X,X,X,X,O
TIJZSOL,X,O,O,O,O,X,X,X,X,X
TIJZOLS,X,O,O,X,X,X,X,X,X,O
TIJZOSL,X,O,O,X,O,X,X,X,X,X
TIJOLSZ,X,O,O,X,X,X,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X,X
TIJOSLZ,O,O,O,X,X,X,X,X,X,X
TIJOSZL,X,O,O,X,X,X,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X,X,X,X
TIJOZSL,X,O,O,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X
