sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB
TZJSOLI,O,O,O,O,O,O,X
TZJOILS,O,O,O,O,X,X,O
TZJOISL,O,O,O,O,O,O,X
TZJOLIS,O,O,O,O,X,X,O
TZJOLSI,O,O,O,O,X,O,X
TZJOSIL,O,O,O,O,O,O,X
TZJOSLI,O,O,O,O,O,O,X
TZSILJO,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,O,O
TZSIJLO,O,O,O,O,O,O,X
TZSIJOL,O,O,O,O,O,O,X
TZSIOLJ,O,O,O,O,O,O,O
TZSIOJL,O,O,O,O,O,O,X
TZSLIJO,O,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,O,O
TZSLJIO,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,O,X
TZSJIOL,O,O,O,O,O,O,X
TZSJLIO,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,X
TZSJOIL,O,O,O,O,O,O,X
TZSJOLI,O,O,O,O,O,O,X
TZSOILJ,O,O,O,O,O,O,O
TZSOIJL,O,O,O,O,O,O,X
TZSOLIJ,O,O,O,O,O,O,O
TZSOLJI,O,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,O,X
TZSOJLI,O,O,O,O,O,O,X
TZOILJS,O,O,O,O,X,X,O
TZOILSJ,O,O,O,O,X,X,O
TZOIJLS,O,O,O,O,X,X,O
TZOIJSL,O,O,O,O,O,O,X
TZOISLJ,O,O,O,O,O,O,O
TZOISJL,O,O,O,O,O,O,X
TZOLIJS,O,O,O,O,X,X,O
TZOLISJ,O,O,O,O,X,X,O
TZOLJIS,O,O,O,O,X,X,O
TZOLJSI,O,O,O,O,X,O,X
TZOLSIJ,O,O,O,O,X,O,O
TZOLSJI,O,O,O,O,X,O,X
TZOJILS,O,O,O,O,X,X,O
TZOJISL,O,O,O,O,O,O,X
TZOJLIS,O,O,O,O,X,X,O
TZOJLSI,O,O,O,O,X,O,X
TZOJSIL,O,O,O,O,O,O,X
TZOJSLI,O,O,O,O,O,O,X
TZOSILJ,O,O,O,O,O,O,O
TZOSIJL,O,O,O,O,O,O,X
TZOSLIJ,O,O,O,O,O,O,O
TZOSLJI,O,O,O,O,O,O,X
TZOSJIL,O,O,O,O,O,O,X
TZOSJLI,O,O,O,O,O,O,X
TOILJSZ,X,X,X,O,O,X,X
TOILJZS,X,X,O,O,X,X,O
TOILSJZ,O,O,X,O,O,X,X
TOILSZJ,O,O,X,O,O,X,O
TOILZJS,O,O,O,X,X,X,O
TOILZSJ,O,O,O,X,X,X,O
TOIJLSZ,X,X,X,O,O,X,X
TOIJLZS,X,X,O,O,X,X,O
TOIJSLZ,O,O,X,O,O,O,X
TOIJSZL,O,O,X,O,O,O,X
TOIJZLS,O,O,O,O,X,X,O
TOIJZSL,O,O,O,X,O,O,X
TOISLJZ,O,O,X,O,O,O,X
TOISLZJ,O,O,X,O,O,O,O
TOISJLZ,O,O,X,O,O,O,X
TOISJZL,O,O,X,O,O,O,X
TOISZLJ,O,O,X,O,O,O,O
TOISZJL,O,O,X,X,O,O,X
TOIZLJS,O,O,O,X,X,X,O
TOIZLSJ,O,O,O,X,X,X,O
TOIZJLS,O,O,O,X,X,X,O
TOIZJSL,O,O,O,X,O,O,X
TOIZSLJ,O,O,O,X,O,O,O
TOIZSJL,O,O,O,X,O,O,X
TOLIJSZ,X,X,X,O,O,X,X
TOLIJZS,X,X,O,O,X,X,O
TOLISJZ,O,O,X,O,O,X,X
TOLISZJ,O,O,X,O,O,X,O
TOLIZJS,O,O,O,X,X,X,O
TOLIZSJ,O,O,O,X,X,X,O
TOLJISZ,X,X,X,O,O,X,X
TOLJIZS,X,X,O,O,X,X,O
TOLJSIZ,X,X,X,O,O,O,X
TOLJSZI,X,X,X,O,O,O,X
TOLJZIS,X,X,O,O,X,X,O
TOLJZSI,X,X,O,O,X,O,X
TOLSIJZ,O,O,X,O,O,O,X
TOLSIZJ,O,O,X,O,O,O,O
TOLSJIZ,O,O,X,O,O,O,X
TOLSJZI,O,O,X,O,O,O,X
TOLSZIJ,O,O,X,O,O,O,O
TOLSZJI,O,O,X,O,O,O,X
TOLZIJS,O,O,O,O,X,X,O
TOLZISJ,O,O,O,O,X,X,O
TOLZJIS,O,O,O,O,X,X,O
TOLZJSI,O,O,O,O,X,O,X
TOLZSIJ,O,O,O,O,X,O,O
TOLZSJI,O,O,O,O,X,O,X
TOJILSZ,X,X,X,O,O,X,X
TOJILZS,X,X,O,O,X,X,O
TOJISLZ,O,O,X,O,O,O,X
TOJISZL,O,O,X,O,O,O,X
TOJIZLS,O,O,O,O,X,X,O
TOJIZSL,O,O,O,O,O,O,X
TOJLISZ,X,X,X,O,O,X,X
TOJLIZS,X,X,O,O,X,X,O
TOJLSIZ,X,X,X,O,O,O,X
TOJLSZI,X,X,X,O,O,O,X
TOJLZIS,X,X,O,O,X,X,O
TOJLZSI,X,X,O,O,X,O,X
TOJSILZ,O,O,X,O,O,O,X
TOJSIZL,O,O,X,O,O,O,X
TOJSLIZ,O,O,X,O,O,O,X
TOJSLZI,O,O,X,O,O,O,X
TOJSZIL,O,O,X,O,O,O,X
TOJSZLI,O,O,X,O,O,O,X
TOJZILS,O,O,O,O,X,X,O
TOJZISL,O,O,O,O,O,O,X
TOJZLIS,O,O,O,O,X,X,O
TOJZLSI,O,O,O,O,X,O,X
TOJZSIL,O,O,O,O,O,O,X
TOJZSLI,O,O,O,O,O,O,X
TOSILJZ,O,O,X,O,O,O,X
TOSILZJ,O,O,X,O,O,O,O
TOSIJLZ,O,O,X,O,O,O,X
TOSIJZL,O,O,X,O,O,O,X
TOSIZLJ,O,O,X,O,O,O,O
TOSIZJL,O,O,X,O,O,O,X
TOSLIJZ,O,O,X,O,O,O,X
TOSLIZJ,O,O,X,O,O,O,O
TOSLJIZ,O,O,X,O,O,O,X
TOSLJZI,O,O,X,O,O,O,X
TOSLZIJ,O,O,X,O,O,O,O
TOSLZJI,O,O,X,O,O,O,X
TOSJILZ,O,O,X,O,O,O,X
TOSJIZL,O,O,X,O,O,O,X
TOSJLIZ,O,O,X,O,O,O,X
TOSJLZI,O,O,X,O,O,O,X
TOSJZIL,O,O,X,O,O,O,X
TOSJZLI,O,O,X,O,O,O,X
TOSZILJ,O,O,X,O,O,O,O
TOSZIJL,O,O,X,O,O,O,X
TOSZLIJ,O,O,X,O,O,O,O
TOSZLJI,O,O,X,O,O,O,X
TOSZJIL,O,O,X,O,O,O,X
TOSZJLI,O,O,X,O,O,O,X
TOZILJS,O,O,O,O,X,X,O
TOZILSJ,O,O,O,O,X,X,O
TOZIJLS,O,O,O,O,X,X,O
TOZIJSL,O,O,O,O,O,O,X
TOZISLJ,O,O,O,O,O,O,O
TOZISJL,O,O,O,O,O,O,X
TOZLIJS,O,O,O,O,X,X,O
TOZLISJ,O,O,O,O,X,X,O
TOZLJIS,O,O,O,O,X,X,O
TOZLJSI,O,O,O,O,X,O,X
TOZLSIJ,O,O,O,O,X,O,O
TOZLSJI,O,O,O,O,X,O,X
TOZJILS,O,O,O,O,X,X,O
TOZJISL,O,O,O,O,O,O,X
TOZJLIS,O,O,O,O,X,X,O
TOZJLSI,O,O,O,O,X,O,X
TOZJSIL,O,O,O,O,O,O,X
TOZJSLI,O,O,O,O,O,O,X
TOZSILJ,O,O,O,O,O,O,O
TOZSIJL,O,O,O,O,O,O,X
TOZSLIJ,O,O,O,O,O,O,O
TOZSLJI,O,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,O,X
TOZSJLI,O,O,O,O,O,O,X
ITLJSZO,X,X,O,O,O,X,X
ITLJSOZ,X,X,X,O,O,X,X
ITLJZSO,X,X,O,O,X,X,X
ITLJZOS,X,X,O,O,X,X,O
ITLJOSZ,X,X,X,O,O,X,X
ITLJOZS,X,X,O,O,X,X,O
ITLSJZO,O,O,O,O,O,X,X
ITLSJOZ,O,O,X,O,O,X,X
ITLSZJO,O,O,O,O,O,X,X
ITLSZOJ,O,O,O,O,O,X,O
ITLSOJZ,O,O,X,O,O,X,X
ITLSOZJ,O,O,X,O,O,X,O
ITLZJSO,O,O,O,O,X,X,X
ITLZJOS,O,O,O,O,X,X,O
ITLZSJO,O,O,O,O,X,X,X
ITLZSOJ,O,O,O,O,X,X,O
ITLZOJS,O,O,O,O,X,X,O
ITLZOSJ,O,O,O,O,X,X,O
ITLOJSZ,X,X,X,O,O,X,X
ITLOJZS,X,X,O,O,X,X,O
ITLOSJZ,O,O,X,O,O,X,X
ITLOSZJ,O,O,X,O,O,X,O
ITLOZJS,O,O,O,X,X,X,O
ITLOZSJ,O,O,O,X,X,X,O
ITJLSZO,X,X,O,O,O,X,X
ITJLSOZ,X,X,X,O,O,X,X
ITJLZSO,X,X,O,O,X,X,X
ITJLZOS,X,X,O,O,X,X,O
ITJLOSZ,X,X,X,O,O,X,X
ITJLOZS,X,X,O,O,X,X,O
ITJSLZO,O,O,O,O,O,O,X
ITJSLOZ,O,O,X,O,O,O,X
ITJSZLO,O,O,O,O,O,O,X
ITJSZOL,O,O,O,O,O,O,X
ITJSOLZ,O,O,X,O,O,O,X
ITJSOZL,O,O,X,O,O,O,X
ITJZLSO,O,O,O,O,X,X,X
ITJZLOS,O,O,O,O,X,X,O
ITJZSLO,O,O,O,O,O,O,X
ITJZSOL,O,O,O,O,O,O,X
ITJZOLS,O,O,O,O,X,X,O
ITJZOSL,O,O,O,O,O,O,X
ITJOLSZ,X,X,X,O,O,X,X
ITJOLZS,X,X,O,O,X,X,O
ITJOSLZ,O,O,X,O,O,O,X
ITJOSZL,O,O,X,O,O,O,X
ITJOZLS,O,O,O,O,X,X,O
ITJOZSL,O,O,O,O,O,O,X
ITSLJZO,O,O,O,O,O,O,X
ITSLJOZ,O,O,X,O,O,O,X
ITSLZJO,O,O,O,O,O,O,X
ITSLZOJ,O,O,O,O,O,O,O
ITSLOJZ,O,O,X,O,O,O,X
ITSLOZJ,O,O,X,O,O,O,O
ITSJLZO,O,O,O,O,O,O,X
ITSJLOZ,O,O,X,O,O,O,X
ITSJZLO,O,O,O,O,O,O,X
ITSJZOL,O,O,O,O,O,O,X
ITSJOLZ,O,O,X,O,O,O,X
ITSJOZL,O,O,X,O,O,O,X
ITSZLJO,O,O,O,O,O,O,X
ITSZLOJ,O,O,O,O,O,O,O
ITSZJLO,O,O,O,O,O,O,X
ITSZJOL,O,O,O,O,O,O,X
ITSZOLJ,O,O,O,O,O,O,O
ITSZOJL,O,O,O,O,O,O,X
ITSOLJZ,O,O,X,O,O,O,X
ITSOLZJ,O,O,X,O,O,O,O
ITSOJLZ,O,O,X,O,O,O,X
ITSOJZL,O,O,X,O,O,O,X
ITSOZLJ,O,O,X,O,O,O,O
ITSOZJL,O,O,X,O,O,O,X
ITZLJSO,O,O,O,O,X,X,X
ITZLJOS,O,O,O,O,X,X,O
ITZLSJO,O,O,O,O,X,X,X
ITZLSOJ,O,O,O,O,X,X,O
ITZLOJS,O,O,O,O,X,X,O
ITZLOSJ,O,O,O,O,X,X,O
ITZJLSO,O,O,O,O,X,X,X
ITZJLOS,O,O,O,O,X,X,O
ITZJSLO,O,O,O,O,O,O,X
ITZJSOL,O,O,O,O,O,O,X
ITZJOLS,O,O,O,O,X,X,O
ITZJOSL,O,O,O,O,O,O,X
ITZSLJO,O,O,O,O,O,O,X
ITZSLOJ,O,O,O,O,O,O,O
ITZSJLO,O,O,O,O,O,O,X
ITZSJOL,O,O,O,O,O,O,X
ITZSOLJ,O,O,O,O,O,O,O
ITZSOJL,O,O,O,O,O,O,X
ITZOLJS,O,O,O,O,X,X,O
ITZOLSJ,O,O,O,O,X,X,O
ITZOJLS,O,O,O,O,X,X,O
ITZOJSL,O,O,O,O,O,O,X
ITZOSLJ,O,O,O,O,O,O,O
ITZOSJL,O,O,O,O,O,O,X
ITOLJSZ,X,X,X,O,O,X,X
ITOLJZS,X,X,O,O,X,X,O
ITOLSJZ,O,O,X,O,O,X,X
ITOLSZJ,O,O,X,O,O,X,O
ITOLZJS,O,O,O,X,X,X,O
ITOLZSJ,O,O,O,X,X,X,O
ITOJLSZ,X,X,X,O,O,X,X
ITOJLZS,X,X,O,O,X,X,O
ITOJSLZ,O,O,X,O,O,O,X
ITOJSZL,O,O,X,O,O,O,X
ITOJZLS,O,O,O,O,X,X,O
ITOJZSL,O,O,O,X,O,O,X
ITOSLJZ,O,O,X,O,O,O,X
ITOSLZJ,O,O,X,O,O,O,O
ITOSJLZ,O,O,X,O,O,O,X
ITOSJZL,O,O,X,O,O,O,X
ITOSZLJ,O,O,X,O,O,O,O
ITOSZJL,O,O,X,X,O,O,X
ITOZLJS,O,O,O,X,X,X,O
ITOZLSJ,O,O,O,X,X,X,O
ITOZJLS,O,O,O,X,X,X,O
ITOZJSL,O,O,O,X,O,O,X
ITOZSLJ,O,O,O,X,O,O,O
ITOZSJL,O,O,O,X,O,O,X
ILTJSZO,X,X,O,O,O,X,X
ILTJSOZ,X,X,X,O,O,X,X
ILTJZSO,X,X,O,O,X,X,X
ILTJZOS,X,X,O,O,X,X,O
ILTJOSZ,X,X,X,O,O,X,X
ILTJOZS,X,X,O,O,X,X,O
ILTSJZO,O,O,O,O,O,X,X
ILTSJOZ,O,O,X,O,O,X,X
ILTSZJO,O,O,O,O,O,X,X
ILTSZOJ,O,O,O,O,O,X,O
ILTSOJZ,O,O,X,O,O,X,X
ILTSOZJ,O,O,X,O,O,X,O
ILTZJSO,O,O,O,O,X,X,X
ILTZJOS,O,O,O,O,X,X,O
ILTZSJO,O,O,O,O,X,X,X
ILTZSOJ,O,O,O,O,X,X,O
ILTZOJS,O,O,O,O,X,X,O
ILTZOSJ,O,O,O,O,X,X,O
ILTOJSZ,X,X,X,O,O,X,X
ILTOJZS,X,X,O,O,X,X,O
ILTOSJZ,O,O,X,O,O,X,X
ILTOSZJ,O,O,X,O,O,X,O
ILTOZJS,O,O,O,X,X,X,O
ILTOZSJ,O,O,O,X,X,X,O
ILJTSZO,X,X,O,X,O,X,X
ILJTSOZ,X,X,X,X,O,X,X
ILJTZSO,X,X,O,X,X,X,X
ILJTZOS,X,X,O,O,X,X,O
ILJTOSZ,X,X,X,O,O,X,X
ILJTOZS,X,X,O,O,X,X,O
ILJSTZO,X,X,X,O,X,X,X
ILJSTOZ,X,X,X,O,O,X,X
ILJSZTO,X,X,X,O,X,X,X
ILJSZOT,X,X,O,O,O,X,X
ILJSOTZ,X,X,X,O,O,X,X
ILJSOZT,X,X,X,O,O,X,X
ILJZTSO,X,X,O,X,X,X,X
ILJZTOS,X,X,O,O,X,X,X
ILJZSTO,X,X,X,O,X,X,X
ILJZSOT,X,X,O,O,X,X,X
ILJZOTS,X,X,O,O,X,X,X
ILJZOST,X,X,O,O,X,X,X
ILJOTSZ,X,X,X,O,O,X,X
ILJOTZS,X,X,X,O,X,X,O
ILJOSTZ,X,X,X,O,O,X,X
ILJOSZT,X,X,X,O,O,X,X
ILJOZTS,X,X,O,O,X,X,X
ILJOZST,X,X,O,O,X,X,X
ILSTJZO,O,X,O,X,X,X,X
ILSTJOZ,O,X,X,X,O,X,X
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,O,X,X,O
ILSTOJZ,O,X,X,O,O,X,X
ILSTOZJ,O,O,X,O,X,X,O
ILSJTZO,O,X,X,O,X,X,X
ILSJTOZ,O,X,X,O,O,X,X
ILSJZTO,O,O,X,O,X,X,X
ILSJZOT,O,O,O,O,O,X,X
ILSJOTZ,O,X,X,O,O,X,X
ILSJOZT,O,O,X,O,O,X,X
ILSZTJO,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,O,X,X,X
ILSZJTO,O,O,X,O,X,X,X
ILSZJOT,O,O,O,O,O,X,X
ILSZOTJ,O,O,O,O,X,X,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,O,X,X,O,O,X,X
ILSOTZJ,O,O,X,O,X,X,O
ILSOJTZ,O,X,X,O,O,X,X
ILSOJZT,O,O,X,O,O,X,X
ILSOZTJ,O,O,X,O,X,X,X
ILSOZJT,O,O,X,O,O,X,X
ILZTJSO,X,O,O,O,X,X,X
ILZTJOS,X,O,O,O,X,X,O
ILZTSJO,X,O,O,O,X,X,X
ILZTSOJ,X,O,O,O,X,X,O
ILZTOJS,X,O,O,O,X,X,O
ILZTOSJ,X,O,O,O,X,X,O
ILZJTSO,X,O,O,X,X,X,X
ILZJTOS,X,O,O,O,X,X,X
ILZJSTO,O,O,X,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X
ILZJOTS,X,O,O,O,X,X,X
ILZJOST,O,O,O,O,X,X,X
ILZSTJO,O,O,O,X,X,X,X
ILZSTOJ,O,O,O,O,X,X,X
ILZSJTO,O,O,X,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X
ILZSOTJ,O,O,O,O,X,X,X
ILZSOJT,O,O,O,O,X,X,X
ILZOTJS,X,O,O,O,X,X,O
ILZOTSJ,X,O,O,O,X,X,O
ILZOJTS,X,O,O,O,X,X,X
ILZOJST,O,O,O,O,X,X,X
ILZOSTJ,O,O,O,O,X,X,X
ILZOSJT,O,O,O,O,X,X,X
ILOTJSZ,X,X,X,O,O,X,X
ILOTJZS,X,X,O,O,X,X,O
ILOTSJZ,O,O,X,O,O,X,X
ILOTSZJ,O,O,X,O,O,X,O
ILOTZJS,O,O,O,X,X,X,O
ILOTZSJ,O,O,O,X,X,X,O
ILOJTSZ,X,X,X,O,O,X,X
ILOJTZS,X,X,X,O,X,X,O
ILOJSTZ,X,X,X,O,O,X,X
ILOJSZT,X,X,X,O,O,X,X
ILOJZTS,X,X,O,O,X,X,X
ILOJZST,X,X,O,O,X,X,X
ILOSTJZ,O,X,X,O,O,X,X
ILOSTZJ,O,O,X,O,X,X,O
ILOSJTZ,O,X,X,O,O,X,X
ILOSJZT,O,O,X,O,O,X,X
ILOSZTJ,O,O,X,O,X,X,X
ILOSZJT,O,O,X,O,O,X,X
ILOZTJS,X,O,O,X,X,X,O
ILOZTSJ,X,O,O,X,X,X,O
ILOZJTS,X,O,O,X,X,X,X
ILOZJST,O,O,O,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X
IJTLSZO,X,X,O,X,O,X,X
IJTLSOZ,X,X,X,X,O,X,X
IJTLZSO,X,X,O,X,X,X,X
IJTLZOS,X,X,O,O,X,X,O
IJTLOSZ,X,X,X,O,O,X,X
IJTLOZS,X,X,O,O,X,X,O
IJTSLZO,O,O,O,X,O,O,X
IJTSLOZ,O,O,X,X,O,O,X
IJTSZLO,O,O,O,X,O,O,X
IJTSZOL,O,O,O,X,O,O,X
IJTSOLZ,O,O,X,X,O,O,X
IJTSOZL,O,O,X,X,O,O,X
IJTZLSO,O,O,O,X,X,X,X
IJTZLOS,O,O,O,O,X,X,O
IJTZSLO,O,O,O,X,O,O,X
IJTZSOL,O,O,O,X,O,O,X
IJTZOLS,O,O,O,O,X,X,O
IJTZOSL,O,O,O,X,O,O,X
IJTOLSZ,X,X,X,O,O,X,X
IJTOLZS,X,X,O,O,X,X,O
IJTOSLZ,O,O,X,X,O,O,X
IJTOSZL,O,O,X,X,O,O,X
IJTOZLS,O,O,O,X,X,X,O
IJTOZSL,O,O,O,X,O,O,X
IJLTSZO,X,X,O,X,O,X,X
IJLTSOZ,X,X,X,X,O,X,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,O,X,X,O
IJLTOSZ,X,X,X,O,O,X,X
IJLTOZS,X,X,O,O,X,X,O
IJLSTZO,X,X,X,O,X,X,X
IJLSTOZ,X,X,X,O,O,X,X
IJLSZTO,X,X,X,O,X,X,X
IJLSZOT,X,X,O,O,O,X,X
IJLSOTZ,X,X,X,O,O,X,X
IJLSOZT,X,X,X,O,O,X,X
IJLZTSO,X,X,O,X,X,X,X
IJLZTOS,X,X,O,O,X,X,X
IJLZSTO,X,X,X,O,X,X,X
IJLZSOT,X,X,O,O,X,X,X
IJLZOTS,X,X,O,O,X,X,X
IJLZOST,X,X,O,O,X,X,X
IJLOTSZ,X,X,X,O,O,X,X
IJLOTZS,X,X,X,O,X,X,O
IJLOSTZ,X,X,X,O,O,X,X
IJLOSZT,X,X,X,O,O,X,X
IJLOZTS,X,X,O,O,X,X,X
IJLOZST,X,X,O,O,X,X,X
IJSTLZO,O,X,X,O,O,O,X
IJSTLOZ,O,X,X,O,O,O,X
IJSTZLO,O,X,X,O,O,O,X
IJSTZOL,O,X,X,O,O,O,X
IJSTOLZ,O,X,X,O,O,O,X
IJSTOZL,O,X,X,X,O,O,X
IJSLTZO,O,X,X,O,X,O,X
IJSLTOZ,O,X,X,O,O,O,X
IJSLZTO,O,O,X,O,X,O,X
IJSLZOT,O,O,O,O,O,X,X
IJSLOTZ,O,X,X,O,O,X,X
IJSLOZT,O,O,X,O,O,X,X
IJSZTLO,O,O,X,O,X,O,X
IJSZTOL,O,O,X,O,X,O,X
IJSZLTO,O,O,X,O,X,O,X
IJSZLOT,O,O,O,O,O,X,X
IJSZOTL,O,O,X,O,X,O,X
IJSZOLT,O,O,O,O,O,X,X
IJSOTLZ,O,X,X,O,O,O,X
IJSOTZL,O,X,X,X,O,O,X
IJSOLTZ,O,X,X,O,O,X,X
IJSOLZT,O,O,X,O,O,X,X
IJSOZTL,O,O,X,O,X,O,X
IJSOZLT,O,O,X,O,O,X,X
IJZTLSO,X,O,O,X,X,X,X
IJZTLOS,X,O,O,O,X,X,X
IJZTSLO,O,O,O,X,O,O,X
IJZTSOL,O,O,O,X,O,O,X
IJZTOLS,X,O,O,O,X,X,X
IJZTOSL,O,O,O,X,O,O,X
IJZLTSO,X,O,O,X,X,X,X
IJZLTOS,X,O,O,O,X,X,X
IJZLSTO,O,O,X,O,X,X,X
IJZLSOT,O,O,O,O,X,X,X
IJZLOTS,X,O,O,O,X,X,X
IJZLOST,O,O,O,O,X,X,X
IJZSTLO,O,O,X,O,X,O,X
IJZSTOL,O,O,X,O,X,O,X
IJZSLTO,O,O,X,O,X,O,X
IJZSLOT,O,O,O,O,O,X,X
IJZSOTL,O,O,X,O,X,O,X
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,X,O,O,O,X,X,X
IJZOTSL,O,O,O,X,O,X,X
IJZOLTS,X,O,O,O,X,X,X
IJZOLST,O,O,O,O,X,X,X
IJZOSTL,O,O,X,O,X,X,X
IJZOSLT,O,O,O,O,O,X,X
IJOTLSZ,X,X,X,O,O,X,X
IJOTLZS,X,X,X,O,X,X,O
IJOTSLZ,O,O,X,X,O,X,X
IJOTSZL,O,O,X,X,O,X,X
IJOTZLS,O,O,X,X,X,X,O
IJOTZSL,O,O,X,X,O,X,X
IJOLTSZ,X,X,X,O,O,X,X
IJOLTZS,X,X,X,O,X,X,O
IJOLSTZ,X,X,X,O,O,X,X
IJOLSZT,X,X,X,O,O,X,X
IJOLZTS,X,X,O,O,X,X,X
IJOLZST,X,X,O,O,X,X,X
IJOSTLZ,O,X,X,O,O,X,X
IJOSTZL,O,X,X,X,O,X,X
IJOSLTZ,O,X,X,O,O,X,X
IJOSLZT,O,O,X,O,O,X,X
IJOSZTL,O,O,X,X,X,X,X
IJOSZLT,O,O,X,O,O,X,X
IJOZTLS,X,O,O,O,X,X,X
IJOZTSL,O,O,X,X,O,X,X
IJOZLTS,X,O,O,O,X,X,X
IJOZLST,O,O,O,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X
IJOZSLT,O,O,O,O,O,X,X
ISTLJZO,O,O,O,X,O,O,X
ISTLJOZ,O,O,X,X,O,O,X
ISTLZJO,O,O,O,X,O,O,X
ISTLZOJ,O,O,O,O,O,O,O
ISTLOJZ,O,O,X,O,O,O,X
ISTLOZJ,O,O,X,O,O,O,O
ISTJLZO,O,O,O,X,O,O,X
ISTJLOZ,O,O,X,X,O,O,X
ISTJZLO,O,O,O,X,O,O,X
ISTJZOL,O,O,O,X,O,O,X
ISTJOLZ,O,O,X,X,O,O,X
ISTJOZL,O,O,X,X,O,O,X
ISTZLJO,O,O,O,X,O,O,X
ISTZLOJ,O,O,O,O,O,O,O
ISTZJLO,O,O,O,X,O,O,X
ISTZJOL,O,O,O,X,O,O,X
ISTZOLJ,O,O,O,O,O,O,O
ISTZOJL,O,O,O,X,O,O,X
ISTOLJZ,O,O,X,O,O,O,X
ISTOLZJ,O,O,X,O,O,O,O
ISTOJLZ,O,O,X,X,O,O,X
ISTOJZL,O,O,X,X,O,O,X
ISTOZLJ,O,O,X,X,O,O,O
ISTOZJL,O,O,X,X,O,O,X
ISLTJZO,O,X,O,X,X,O,X
ISLTJOZ,O,X,X,X,O,O,X
ISLTZJO,O,O,O,X,X,O,X
ISLTZOJ,O,O,O,O,X,O,O
ISLTOJZ,O,X,X,O,O,O,X
ISLTOZJ,O,O,X,O,X,O,O
ISLJTZO,O,X,X,O,X,O,X
ISLJTOZ,O,X,X,O,O,O,X
ISLJZTO,O,O,X,O,X,O,X
ISLJZOT,O,O,O,O,O,X,X
ISLJOTZ,O,X,X,O,O,X,X
ISLJOZT,O,O,X,O,O,X,X
ISLZTJO,O,O,O,X,X,O,X
ISLZTOJ,O,O,O,O,X,O,X
ISLZJTO,O,O,X,O,X,O,X
ISLZJOT,O,O,O,O,O,X,X
ISLZOTJ,O,O,O,O,X,X,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,O,X,X,O,O,X,X
ISLOTZJ,O,O,X,O,X,X,O
ISLOJTZ,O,X,X,O,O,X,X
ISLOJZT,O,O,X,O,O,X,X
ISLOZTJ,O,O,X,O,X,X,X
ISLOZJT,O,O,X,O,O,X,X
ISJTLZO,O,X,X,O,O,O,X
ISJTLOZ,O,X,X,O,O,O,X
ISJTZLO,O,X,X,O,O,O,X
ISJTZOL,O,X,X,O,O,O,X
ISJTOLZ,O,X,X,O,O,O,X
ISJTOZL,O,X,X,X,O,O,X
ISJLTZO,O,X,X,O,X,O,X
ISJLTOZ,O,X,X,O,O,O,X
ISJLZTO,O,O,X,O,X,O,X
ISJLZOT,O,O,O,O,O,X,X
ISJLOTZ,O,X,X,O,O,X,X
ISJLOZT,O,O,X,O,O,X,X
ISJZTLO,O,O,X,O,X,O,X
ISJZTOL,O,O,X,O,X,O,X
ISJZLTO,O,O,X,O,X,O,X
ISJZLOT,O,O,O,O,O,X,X
ISJZOTL,O,O,X,O,X,O,X
ISJZOLT,O,O,O,O,O,X,X
ISJOTLZ,O,X,X,O,O,O,X
ISJOTZL,O,X,X,X,O,O,X
ISJOLTZ,O,X,X,O,O,X,X
ISJOLZT,O,O,X,O,O,X,X
ISJOZTL,O,O,X,O,X,O,X
ISJOZLT,O,O,X,O,O,X,X
ISZTLJO,O,O,O,X,X,O,X
ISZTLOJ,O,O,O,O,X,O,X
ISZTJLO,O,O,O,X,X,O,X
ISZTJOL,O,O,O,X,X,O,X
