sequence,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcBuiBTfBigB8m?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRcB3dBFhBCn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8Je06IvhFlbBRdB2kB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhFxbBldBCgB/mBUn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFRbBzcBuiB3gBlm?BUqB,v115@8gA8HeB8HeG8AeF8BeF8JeT6IvhFxbBldBykBUiBGm?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhF0cBldBTfB2lBCn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcB3dB2kBzgBCn?BUqB,v115@8gA8HeB8HeG8AeF8BeF8Jel6IvhFRdB2kB0gB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFfgB8gBRdBGiBlm?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRdB1lB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFzcBuiBRgB3gBlm?BUqB
TILJSZO,X,O,O,O,O,X,X,X,X,O,X,X
TILJSOZ,X,X,O,O,O,O,X,X,X,O,X,O
TILJZSO,X,O,O,O,X,X,X,X,X,O,X,X
TILJZOS,X,O,O,X,X,O,X,X,X,O,X,O
TILJOSZ,X,X,X,O,O,O,X,X,X,O,X,O
TILJOZS,X,X,O,X,X,O,X,X,X,O,X,O
TILSJZO,X,O,O,O,O,X,X,X,X,O,X,X
TILSJOZ,X,X,O,O,O,X,X,X,X,O,X,O
TILSZJO,X,O,O,O,O,X,X,X,X,O,X,X
TILSZOJ,X,O,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,O,O,O,X,X,X,O,X,O
TILSOZJ,X,O,X,X,O,O,X,X,X,X,X,X
TILZJSO,X,O,O,O,X,O,X,X,X,O,X,X
TILZJOS,X,O,O,X,X,O,X,X,X,O,O,O
TILZSJO,X,O,O,O,X,X,X,X,X,O,X,X
TILZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,O,X,X,X,X,O,O
TILZOSJ,X,O,X,X,X,O,X,X,X,X,O,X
TILOJSZ,X,X,X,O,O,O,X,X,X,O,X,O
TILOJZS,X,X,O,X,X,O,X,X,X,O,O,O
TILOSJZ,X,X,O,X,O,O,X,X,X,O,X,O
TILOSZJ,X,O,X,X,O,O,X,X,X,X,O,X
TILOZJS,X,O,X,X,X,O,X,X,X,X,O,O
TILOZSJ,X,O,X,X,X,O,X,X,X,X,O,X
TIJLSZO,X,O,O,O,O,X,O,X,X,O,X,X
TIJLSOZ,X,X,O,O,O,O,X,X,X,O,X,O
TIJLZSO,X,O,O,O,X,X,O,X,X,O,X,X
TIJLZOS,X,O,O,X,X,O,O,X,X,O,X,O
TIJLOSZ,X,X,X,O,O,O,O,X,O,O,X,O
TIJLOZS,X,X,O,X,X,O,O,X,O,O,X,O
TIJSLZO,X,X,X,O,O,X,O,X,X,O,X,X
TIJSLOZ,X,X,X,O,O,X,X,X,X,O,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,O,X,X
TIJSZOL,X,O,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,O,X,X,X,O,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,O,O,O,X,X,O,X,X,O,X,X
TIJZLOS,X,O,O,X,X,X,O,X,X,O,X,X
TIJZSLO,X,O,O,O,X,X,X,X,X,O,X,X
TIJZSOL,X,O,O,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,O,O,X,X
TIJZOSL,X,O,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,O,X,O,X,O,O,X,O
TIJOLZS,X,X,O,X,X,X,O,X,O,O,X,O
TIJOSLZ,X,X,X,X,O,X,O,X,O,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,O,X,O,O,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,O,X,X,X,X,O,X,X
TISLJOZ,X,X,X,O,O,X,X,X,X,O,X,X
TISLZJO,X,O,X,O,O,X,X,X,X,O,X,X
TISLZOJ,X,X,X,X,O,X,X,X,X,X,X,X
TISLOJZ,X,X,X,O,O,X,X,X,X,O,X,X
TISLOZJ,X,X,X,O,O,X,X,X,X,X,X,X
TISJLZO,X,X,X,O,O,X,X,X,X,O,X,X
TISJLOZ,X,X,X,O,O,X,X,X,X,O,X,X
TISJZLO,X,O,X,O,X,X,X,X,X,O,X,X
TISJZOL,X,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,O,O,X,X,X,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,X,X,X,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,O,O,X,X,X,X,X,X,X
TISOLZJ,X,X,X,O,O,X,X,X,X,X,X,X
TISOJLZ,X,X,X,O,O,X,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJSO,X,O,X,O,X,O,X,X,X,O,X,X
TIZLJOS,X,O,X,X,X,O,X,X,X,O,O,X
TIZLSJO,X,O,X,O,X,X,X,X,X,O,X,X
TIZLSOJ,X,O,X,O,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,O,X,X,X,X,O,X
TIZLOSJ,X,O,X,X,X,O,X,X,X,X,O,X
TIZJLSO,X,O,X,O,X,O,X,X,X,O,X,X
TIZJLOS,X,O,X,X,X,O,X,X,X,O,O,X
TIZJSLO,X,O,X,O,X,O,X,X,X,O,X,X
TIZJSOL,X,O,X,O,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,X,X,X,O,O,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,O,X,X,X,X,X,X
TIZSJLO,X,O,X,O,X,O,X,X,X,X,X,X
TIZSJOL,X,O,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,O,X,X,X,X,O,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,X,O,X
TIZOJLS,X,X,X,X,X,O,X,X,X,X,O,X
TIZOJSL,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,O,X,O,O,X,O
TIOLJZS,X,X,O,X,X,X,O,X,O,O,O,O
TIOLSJZ,X,X,O,X,O,X,X,X,X,O,X,O
TIOLSZJ,X,X,O,X,O,X,X,X,X,X,O,X
TIOLZJS,X,X,O,X,X,X,X,X,O,X,O,O
TIOLZSJ,X,X,O,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,O,X,O,X,O,X,O,O,X,O
TIOJLZS,X,X,O,X,X,X,O,X,O,O,X,O
TIOJSLZ,X,X,X,X,O,X,O,X,O,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,O,X,O,O,X,X
TIOJZSL,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,X,X,X,X,X
