sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
TISOZJL,X,X,X,X,X,O,X,X,X,O
TIZLJSO,X,X,X,X,X,O,X,X,O,X
TIZLJOS,X,X,X,X,X,O,X,X,X,X
TIZLSJO,X,X,X,X,X,O,X,X,O,X
TIZLSOJ,X,X,X,X,X,O,X,X,O,X
TIZLOJS,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,O,X,X,O,X
TIZJLSO,X,X,X,X,X,O,X,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X,X,X
TIZJSLO,X,X,X,X,X,O,X,X,X,X
TIZJSOL,X,X,X,X,X,O,X,X,X,O
TIZJOLS,X,X,X,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X,X,O
TIZSLJO,X,X,X,X,X,O,X,X,X,X
TIZSLOJ,X,X,X,X,X,O,X,X,X,X
TIZSJLO,X,X,X,X,X,O,X,X,X,X
TIZSJOL,X,X,X,X,X,O,X,X,X,O
TIZSOLJ,X,X,X,X,X,O,X,X,X,X
TIZSOJL,X,X,X,X,X,O,X,X,X,O
TIZOLJS,X,X,X,X,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,X
TIZOJLS,X,X,X,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,X,O,X,X,X,O
TIZOSLJ,X,X,X,X,X,O,X,X,X,X
