sequence,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFUcBRdBFgBT?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFzbBRdBUgBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldB6lB/?mBUiBeqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhF8gBRdBKlBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldBigBU?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jel7IvhFRdBmfB6mBT?iB3lB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jey/IvhFWhB3dBTlBx?mBlmB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeR7IvhFzcBuiBigBc?qBlmB/pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Je39IvhFxfBylBWnBT?lBlmB0pB
TIJOSLZ,X,O,O,O,X,X,X,X,X
TIJOSZL,X,O,O,X,X,X,X,X,X
TIJOZLS,O,O,O,O,X,X,X,O,X
TIJOZSL,X,O,O,X,X,X,X,X,X
TISLJZO,X,O,X,O,X,X,X,X,O
TISLJOZ,X,O,O,O,X,X,X,X,O
TISLZJO,X,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X
TISLOJZ,X,O,O,O,X,X,X,X,X
TISLOZJ,X,O,O,X,X,X,X,X,X
TISJLZO,X,O,O,O,X,X,X,X,O
TISJLOZ,X,O,O,O,X,X,X,X,O
TISJZLO,X,O,X,O,X,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,X,X
TISJOLZ,X,O,O,O,X,X,X,X,X
TISJOZL,X,O,O,X,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X
TISZJLO,X,O,X,X,X,X,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,X
TISZOLJ,X,O,O,X,X,X,X,X,X
TISZOJL,X,O,O,X,X,X,X,X,X
TISOLJZ,X,O,O,O,X,X,O,X,X
TISOLZJ,X,O,O,X,X,X,X,X,X
TISOJLZ,X,O,O,O,X,X,O,X,X
TISOJZL,X,O,O,X,X,X,X,X,X
TISOZLJ,X,O,O,X,X,X,X,X,X
TISOZJL,X,O,O,X,X,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,O,X
TIZLJOS,O,O,X,O,O,X,X,O,X
TIZLSJO,X,O,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X
TIZLOJS,O,O,X,O,O,X,X,O,X
TIZLOSJ,O,O,X,X,X,X,X,X,X
TIZJLSO,X,O,O,O,O,X,X,O,X
TIZJLOS,O,O,O,O,O,X,X,O,X
TIZJSLO,X,O,O,O,X,X,X,X,X
TIZJSOL,X,O,O,X,O,X,X,X,X
TIZJOLS,X,O,O,O,O,X,X,O,X
TIZJOSL,X,O,O,X,O,X,X,X,X
TIZSLJO,X,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X
TIZSJLO,X,O,O,X,X,X,X,X,X
TIZSJOL,X,O,O,X,O,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X,X,X
TIZSOJL,X,O,O,X,O,X,X,X,X
TIZOLJS,O,O,X,O,O,X,X,O,X
TIZOLSJ,O,O,X,X,X,X,X,X,X
TIZOJLS,O,O,O,O,O,X,X,O,X
TIZOJSL,X,O,O,X,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X
TIZOSJL,X,X,O,X,O,X,X,X,X
TIOLJSZ,O,O,X,O,X,X,O,X,X
TIOLJZS,O,O,X,O,X,X,X,X,X
TIOLSJZ,X,O,X,O,X,O,O,X,X
TIOLSZJ,O,O,X,X,X,O,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,O,X,O,X,X
TIOJLZS,O,O,O,O,O,X,X,X,X
TIOJSLZ,O,O,O,O,X,X,O,X,X
TIOJSZL,O,O,O,X,X,X,X,X,X
TIOJZLS,O,O,O,O,X,X,X,O,X
TIOJZSL,O,O,O,X,X,X,X,X,X
TIOSLJZ,X,O,O,O,X,X,O,X,X
TIOSLZJ,O,O,O,X,X,X,X,X,X
TIOSJLZ,X,O,O,O,X,X,O,X,X
TIOSJZL,X,O,O,X,X,X,X,X,X
