sequence,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFUcBRdBFgBT?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFzbBRdBUgBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldB6lB/?mBUiBeqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhF8gBRdBKlBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldBigBU?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jel7IvhFRdBmfB6mBT?iB3lB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jey/IvhFWhB3dBTlBx?mBlmB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeR7IvhFzcBuiBigBc?qBlmB/pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Je39IvhFxfBylBWnBT?lBlmB0pB
TSOIZLJ,O,O,O,X,X,X,X,X,X
TSOIZJL,X,O,O,X,X,X,X,X,X
TSOLIJZ,X,O,O,O,X,O,O,X,X
TSOLIZJ,O,O,O,X,X,O,X,X,X
TSOLJIZ,O,O,O,O,X,O,O,X,X
TSOLJZI,O,O,O,O,X,O,X,X,X
TSOLZIJ,O,O,X,X,X,O,X,X,X
TSOLZJI,O,O,X,O,X,O,X,X,X
TSOJILZ,O,O,O,O,X,X,X,X,X
TSOJIZL,O,O,O,X,X,X,X,X,X
TSOJLIZ,O,O,O,O,O,O,O,X,X
TSOJLZI,O,O,O,O,X,O,X,X,X
TSOJZIL,O,O,O,X,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,O,X
TSOZILJ,O,O,O,X,X,X,X,X,X
TSOZIJL,X,O,O,X,O,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,O,X
TSOZJIL,X,O,O,X,O,X,X,X,X
TSOZJLI,X,O,O,X,O,X,X,O,X
TZILJSO,X,O,X,O,X,X,X,O,X
TZILJOS,O,O,X,O,O,X,X,O,X
TZILSJO,X,O,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,X,X
TZILOJS,O,O,X,O,O,X,X,O,X
TZILOSJ,O,O,X,X,X,X,X,X,X
TZIJLSO,X,O,O,O,O,X,X,O,X
TZIJLOS,O,O,O,O,O,X,X,O,X
TZIJSLO,X,O,O,O,X,X,X,X,X
TZIJSOL,X,O,O,X,O,X,X,X,X
TZIJOLS,X,O,O,O,O,X,X,O,X
TZIJOSL,X,O,O,X,O,X,X,X,X
TZISLJO,X,O,O,X,X,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X,X,X
TZISJLO,X,O,O,X,X,X,X,X,X
TZISJOL,X,O,O,X,O,X,X,X,X
TZISOLJ,X,O,O,X,X,X,X,X,X
TZISOJL,X,O,O,X,O,X,X,X,X
TZIOLJS,O,O,X,O,O,X,X,O,X
TZIOLSJ,O,O,X,X,X,X,X,X,X
TZIOJLS,O,O,O,O,O,X,X,O,X
TZIOJSL,X,O,O,X,O,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X,X
TZIOSJL,X,X,O,X,O,X,X,X,X
TZLIJSO,X,O,X,O,X,X,X,O,X
TZLIJOS,O,O,X,O,O,X,X,O,X
TZLISJO,X,O,X,X,X,X,X,X,X
TZLISOJ,O,O,X,X,X,X,X,X,X
TZLIOJS,O,O,X,O,O,X,X,O,X
TZLIOSJ,O,O,X,X,X,X,X,X,X
TZLJISO,X,O,O,O,O,X,X,O,X
TZLJIOS,O,O,O,O,O,X,X,O,X
TZLJSIO,X,O,O,O,O,X,X,O,X
TZLJSOI,X,O,O,O,O,X,X,O,X
TZLJOIS,O,O,O,O,O,X,X,O,X
TZLJOSI,O,O,O,O,O,X,X,O,X
TZLSIJO,X,O,O,X,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X,X
TZLSJIO,X,O,O,O,X,X,X,O,X
TZLSJOI,X,O,O,O,X,X,X,O,X
TZLSOIJ,O,O,O,X,X,X,X,X,X
TZLSOJI,O,O,O,O,X,X,X,O,X
TZLOIJS,O,O,X,O,O,X,X,O,X
TZLOISJ,O,O,X,X,X,X,X,X,X
TZLOJIS,O,O,O,O,O,X,X,O,X
TZLOJSI,O,O,O,O,O,X,X,O,X
TZLOSIJ,O,O,O,X,X,X,X,X,X
TZLOSJI,O,O,O,O,X,X,X,O,X
TZJILSO,X,O,O,O,O,X,X,O,X
TZJILOS,O,O,O,O,O,X,X,O,X
TZJISLO,X,O,O,O,X,X,X,X,X
TZJISOL,X,O,O,X,O,X,X,X,X
TZJIOLS,X,O,O,O,O,X,X,O,X
TZJIOSL,X,O,O,X,O,X,X,X,X
TZJLISO,X,O,O,O,O,X,X,O,X
TZJLIOS,O,O,O,O,O,X,X,O,X
TZJLSIO,X,O,O,O,O,X,X,O,X
TZJLSOI,X,O,O,O,O,X,X,O,X
TZJLOIS,O,O,O,O,O,X,X,O,X
TZJLOSI,O,O,O,O,O,X,X,O,X
TZJSILO,X,O,O,O,X,X,X,X,X
TZJSIOL,X,O,O,X,O,X,X,X,X
TZJSLIO,X,O,O,O,O,X,X,O,X
TZJSLOI,X,O,O,O,O,X,X,O,X
TZJSOIL,X,O,O,X,O,X,X,X,X
TZJSOLI,X,O,O,X,O,X,X,O,X
TZJOILS,O,O,O,O,O,X,X,O,X
TZJOISL,X,O,O,X,O,X,X,X,X
TZJOLIS,O,O,O,O,O,X,X,O,X
TZJOLSI,O,O,O,O,O,X,X,O,X
TZJOSIL,X,O,O,X,O,X,X,X,X
TZJOSLI,X,O,O,X,O,X,X,O,X
TZSILJO,X,O,O,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X
TZSIJLO,X,O,O,X,X,X,X,X,X
TZSIJOL,X,O,O,X,O,X,X,X,X
TZSIOLJ,X,O,O,X,X,X,X,X,X
TZSIOJL,X,O,O,X,O,X,X,X,X
TZSLIJO,X,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X,X
TZSLJIO,X,O,O,O,X,X,X,O,X
TZSLJOI,X,O,O,O,X,X,X,O,X
TZSLOIJ,O,O,O,X,X,X,X,X,X
TZSLOJI,O,O,O,O,X,X,X,O,X
TZSJILO,X,O,O,O,X,X,X,X,X
TZSJIOL,X,O,O,X,O,X,X,X,X
TZSJLIO,X,O,O,O,O,X,X,O,X
TZSJLOI,X,O,O,O,O,X,X,O,X
TZSJOIL,X,O,O,X,O,X,X,X,X
TZSJOLI,X,O,O,X,O,X,X,O,X
TZSOILJ,O,O,O,X,X,X,X,X,X
TZSOIJL,X,O,O,X,O,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,O,X
TZSOJIL,X,O,O,X,O,X,X,X,X
TZSOJLI,X,O,O,X,O,X,X,O,X
TZOILJS,O,O,X,O,O,X,X,O,X
TZOILSJ,O,O,X,X,X,X,X,X,X
TZOIJLS,O,O,O,O,O,X,X,O,X
TZOIJSL,X,O,O,X,O,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X,X
TZOISJL,X,X,O,X,O,X,X,X,X
TZOLIJS,O,O,X,O,O,X,X,O,X
TZOLISJ,O,O,X,X,X,X,X,X,X
TZOLJIS,O,O,O,O,O,X,X,O,X
TZOLJSI,O,O,O,O,O,X,X,O,X
TZOLSIJ,O,O,O,X,X,X,X,X,X
TZOLSJI,O,O,O,O,X,X,X,O,X
TZOJILS,O,O,O,O,O,X,X,O,X
TZOJISL,O,O,O,X,O,X,X,X,X
TZOJLIS,O,O,O,O,O,X,X,O,X
TZOJLSI,O,O,O,O,O,X,X,O,X
TZOJSIL,O,O,O,X,O,X,X,X,X
TZOJSLI,O,O,O,X,O,X,X,O,X
TZOSILJ,O,O,O,X,X,X,X,X,X
TZOSIJL,X,X,O,X,O,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,O,X
TZOSJIL,X,O,O,X,O,X,X,X,X
TZOSJLI,X,O,O,X,O,X,X,O,X
TOILJSZ,O,O,X,O,X,X,O,X,X
TOILJZS,O,O,X,O,X,X,X,X,X
TOILSJZ,X,O,X,O,X,O,O,X,X
TOILSZJ,O,O,X,X,X,O,X,X,X
TOILZJS,O,O,X,O,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X,X
TOIJLSZ,O,O,O,O,O,X,O,X,X
TOIJLZS,O,O,O,O,O,X,X,X,X
TOIJSLZ,O,O,O,O,X,X,O,X,X
TOIJSZL,O,O,O,X,X,X,X,X,X
TOIJZLS,O,O,O,O,X,X,X,O,X
TOIJZSL,O,O,O,X,X,X,X,X,X
TOISLJZ,X,O,O,O,X,X,O,X,X
TOISLZJ,O,O,O,X,X,X,X,X,X
TOISJLZ,X,O,O,O,X,X,O,X,X
TOISJZL,X,O,O,X,X,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X,X,X
TOISZJL,X,O,O,X,X,X,X,X,X
TOIZLJS,O,O,X,O,O,X,X,O,X
TOIZLSJ,O,O,X,X,X,X,X,X,X
TOIZJLS,O,O,O,O,O,X,X,O,X
TOIZJSL,X,O,O,X,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X,X
TOIZSJL,X,X,O,X,O,X,X,X,X
TOLIJSZ,O,O,X,O,X,X,O,X,X
TOLIJZS,O,O,X,O,X,X,X,X,X
TOLISJZ,X,O,X,O,X,O,O,X,X
TOLISZJ,O,O,X,X,X,O,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X,X
TOLJISZ,O,O,O,O,O,X,O,X,X
TOLJIZS,O,O,O,O,O,X,X,X,X
TOLJSIZ,O,O,O,O,O,X,O,X,X
TOLJSZI,O,O,O,O,X,X,X,X,X
TOLJZIS,O,O,O,O,O,X,X,O,X
TOLJZSI,O,O,O,O,X,X,X,O,X
TOLSIJZ,X,O,O,O,X,O,O,X,X
TOLSIZJ,O,O,O,X,X,O,X,X,X
TOLSJIZ,O,O,O,O,X,O,O,X,X
TOLSJZI,O,O,O,O,X,O,X,X,X
TOLSZIJ,O,O,X,X,X,O,X,X,X
TOLSZJI,O,O,X,O,X,O,X,X,X
TOLZIJS,O,O,X,O,O,X,X,O,X
TOLZISJ,O,O,X,X,X,X,X,X,X
TOLZJIS,O,O,O,O,O,X,X,O,X
TOLZJSI,O,O,O,O,O,X,X,O,X
TOLZSIJ,O,O,O,X,X,X,X,X,X
TOLZSJI,O,O,O,O,X,X,X,O,X
TOJILSZ,O,O,O,O,O,X,O,X,X
TOJILZS,O,O,O,O,O,X,X,X,X
TOJISLZ,O,O,O,O,X,X,O,X,X
TOJISZL,O,O,O,X,X,X,X,X,X
TOJIZLS,O,O,O,O,X,X,X,O,X
TOJIZSL,O,O,O,X,X,X,X,X,X
TOJLISZ,O,O,O,O,O,X,O,X,X
TOJLIZS,O,O,O,O,O,X,X,X,X
TOJLSIZ,O,O,O,O,O,X,O,X,X
TOJLSZI,O,O,O,O,X,X,X,X,X
TOJLZIS,O,O,O,O,O,X,X,O,X
TOJLZSI,O,O,O,O,O,X,X,O,X
TOJSILZ,O,O,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,O,O,O,X,O,X,X
TOJSLZI,O,O,O,O,X,X,X,X,X
TOJSZIL,O,O,O,X,X,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X,O,X
TOJZILS,O,O,O,O,O,X,X,O,X
TOJZISL,O,O,O,X,O,X,X,X,X
TOJZLIS,O,O,O,O,O,X,X,O,X
TOJZLSI,O,O,O,O,O,X,X,O,X
TOJZSIL,O,O,O,X,O,X,X,X,X
TOJZSLI,O,O,O,X,O,X,X,O,X
TOSILJZ,X,O,O,O,X,X,O,X,X
TOSILZJ,O,O,O,X,X,X,X,X,X
TOSIJLZ,X,O,O,O,X,X,O,X,X
TOSIJZL,X,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,X,X
TOSIZJL,X,O,O,X,X,X,X,X,X
TOSLIJZ,X,O,O,O,X,O,O,X,X
TOSLIZJ,O,O,O,X,X,O,X,X,X
TOSLJIZ,O,O,O,O,X,O,O,X,X
TOSLJZI,O,O,O,O,X,O,X,X,X
TOSLZIJ,O,O,X,X,X,O,X,X,X
TOSLZJI,O,O,X,O,X,O,X,X,X
TOSJILZ,O,O,O,O,X,X,X,X,X
TOSJIZL,O,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,O,O,X,X
TOSJLZI,O,O,O,O,X,O,X,X,X
TOSJZIL,O,O,O,X,X,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X,O,X
TOSZILJ,O,O,O,X,X,X,X,X,X
TOSZIJL,X,O,O,X,O,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X,O,X
TOSZJIL,X,O,O,X,O,X,X,X,X
TOSZJLI,X,O,O,X,O,X,X,O,X
TOZILJS,O,O,X,O,O,X,X,O,X
TOZILSJ,O,O,X,X,X,X,X,X,X
TOZIJLS,O,O,O,O,O,X,X,O,X
TOZIJSL,X,O,O,X,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X,X
TOZISJL,X,X,O,X,O,X,X,X,X
TOZLIJS,O,O,X,O,O,X,X,O,X
TOZLISJ,O,O,X,X,X,X,X,X,X
TOZLJIS,O,O,O,O,O,X,X,O,X
TOZLJSI,O,O,O,O,O,X,X,O,X
TOZLSIJ,O,O,O,X,X,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,O,X
TOZJILS,O,O,O,O,O,X,X,O,X
TOZJISL,O,O,O,X,O,X,X,X,X
TOZJLIS,O,O,O,O,O,X,X,O,X
TOZJLSI,O,O,O,O,O,X,X,O,X
TOZJSIL,O,O,O,X,O,X,X,X,X
TOZJSLI,O,O,O,X,O,X,X,O,X
TOZSILJ,O,O,O,X,X,X,X,X,X
TOZSIJL,X,X,O,X,O,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X,X
TOZSLJI,O,O,O,X,X,X,X,O,X
TOZSJIL,X,O,O,X,O,X,X,X,X
TOZSJLI,X,O,O,X,O,X,X,O,X
ITLJSZO,O,O,X,O,X,X,X,X,O
ITLJSOZ,X,O,X,O,X,X,X,X,O
ITLJZSO,O,O,X,O,X,X,X,X,X
ITLJZOS,O,O,X,O,X,X,X,X,X
ITLJOSZ,X,O,X,O,X,X,X,X,X
ITLJOZS,O,O,X,O,X,X,X,X,X
ITLSJZO,X,O,X,O,X,X,X,X,O
ITLSJOZ,X,O,X,O,X,X,X,X,O
ITLSZJO,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X,X
ITLSOJZ,X,O,X,O,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X,X
ITLZSJO,X,O,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X,X
ITLZOJS,O,O,X,O,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X,X
ITLOJSZ,O,O,X,O,X,X,X,X,X
ITLOJZS,O,O,X,O,X,X,X,X,X
ITLOSJZ,X,O,X,O,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X,X
ITLOZJS,O,O,X,O,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X,X,X
ITJLSZO,O,O,O,O,X,X,X,X,O
ITJLSOZ,X,O,O,O,O,X,X,X,O
ITJLZSO,O,O,O,O,X,X,X,X,X
ITJLZOS,O,O,O,O,O,X,X,X,X
ITJLOSZ,X,O,O,O,O,X,X,X,X
ITJLOZS,O,O,O,O,O,X,X,X,X
ITJSLZO,O,O,O,O,X,X,X,X,O
ITJSLOZ,X,O,O,O,X,X,X,X,O
ITJSZLO,O,O,X,O,X,X,X,X,X
ITJSZOL,X,O,O,X,X,X,X,X,X
ITJSOLZ,X,O,O,O,X,X,X,X,X
ITJSOZL,X,O,O,X,X,X,X,X,X
ITJZLSO,O,O,O,O,X,X,X,O,X
ITJZLOS,O,O,O,O,X,X,X,O,X
ITJZSLO,O,O,O,O,X,X,X,X,X
ITJZSOL,X,O,O,X,X,X,X,X,X
ITJZOLS,O,O,O,O,X,X,X,O,X
ITJZOSL,X,O,O,X,X,X,X,X,X
ITJOLSZ,X,O,O,O,O,X,X,X,X
ITJOLZS,O,O,O,O,O,X,X,X,X
ITJOSLZ,X,O,O,O,X,X,X,X,X
ITJOSZL,X,O,O,X,X,X,X,X,X
ITJOZLS,O,O,O,O,X,X,X,O,X
ITJOZSL,X,O,O,X,X,X,X,X,X
ITSLJZO,X,O,X,O,X,X,X,X,O
ITSLJOZ,X,O,O,O,X,X,X,X,O
ITSLZJO,X,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X,X
ITSLOJZ,X,O,O,O,X,X,X,X,X
ITSLOZJ,X,O,O,X,X,X,X,X,X
ITSJLZO,X,O,O,O,X,X,X,X,O
ITSJLOZ,X,O,O,O,X,X,X,X,O
ITSJZLO,X,O,X,O,X,X,X,X,X
ITSJZOL,X,O,O,X,X,X,X,X,X
ITSJOLZ,X,O,O,O,X,X,X,X,X
ITSJOZL,X,O,O,X,X,X,X,X,X
ITSZLJO,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X,X
ITSZJLO,X,O,X,X,X,X,X,X,X
ITSZJOL,X,O,O,X,X,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X,X
ITSZOJL,X,O,O,X,X,X,X,X,X
ITSOLJZ,X,O,O,O,X,X,O,X,X
ITSOLZJ,X,O,O,X,X,X,X,X,X
ITSOJLZ,X,O,O,O,X,X,O,X,X
ITSOJZL,X,O,O,X,X,X,X,X,X
ITSOZLJ,X,O,O,X,X,X,X,X,X
ITSOZJL,X,O,O,X,X,X,X,X,X
ITZLJSO,X,O,X,O,X,X,X,O,X
ITZLJOS,O,O,X,O,O,X,X,O,X
ITZLSJO,X,O,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X,X
ITZLOJS,O,O,X,O,O,X,X,O,X
ITZLOSJ,O,O,X,X,X,X,X,X,X
ITZJLSO,X,O,O,O,O,X,X,O,X
ITZJLOS,O,O,O,O,O,X,X,O,X
ITZJSLO,X,O,O,O,X,X,X,X,X
ITZJSOL,X,O,O,X,O,X,X,X,X
ITZJOLS,X,O,O,O,O,X,X,O,X
ITZJOSL,X,O,O,X,O,X,X,X,X
ITZSLJO,X,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,X,X,X
ITZSJLO,X,O,O,X,X,X,X,X,X
ITZSJOL,X,O,O,X,O,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X
ITZSOJL,X,O,O,X,O,X,X,X,X
ITZOLJS,O,O,X,O,O,X,X,O,X
ITZOLSJ,O,O,X,X,X,X,X,X,X
ITZOJLS,O,O,O,O,O,X,X,O,X
ITZOJSL,X,O,O,X,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X,X
ITZOSJL,X,X,O,X,O,X,X,X,X
ITOLJSZ,O,O,X,O,X,X,O,X,X
ITOLJZS,O,O,X,O,X,X,X,X,X
ITOLSJZ,X,O,X,O,X,O,O,X,X
ITOLSZJ,O,O,X,X,X,O,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X,X
ITOJLSZ,O,O,O,O,O,X,O,X,X
ITOJLZS,O,O,O,O,O,X,X,X,X
ITOJSLZ,O,O,O,O,X,X,O,X,X
ITOJSZL,O,O,O,X,X,X,X,X,X
ITOJZLS,O,O,O,O,X,X,X,O,X
ITOJZSL,O,O,O,X,X,X,X,X,X
ITOSLJZ,X,O,O,O,X,X,O,X,X
ITOSLZJ,O,O,O,X,X,X,X,X,X
ITOSJLZ,X,O,O,O,X,X,O,X,X
ITOSJZL,X,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X,X,X
ITOSZJL,X,O,O,X,X,X,X,X,X
ITOZLJS,O,O,X,O,O,X,X,O,X
ITOZLSJ,O,O,X,X,X,X,X,X,X
ITOZJLS,O,O,O,O,O,X,X,O,X
ITOZJSL,X,O,O,X,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X,X
ITOZSJL,X,X,O,X,O,X,X,X,X
ILTJSZO,O,O,X,O,X,X,X,X,O
ILTJSOZ,X,O,X,O,X,X,X,X,O
ILTJZSO,O,O,X,O,X,X,X,X,X
ILTJZOS,O,O,X,O,X,X,X,X,X
ILTJOSZ,X,O,X,O,X,X,X,X,X
ILTJOZS,O,O,X,O,X,X,X,X,X
ILTSJZO,X,O,X,O,X,X,X,X,O
ILTSJOZ,X,O,X,O,X,X,X,X,O
ILTSZJO,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X,X
ILTSOJZ,X,O,X,O,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,X,X,X
ILTZJSO,X,O,X,O,X,X,X,X,X
ILTZJOS,O,O,X,O,X,X,X,X,X
ILTZSJO,X,O,X,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X,X
ILTZOJS,O,O,X,O,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,O,X,X,X,X,X
ILTOJZS,O,O,X,O,X,X,X,X,X
ILTOSJZ,X,O,X,O,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,X
ILTOZJS,O,O,X,O,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X,X,X
ILJTSZO,O,O,X,O,X,X,X,X,O
ILJTSOZ,X,O,X,O,X,X,X,X,O
ILJTZSO,O,O,X,O,X,X,X,X,X
ILJTZOS,O,O,X,O,X,X,X,X,X
ILJTOSZ,O,O,X,O,X,X,X,X,X
ILJTOZS,O,O,X,O,X,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X,O
ILJSTOZ,X,X,X,O,X,X,X,X,O
ILJSZTO,O,X,X,X,X,X,X,X,O
ILJSZOT,O,O,X,X,X,X,X,X,O
ILJSOTZ,X,X,X,O,X,X,X,X,O
ILJSOZT,X,X,X,X,X,X,X,X,O
ILJZTSO,O,O,X,O,X,X,X,X,X
ILJZTOS,O,O,X,O,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X,X,X,O
ILJZSOT,O,O,X,X,X,X,X,X,O
ILJZOTS,O,O,X,O,X,X,X,X,X
ILJZOST,O,O,X,X,X,X,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X,O
ILJOSZT,O,X,X,X,X,X,X,X,O
ILJOZTS,O,O,X,O,X,X,X,X,X
ILJOZST,O,O,X,X,X,X,X,X,X
ILSTJZO,X,O,X,O,X,X,X,X,O
ILSTJOZ,X,O,X,O,X,O,X,X,O
ILSTZJO,X,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X,X
ILSTOJZ,X,O,X,O,X,O,X,X,X
ILSTOZJ,X,O,X,X,X,O,X,X,X
ILSJTZO,O,X,X,O,X,X,X,X,O
ILSJTOZ,X,X,X,O,X,O,X,X,O
ILSJZTO,O,X,X,X,X,X,X,X,O
ILSJZOT,O,O,X,X,X,X,X,X,O
ILSJOTZ,X,X,X,O,X,O,X,X,O
ILSJOZT,X,X,X,X,X,O,X,X,O
ILSZTJO,X,O,X,X,X,X,X,X,X
ILSZTOJ,X,O,X,X,X,X,X,X,X
ILSZJTO,X,X,X,X,X,X,X,X,O
ILSZJOT,X,O,X,X,X,X,X,X,O
ILSZOTJ,X,O,X,X,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,O,X,O,O,X,X
ILSOTZJ,O,X,X,X,X,O,X,X,X
ILSOJTZ,O,X,X,O,X,O,O,X,O
ILSOJZT,O,X,X,X,X,O,O,X,O
ILSOZTJ,X,X,X,X,X,O,X,X,X
ILSOZJT,X,X,X,X,X,O,O,X,X
ILZTJSO,X,O,X,O,X,X,X,X,X
ILZTJOS,O,O,X,O,X,X,X,X,X
ILZTSJO,X,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X,X
ILZTOJS,O,O,X,O,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,X,X,X
ILZJTSO,O,O,X,O,X,X,X,X,X
ILZJTOS,O,O,X,O,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X,X,X,O
ILZJSOT,O,O,X,X,X,X,X,X,O
ILZJOTS,O,O,X,O,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,X,X,X
ILZSTJO,X,O,X,X,X,X,X,X,X
ILZSTOJ,X,O,X,X,X,X,X,X,X
ILZSJTO,X,X,X,X,X,X,X,X,O
ILZSJOT,X,O,X,X,X,X,X,X,O
ILZSOTJ,X,O,X,X,X,X,X,X,X
ILZSOJT,X,O,X,X,X,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X,X,X
ILZOJTS,O,O,X,O,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,X,X,X,X,X,X
ILZOSJT,X,O,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,O,X,X
ILOTJZS,O,O,X,O,X,X,X,X,X
ILOTSJZ,X,O,X,O,X,O,O,X,X
ILOTSZJ,O,O,X,X,X,O,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,X,X
ILOJTSZ,O,X,X,O,X,X,O,X,X
ILOJTZS,O,X,X,O,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,O,O,X,O
ILOJSZT,O,X,X,X,X,O,O,X,O
ILOJZTS,O,O,X,O,X,X,X,X,X
ILOJZST,O,O,X,X,X,X,O,X,X
ILOSTJZ,X,X,X,O,X,O,O,X,X
ILOSTZJ,O,X,X,X,X,O,X,X,X
ILOSJTZ,O,X,X,O,X,O,O,X,O
ILOSJZT,O,X,X,X,X,O,O,X,O
ILOSZTJ,X,X,X,X,X,O,X,X,X
ILOSZJT,X,X,X,X,X,O,O,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,X,X
ILOZJTS,O,O,X,O,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,O,X,X
ILOZSTJ,X,O,X,X,X,O,X,X,X
ILOZSJT,X,O,X,X,X,O,O,X,X
IJTLSZO,O,O,O,O,X,X,X,X,O
IJTLSOZ,X,O,O,O,O,X,X,X,O
IJTLZSO,O,O,O,O,X,X,X,X,X
IJTLZOS,O,O,O,O,O,X,X,X,X
IJTLOSZ,O,O,O,O,O,X,X,X,X
IJTLOZS,O,O,O,O,O,X,X,X,X
IJTSLZO,O,O,O,O,X,X,X,X,O
IJTSLOZ,X,O,O,O,X,X,X,X,O
IJTSZLO,O,O,X,O,X,X,X,X,X
IJTSZOL,X,O,O,X,X,X,X,X,X
IJTSOLZ,X,O,O,O,X,X,X,X,X
IJTSOZL,X,O,O,X,X,X,X,X,X
IJTZLSO,O,O,O,O,X,X,X,O,X
IJTZLOS,O,O,O,O,X,X,X,O,X
IJTZSLO,O,O,O,O,X,X,X,X,X
