sequence,v115@EhD8EeF8DeE8BeG8JeT6IvhF0cBxdBmgBFlBSrBXqB,v115@EhD8EeF8DeE8BeG8JeT6IvhFegBCcBxdBlhBUmBXqB,v115@EhD8EeF8DeE8BeG8Je2/IvhFfhB0cBxiBFlBSrBzpB,v115@EhD8EeF8DeE8BeG8Je//IvhF0cBxdBOqBTmBllBCqB,v115@EhD8EeF8DeE8BeG8JeT6IvhFxdBXgBlhBUmBeqBCrB,v115@EhD8EeF8DeE8BeG8Jem6IvhFqgBxdB0fBlhBTmBXqB,v115@EhD8EeF8DeE8BeG8Je//IvhFxdBOlBlhBUmBCmBzpB
TILJSZO,O,O,O,X,X,X,X
TILJSOZ,O,O,O,X,X,X,X
TILJZSO,O,O,O,X,X,X,X
TILJZOS,O,O,X,X,X,X,X
TILJOSZ,O,O,O,X,X,X,X
TILJOZS,O,O,X,X,X,X,X
TILSJZO,O,O,O,X,X,O,X
TILSJOZ,O,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,O,O
TILSZOJ,O,O,O,X,X,O,X
TILSOJZ,O,O,O,X,X,X,X
TILSOZJ,O,X,O,X,O,O,X
TILZJSO,O,O,O,X,X,X,O
TILZJOS,O,O,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,O
TILZSOJ,O,O,O,X,O,X,X
TILZOJS,O,O,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X
TILOJSZ,O,O,O,X,X,X,X
TILOJZS,O,O,X,X,X,X,X
TILOSJZ,O,O,O,X,X,X,X
TILOSZJ,O,X,O,X,O,X,X
TILOZJS,O,O,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X
TIJLZSO,O,O,O,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X
TIJLOSZ,O,O,O,X,X,X,X
TIJLOZS,O,O,X,X,X,X,X
TIJSLZO,X,O,O,X,X,O,X
TIJSLOZ,X,O,O,X,X,X,X
TIJSZLO,X,O,X,X,X,O,O
TIJSZOL,X,O,X,X,X,X,O
TIJSOLZ,X,O,X,O,X,X,X
TIJSOZL,X,O,X,O,O,X,X
TIJZLSO,X,O,O,X,X,X,O
TIJZLOS,X,O,X,X,X,X,X
TIJZSLO,X,O,X,X,X,X,O
TIJZSOL,X,O,X,X,O,X,O
TIJZOLS,X,O,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,O
TIJOLSZ,O,O,O,X,X,X,X
TIJOLZS,O,O,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X
TIJOSZL,X,X,X,O,O,X,X
TIJOZLS,X,O,X,X,X,X,X
TIJOZSL,X,O,X,O,X,X,X
TISLJZO,O,O,O,X,X,O,X
TISLJOZ,O,O,O,X,X,X,X
TISLZJO,O,O,O,X,X,O,O
TISLZOJ,O,O,O,X,X,O,X
TISLOJZ,O,O,O,X,X,X,X
TISLOZJ,O,X,O,X,O,O,X
TISJLZO,X,O,O,X,X,O,X
TISJLOZ,X,O,O,X,X,X,X
TISJZLO,X,O,X,X,X,O,O
TISJZOL,X,O,X,X,X,X,O
TISJOLZ,X,O,X,O,X,X,X
TISJOZL,X,O,X,O,O,X,X
TISZLJO,X,O,X,X,X,O,O
TISZLOJ,X,O,X,X,O,O,X
TISZJLO,X,O,X,X,X,O,O
TISZJOL,X,O,X,X,O,X,O
TISZOLJ,X,O,X,X,O,O,X
TISZOJL,X,O,X,O,O,X,O
TISOLJZ,O,O,X,X,X,X,X
TISOLZJ,O,X,X,X,O,O,X
TISOJLZ,X,O,X,O,X,X,X
TISOJZL,X,O,X,O,O,X,X
TISOZLJ,X,O,X,X,O,O,X
TISOZJL,X,O,X,O,O,X,O
TIZLJSO,O,O,O,X,X,X,O
TIZLJOS,O,O,X,X,X,X,X
TIZLSJO,O,O,O,X,X,X,O
TIZLSOJ,O,O,O,X,O,X,X
TIZLOJS,O,O,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X
TIZJLSO,X,O,O,X,X,X,O
TIZJLOS,X,O,X,X,X,X,X
