sequence,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jex6IvhF8gBfiB6iBm?fBTkBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFzbBfiB6iBu?kBUgBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFzbBfiB6iBU?gBukBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jex6IvhF8gBzcB+iBi?fB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jei6IvhFGdBRgBUiB3?gBTkBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Je2/IvhFRbBSiB3gBU?iBTkBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jei6IvhFzbBGdBUiBx?kB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jex6IvhF8gBCdB2kBT?iB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeWBJvhFxcB/kBUgBT?iBikBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFlbBzcB+iBC?lBflB8qB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeX7IvhFxcBTiB0kB6?qBOpBFrB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Je//IvhFRbBCdBTiB2?pB0lBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jei6IvhFzbBckBGiBR?qB/qBFsB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Je2/IvhFzbBSiBUiBx?kB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFGdBUiBClBf?lBzlBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhF3bBCdBTiBF?lBukB8qB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeO/IvhFXbBxcBTiB1?pB0lBCrB
TIJLZOS,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIJSLZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJSZLO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIJSOZL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZLSO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TIJZLOS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TIJZSLO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TIJZSOL,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TIJZOLS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
TIJZOSL,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
TIJOLSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
TIJOLZS,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X
TIJOSLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
TIJOSZL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIJOZLS,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,O
TIJOZSL,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
TISLJZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TISJZLO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O
TISJOZL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZLJO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISOLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TISOLZJ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TISOJLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TISOJZL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
TISOZLJ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TISOZJL,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
TIZLJSO,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TIZLJOS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X
TIZLSJO,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TIZLSOJ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TIZLOJS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TIZLOSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TIZJLSO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TIZJLOS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X
TIZJSLO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TIZJSOL,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TIZJOLS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
TIZJOSL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZSLJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TIZSLOJ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZSJLO,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TIZSJOL,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSOLJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TIZSOJL,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZOLJS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIZOLSJ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIZOJLS,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O
TIZOJSL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O
TIZOSLJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIZOSJL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
TIOLJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOLJZS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TIOLSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOLSZJ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TIOLZJS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TIOLZSJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOJLZS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TIOJSLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOJSZL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
TIOJZLS,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIOJZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIOSLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOSLZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TIOSJLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOSJZL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
TIOSZLJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TIOSZJL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TIOZLJS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIOZLSJ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIOZJLS,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIOZJSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIOZSLJ,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O
TIOZSJL,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
TLIJSZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIJZSO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIJOZS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TLISJZO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLISZJO,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLISOZJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLIZJOS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TLIZSJO,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLIZSOJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TLIZOJS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TLIZOSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TLIOJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
TLIOJZS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLIOSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
TLIOSZJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIOZJS,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TLIOZSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLJISZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJSIZO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJSIOZ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJSZIO,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJSZOI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJSOZI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJZOIS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJZOSI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJOISZ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
TLJOIZS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLJOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJOSZI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJOZSI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
TLSIJZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSIZJO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSIOZJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLSJOZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLSOIZJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLSOJZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZIJOS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X
TLZISJO,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZISOJ,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZIOJS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TLZIOSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZJISO,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZJIOS,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZJSIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJOIS,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLZJOSI,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSIJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZSOIJ,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O
TLZSOJI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O
TLZOIJS,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,O
TLZOISJ,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
TLZOJIS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
TLZOJSI,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TLZOSIJ,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TLZOSJI,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TLOIJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TLOIJZS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TLOISJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TLOISZJ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TLOIZJS,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,X
TLOIZSJ,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TLOJISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TLOJIZS,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TLOJSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOJSZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLOJZSI,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLOSIJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TLOSIZJ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLOSJIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOSJZI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,O
TLOZISJ,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,O
TLOZJIS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
TLOZJSI,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TLOZSIJ,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TLOZSJI,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TJILSZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJILZSO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TJILOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJILOZS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TJISLZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJISZLO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TJISOZL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZLSO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TJIZLOS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TJIZSLO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TJIZSOL,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TJIZOLS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
TJIZOSL,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
TJIOLSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
TJIOLZS,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X
TJIOSLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
TJIOSZL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TJIOZLS,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,O
TJIOZSL,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
TJLISZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLSIZO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLSIOZ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLSZIO,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TJLSZOI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TJLSOZI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJLZOIS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TJLZOSI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TJLOISZ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
TJLOIZS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TJLOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TJLOSZI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TJLOZSI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
