sequence,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhFTeB/mBFiBG?oBisB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhF0dB6jBThB2?nBFsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBfjB6jBx?mBUsBFtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBlmBc?sBToBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBTjBl?mBcsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzdB5jB3hBV?sBatBUsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBXjBl?mBctBTsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFxdBCjBlmBT?oB0sBfsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFfiB5jBziB0?mBlnByxB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcB5jB1nB0?mB3sBatB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhF6jBziBlmBx?sBfsB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBCjBlmBx?sBctB3sB
TILJSZO,O,X,O,O,O,O,O,X,X,X,X,X
TILJSOZ,O,X,O,X,X,O,O,X,X,X,X,O
TILJZSO,X,O,X,O,O,X,O,X,O,X,X,X
TILJZOS,X,O,X,O,O,O,O,X,O,X,X,O
TILJOSZ,O,X,O,X,X,O,O,X,X,X,O,O
TILJOZS,X,X,X,O,O,O,O,X,O,X,O,O
TILSJZO,O,O,O,O,O,O,O,X,X,X,X,X
TILSJOZ,O,O,O,X,X,O,O,X,X,X,X,O
TILSZJO,O,O,O,X,X,O,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,O,X,X,X,X,X,X
TILSOJZ,O,O,O,X,X,O,X,X,X,X,X,O
TILSOZJ,X,O,O,X,X,O,X,X,X,X,X,X
TILZJSO,X,X,X,O,O,X,O,X,O,X,X,X
TILZJOS,X,X,X,O,O,O,O,X,O,X,X,O
TILZSJO,X,X,X,O,O,O,O,X,O,X,X,X
TILZSOJ,X,X,X,X,O,O,X,X,O,X,X,X
TILZOJS,X,X,X,O,O,O,O,X,O,X,X,O
TILZOSJ,X,X,X,O,X,O,X,X,O,X,X,X
TILOJSZ,X,X,O,X,X,O,O,X,X,X,O,O
TILOJZS,X,O,X,O,O,O,O,X,O,X,O,O
