sequence,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWBJvhFxcBTeBUgBy?mBfoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFRdBSjBUgB3?hBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBxdBUgBT?iBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBC?iBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFWiBxdBUgBX?jBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeC8IvhFxdBUgB/mBO?oBTnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeSAJvhFFdBTeBxlBm?nB/mBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWCJvhFTeBRgB3gB0?iBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFuiBcjBRgB3?gBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFCeBRgBOoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFGeBRgBaoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBUgBzhBC?jBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBu?mB1nBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBUgBxiBT?iBOoBFsB
IZLJTOS,O,O,X,X,X,O,O,X,O,O,O,X,X,X
IZLJSTO,O,O,X,X,X,O,O,X,O,O,O,X,X,X
IZLJSOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZLJOTS,O,O,X,X,X,O,O,X,O,O,O,X,X,X
IZLJOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,O,X,X,X,O,X,O,X,O,O
IZLSTOJ,O,O,X,X,O,X,X,X,O,X,O,O,O,O
IZLSJTO,O,O,X,X,O,O,X,X,O,X,O,X,O,O
IZLSJOT,O,O,X,X,O,O,X,X,X,X,X,X,O,O
IZLSOTJ,O,O,X,X,O,X,X,X,X,X,X,X,O,O
IZLSOJT,O,O,X,X,O,O,X,X,X,X,X,X,O,O
IZLOTJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
IZLOTSJ,O,O,X,X,O,X,X,X,O,X,O,X,O,X
IZLOJTS,O,O,X,X,X,O,O,X,O,X,O,X,X,X
IZLOJST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IZLOSJT,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IZJTLSO,O,X,O,X,X,O,O,X,O,O,O,X,X,X
IZJTLOS,O,X,O,X,X,O,O,X,O,O,O,X,X,X
IZJTSLO,O,X,O,X,X,O,O,X,X,O,X,X,X,O
IZJTSOL,O,X,O,X,X,X,O,X,O,O,X,X,X,X
IZJTOLS,O,X,O,X,X,O,O,X,O,O,O,X,X,X
IZJTOSL,O,X,O,X,X,O,O,X,O,O,X,X,X,X
IZJLTSO,O,O,O,X,X,O,O,X,O,O,O,X,X,X
IZJLTOS,O,O,O,X,X,O,O,X,O,O,O,X,X,X
IZJLSTO,O,O,O,O,X,O,O,X,O,O,O,X,X,X
IZJLSOT,O,O,O,O,X,O,O,X,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,O,O,X,O,O,O,X,X,X
IZJLOST,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJSTLO,O,O,O,O,X,O,O,X,X,O,X,X,X,X
IZJSTOL,O,O,O,O,X,X,O,X,O,O,X,X,X,X
IZJSLTO,O,O,O,O,X,O,O,X,O,O,X,X,X,O
IZJSLOT,O,O,O,O,X,O,O,X,X,X,X,X,X,O
IZJSOTL,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJSOLT,O,O,O,O,X,O,O,X,X,X,X,X,X,X
IZJOTLS,O,X,O,X,X,O,O,X,O,O,X,X,X,X
IZJOTSL,O,X,O,X,X,O,O,X,O,O,X,X,X,X
IZJOLTS,O,O,X,X,X,O,O,X,O,O,X,X,X,X
IZJOLST,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,O,X,X,X,X,X,O,X,O,O
IZSTLOJ,O,O,O,O,O,X,X,X,X,X,O,O,O,O
IZSTJLO,O,O,O,O,O,X,X,X,X,O,X,X,X,O
IZSTJOL,O,O,O,O,O,X,X,X,O,O,X,X,X,X
IZSTOLJ,O,O,O,O,O,X,X,X,X,X,O,O,O,O
IZSTOJL,O,O,O,O,O,X,X,X,O,O,X,O,X,X
IZSLTJO,O,X,O,O,O,X,X,X,X,X,O,X,O,O
IZSLTOJ,O,O,O,O,O,X,X,X,X,X,O,O,O,O
IZSLJTO,O,X,O,O,O,O,X,X,X,X,O,X,O,O
IZSLJOT,O,O,O,O,O,O,X,X,X,X,X,X,O,O
IZSLOTJ,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IZSLOJT,O,O,X,O,O,O,X,X,X,X,X,X,O,O
IZSJTLO,X,O,O,O,O,O,X,X,X,O,X,X,X,X
IZSJTOL,O,O,O,O,O,X,X,X,O,O,X,X,X,X
IZSJLTO,O,O,O,O,O,O,X,X,O,O,X,X,O,O
IZSJLOT,O,O,O,O,O,O,X,X,X,X,X,X,O,O
IZSJOTL,O,O,X,O,O,O,X,X,X,X,X,X,X,X
IZSJOLT,O,O,O,O,O,O,X,X,X,X,X,X,O,X
IZSOTLJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZSOTJL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IZSOLJT,O,O,X,O,O,O,X,X,X,X,X,X,O,O
IZSOJTL,O,O,X,O,O,O,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,O,O,O,X,X,X,X,X,X,O,X
IZOTLJS,X,O,X,X,O,X,X,X,O,O,O,X,X,X
IZOTLSJ,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IZOTJLS,X,O,X,O,O,X,X,O,O,O,O,X,X,X
IZOTJSL,X,X,X,O,O,X,X,O,O,O,X,X,X,X
IZOTSLJ,X,O,X,O,O,X,X,X,X,X,O,X,X,O
IZOTSJL,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IZOLTJS,X,O,X,X,O,X,X,O,X,X,O,X,O,X
IZOLTSJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IZOLJTS,X,O,X,X,X,O,O,X,X,X,O,X,X,X
IZOLJST,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IZOLSJT,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IZOJTLS,X,X,X,X,X,O,O,X,O,O,X,X,X,X
IZOJTSL,O,X,X,X,X,O,O,X,O,O,X,X,X,X
IZOJLTS,X,O,X,X,X,O,O,X,O,O,X,X,X,X
IZOJLST,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X
IZOSTJL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IZOSLJT,O,O,X,O,O,O,X,X,X,X,X,X,O,O
IZOSJTL,O,O,X,O,O,O,X,X,X,X,X,X,X,X
IZOSJLT,O,O,X,O,O,O,X,X,X,X,X,X,O,X
IOTLJSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,O,O,O,X,X,X,X,X
IOTLSJZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTLSZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,O,O,O,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,O,O,O,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,O,O,O,X,X,X,X,X
IOTSLJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTSJLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZJLS,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTZJSL,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTZSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IOTZSJL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,O,X,X,X,X,O,X
IOLTJZS,X,X,X,X,X,X,O,O,O,X,X,X,O,X
IOLTSJZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLTZJS,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOLTZSJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOLJZST,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOLSTZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSJTZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLSJZT,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZTJS,X,X,X,X,X,X,X,O,O,X,O,X,O,X
IOLZTSJ,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOLZJTS,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IOLZJST,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZSJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTLSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJLSZT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IOJLZST,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJSLZT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJSZTL,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJSZLT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJZTSL,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJZLTS,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJZLST,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZSTL,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZSLT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSTLZJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSTJLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSTZJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,O,X,X,X,X,O,X
IOSLTZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSLJTZ,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOSLJZT,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOSLZTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSLZJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSJTLZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOSJLZT,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IOSJZTL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOSJZLT,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOSZTLJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSZTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSZLJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSZJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZTLJS,X,X,X,X,X,X,X,X,O,O,O,X,X,X
IOZTLSJ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZTJLS,X,X,X,O,X,X,X,O,O,O,O,X,X,X
IOZTJSL,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IOZTSLJ,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IOZTSJL,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOZLTJS,X,X,X,X,X,X,X,O,X,X,O,X,O,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZLJTS,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOZLJST,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLSJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZJTLS,X,X,X,X,X,O,O,X,O,O,X,X,X,X
IOZJTSL,O,X,X,X,X,O,O,X,O,O,X,X,X,X
IOZJLTS,X,X,X,X,X,O,O,X,O,O,X,X,X,X
IOZJLST,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZJSTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZJSLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IOZSLJT,O,X,X,O,X,O,X,X,X,X,X,X,O,O
IOZSJTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,O,X,O,X,X,X,X,X,X,O,X
LTIJSZO,O,O,X,O,O,X,O,X,X,X,X,X,O,X
LTIJSOZ,O,O,X,O,O,X,O,O,X,X,X,X,O,X
LTIJZSO,O,O,X,O,O,X,O,X,O,X,O,X,O,X
LTIJZOS,X,O,X,O,O,X,O,O,O,X,O,X,O,X
LTIJOSZ,O,O,X,O,O,X,O,O,X,X,X,X,O,X
LTIJOZS,X,O,X,O,O,X,O,O,O,X,X,X,O,X
LTISJZO,O,O,X,O,O,X,X,X,X,X,X,X,O,X
LTISJOZ,O,O,X,O,O,X,X,O,X,X,X,X,O,X
LTISZJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
LTISZOJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
LTISOJZ,O,O,X,O,O,X,X,O,X,X,X,X,O,X
LTISOZJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
LTIZJSO,O,O,X,O,O,X,X,X,O,X,O,X,O,X
LTIZJOS,O,O,X,O,O,X,X,O,O,X,O,X,O,X
LTIZSJO,O,O,X,O,O,X,X,X,O,X,O,X,O,O
LTIZSOJ,O,O,X,O,O,X,X,X,O,X,O,O,O,O
LTIZOJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
LTIZOSJ,O,O,X,O,O,X,X,X,O,X,O,O,O,X
LTIOJSZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LTIOJZS,X,O,X,X,O,X,O,O,O,X,X,X,O,X
LTIOSJZ,O,O,X,O,O,X,X,O,X,X,X,X,O,X
LTIOSZJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
LTIOZJS,X,O,X,X,X,X,X,O,O,X,X,X,O,X
LTIOZSJ,X,O,X,O,X,X,X,X,O,X,X,O,O,X
LTJISZO,O,O,O,O,O,X,O,X,X,X,X,X,O,X
LTJISOZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
LTJIZSO,O,O,O,O,O,X,O,X,O,X,O,X,O,X
LTJIZOS,X,O,O,O,O,X,O,O,O,X,O,X,O,X
LTJIOSZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
LTJIOZS,X,O,O,O,O,X,O,O,O,X,X,X,O,X
LTJSIZO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTJSIOZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTJSZIO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTJSZOI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTJSOIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTJSOZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTJZISO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
LTJZIOS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
LTJZSIO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
LTJZSOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTJZOIS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
LTJZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTJOISZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
LTJOIZS,X,O,O,O,O,X,O,O,O,X,X,X,O,X
LTJOSIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTJOSZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTJOZIS,X,O,O,O,O,X,X,O,O,X,X,X,O,X
LTJOZSI,X,O,O,O,O,X,X,X,O,X,X,O,O,X
LTSIJZO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTSIJOZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSIZJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
LTSIZOJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
LTSIOJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSIOZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
LTSJIZO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTSJIOZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSJZIO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTSJZOI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTSJOIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSJOZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTSZIJO,O,O,X,O,O,X,X,X,O,X,X,X,O,X
LTSZIOJ,O,O,X,O,O,X,X,X,O,X,X,O,O,X
LTSZJIO,O,O,O,O,O,X,X,X,O,X,X,X,O,X
LTSZJOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTSZOIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTSZOJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTSOIJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSOIZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
LTSOJIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSOJZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTSOZIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTSOZJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTZIJSO,O,O,X,O,O,X,X,X,O,X,O,X,O,X
LTZIJOS,O,O,X,O,O,X,X,O,O,X,O,X,O,X
LTZISJO,O,O,X,O,O,X,X,X,O,X,O,X,O,O
LTZISOJ,O,O,X,O,O,X,X,X,O,X,O,O,O,O
LTZIOJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
LTZIOSJ,O,O,X,O,O,X,X,X,O,X,O,O,O,X
LTZJISO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
LTZJIOS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
LTZJSIO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
LTZJSOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZJOIS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
LTZJOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZSIJO,O,O,O,O,O,X,X,X,O,X,O,X,O,O
LTZSIOJ,O,O,O,O,O,X,X,X,O,X,O,O,O,O
LTZSJIO,O,O,O,O,O,X,X,X,O,X,O,X,O,O
LTZSJOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZSOIJ,O,O,O,O,O,X,X,X,O,X,O,O,O,O
LTZSOJI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZOIJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
LTZOISJ,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZOJIS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
LTZOJSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZOSIJ,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTZOSJI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
LTOIJSZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LTOIJZS,X,O,X,X,O,X,O,O,O,X,X,X,O,X
LTOISJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTOISZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
LTOIZJS,X,O,X,X,X,X,X,O,O,X,X,X,O,X
LTOIZSJ,X,O,O,O,X,X,X,X,O,X,X,O,O,X
LTOJISZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
LTOJIZS,X,O,O,O,O,X,O,O,O,X,X,X,O,X
LTOJSIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTOJSZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
LTOJZIS,X,O,O,O,O,X,X,O,O,X,X,X,O,X
LTOJZSI,X,O,O,O,O,X,X,X,O,X,X,O,O,X
LTOSIJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTOSIZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
LTOSJIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
LTOSJZI,O,X,O,O,O,X,X,X,X,X,X,X,O,X
LTOSZIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTOSZJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTOZIJS,O,O,X,X,O,X,X,O,O,X,X,X,O,X
LTOZISJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTOZJIS,O,O,O,O,O,X,X,O,O,X,X,X,O,X
LTOZJSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTOZSIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LTOZSJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
LITJSZO,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LITJSOZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LITJZSO,O,O,X,X,O,X,O,X,O,X,O,X,O,X
LITJZOS,X,O,X,X,O,X,O,O,O,X,O,X,O,X
LITJOSZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LITJOZS,X,O,X,X,O,X,O,O,O,X,X,X,O,X
LITSJZO,O,O,X,X,O,X,X,X,X,X,X,X,O,X
LITSJOZ,O,O,X,X,O,X,X,O,X,X,X,X,O,X
LITSZJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LITSZOJ,O,O,X,X,O,X,X,X,O,X,X,X,O,X
LITSOJZ,O,O,X,X,O,X,X,O,X,X,X,X,O,X
LITSOZJ,O,O,X,X,O,X,X,X,O,X,X,X,O,X
LITZJSO,O,O,X,X,O,X,X,X,O,X,O,X,O,X
LITZJOS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
LITZSJO,O,O,X,X,O,X,X,X,O,X,O,X,O,O
LITZSOJ,O,O,X,X,O,X,X,X,O,X,O,O,O,O
LITZOJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
LITZOSJ,O,O,X,X,O,X,X,X,O,X,O,O,O,X
LITOJSZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LITOJZS,X,O,X,X,O,X,O,O,O,X,X,X,O,X
LITOSJZ,O,O,X,X,O,X,X,O,X,X,X,X,O,X
LITOSZJ,O,O,X,X,O,X,X,X,O,X,X,X,O,X
LITOZJS,X,O,X,X,X,X,X,O,O,X,X,X,O,X
LITOZSJ,X,O,X,X,X,X,X,X,O,X,X,O,O,X
LIJTSZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LIJTZSO,O,O,X,X,X,X,O,X,O,O,O,X,X,X
LIJTZOS,X,O,X,X,X,X,O,O,O,O,O,X,X,X
LIJTOSZ,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LIJTOZS,X,O,X,X,X,X,O,O,O,X,X,X,X,X
LIJSTZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSTOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,O,X,X,O,O,X,X,X
LIJSZOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,O,O,X,X,X,X,O,X,X,X,X,X,X,X
