sequence,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWBJvhFxcBTeBUgBy?mBfoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFRdBSjBUgB3?hBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBxdBUgBT?iBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBC?iBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFWiBxdBUgBX?jBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeC8IvhFxdBUgB/mBO?oBTnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeSAJvhFFdBTeBxlBm?nB/mBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWCJvhFTeBRgB3gB0?iBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFuiBcjBRgB3?gBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFCeBRgBOoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFGeBRgBaoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBUgBzhBC?jBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBu?mB1nBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBUgBxiBT?iBOoBFsB
TISOJLZ,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TISOJZL,X,O,O,O,O,X,X,O,X,X,X,X,X,X
TISOZLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZLJSO,O,O,X,O,O,X,X,X,O,O,O,X,X,X
TIZLJOS,O,O,X,O,O,X,X,O,O,O,O,X,X,X
TIZLSJO,O,O,X,O,O,X,X,X,O,X,O,X,X,O
TIZLSOJ,O,O,X,O,O,X,X,X,O,X,O,O,X,O
TIZLOJS,O,O,X,X,O,X,X,O,O,O,O,X,X,X
TIZLOSJ,O,O,X,O,O,X,X,X,O,X,O,O,X,X
TIZJLSO,O,O,O,O,X,X,X,X,O,O,O,X,X,X
TIZJLOS,O,O,O,O,O,X,X,X,O,O,O,X,X,X
TIZJSLO,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TIZJSOL,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TIZJOLS,O,O,O,O,O,X,X,O,O,O,O,X,X,X
TIZJOSL,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TIZSLJO,O,O,O,O,O,X,X,X,X,X,O,X,X,O
TIZSLOJ,O,O,O,O,O,X,X,X,X,X,O,O,X,O
TIZSJLO,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TIZSJOL,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TIZSOLJ,O,O,O,O,O,X,X,X,X,X,O,O,X,O
TIZSOJL,O,O,O,O,O,X,X,X,O,O,X,O,X,X
TIZOLJS,X,O,X,X,O,X,X,X,O,O,O,X,X,X
TIZOLSJ,X,O,O,O,O,X,X,X,O,X,O,O,X,X
TIZOJLS,X,O,O,O,O,X,X,O,O,O,O,X,X,X
TIZOJSL,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TIZOSLJ,X,O,O,O,O,X,X,X,X,X,O,O,X,O
TIZOSJL,X,O,O,O,O,X,X,X,O,O,X,O,X,X
TIOLJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TIOLSJZ,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOLZSJ,X,X,O,O,X,X,X,X,O,X,X,O,X,X
TIOJLSZ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOJLZS,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOJSLZ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOJSZL,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOJZLS,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOJZSL,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOSLJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,O,O,X,X,X,X,O,X,X,O,X,X
TIOZJLS,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIOZJSL,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIOZSLJ,X,X,O,O,X,X,X,X,X,X,X,O,X,O
TIOZSJL,X,X,O,O,X,X,X,X,O,X,X,O,X,X
TLIJSZO,O,O,X,O,O,X,O,X,X,X,X,X,O,X
TLIJSOZ,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TLIJZSO,O,O,X,O,O,X,O,X,O,X,O,X,O,X
TLIJZOS,X,O,X,O,O,X,O,O,O,X,O,X,O,X
TLIJOSZ,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TLIJOZS,X,O,X,O,O,X,O,O,O,X,X,X,O,X
TLISJZO,O,O,X,O,O,X,X,X,X,X,X,X,O,X
