sequence,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BOiB8iB5jBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhFlc?BzdB5jB/nBCmBmrB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhF6h?B2iB5jB3iBzlBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BmdB5jBXiBVrBcsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFOi?B8iB5jBThBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8JeX8IvhFmd?B5jBcmBTiB6lBFsB
TILJSZO,X,O,O,O,X,X
TILJSOZ,X,O,X,O,X,X
TILJZSO,O,O,O,O,O,X
TILJZOS,O,O,O,O,O,X
TILJOSZ,X,O,O,O,X,X
TILJOZS,X,O,O,O,O,O
TILSJZO,O,O,O,O,X,X
TILSJOZ,O,O,X,O,X,X
TILSZJO,O,O,O,O,O,X
TILSZOJ,O,O,X,O,O,X
TILSOJZ,O,O,X,O,X,X
TILSOZJ,O,O,X,O,O,X
TILZJSO,O,O,O,O,O,X
TILZJOS,O,O,O,O,O,X
TILZSJO,O,O,O,O,O,X
TILZSOJ,O,O,X,O,O,O
TILZOJS,O,O,O,O,O,O
TILZOSJ,X,O,X,O,O,O
TILOJSZ,X,O,O,O,X,X
TILOJZS,X,O,O,O,O,O
TILOSJZ,X,O,O,O,X,X
TILOSZJ,X,O,O,O,O,X
TILOZJS,O,O,O,O,O,O
TILOZSJ,X,O,O,O,O,O
TIJLSZO,X,O,O,O,X,X
TIJLSOZ,X,O,X,O,X,X
TIJLZSO,O,O,O,O,O,X
TIJLZOS,O,O,O,O,O,X
TIJLOSZ,X,O,O,O,X,X
TIJLOZS,X,O,O,O,O,O
TIJSLZO,O,O,O,O,X,X
TIJSLOZ,O,O,X,O,X,X
TIJSZLO,O,O,O,O,X,X
TIJSZOL,O,O,X,O,X,X
TIJSOLZ,O,O,O,O,X,X
TIJSOZL,O,O,O,X,X,O
TIJZLSO,O,O,O,O,O,X
TIJZLOS,O,O,O,O,O,X
TIJZSLO,O,O,O,O,O,X
TIJZSOL,O,O,X,O,O,O
TIJZOLS,O,X,O,O,O,O
TIJZOSL,O,O,O,O,O,O
TIJOLSZ,X,X,O,O,X,X
TIJOLZS,X,X,O,O,O,O
TIJOSLZ,X,X,O,O,X,X
TIJOSZL,X,X,O,X,X,O
TIJOZLS,X,X,O,O,O,O
TIJOZSL,X,X,O,O,O,O
TISLJZO,O,O,O,O,X,X
TISLJOZ,O,O,X,O,X,X
TISLZJO,O,O,O,O,O,X
TISLZOJ,O,O,X,O,O,X
TISLOJZ,O,O,X,O,X,X
TISLOZJ,O,O,X,O,O,X
TISJLZO,O,O,O,O,X,X
TISJLOZ,O,O,X,O,X,X
TISJZLO,O,O,O,O,X,X
TISJZOL,O,O,X,O,X,X
TISJOLZ,O,O,O,O,X,X
TISJOZL,O,O,O,X,X,O
TISZLJO,O,O,O,O,O,X
TISZLOJ,O,O,X,O,O,O
TISZJLO,O,O,O,O,O,X
TISZJOL,O,O,X,O,O,O
TISZOLJ,O,O,X,O,O,O
TISZOJL,O,O,X,O,O,O
TISOLJZ,O,O,O,O,X,X
TISOLZJ,O,O,O,O,O,X
TISOJLZ,O,O,O,O,X,X
TISOJZL,O,O,O,X,X,O
TISOZLJ,O,O,O,O,O,O
TISOZJL,O,O,O,O,O,O
TIZLJSO,O,O,O,O,O,X
TIZLJOS,O,O,O,O,O,X
TIZLSJO,O,O,O,O,O,X
TIZLSOJ,O,O,X,O,O,O
TIZLOJS,O,O,O,O,O,O
TIZLOSJ,X,O,X,O,O,O
TIZJLSO,O,O,O,O,O,X
TIZJLOS,O,O,O,O,O,X
TIZJSLO,O,O,O,O,O,X
TIZJSOL,O,O,X,O,O,O
TIZJOLS,O,X,O,O,O,O
TIZJOSL,O,O,O,O,O,O
TIZSLJO,O,O,O,O,O,X
TIZSLOJ,O,O,X,O,O,O
TIZSJLO,O,O,O,O,O,X
TIZSJOL,O,O,X,O,O,O
TIZSOLJ,O,O,X,O,O,O
TIZSOJL,O,O,X,O,O,O
TIZOLJS,O,X,O,O,O,O
TIZOLSJ,X,O,O,O,O,O
TIZOJLS,O,X,O,O,O,O
TIZOJSL,O,O,O,O,O,O
TIZOSLJ,O,O,O,O,O,O
TIZOSJL,O,O,O,O,O,O
TIOLJSZ,X,X,O,O,X,X
TIOLJZS,X,X,O,O,O,O
TIOLSJZ,X,O,O,O,X,X
TIOLSZJ,X,O,O,O,O,X
TIOLZJS,O,X,O,O,O,O
TIOLZSJ,X,O,O,O,O,O
TIOJLSZ,X,X,O,O,X,X
TIOJLZS,X,X,O,O,O,O
TIOJSLZ,X,X,O,O,X,X
TIOJSZL,X,X,O,X,X,O
TIOJZLS,X,X,O,O,O,O
TIOJZSL,X,X,O,O,O,O
TIOSLJZ,O,O,O,O,X,X
TIOSLZJ,O,O,O,O,O,X
TIOSJLZ,O,O,O,O,X,X
TIOSJZL,O,O,O,X,X,O
TIOSZLJ,O,O,O,O,O,O
TIOSZJL,O,O,O,O,O,O
TIOZLJS,O,X,O,O,O,O
TIOZLSJ,X,O,O,O,O,O
TIOZJLS,O,X,O,O,O,O
TIOZJSL,O,X,O,O,O,O
TIOZSLJ,O,O,O,O,O,O
TIOZSJL,O,O,O,O,O,O
TLIJSZO,X,O,O,O,X,X
TLIJSOZ,X,O,X,O,X,X
TLIJZSO,O,O,O,O,O,X
TLIJZOS,O,O,O,O,O,X
TLIJOSZ,X,O,O,O,X,X
TLIJOZS,X,O,O,O,O,O
TLISJZO,O,O,O,O,X,X
TLISJOZ,O,O,X,O,X,X
TLISZJO,O,O,O,O,O,X
TLISZOJ,O,O,X,O,O,X
TLISOJZ,O,O,X,O,X,X
TLISOZJ,O,O,X,O,O,X
TLIZJSO,O,O,O,O,O,X
TLIZJOS,O,O,O,O,O,X
TLIZSJO,O,O,O,O,O,X
TLIZSOJ,O,O,X,O,O,O
TLIZOJS,O,O,O,O,O,O
TLIZOSJ,X,O,X,O,O,O
TLIOJSZ,X,O,O,O,X,X
TLIOJZS,X,O,O,O,O,O
TLIOSJZ,X,O,O,O,X,X
TLIOSZJ,X,O,O,O,O,X
TLIOZJS,O,O,O,O,O,O
TLIOZSJ,X,O,O,O,O,O
TLJISZO,X,O,O,O,X,X
TLJISOZ,X,O,X,O,X,X
TLJIZSO,O,O,O,O,O,X
TLJIZOS,O,O,O,O,O,X
TLJIOSZ,X,O,O,O,X,X
TLJIOZS,X,O,O,O,O,O
TLJSIZO,X,O,O,O,X,X
TLJSIOZ,X,O,X,O,X,X
TLJSZIO,X,O,O,O,X,X
TLJSZOI,X,O,X,O,X,X
TLJSOIZ,X,O,X,O,X,X
TLJSOZI,X,O,X,X,X,X
TLJZISO,O,O,O,O,O,X
TLJZIOS,O,O,O,O,O,X
TLJZSIO,O,O,O,O,O,X
TLJZSOI,O,O,X,O,O,X
TLJZOIS,O,O,O,O,O,X
TLJZOSI,O,O,X,O,O,X
TLJOISZ,X,O,O,O,X,X
TLJOIZS,X,O,O,O,O,O
TLJOSIZ,X,O,O,O,X,X
TLJOSZI,X,O,O,X,X,X
TLJOZIS,X,O,O,O,O,O
TLJOZSI,X,O,O,O,O,O
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,X,O,X,X
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,O,X,O,O,X
TLSIOJZ,O,O,X,O,X,X
TLSIOZJ,O,O,X,O,O,X
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,X,O,X,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,X,O,X,X
TLSJOIZ,O,O,X,O,X,X
TLSJOZI,O,O,X,X,X,X
TLSZIJO,O,O,O,O,O,X
TLSZIOJ,O,O,X,O,O,X
TLSZJIO,O,O,O,O,O,X
TLSZJOI,O,O,X,O,O,X
TLSZOIJ,O,O,X,O,O,X
TLSZOJI,O,O,X,O,O,X
TLSOIJZ,O,O,X,O,X,X
TLSOIZJ,O,O,X,O,O,X
TLSOJIZ,O,O,X,O,X,X
TLSOJZI,O,O,X,X,X,X
TLSOZIJ,O,O,X,O,O,X
TLSOZJI,O,O,X,O,O,X
TLZIJSO,O,O,O,O,O,X
TLZIJOS,O,O,O,O,O,X
TLZISJO,O,O,O,O,O,X
TLZISOJ,O,O,X,O,O,O
TLZIOJS,O,O,O,O,O,O
TLZIOSJ,X,O,X,O,O,O
TLZJISO,O,O,O,O,O,X
TLZJIOS,O,O,O,O,O,X
TLZJSIO,O,O,O,O,O,X
TLZJSOI,O,O,X,O,O,X
TLZJOIS,O,O,O,O,O,X
TLZJOSI,O,O,X,O,O,X
TLZSIJO,O,O,O,O,O,X
TLZSIOJ,O,O,X,O,O,O
TLZSJIO,O,O,O,O,O,X
TLZSJOI,O,O,X,O,O,X
TLZSOIJ,O,O,X,O,O,O
TLZSOJI,O,O,X,O,O,O
TLZOIJS,O,O,O,O,O,O
TLZOISJ,X,O,X,O,O,O
TLZOJIS,O,O,O,O,O,O
TLZOJSI,O,O,X,O,O,O
TLZOSIJ,X,O,X,O,O,O
TLZOSJI,X,O,X,O,O,O
TLOIJSZ,X,O,O,O,X,X
TLOIJZS,X,O,O,O,O,O
TLOISJZ,X,O,O,O,X,X
TLOISZJ,X,O,O,O,O,X
TLOIZJS,O,O,O,O,O,O
TLOIZSJ,X,O,O,O,O,O
TLOJISZ,X,O,O,O,X,X
TLOJIZS,X,O,O,O,O,O
TLOJSIZ,X,O,O,O,X,X
TLOJSZI,X,O,O,X,X,X
TLOJZIS,X,O,O,O,O,O
TLOJZSI,X,O,O,O,O,O
TLOSIJZ,X,O,O,O,X,X
TLOSIZJ,X,O,O,O,O,X
TLOSJIZ,X,O,O,O,X,X
TLOSJZI,X,O,O,X,X,X
TLOSZIJ,X,O,O,O,O,X
TLOSZJI,X,O,O,O,O,X
TLOZIJS,O,O,O,O,O,O
TLOZISJ,X,O,O,O,O,O
TLOZJIS,O,O,O,O,O,O
TLOZJSI,O,O,O,O,O,O
TLOZSIJ,X,O,O,O,O,O
TLOZSJI,X,O,O,O,O,O
TJILSZO,X,O,O,O,X,X
TJILSOZ,X,O,X,O,X,X
TJILZSO,O,O,O,O,O,X
TJILZOS,O,O,O,O,O,X
TJILOSZ,X,O,O,O,X,X
TJILOZS,X,O,O,O,O,O
TJISLZO,O,O,O,O,X,X
TJISLOZ,O,O,X,O,X,X
TJISZLO,O,O,O,O,X,X
TJISZOL,O,O,X,O,X,X
TJISOLZ,O,O,O,O,X,X
TJISOZL,O,O,O,X,X,O
TJIZLSO,O,O,O,O,O,X
TJIZLOS,O,O,O,O,O,X
TJIZSLO,O,O,O,O,O,X
TJIZSOL,O,O,X,O,O,O
TJIZOLS,O,X,O,O,O,O
TJIZOSL,O,O,O,O,O,O
TJIOLSZ,X,X,O,O,X,X
TJIOLZS,X,X,O,O,O,O
TJIOSLZ,X,X,O,O,X,X
TJIOSZL,X,X,O,X,X,O
TJIOZLS,X,X,O,O,O,O
TJIOZSL,X,X,O,O,O,O
TJLISZO,X,O,O,O,X,X
TJLISOZ,X,O,X,O,X,X
TJLIZSO,O,O,O,O,O,X
TJLIZOS,O,O,O,O,O,X
TJLIOSZ,X,O,O,O,X,X
TJLIOZS,X,O,O,O,O,O
TJLSIZO,X,O,O,O,X,X
TJLSIOZ,X,O,X,O,X,X
TJLSZIO,X,O,O,O,X,X
TJLSZOI,X,O,X,O,X,X
TJLSOIZ,X,O,X,O,X,X
TJLSOZI,X,O,X,X,X,X
TJLZISO,O,O,O,O,O,X
TJLZIOS,O,O,O,O,O,X
TJLZSIO,O,O,O,O,O,X
TJLZSOI,O,O,X,O,O,X
TJLZOIS,O,O,O,O,O,X
TJLZOSI,O,O,X,O,O,X
TJLOISZ,X,O,O,O,X,X
TJLOIZS,X,O,O,O,O,O
TJLOSIZ,X,O,O,O,X,X
TJLOSZI,X,O,O,X,X,X
TJLOZIS,X,O,O,O,O,O
TJLOZSI,X,O,O,O,O,O
TJSILZO,O,O,O,O,X,X
TJSILOZ,O,O,X,O,X,X
TJSIZLO,O,O,O,O,X,X
TJSIZOL,O,O,X,O,X,X
