sequence,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Je07IvhFmc?BzdB5jBfnBilBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jem7IvhFzd?B5jBclBanB3hBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jel7IvhFch?BmdB5jBXiBTlBirB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8JeX8IvhFxd?BFiB6oBTgB0mBmqB
ITSJZLO,O,X,O,X
ITSJZOL,O,X,O,X
ITSJOLZ,O,X,O,X
ITSJOZL,O,X,O,X
ITSZLJO,O,O,O,X
ITSZLOJ,O,O,X,X
ITSZJLO,O,O,O,X
ITSZJOL,O,O,O,X
ITSZOLJ,O,O,X,X
ITSZOJL,O,O,O,X
ITSOLJZ,O,X,O,X
ITSOLZJ,O,O,O,X
ITSOJLZ,O,X,O,X
ITSOJZL,O,X,O,X
ITSOZLJ,O,O,O,X
ITSOZJL,O,O,O,X
ITZLJSO,O,O,O,O
ITZLJOS,O,O,O,X
ITZLSJO,O,O,O,O
ITZLSOJ,O,O,X,O
ITZLOJS,O,O,O,X
ITZLOSJ,O,O,X,O
ITZJLSO,O,O,X,X
ITZJLOS,O,O,X,X
ITZJSLO,O,O,X,X
ITZJSOL,O,O,X,X
ITZJOLS,O,O,X,X
ITZJOSL,O,O,X,X
ITZSLJO,O,O,X,O
ITZSLOJ,O,O,X,O
ITZSJLO,O,O,X,X
ITZSJOL,O,O,X,X
ITZSOLJ,O,O,X,X
ITZSOJL,O,O,X,X
ITZOLJS,O,O,O,X
ITZOLSJ,O,O,O,X
ITZOJLS,O,O,X,X
ITZOJSL,O,O,X,X
ITZOSLJ,O,O,X,X
ITZOSJL,O,O,X,X
ITOLJSZ,O,X,O,X
ITOLJZS,O,O,O,X
ITOLSJZ,O,X,O,X
ITOLSZJ,O,O,O,X
ITOLZJS,O,O,O,X
ITOLZSJ,O,O,O,X
ITOJLSZ,O,X,O,X
ITOJLZS,O,O,O,X
ITOJSLZ,O,X,O,X
ITOJSZL,O,X,O,X
ITOJZLS,O,O,X,X
ITOJZSL,O,O,X,X
ITOSLJZ,O,X,O,X
ITOSLZJ,O,O,O,X
ITOSJLZ,O,X,O,X
ITOSJZL,O,X,O,X
ITOSZLJ,O,O,O,X
ITOSZJL,O,O,O,X
ITOZLJS,O,O,O,X
ITOZLSJ,O,O,O,X
ITOZJLS,O,O,X,X
ITOZJSL,O,O,X,X
ITOZSLJ,O,O,X,X
ITOZSJL,O,O,X,X
ILTJSZO,O,X,O,O
ILTJSOZ,O,X,X,O
ILTJZSO,O,O,O,O
ILTJZOS,O,O,O,X
ILTJOSZ,O,X,X,O
ILTJOZS,O,O,X,X
ILTSJZO,O,X,O,O
ILTSJOZ,O,X,X,O
ILTSZJO,O,O,O,O
ILTSZOJ,O,O,O,O
ILTSOJZ,O,X,X,O
ILTSOZJ,O,O,X,O
ILTZJSO,O,O,O,O
ILTZJOS,O,O,O,X
ILTZSJO,O,O,O,O
ILTZSOJ,O,O,X,O
ILTZOJS,O,O,O,X
ILTZOSJ,O,O,X,O
ILTOJSZ,O,X,X,O
ILTOJZS,O,O,O,X
ILTOSJZ,O,X,X,O
ILTOSZJ,O,O,O,O
ILTOZJS,O,O,O,X
ILTOZSJ,O,O,O,O
ILJTSZO,O,X,O,O
ILJTSOZ,O,X,X,O
ILJTZSO,O,O,O,O
ILJTZOS,O,O,O,X
ILJTOSZ,O,X,X,O
ILJTOZS,O,O,X,X
ILJSTZO,O,X,O,O
ILJSTOZ,O,X,X,O
ILJSZTO,O,X,O,X
ILJSZOT,O,X,O,X
ILJSOTZ,O,X,O,X
ILJSOZT,O,X,O,X
ILJZTSO,O,O,O,O
ILJZTOS,O,O,O,O
ILJZSTO,O,X,O,O
ILJZSOT,O,O,O,X
ILJZOTS,O,O,O,X
ILJZOST,O,O,X,X
ILJOTSZ,O,X,O,O
ILJOTZS,O,O,O,X
ILJOSTZ,O,X,O,X
ILJOSZT,O,X,O,X
ILJOZTS,O,O,O,X
ILJOZST,O,O,O,X
ILSTJZO,O,X,O,O
ILSTJOZ,O,X,X,O
ILSTZJO,O,O,O,O
ILSTZOJ,O,O,O,O
ILSTOJZ,O,X,X,O
ILSTOZJ,O,O,X,O
ILSJTZO,O,X,O,O
ILSJTOZ,O,X,X,O
ILSJZTO,O,X,O,X
ILSJZOT,O,X,O,X
ILSJOTZ,O,X,O,X
ILSJOZT,O,X,O,X
ILSZTJO,O,X,O,X
ILSZTOJ,O,X,O,X
ILSZJTO,O,X,O,X
ILSZJOT,O,O,O,X
ILSZOTJ,O,X,O,X
ILSZOJT,O,O,O,X
ILSOTJZ,O,X,O,X
ILSOTZJ,O,O,O,X
ILSOJTZ,O,X,O,X
ILSOJZT,O,X,O,X
ILSOZTJ,O,X,O,X
ILSOZJT,O,O,O,X
ILZTJSO,O,O,O,O
ILZTJOS,O,O,O,X
ILZTSJO,O,O,O,O
ILZTSOJ,O,O,X,O
ILZTOJS,O,O,O,X
ILZTOSJ,O,O,X,O
ILZJTSO,O,O,O,O
ILZJTOS,O,O,O,X
ILZJSTO,O,X,O,X
ILZJSOT,O,O,O,X
ILZJOTS,O,O,O,X
ILZJOST,O,O,X,X
ILZSTJO,O,X,O,O
ILZSTOJ,O,X,O,O
ILZSJTO,O,X,O,X
ILZSJOT,O,O,O,X
ILZSOTJ,O,X,O,X
ILZSOJT,O,O,O,X
ILZOTJS,O,O,O,X
ILZOTSJ,O,O,X,X
ILZOJTS,O,O,O,X
ILZOJST,O,O,X,X
ILZOSTJ,O,X,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,O,X,O,O
ILOTJZS,O,O,O,X
ILOTSJZ,O,X,O,O
ILOTSZJ,O,O,O,O
ILOTZJS,O,O,O,X
ILOTZSJ,O,O,O,O
ILOJTSZ,O,X,O,O
ILOJTZS,O,O,O,X
ILOJSTZ,O,X,O,X
ILOJSZT,O,X,O,X
ILOJZTS,O,O,O,X
ILOJZST,O,O,O,X
ILOSTJZ,O,X,O,X
ILOSTZJ,O,O,O,X
ILOSJTZ,O,X,O,X
ILOSJZT,O,X,O,X
ILOSZTJ,O,X,O,X
ILOSZJT,O,O,O,X
ILOZTJS,O,O,O,X
ILOZTSJ,O,O,O,X
ILOZJTS,O,O,O,X
ILOZJST,O,O,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,O,O,X
IJTLSZO,O,X,O,O
IJTLSOZ,O,X,X,O
IJTLZSO,O,O,O,O
IJTLZOS,O,O,O,X
IJTLOSZ,O,X,X,O
IJTLOZS,O,O,X,X
IJTSLZO,O,X,O,O
IJTSLOZ,O,X,X,O
IJTSZLO,O,X,O,X
IJTSZOL,O,X,O,X
IJTSOLZ,O,X,O,X
IJTSOZL,O,X,O,X
IJTZLSO,O,O,X,X
IJTZLOS,O,O,X,X
IJTZSLO,O,O,X,X
IJTZSOL,O,O,X,X
IJTZOLS,O,O,X,X
IJTZOSL,O,O,X,X
IJTOLSZ,O,X,O,X
IJTOLZS,O,O,O,X
IJTOSLZ,O,X,O,X
IJTOSZL,O,X,O,X
IJTOZLS,O,O,X,X
IJTOZSL,O,O,X,X
IJLTSZO,O,X,O,O
IJLTSOZ,O,X,X,O
IJLTZSO,O,O,O,O
IJLTZOS,O,O,O,X
IJLTOSZ,O,X,X,O
IJLTOZS,O,O,X,X
IJLSTZO,O,X,O,O
IJLSTOZ,O,X,X,O
IJLSZTO,O,X,O,X
IJLSZOT,O,X,O,X
IJLSOTZ,O,X,O,X
IJLSOZT,O,X,O,X
IJLZTSO,O,O,O,O
IJLZTOS,O,O,O,O
IJLZSTO,O,X,O,O
IJLZSOT,O,O,O,X
IJLZOTS,O,O,O,X
IJLZOST,O,O,X,X
IJLOTSZ,O,X,O,O
IJLOTZS,O,O,O,X
IJLOSTZ,O,X,O,X
IJLOSZT,O,X,O,X
IJLOZTS,O,O,O,X
IJLOZST,O,O,O,X
IJSTLZO,O,X,O,X
IJSTLOZ,O,X,X,X
IJSTZLO,O,X,O,X
IJSTZOL,O,X,O,X
IJSTOLZ,O,X,O,X
IJSTOZL,O,X,O,X
IJSLTZO,O,X,O,X
IJSLTOZ,O,X,X,X
IJSLZTO,O,X,O,X
IJSLZOT,O,X,O,X
IJSLOTZ,O,X,O,X
IJSLOZT,O,X,O,X
IJSZTLO,X,O,O,X
IJSZTOL,O,O,O,X
IJSZLTO,O,X,O,X
IJSZLOT,O,O,O,X
IJSZOTL,O,O,O,X
IJSZOLT,O,O,O,X
IJSOTLZ,O,X,O,X
IJSOTZL,O,X,O,X
IJSOLTZ,O,X,O,X
IJSOLZT,O,X,O,X
IJSOZTL,O,O,O,X
IJSOZLT,O,O,O,X
IJZTLSO,O,O,X,O
IJZTLOS,O,O,X,O
IJZTSLO,O,O,X,O
IJZTSOL,O,O,X,X
IJZTOLS,O,O,X,X
IJZTOSL,O,O,X,X
IJZLTSO,O,O,O,O
IJZLTOS,O,O,O,O
IJZLSTO,O,X,O,O
IJZLSOT,O,O,O,X
IJZLOTS,O,O,O,X
IJZLOST,O,O,X,X
IJZSTLO,X,O,O,O
IJZSTOL,O,O,O,X
IJZSLTO,X,X,O,O
IJZSLOT,O,O,O,X
IJZSOTL,O,O,O,X
IJZSOLT,O,O,O,X
IJZOTLS,O,O,X,X
IJZOTSL,O,O,X,X
IJZOLTS,O,O,O,X
IJZOLST,O,O,O,X
IJZOSTL,O,O,O,X
IJZOSLT,O,O,O,X
IJOTLSZ,O,X,O,X
IJOTLZS,O,O,O,X
IJOTSLZ,O,X,O,X
IJOTSZL,O,X,O,X
IJOTZLS,O,O,X,X
IJOTZSL,O,O,X,X
IJOLTSZ,O,X,O,X
IJOLTZS,O,O,O,X
IJOLSTZ,O,X,O,X
IJOLSZT,O,X,O,X
IJOLZTS,O,O,O,X
IJOLZST,O,O,O,X
IJOSTLZ,O,X,O,X
IJOSTZL,O,X,O,X
IJOSLTZ,O,X,O,X
IJOSLZT,O,X,O,X
IJOSZTL,O,O,O,X
IJOSZLT,O,O,O,X
IJOZTLS,O,O,X,X
IJOZTSL,O,O,X,X
IJOZLTS,O,O,O,X
IJOZLST,O,O,O,X
IJOZSTL,O,O,O,X
IJOZSLT,O,O,O,X
ISTLJZO,O,X,O,X
ISTLJOZ,O,X,X,X
ISTLZJO,O,O,O,X
ISTLZOJ,O,O,O,X
ISTLOJZ,O,X,X,X
ISTLOZJ,O,O,X,X
ISTJLZO,O,X,O,X
ISTJLOZ,O,X,X,X
ISTJZLO,O,X,O,X
ISTJZOL,O,X,O,X
ISTJOLZ,O,X,O,X
ISTJOZL,O,X,O,X
ISTZLJO,O,O,O,X
ISTZLOJ,O,O,X,X
ISTZJLO,O,O,O,X
ISTZJOL,O,O,O,X
ISTZOLJ,O,O,X,X
ISTZOJL,O,O,O,X
ISTOLJZ,O,X,O,X
ISTOLZJ,O,O,O,X
ISTOJLZ,O,X,O,X
ISTOJZL,O,X,O,X
ISTOZLJ,O,O,O,X
ISTOZJL,O,O,O,X
ISLTJZO,O,X,O,X
ISLTJOZ,O,X,X,X
ISLTZJO,O,O,O,X
ISLTZOJ,O,O,O,X
ISLTOJZ,O,X,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,O,X,O,X
ISLJTOZ,O,X,X,X
ISLJZTO,O,X,O,X
ISLJZOT,O,X,O,X
ISLJOTZ,O,X,O,X
ISLJOZT,O,X,O,X
ISLZTJO,O,X,O,X
ISLZTOJ,O,X,O,X
ISLZJTO,O,X,O,X
ISLZJOT,O,O,O,X
ISLZOTJ,O,X,O,X
ISLZOJT,O,O,O,X
ISLOTJZ,O,X,O,X
ISLOTZJ,O,O,O,X
ISLOJTZ,O,X,O,X
ISLOJZT,O,X,O,X
ISLOZTJ,O,X,O,X
ISLOZJT,O,O,O,X
ISJTLZO,O,X,O,X
ISJTLOZ,O,X,X,X
ISJTZLO,O,X,O,X
ISJTZOL,O,X,O,X
ISJTOLZ,O,X,O,X
ISJTOZL,O,X,O,X
ISJLTZO,O,X,O,X
ISJLTOZ,O,X,X,X
ISJLZTO,O,X,O,X
ISJLZOT,O,X,O,X
ISJLOTZ,O,X,O,X
ISJLOZT,O,X,O,X
ISJZTLO,X,O,O,X
ISJZTOL,O,O,O,X
ISJZLTO,O,X,O,X
ISJZLOT,O,O,O,X
ISJZOTL,O,O,O,X
ISJZOLT,O,O,O,X
ISJOTLZ,O,X,O,X
ISJOTZL,O,X,O,X
ISJOLTZ,O,X,O,X
ISJOLZT,O,X,O,X
ISJOZTL,O,O,O,X
ISJOZLT,O,O,O,X
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,X,X
ISZTJLO,O,O,O,X
ISZTJOL,O,O,O,X
ISZTOLJ,O,O,X,X
ISZTOJL,O,O,O,X
ISZLTJO,O,X,O,X
ISZLTOJ,O,X,O,X
ISZLJTO,O,X,O,X
ISZLJOT,O,O,O,X
ISZLOTJ,O,X,O,X
ISZLOJT,O,O,O,X
ISZJTLO,X,O,O,X
ISZJTOL,O,O,O,X
ISZJLTO,O,X,O,X
ISZJLOT,O,O,O,X
ISZJOTL,O,O,O,X
ISZJOLT,O,O,O,X
ISZOTLJ,O,O,O,X
ISZOTJL,O,O,O,X
ISZOLTJ,O,X,O,X
ISZOLJT,O,O,O,X
ISZOJTL,O,O,O,X
ISZOJLT,O,O,O,X
ISOTLJZ,O,X,O,X
ISOTLZJ,O,O,O,X
ISOTJLZ,O,X,O,X
ISOTJZL,O,X,O,X
ISOTZLJ,O,O,O,X
ISOTZJL,O,O,O,X
ISOLTJZ,O,X,O,X
ISOLTZJ,O,O,O,X
ISOLJTZ,O,X,O,X
ISOLJZT,O,X,O,X
ISOLZTJ,O,X,O,X
ISOLZJT,O,O,O,X
ISOJTLZ,O,X,O,X
ISOJTZL,O,X,O,X
ISOJLTZ,O,X,O,X
ISOJLZT,O,X,O,X
ISOJZTL,O,O,O,X
ISOJZLT,O,O,O,X
ISOZTLJ,O,O,O,X
ISOZTJL,O,O,O,X
ISOZLTJ,O,X,O,X
ISOZLJT,O,O,O,X
ISOZJTL,O,O,O,X
ISOZJLT,O,O,O,X
IZTLJSO,O,O,O,O
IZTLJOS,O,O,O,X
IZTLSJO,O,O,O,O
IZTLSOJ,O,O,X,O
IZTLOJS,O,O,O,X
IZTLOSJ,O,O,X,O
IZTJLSO,O,O,X,X
IZTJLOS,O,O,X,X
IZTJSLO,O,O,X,X
IZTJSOL,O,O,X,X
IZTJOLS,O,O,X,X
IZTJOSL,O,O,X,X
IZTSLJO,O,O,X,O
IZTSLOJ,O,O,X,O
IZTSJLO,O,O,X,X
IZTSJOL,O,O,X,X
IZTSOLJ,O,O,X,X
IZTSOJL,O,O,X,X
IZTOLJS,O,O,O,X
IZTOLSJ,O,O,O,X
IZTOJLS,O,O,X,X
IZTOJSL,O,O,X,X
IZTOSLJ,O,O,X,X
IZTOSJL,O,O,X,X
IZLTJSO,O,O,O,O
IZLTJOS,O,O,O,X
IZLTSJO,O,O,O,O
IZLTSOJ,O,O,X,O
IZLTOJS,O,O,O,X
IZLTOSJ,O,O,X,O
IZLJTSO,O,O,O,X
IZLJTOS,O,O,O,X
IZLJSTO,O,X,O,X
IZLJSOT,O,O,O,X
IZLJOTS,O,O,O,X
IZLJOST,O,O,X,X
IZLSTJO,O,X,O,O
IZLSTOJ,O,X,O,O
IZLSJTO,O,X,O,X
IZLSJOT,O,O,O,X
IZLSOTJ,O,X,O,X
IZLSOJT,O,O,O,X
IZLOTJS,O,O,O,X
IZLOTSJ,O,O,X,X
IZLOJTS,O,O,O,X
IZLOJST,O,O,X,X
IZLOSTJ,O,X,X,X
IZLOSJT,O,O,X,X
IZJTLSO,O,O,X,X
IZJTLOS,O,O,X,X
IZJTSLO,O,O,X,X
IZJTSOL,O,O,X,X
IZJTOLS,O,O,X,X
IZJTOSL,O,O,X,X
IZJLTSO,O,O,O,X
IZJLTOS,O,O,O,X
IZJLSTO,O,X,O,X
IZJLSOT,O,O,O,X
IZJLOTS,O,O,O,X
IZJLOST,O,O,X,X
IZJSTLO,X,O,O,X
IZJSTOL,O,O,O,X
IZJSLTO,X,X,O,X
IZJSLOT,O,O,O,X
IZJSOTL,O,O,O,X
IZJSOLT,O,O,O,X
IZJOTLS,O,O,X,X
IZJOTSL,O,O,X,X
IZJOLTS,O,O,O,X
IZJOLST,O,O,O,X
IZJOSTL,O,O,O,X
IZJOSLT,O,O,O,X
IZSTLJO,O,O,O,O
IZSTLOJ,O,O,X,O
IZSTJLO,O,O,O,X
IZSTJOL,O,O,O,X
IZSTOLJ,O,O,X,X
IZSTOJL,O,O,O,X
IZSLTJO,O,X,O,O
IZSLTOJ,O,X,O,O
IZSLJTO,O,X,O,X
IZSLJOT,O,O,O,X
IZSLOTJ,O,X,O,X
IZSLOJT,O,O,O,X
IZSJTLO,X,O,O,X
IZSJTOL,O,O,O,X
IZSJLTO,O,X,O,X
IZSJLOT,O,O,O,X
IZSJOTL,O,O,O,X
IZSJOLT,O,O,O,X
IZSOTLJ,O,O,O,X
IZSOTJL,O,O,O,X
IZSOLTJ,O,X,O,X
IZSOLJT,O,O,O,X
IZSOJTL,O,O,O,X
IZSOJLT,O,O,O,X
IZOTLJS,O,O,O,X
IZOTLSJ,O,O,O,X
IZOTJLS,O,O,X,X
IZOTJSL,O,O,X,X
IZOTSLJ,O,O,X,X
IZOTSJL,O,O,X,X
IZOLTJS,O,O,O,X
IZOLTSJ,O,O,O,X
IZOLJTS,O,O,O,X
IZOLJST,O,O,O,X
IZOLSTJ,O,X,O,X
IZOLSJT,O,O,O,X
IZOJTLS,O,O,X,X
IZOJTSL,O,O,X,X
IZOJLTS,O,O,O,X
IZOJLST,O,O,O,X
IZOJSTL,O,O,O,X
IZOJSLT,O,O,O,X
IZOSTLJ,O,O,O,X
IZOSTJL,O,O,O,X
IZOSLTJ,O,X,O,X
IZOSLJT,O,O,O,X
IZOSJTL,O,O,O,X
IZOSJLT,O,O,O,X
IOTLJSZ,O,X,O,X
IOTLJZS,O,O,O,X
IOTLSJZ,O,X,O,X
IOTLSZJ,O,O,O,X
IOTLZJS,O,O,O,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,X,O,X
IOTJLZS,O,O,O,X
IOTJSLZ,O,X,O,X
IOTJSZL,O,X,O,X
IOTJZLS,O,O,X,X
IOTJZSL,O,O,X,X
IOTSLJZ,O,X,O,X
IOTSLZJ,O,O,O,X
IOTSJLZ,O,X,O,X
IOTSJZL,O,X,O,X
IOTSZLJ,O,O,O,X
IOTSZJL,O,O,O,X
IOTZLJS,O,O,O,X
IOTZLSJ,O,O,O,X
IOTZJLS,O,O,X,X
IOTZJSL,O,O,X,X
IOTZSLJ,O,O,X,X
IOTZSJL,O,O,X,X
IOLTJSZ,O,X,O,X
IOLTJZS,O,O,O,X
IOLTSJZ,O,X,O,X
IOLTSZJ,O,O,O,X
IOLTZJS,O,O,O,X
IOLTZSJ,O,O,O,X
IOLJTSZ,O,X,O,X
IOLJTZS,O,O,O,X
IOLJSTZ,O,X,O,X
IOLJSZT,O,X,O,X
IOLJZTS,O,O,O,X
IOLJZST,O,O,O,X
IOLSTJZ,O,X,O,X
IOLSTZJ,O,O,O,X
IOLSJTZ,O,X,O,X
IOLSJZT,O,X,O,X
IOLSZTJ,O,X,O,X
IOLSZJT,O,O,O,X
IOLZTJS,O,O,O,X
IOLZTSJ,O,O,O,X
IOLZJTS,O,O,O,X
IOLZJST,O,O,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,O,O,X
IOJTLSZ,O,X,O,X
IOJTLZS,O,O,O,X
IOJTSLZ,O,X,O,X
IOJTSZL,O,X,O,X
IOJTZLS,O,O,X,X
IOJTZSL,O,O,X,X
IOJLTSZ,O,X,O,X
IOJLTZS,O,O,O,X
IOJLSTZ,O,X,O,X
IOJLSZT,O,X,O,X
IOJLZTS,O,O,O,X
IOJLZST,O,O,O,X
IOJSTLZ,O,X,O,X
IOJSTZL,O,X,O,X
IOJSLTZ,O,X,O,X
IOJSLZT,O,X,O,X
IOJSZTL,O,O,O,X
IOJSZLT,O,O,O,X
IOJZTLS,O,O,X,X
IOJZTSL,O,O,X,X
IOJZLTS,O,O,O,X
IOJZLST,O,O,O,X
IOJZSTL,O,O,O,X
IOJZSLT,O,O,O,X
IOSTLJZ,O,X,O,X
IOSTLZJ,O,O,O,X
IOSTJLZ,O,X,O,X
IOSTJZL,O,X,O,X
IOSTZLJ,O,O,O,X
IOSTZJL,O,O,O,X
IOSLTJZ,O,X,O,X
IOSLTZJ,O,O,O,X
IOSLJTZ,O,X,O,X
IOSLJZT,O,X,O,X
IOSLZTJ,O,X,O,X
IOSLZJT,O,O,O,X
IOSJTLZ,O,X,O,X
IOSJTZL,O,X,O,X
IOSJLTZ,O,X,O,X
IOSJLZT,O,X,O,X
IOSJZTL,O,O,O,X
IOSJZLT,O,O,O,X
IOSZTLJ,O,O,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,X,O,X
IOSZLJT,O,O,O,X
IOSZJTL,O,O,O,X
IOSZJLT,O,O,O,X
IOZTLJS,O,O,O,X
IOZTLSJ,O,O,O,X
IOZTJLS,O,O,X,X
IOZTJSL,O,O,X,X
IOZTSLJ,O,O,X,X
IOZTSJL,O,O,X,X
IOZLTJS,O,O,O,X
IOZLTSJ,O,O,O,X
IOZLJTS,O,O,O,X
IOZLJST,O,O,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,O,O,X
IOZJTLS,O,O,X,X
IOZJTSL,O,O,X,X
IOZJLTS,O,O,O,X
IOZJLST,O,O,O,X
IOZJSTL,O,O,O,X
IOZJSLT,O,O,O,X
IOZSTLJ,O,O,O,X
IOZSTJL,O,O,O,X
IOZSLTJ,O,X,O,X
IOZSLJT,O,O,O,X
IOZSJTL,O,O,O,X
IOZSJLT,O,O,O,X
LTIJSZO,O,X,O,O
LTIJSOZ,O,X,X,O
LTIJZSO,O,O,O,O
LTIJZOS,O,O,O,X
LTIJOSZ,O,X,X,O
LTIJOZS,O,O,X,X
LTISJZO,O,X,O,O
LTISJOZ,O,X,X,O
LTISZJO,O,O,O,O
LTISZOJ,O,O,O,O
LTISOJZ,O,X,X,O
LTISOZJ,O,O,X,O
LTIZJSO,O,O,O,O
LTIZJOS,O,O,O,X
LTIZSJO,O,O,O,O
LTIZSOJ,O,O,X,O
LTIZOJS,O,O,O,X
LTIZOSJ,O,O,X,O
LTIOJSZ,O,X,X,O
LTIOJZS,O,O,O,X
LTIOSJZ,O,X,X,O
LTIOSZJ,O,O,O,O
LTIOZJS,O,O,O,X
LTIOZSJ,O,O,O,O
LTJISZO,O,X,O,O
LTJISOZ,O,X,X,O
LTJIZSO,O,O,O,O
LTJIZOS,O,O,O,X
LTJIOSZ,O,X,X,O
LTJIOZS,O,O,X,X
LTJSIZO,O,X,O,O
LTJSIOZ,O,X,X,O
LTJSZIO,O,X,O,O
LTJSZOI,O,X,O,O
LTJSOIZ,O,X,X,O
LTJSOZI,O,X,X,O
LTJZISO,O,O,O,O
LTJZIOS,O,O,O,O
LTJZSIO,O,O,O,O
LTJZSOI,O,O,X,O
LTJZOIS,O,O,O,O
LTJZOSI,O,O,X,O
LTJOISZ,O,X,X,O
LTJOIZS,O,O,X,X
LTJOSIZ,O,X,X,O
LTJOSZI,O,X,X,O
LTJOZIS,O,O,X,X
LTJOZSI,O,O,X,X
LTSIJZO,O,X,O,O
LTSIJOZ,O,X,X,O
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,X,X,O
LTSIOZJ,O,O,X,O
LTSJIZO,O,X,O,O
LTSJIOZ,O,X,X,O
LTSJZIO,O,X,O,O
LTSJZOI,O,X,O,O
LTSJOIZ,O,X,X,O
LTSJOZI,O,X,X,O
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,X,X,O
LTSOIZJ,O,O,X,O
LTSOJIZ,O,X,X,O
LTSOJZI,O,X,X,O
LTSOZIJ,O,O,X,O
LTSOZJI,O,O,X,O
LTZIJSO,O,O,O,O
LTZIJOS,O,O,O,X
LTZISJO,O,O,O,O
LTZISOJ,O,O,X,O
LTZIOJS,O,O,O,X
LTZIOSJ,O,O,X,O
LTZJISO,O,O,O,O
LTZJIOS,O,O,O,X
LTZJSIO,O,O,O,O
LTZJSOI,O,O,X,O
LTZJOIS,O,O,O,X
LTZJOSI,O,O,X,X
LTZSIJO,O,O,O,O
LTZSIOJ,O,O,X,O
LTZSJIO,O,O,O,O
LTZSJOI,O,O,X,O
LTZSOIJ,O,O,X,O
LTZSOJI,O,O,X,O
LTZOIJS,O,O,O,X
LTZOISJ,O,O,X,O
LTZOJIS,O,O,O,X
LTZOJSI,O,O,X,X
LTZOSIJ,O,O,X,O
LTZOSJI,O,O,X,O
LTOIJSZ,O,X,X,O
LTOIJZS,O,O,O,X
LTOISJZ,O,X,X,O
LTOISZJ,O,O,O,O
LTOIZJS,O,O,O,X
LTOIZSJ,O,O,O,O
LTOJISZ,O,X,X,O
LTOJIZS,O,O,O,X
LTOJSIZ,O,X,X,O
LTOJSZI,O,X,X,O
LTOJZIS,O,O,O,X
LTOJZSI,O,O,O,X
LTOSIJZ,O,X,X,O
LTOSIZJ,O,O,O,O
LTOSJIZ,O,X,X,O
LTOSJZI,O,X,X,O
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,O
LTOZIJS,O,O,O,X
LTOZISJ,O,O,O,O
LTOZJIS,O,O,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,O,O,O,O
LTOZSJI,O,O,O,O
LITJSZO,O,X,O,O
LITJSOZ,O,X,X,O
LITJZSO,O,O,O,O
LITJZOS,O,O,O,X
LITJOSZ,O,X,X,O
LITJOZS,O,O,X,X
LITSJZO,O,X,O,O
LITSJOZ,O,X,X,O
LITSZJO,O,O,O,O
LITSZOJ,O,O,O,O
LITSOJZ,O,X,X,O
LITSOZJ,O,O,X,O
LITZJSO,O,O,O,O
LITZJOS,O,O,O,X
LITZSJO,O,O,O,O
LITZSOJ,O,O,X,O
LITZOJS,O,O,O,X
LITZOSJ,O,O,X,O
LITOJSZ,O,X,X,O
LITOJZS,O,O,O,X
LITOSJZ,O,X,X,O
LITOSZJ,O,O,O,O
LITOZJS,O,O,O,X
LITOZSJ,O,O,O,O
LIJTSZO,O,X,O,O
LIJTSOZ,O,X,X,O
LIJTZSO,O,O,O,O
LIJTZOS,O,O,O,X
LIJTOSZ,O,X,X,O
LIJTOZS,O,O,X,X
LIJSTZO,O,X,O,O
LIJSTOZ,O,X,X,O
LIJSZTO,O,X,O,X
LIJSZOT,O,X,O,X
LIJSOTZ,O,X,O,X
LIJSOZT,O,X,O,X
LIJZTSO,O,O,O,O
LIJZTOS,O,O,O,O
LIJZSTO,O,X,O,O
LIJZSOT,O,O,O,X
LIJZOTS,O,O,O,X
LIJZOST,O,O,X,X
LIJOTSZ,O,X,O,O
LIJOTZS,O,O,O,X
LIJOSTZ,O,X,O,X
LIJOSZT,O,X,O,X
LIJOZTS,O,O,O,X
LIJOZST,O,O,O,X
LISTJZO,O,X,O,O
LISTJOZ,O,X,X,O
LISTZJO,O,O,O,O
LISTZOJ,O,O,O,O
LISTOJZ,O,X,X,O
LISTOZJ,O,O,X,O
LISJTZO,O,X,O,O
LISJTOZ,O,X,X,O
LISJZTO,O,X,O,X
LISJZOT,O,X,O,X
LISJOTZ,O,X,O,X
LISJOZT,O,X,O,X
LISZTJO,O,X,O,X
LISZTOJ,O,X,O,X
