sequence,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Je07IvhFmc?BzdB5jBfnBilBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jem7IvhFzd?B5jBclBanB3hBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jel7IvhFch?BmdB5jBXiBTlBirB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8JeX8IvhFxd?BFiB6oBTgB0mBmqB
TLSZJOI,O,O,O,O
TLSZOIJ,O,O,O,O
TLSZOJI,O,O,O,O
TLSOIJZ,O,X,X,O
TLSOIZJ,O,O,X,O
TLSOJIZ,O,X,X,O
TLSOJZI,O,X,X,O
TLSOZIJ,O,O,X,O
TLSOZJI,O,O,X,O
TLZIJSO,O,O,O,O
TLZIJOS,O,O,O,X
TLZISJO,O,O,O,O
TLZISOJ,O,O,X,O
TLZIOJS,O,O,O,X
TLZIOSJ,O,O,X,O
TLZJISO,O,O,O,O
TLZJIOS,O,O,O,X
TLZJSIO,O,O,O,O
TLZJSOI,O,O,X,O
TLZJOIS,O,O,O,X
TLZJOSI,O,O,X,X
TLZSIJO,O,O,O,O
TLZSIOJ,O,O,X,O
TLZSJIO,O,O,O,O
TLZSJOI,O,O,X,O
TLZSOIJ,O,O,X,O
TLZSOJI,O,O,X,O
TLZOIJS,O,O,O,X
TLZOISJ,O,O,X,O
TLZOJIS,O,O,O,X
TLZOJSI,O,O,X,X
TLZOSIJ,O,O,X,O
TLZOSJI,O,O,X,O
TLOIJSZ,O,X,X,O
TLOIJZS,O,O,O,X
TLOISJZ,O,X,X,O
TLOISZJ,O,O,O,O
TLOIZJS,O,O,O,X
TLOIZSJ,O,O,O,O
TLOJISZ,O,X,X,O
TLOJIZS,O,O,O,X
TLOJSIZ,O,X,X,O
TLOJSZI,O,X,X,O
TLOJZIS,O,O,O,X
TLOJZSI,O,O,O,X
TLOSIJZ,O,X,X,O
TLOSIZJ,O,O,O,O
TLOSJIZ,O,X,X,O
TLOSJZI,O,X,X,O
TLOSZIJ,O,O,O,O
TLOSZJI,O,O,O,O
TLOZIJS,O,O,O,X
TLOZISJ,O,O,O,O
TLOZJIS,O,O,O,X
TLOZJSI,O,O,O,X
TLOZSIJ,O,O,O,O
TLOZSJI,O,O,O,O
TJILSZO,O,X,O,O
TJILSOZ,O,X,X,O
TJILZSO,O,O,O,O
TJILZOS,O,O,O,X
TJILOSZ,O,X,X,O
TJILOZS,O,O,X,X
TJISLZO,O,X,O,O
TJISLOZ,O,X,X,O
TJISZLO,O,X,O,X
TJISZOL,O,X,O,X
TJISOLZ,O,X,O,X
TJISOZL,O,X,O,X
TJIZLSO,O,O,X,X
TJIZLOS,O,O,X,X
TJIZSLO,O,O,X,X
TJIZSOL,O,O,X,X
TJIZOLS,O,O,X,X
TJIZOSL,O,O,X,X
TJIOLSZ,O,X,O,X
TJIOLZS,O,O,O,X
TJIOSLZ,O,X,O,X
TJIOSZL,O,X,O,X
TJIOZLS,O,O,X,X
TJIOZSL,O,O,X,X
TJLISZO,O,X,O,O
TJLISOZ,O,X,X,O
TJLIZSO,O,O,O,O
TJLIZOS,O,O,O,X
TJLIOSZ,O,X,X,O
TJLIOZS,O,O,X,X
TJLSIZO,O,X,O,O
TJLSIOZ,O,X,X,O
TJLSZIO,O,X,O,O
TJLSZOI,O,X,O,O
TJLSOIZ,O,X,X,O
TJLSOZI,O,X,X,O
TJLZISO,O,O,O,O
TJLZIOS,O,O,O,O
TJLZSIO,O,O,O,O
TJLZSOI,O,O,X,O
TJLZOIS,O,O,O,O
TJLZOSI,O,O,X,O
TJLOISZ,O,X,X,O
TJLOIZS,O,O,X,X
TJLOSIZ,O,X,X,O
TJLOSZI,O,X,X,O
TJLOZIS,O,O,X,X
TJLOZSI,O,O,X,X
TJSILZO,O,X,O,O
TJSILOZ,O,X,X,O
TJSIZLO,O,X,O,X
TJSIZOL,O,X,O,X
TJSIOLZ,O,X,O,X
TJSIOZL,O,X,O,X
TJSLIZO,O,X,O,O
TJSLIOZ,O,X,X,O
TJSLZIO,O,X,O,O
TJSLZOI,O,X,O,O
TJSLOIZ,O,X,X,O
TJSLOZI,O,X,X,O
TJSZILO,O,X,O,X
TJSZIOL,O,X,O,X
TJSZLIO,O,X,O,O
TJSZLOI,O,X,X,O
TJSZOIL,O,X,O,X
TJSZOLI,O,X,X,X
TJSOILZ,O,X,O,X
TJSOIZL,O,X,O,X
TJSOLIZ,O,X,O,O
TJSOLZI,O,X,O,O
TJSOZIL,O,X,O,X
TJSOZLI,O,X,O,X
TJZILSO,O,O,X,O
TJZILOS,O,O,X,O
TJZISLO,O,O,X,O
TJZISOL,O,O,X,X
TJZIOLS,O,O,X,X
TJZIOSL,O,O,X,X
TJZLISO,O,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,O,O,X,O
TJZLSOI,O,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,O,O,X,O
TJZSILO,O,O,X,O
TJZSIOL,O,O,X,X
TJZSLIO,O,O,X,O
TJZSLOI,O,O,X,O
TJZSOIL,O,O,X,X
TJZSOLI,O,O,X,O
TJZOILS,O,O,X,X
TJZOISL,O,O,X,X
TJZOLIS,O,O,X,O
TJZOLSI,O,O,X,O
TJZOSIL,O,O,X,X
TJZOSLI,O,O,X,O
TJOILSZ,O,X,O,X
TJOILZS,O,O,O,X
TJOISLZ,O,X,O,X
TJOISZL,O,X,O,X
TJOIZLS,O,O,X,X
TJOIZSL,O,O,X,X
TJOLISZ,O,X,O,O
TJOLIZS,O,O,O,X
TJOLSIZ,O,X,O,O
TJOLSZI,O,X,O,O
TJOLZIS,O,O,O,X
TJOLZSI,O,O,O,X
