sequence,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBuhB1iB6?jB8rB3sB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBV?nBUsBurB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jex7IvhFXdB6jBmgBz?iBlrBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jei7IvhFzdB+jBRhB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBu?mBUiBVxB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Je2AJvhFRcBCeBTjB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFxdBihBGjB0?hBlrB3sB
TILJSZO,X,X,O,O,O,X,X
TILJSOZ,X,X,O,O,O,X,O
TILJZSO,X,X,O,X,O,X,X
TILJZOS,X,X,O,X,O,X,O
TILJOSZ,X,X,O,O,O,X,O
TILJOZS,X,X,O,X,O,X,O
TILSJZO,X,X,X,O,O,X,O
TILSJOZ,X,X,X,O,O,X,O
TILSZJO,X,O,X,O,O,X,X
TILSZOJ,X,O,X,X,O,X,X
TILSOJZ,X,X,X,O,O,X,O
TILSOZJ,X,O,X,X,O,X,X
TILZJSO,O,X,O,X,O,X,X
TILZJOS,O,X,O,X,O,X,X
TILZSJO,O,O,O,X,O,X,X
TILZSOJ,O,O,O,X,O,X,X
TILZOJS,O,X,X,X,O,X,X
TILZOSJ,O,O,X,X,O,X,X
TILOJSZ,X,X,O,X,O,X,O
TILOJZS,X,X,O,X,O,X,O
TILOSJZ,X,X,O,X,O,X,O
TILOSZJ,X,O,O,X,O,X,X
TILOZJS,O,X,X,X,O,X,X
TILOZSJ,O,O,X,X,O,X,X
TIJLSZO,X,X,O,O,O,X,O
TIJLSOZ,X,X,O,O,O,X,O
TIJLZSO,X,X,O,X,O,X,X
TIJLZOS,X,X,O,X,O,X,O
TIJLOSZ,X,X,O,O,O,X,O
TIJLOZS,X,X,O,X,O,X,O
TIJSLZO,X,X,O,X,O,X,O
TIJSLOZ,X,X,O,X,O,X,O
TIJSZLO,X,X,O,X,O,X,O
TIJSZOL,X,X,O,X,O,X,O
TIJSOLZ,X,X,O,X,O,X,O
TIJSOZL,X,X,O,X,O,X,O
TIJZLSO,X,X,O,X,O,X,X
TIJZLOS,X,X,O,X,O,X,O
TIJZSLO,X,X,O,X,O,X,O
TIJZSOL,X,X,O,X,O,X,O
TIJZOLS,X,X,O,X,O,X,O
TIJZOSL,X,X,O,X,O,X,O
TIJOLSZ,X,X,O,O,O,X,O
TIJOLZS,X,X,O,X,O,X,O
TIJOSLZ,X,X,O,X,O,X,O
TIJOSZL,X,X,O,X,O,X,O
TIJOZLS,X,X,O,X,O,X,O
TIJOZSL,X,X,O,X,O,X,O
TISLJZO,X,X,X,X,O,X,O
TISLJOZ,X,X,X,X,O,X,O
TISLZJO,X,O,X,X,O,X,X
TISLZOJ,X,O,X,X,O,X,X
TISLOJZ,X,X,X,X,O,X,O
TISLOZJ,X,O,X,X,O,X,X
TISJLZO,X,X,X,X,O,X,O
TISJLOZ,X,X,X,X,O,X,O
TISJZLO,X,X,X,X,O,X,O
TISJZOL,X,X,X,X,O,X,O
TISJOLZ,X,X,X,X,O,X,O
TISJOZL,X,X,X,X,O,X,O
TISZLJO,X,O,X,X,O,X,X
TISZLOJ,X,O,X,X,O,X,X
TISZJLO,X,O,X,X,O,X,X
TISZJOL,X,O,X,X,O,X,X
TISZOLJ,X,O,X,X,O,X,X
TISZOJL,X,O,X,X,O,X,X
TISOLJZ,X,X,X,X,O,X,O
TISOLZJ,X,O,X,X,O,X,X
TISOJLZ,X,X,X,X,O,X,O
TISOJZL,X,X,X,X,O,X,O
TISOZLJ,X,O,X,X,O,X,X
TISOZJL,X,O,X,X,O,X,X
TIZLJSO,O,X,O,X,O,X,X
TIZLJOS,O,X,O,X,O,X,X
TIZLSJO,O,O,O,X,O,X,X
TIZLSOJ,O,O,O,X,O,X,X
TIZLOJS,O,X,X,X,O,X,X
TIZLOSJ,O,O,X,X,O,X,X
TIZJLSO,O,X,O,X,O,X,X
TIZJLOS,O,X,O,X,O,X,X
TIZJSLO,O,O,O,X,O,X,X
TIZJSOL,O,O,O,X,O,X,X
TIZJOLS,O,X,O,X,O,X,X
TIZJOSL,O,O,O,X,O,X,X
TIZSLJO,O,O,O,X,O,X,X
TIZSLOJ,O,O,O,X,O,X,X
TIZSJLO,O,O,O,X,O,X,X
TIZSJOL,O,O,O,X,O,X,X
TIZSOLJ,O,O,O,X,O,X,X
TIZSOJL,O,O,O,X,O,X,X
TIZOLJS,O,X,O,X,O,X,X
TIZOLSJ,O,O,O,X,O,X,X
TIZOJLS,O,X,O,X,O,X,X
TIZOJSL,O,O,O,X,O,X,X
TIZOSLJ,O,O,O,X,O,X,X
TIZOSJL,O,O,O,X,O,X,X
TIOLJSZ,X,X,O,X,O,X,O
TIOLJZS,X,X,O,X,O,X,O
TIOLSJZ,X,X,O,X,O,X,O
TIOLSZJ,X,O,O,X,O,X,X
TIOLZJS,O,X,X,X,O,X,X
TIOLZSJ,O,O,X,X,O,X,X
TIOJLSZ,X,X,O,X,O,X,O
TIOJLZS,X,X,O,X,O,X,O
TIOJSLZ,X,X,O,X,O,X,O
TIOJSZL,X,X,O,X,O,X,O
TIOJZLS,X,X,O,X,O,X,O
TIOJZSL,X,X,O,X,O,X,O
TIOSLJZ,X,X,O,X,O,X,O
TIOSLZJ,X,O,O,X,O,X,X
TIOSJLZ,X,X,O,X,O,X,O
TIOSJZL,X,X,O,X,O,X,O
TIOSZLJ,X,O,O,X,O,X,X
TIOSZJL,X,O,X,X,O,X,X
TIOZLJS,O,X,X,X,O,X,X
TIOZLSJ,O,O,X,X,O,X,X
TIOZJLS,O,X,X,X,O,X,X
TIOZJSL,O,O,X,X,O,X,X
TIOZSLJ,O,O,X,X,O,X,X
TIOZSJL,O,O,X,X,O,X,X
TLIJSZO,X,X,O,O,O,X,X
TLIJSOZ,X,X,O,O,O,X,O
TLIJZSO,X,X,O,X,O,X,X
TLIJZOS,X,X,O,X,O,X,O
TLIJOSZ,X,X,O,O,O,X,O
TLIJOZS,X,X,O,X,O,X,O
TLISJZO,X,X,X,O,O,X,O
TLISJOZ,X,X,X,O,O,X,O
TLISZJO,X,O,X,O,O,X,X
TLISZOJ,X,O,X,X,O,X,X
TLISOJZ,X,X,X,O,O,X,O
TLISOZJ,X,O,X,X,O,X,X
TLIZJSO,O,X,O,X,O,X,X
TLIZJOS,O,X,O,X,O,X,X
TLIZSJO,O,O,O,X,O,X,X
TLIZSOJ,O,O,O,X,O,X,X
TLIZOJS,O,X,X,X,O,X,X
TLIZOSJ,O,O,X,X,O,X,X
TLIOJSZ,X,X,O,X,O,X,O
TLIOJZS,X,X,O,X,O,X,O
TLIOSJZ,X,X,O,X,O,X,O
TLIOSZJ,X,O,O,X,O,X,X
TLIOZJS,O,X,X,X,O,X,X
TLIOZSJ,O,O,X,X,O,X,X
TLJISZO,X,X,O,O,X,X,O
TLJISOZ,X,X,O,O,X,X,O
