sequence,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jem6IvhFNhBUdBajBT?fBXlB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeO/IvhFXbBNhBUdBa?jB5lBzpB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFxbBXdBdjBm?gB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jex6IvhFNhBUdBajB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Je06IvhFNhBRdB/kBm?iBTlB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFKgBOhBXdBd?jB0kB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFNhBRdB/lBm?iB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeNBJvhFUdBajBxkB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeN/IvhFUdBajBxgBu?kBzgB/qB
TILJSZO,X,O,O,X,X,X,X,O,X
TILJSOZ,X,O,O,X,X,X,X,O,X
TILJZSO,X,O,O,X,X,X,X,O,O
TILJZOS,X,O,O,X,X,X,X,O,O
TILJOSZ,X,O,O,X,X,X,X,O,X
TILJOZS,X,O,O,X,X,X,X,O,X
TILSJZO,X,O,O,O,X,X,X,O,O
TILSJOZ,X,O,O,X,X,X,X,O,X
TILSZJO,X,O,O,O,X,X,X,O,O
TILSZOJ,O,O,O,O,X,X,X,O,O
TILSOJZ,O,O,O,O,X,X,X,O,X
TILSOZJ,O,O,O,O,X,X,X,O,O
TILZJSO,X,O,O,X,X,X,X,O,O
TILZJOS,X,O,O,X,X,X,X,O,O
TILZSJO,X,O,O,O,X,X,X,O,O
TILZSOJ,O,O,O,O,X,X,X,O,O
TILZOJS,X,O,O,X,X,X,X,O,O
TILZOSJ,O,O,O,O,X,X,X,O,O
TILOJSZ,X,O,X,X,X,X,X,O,X
TILOJZS,X,O,X,X,X,X,X,O,X
TILOSJZ,O,O,X,O,X,X,X,O,X
TILOSZJ,O,O,X,O,X,X,X,O,X
TILOZJS,X,O,X,X,X,X,X,O,O
TILOZSJ,O,O,X,O,X,X,X,O,O
TIJLSZO,X,O,O,X,X,X,X,O,X
TIJLSOZ,X,O,O,X,O,X,X,O,X
TIJLZSO,X,O,O,X,X,X,O,O,O
TIJLZOS,X,O,O,X,X,X,O,O,O
TIJLOSZ,X,O,O,X,O,X,X,O,X
TIJLOZS,X,O,O,X,X,X,X,O,X
TIJSLZO,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,O,X,X,X,X
TIJSZLO,X,O,O,X,X,O,O,X,X
TIJSZOL,X,O,O,X,O,O,O,X,X
TIJSOLZ,X,O,O,X,O,X,X,X,X
TIJSOZL,X,O,O,X,O,X,X,X,X
TIJZLSO,X,O,O,X,X,O,O,O,O
TIJZLOS,X,O,O,X,X,O,O,O,O
TIJZSLO,X,O,O,X,X,O,O,X,X
TIJZSOL,X,O,O,X,O,O,O,X,X
TIJZOLS,X,O,O,X,X,O,O,X,X
TIJZOSL,X,O,O,X,O,O,O,X,X
TIJOLSZ,X,O,O,X,O,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,O,X,X,X,X
TIJOSZL,X,O,O,X,O,X,X,X,X
TIJOZLS,X,O,O,X,X,X,O,X,X
TIJOZSL,X,O,O,X,O,X,O,X,X
TISLJZO,X,O,O,O,X,X,X,O,O
TISLJOZ,X,O,O,X,X,X,X,O,X
TISLZJO,X,O,O,O,X,X,X,O,O
TISLZOJ,O,O,O,O,X,X,X,O,O
TISLOJZ,O,O,O,O,X,X,X,O,X
TISLOZJ,O,O,O,O,X,X,X,O,O
TISJLZO,X,O,O,O,X,X,X,X,O
TISJLOZ,X,O,O,X,O,X,X,X,X
TISJZLO,X,O,O,O,X,O,X,X,O
TISJZOL,X,O,O,X,O,O,X,X,X
TISJOLZ,X,O,O,X,O,X,X,X,X
TISJOZL,X,O,O,X,O,X,X,X,X
TISZLJO,X,O,O,O,X,O,X,O,O
TISZLOJ,O,O,O,O,X,O,X,O,O
TISZJLO,X,O,O,O,X,O,X,X,O
TISZJOL,X,O,O,X,X,O,X,X,X
TISZOLJ,O,O,O,O,X,O,X,X,O
TISZOJL,O,O,O,O,X,O,X,X,X
TISOLJZ,O,O,O,O,X,X,X,X,X
TISOLZJ,O,O,O,O,X,X,X,X,O
TISOJLZ,O,O,O,O,O,X,X,X,X
TISOJZL,O,O,O,O,O,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X,O
TISOZJL,O,O,O,O,O,X,X,X,X
TIZLJSO,X,O,O,X,X,O,X,O,O
TIZLJOS,X,O,O,X,X,O,X,O,O
TIZLSJO,X,O,O,O,X,O,X,O,O
TIZLSOJ,O,O,O,O,X,O,X,O,O
TIZLOJS,X,O,O,X,X,O,X,O,O
TIZLOSJ,O,O,O,O,X,O,X,O,O
TIZJLSO,X,O,O,X,X,O,O,O,O
TIZJLOS,X,O,O,X,X,O,O,O,O
TIZJSLO,X,O,O,X,X,O,O,X,X
TIZJSOL,X,O,O,X,X,O,O,X,X
TIZJOLS,X,O,O,X,X,O,O,X,X
TIZJOSL,X,O,O,X,X,O,O,X,X
TIZSLJO,X,O,O,O,X,O,X,O,O
TIZSLOJ,O,O,O,O,X,O,X,O,O
TIZSJLO,X,O,O,O,X,O,O,X,O
TIZSJOL,X,O,O,X,X,O,O,X,X
TIZSOLJ,O,O,O,O,X,O,X,X,O
TIZSOJL,O,O,O,O,X,O,O,X,X
TIZOLJS,X,O,O,X,X,O,X,O,O
