sequence,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFTeBUhBFiBa?tBGsBXsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcBTeBlmBa?tBXsBGsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcB3hBFjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFXdBUhBFjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jel7IvhFUdBGeBThBZ?oBXnBSxB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcBTeBlmBm?sB3sBCsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxdBXjBlmBm?sB6rBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFTeBUhBFiBS?sBetBXsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFUhBFiBXjBO?tBCsBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFUhBFiBXjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhF/iBGeBZoBl?mBTsB6rB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFXdBFjBxmB6?rBOtBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhF/iBcjBlmBi?sBGrBzsB
TILJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TILSZOJ,X,O,O,O,O,X,X,X,O,X,X,O,X
TILSOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
TILZJOS,O,O,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TILZSOJ,O,O,O,O,O,X,X,X,O,X,X,O,X
TILZOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
TILOJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,O,X,X,X,X,X,X,O,X
TILOZJS,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJLSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJSLZO,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TIJSZOL,X,X,X,X,X,O,O,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJZLOS,O,X,X,X,O,O,X,O,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TIJZSOL,X,X,X,X,X,O,O,O,X,X,X,O,X
TIJZOLS,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJZOSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TIJOLSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X
TIJOSZL,X,X,X,X,O,O,X,X,X,X,O,O,X
TIJOZLS,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TISLJZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,O,X,X,X,O,X,X,O,X
TISLZOJ,X,O,X,X,O,X,X,X,O,X,X,O,X
TISLOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJZOL,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TISZLJO,X,O,O,X,X,X,X,X,O,O,X,O,X
TISZLOJ,X,O,O,X,X,X,X,X,O,O,X,O,X
TISZJLO,X,X,X,X,X,X,O,X,O,O,X,O,X
TISZJOL,X,X,X,X,X,X,O,X,O,O,X,O,X
TISZOLJ,X,X,O,X,X,X,X,X,O,O,X,O,X
TISZOJL,X,X,X,X,X,X,X,X,O,O,X,O,X
