sequence,v115@7gB8GeC8AeB8EeB8AeB8EeG8AeD8JeZ/IvhFzaBCcB?XdB8lBGnBlrB,v115@7gB8GeC8AeB8EeB8AeB8EeG8AeD8JeZ/IvhFzaBCdB?ulB/nBUhBlrB,v115@7gB8GeC8AeB8EeB8AeB8EeG8AeD8JeZ/IvhFCbB/hB?FdB0gBTnBGrB,v115@7gB8GeC8AeB8EeB8AeB8EeG8AeD8Jex6IvhF0cBOkB?lgBTiBXmBCsB
TIOLJZS,O,X,O,X
TIOLSJZ,O,O,X,X
TIOLSZJ,O,O,X,X
TIOLZJS,O,X,O,X
TIOLZSJ,O,X,O,X
TIOJLSZ,O,O,O,X
TIOJLZS,O,X,O,X
TIOJSLZ,O,O,O,X
TIOJSZL,O,O,O,X
TIOJZLS,O,X,O,X
TIOJZSL,O,O,O,X
TIOSLJZ,O,O,X,X
TIOSLZJ,O,O,X,X
TIOSJLZ,O,O,O,X
TIOSJZL,O,O,O,X
TIOSZLJ,O,O,X,X
TIOSZJL,O,O,X,X
TIOZLJS,O,X,O,X
TIOZLSJ,O,X,O,X
TIOZJLS,O,X,O,X
TIOZJSL,O,O,O,X
TIOZSLJ,O,O,O,X
TIOZSJL,O,O,O,X
TLIJSZO,O,O,O,O
TLIJSOZ,O,O,O,X
TLIJZSO,O,X,O,O
TLIJZOS,O,X,X,O
TLIJOSZ,O,O,X,X
TLIJOZS,O,X,X,O
TLISJZO,O,O,X,X
TLISJOZ,O,O,X,X
TLISZJO,O,O,X,X
TLISZOJ,O,O,X,X
TLISOJZ,O,O,X,X
TLISOZJ,O,O,X,X
TLIZJSO,O,X,O,O
TLIZJOS,O,X,X,O
TLIZSJO,O,X,O,X
TLIZSOJ,O,X,O,X
TLIZOJS,O,X,O,X
TLIZOSJ,O,X,O,X
TLIOJSZ,O,O,O,X
TLIOJZS,O,X,O,X
TLIOSJZ,O,O,X,X
TLIOSZJ,O,O,X,X
TLIOZJS,O,X,O,X
TLIOZSJ,O,X,O,X
TLJISZO,O,O,O,O
TLJISOZ,O,O,O,X
TLJIZSO,O,X,O,O
TLJIZOS,O,X,X,O
TLJIOSZ,O,O,X,X
TLJIOZS,O,X,X,O
TLJSIZO,O,O,O,O
TLJSIOZ,O,O,O,O
TLJSZIO,O,O,O,O
TLJSZOI,O,O,X,O
TLJSOIZ,O,O,O,O
TLJSOZI,O,O,X,O
TLJZISO,O,X,O,O
TLJZIOS,O,X,X,O
TLJZSIO,O,X,O,O
TLJZSOI,O,X,O,O
TLJZOIS,O,X,X,O
TLJZOSI,O,X,X,O
TLJOISZ,O,O,X,X
TLJOIZS,O,X,X,O
TLJOSIZ,O,O,X,X
TLJOSZI,O,O,X,X
TLJOZIS,O,X,X,O
TLJOZSI,O,X,X,O
TLSIJZO,O,O,X,O
TLSIJOZ,O,O,X,O
TLSIZJO,O,O,X,O
TLSIZOJ,O,O,X,X
TLSIOJZ,O,O,X,X
TLSIOZJ,O,O,X,X
TLSJIZO,O,O,X,O
TLSJIOZ,O,O,X,O
TLSJZIO,O,O,X,O
TLSJZOI,O,O,X,O
TLSJOIZ,O,O,X,O
TLSJOZI,O,O,X,O
TLSZIJO,O,O,X,O
TLSZIOJ,O,O,X,X
TLSZJIO,O,O,X,O
TLSZJOI,O,O,X,O
TLSZOIJ,O,O,X,X
TLSZOJI,O,O,X,O
TLSOIJZ,O,O,X,X
TLSOIZJ,O,O,X,X
TLSOJIZ,O,O,X,O
TLSOJZI,O,O,X,O
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,O
TLZIJSO,O,X,O,O
TLZIJOS,O,X,X,O
TLZISJO,O,X,O,X
TLZISOJ,O,X,O,X
TLZIOJS,O,X,O,X
TLZIOSJ,O,X,O,X
TLZJISO,O,X,O,O
TLZJIOS,O,X,X,O
TLZJSIO,O,X,O,O
TLZJSOI,O,X,O,O
TLZJOIS,O,X,X,O
TLZJOSI,O,X,X,O
TLZSIJO,O,X,O,X
TLZSIOJ,O,X,O,X
TLZSJIO,O,X,O,O
TLZSJOI,O,X,X,O
TLZSOIJ,O,X,O,X
TLZSOJI,O,X,X,X
TLZOIJS,O,X,O,X
TLZOISJ,O,X,O,X
TLZOJIS,O,X,O,O
TLZOJSI,O,X,O,O
TLZOSIJ,O,X,O,X
TLZOSJI,O,X,O,X
TLOIJSZ,O,O,O,X
TLOIJZS,O,X,O,X
TLOISJZ,O,O,X,X
TLOISZJ,O,O,X,X
TLOIZJS,O,X,O,X
TLOIZSJ,O,X,O,X
TLOJISZ,O,O,O,X
TLOJIZS,O,X,O,O
TLOJSIZ,O,O,O,X
TLOJSZI,O,O,O,X
TLOJZIS,O,X,O,O
TLOJZSI,O,X,O,O
TLOSIJZ,O,O,X,X
TLOSIZJ,O,O,X,X
TLOSJIZ,O,O,X,X
TLOSJZI,O,O,X,X
TLOSZIJ,O,O,X,X
TLOSZJI,O,O,X,X
TLOZIJS,O,X,O,X
TLOZISJ,O,X,O,X
TLOZJIS,O,X,O,O
TLOZJSI,O,X,O,O
TLOZSIJ,O,X,O,X
TLOZSJI,O,X,O,X
TJILSZO,O,O,O,O
TJILSOZ,O,O,O,X
TJILZSO,O,X,O,O
TJILZOS,O,X,X,O
TJILOSZ,O,O,X,X
TJILOZS,O,X,X,O
TJISLZO,O,O,O,O
TJISLOZ,O,O,O,X
TJISZLO,O,O,O,O
TJISZOL,O,O,X,O
TJISOLZ,O,O,O,X
TJISOZL,O,O,X,O
TJIZLSO,O,X,O,O
TJIZLOS,O,X,X,O
TJIZSLO,O,O,O,O
TJIZSOL,O,O,O,O
TJIZOLS,O,X,X,O
TJIZOSL,O,O,X,O
TJIOLSZ,O,O,O,X
TJIOLZS,O,X,X,O
TJIOSLZ,O,O,O,X
TJIOSZL,O,O,O,O
TJIOZLS,O,X,X,O
TJIOZSL,O,O,O,O
TJLISZO,O,O,O,O
TJLISOZ,O,O,O,X
TJLIZSO,O,X,O,O
TJLIZOS,O,X,X,O
TJLIOSZ,O,O,X,X
TJLIOZS,O,X,X,O
TJLSIZO,O,O,O,O
TJLSIOZ,O,O,O,O
TJLSZIO,O,O,O,O
TJLSZOI,O,O,X,O
TJLSOIZ,O,O,O,O
TJLSOZI,O,O,X,O
TJLZISO,O,X,O,O
TJLZIOS,O,X,X,O
TJLZSIO,O,X,O,O
TJLZSOI,O,X,O,O
TJLZOIS,O,X,X,O
TJLZOSI,O,X,X,O
TJLOISZ,O,O,X,X
TJLOIZS,O,X,X,O
TJLOSIZ,O,O,X,X
TJLOSZI,O,O,X,X
TJLOZIS,O,X,X,O
TJLOZSI,O,X,X,O
TJSILZO,O,O,O,O
TJSILOZ,O,O,O,X
TJSIZLO,O,O,O,O
TJSIZOL,O,O,X,O
TJSIOLZ,O,O,O,X
TJSIOZL,O,O,X,O
TJSLIZO,O,O,O,O
TJSLIOZ,O,O,O,X
TJSLZIO,O,O,O,O
TJSLZOI,O,O,X,O
TJSLOIZ,O,O,O,X
TJSLOZI,O,O,X,X
TJSZILO,O,O,O,O
TJSZIOL,O,O,X,O
TJSZLIO,O,O,O,O
TJSZLOI,O,O,X,O
TJSZOIL,O,O,X,O
TJSZOLI,O,O,X,O
TJSOILZ,O,O,O,X
TJSOIZL,O,O,X,O
TJSOLIZ,O,O,O,X
TJSOLZI,O,O,X,X
TJSOZIL,O,O,X,O
TJSOZLI,O,O,X,O
TJZILSO,O,X,O,O
TJZILOS,O,X,X,O
TJZISLO,O,O,O,O
TJZISOL,O,O,O,O
TJZIOLS,O,X,X,O
TJZIOSL,O,O,X,O
TJZLISO,O,X,O,O
TJZLIOS,O,X,X,O
TJZLSIO,O,X,O,O
TJZLSOI,O,X,O,O
TJZLOIS,O,X,X,O
TJZLOSI,O,X,X,O
TJZSILO,O,O,O,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,O,O
TJZSLOI,O,O,O,O
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,O
TJZOILS,O,X,X,O
TJZOISL,O,O,X,O
TJZOLIS,O,X,X,O
TJZOLSI,O,X,X,O
TJZOSIL,O,O,X,O
TJZOSLI,O,O,X,O
TJOILSZ,O,O,O,X
TJOILZS,O,X,X,O
TJOISLZ,O,O,O,X
TJOISZL,O,O,O,O
TJOIZLS,O,X,X,O
TJOIZSL,O,O,O,O
TJOLISZ,O,O,O,X
TJOLIZS,O,X,X,O
TJOLSIZ,O,O,O,X
TJOLSZI,O,O,O,X
TJOLZIS,O,X,X,O
TJOLZSI,O,X,X,O
TJOSILZ,O,O,O,X
TJOSIZL,O,O,O,O
TJOSLIZ,O,O,O,X
TJOSLZI,O,O,O,X
TJOSZIL,O,O,O,O
TJOSZLI,O,O,O,O
TJOZILS,O,X,X,O
TJOZISL,O,O,O,O
TJOZLIS,O,X,X,O
TJOZLSI,O,X,X,O
TJOZSIL,O,O,O,O
TJOZSLI,O,O,O,O
TSILJZO,O,O,X,X
TSILJOZ,O,O,X,X
TSILZJO,O,O,X,X
TSILZOJ,O,O,X,X
TSILOJZ,O,O,X,X
TSILOZJ,O,O,X,X
TSIJLZO,O,O,O,O
TSIJLOZ,O,O,O,X
TSIJZLO,O,O,O,O
TSIJZOL,O,O,X,O
TSIJOLZ,O,O,O,X
TSIJOZL,O,O,X,O
TSIZLJO,O,O,X,X
TSIZLOJ,O,O,X,X
TSIZJLO,O,O,X,O
TSIZJOL,O,O,X,O
TSIZOLJ,O,O,X,X
TSIZOJL,O,O,X,X
TSIOLJZ,O,O,X,X
TSIOLZJ,O,O,X,X
TSIOJLZ,O,O,O,X
TSIOJZL,O,O,O,X
TSIOZLJ,O,O,X,X
TSIOZJL,O,O,X,X
TSLIJZO,O,O,X,X
TSLIJOZ,O,O,X,X
TSLIZJO,O,O,X,X
TSLIZOJ,O,O,X,X
TSLIOJZ,O,O,X,X
TSLIOZJ,O,O,X,X
TSLJIZO,O,O,X,O
TSLJIOZ,O,O,X,X
TSLJZIO,O,O,X,O
TSLJZOI,O,O,X,O
TSLJOIZ,O,O,X,X
TSLJOZI,O,O,X,X
TSLZIJO,O,O,X,X
TSLZIOJ,O,O,X,X
TSLZJIO,O,O,X,O
TSLZJOI,O,O,X,O
TSLZOIJ,O,O,X,X
TSLZOJI,O,O,X,X
TSLOIJZ,O,O,X,X
TSLOIZJ,O,O,X,X
TSLOJIZ,O,O,X,X
TSLOJZI,O,O,X,X
TSLOZIJ,O,O,X,X
TSLOZJI,O,O,X,X
TSJILZO,O,O,O,O
TSJILOZ,O,O,O,X
TSJIZLO,O,O,O,O
TSJIZOL,O,O,X,O
TSJIOLZ,O,O,O,X
TSJIOZL,O,O,X,O
TSJLIZO,O,O,O,O
TSJLIOZ,O,O,O,X
TSJLZIO,O,O,O,O
TSJLZOI,O,O,X,O
TSJLOIZ,O,O,O,X
TSJLOZI,O,O,X,X
TSJZILO,O,O,O,O
TSJZIOL,O,O,X,O
TSJZLIO,O,O,O,O
TSJZLOI,O,O,X,O
TSJZOIL,O,O,X,O
TSJZOLI,O,O,X,O
TSJOILZ,O,O,O,X
TSJOIZL,O,O,X,O
TSJOLIZ,O,O,O,X
TSJOLZI,O,O,X,X
TSJOZIL,O,O,X,O
TSJOZLI,O,O,X,O
TSZILJO,O,O,X,X
TSZILOJ,O,O,X,X
TSZIJLO,O,O,X,O
TSZIJOL,O,O,X,O
TSZIOLJ,O,O,X,X
TSZIOJL,O,O,X,X
TSZLIJO,O,O,X,X
TSZLIOJ,O,O,X,X
TSZLJIO,O,O,X,O
TSZLJOI,O,O,X,O
TSZLOIJ,O,O,X,X
TSZLOJI,O,O,X,X
TSZJILO,O,O,X,O
TSZJIOL,O,O,X,O
TSZJLIO,O,O,X,O
TSZJLOI,O,O,X,O
TSZJOIL,O,O,X,O
TSZJOLI,O,O,X,O
TSZOILJ,O,O,X,X
TSZOIJL,O,O,X,X
TSZOLIJ,O,O,X,X
TSZOLJI,O,O,X,X
TSZOJIL,O,O,X,O
TSZOJLI,O,O,X,O
TSOILJZ,O,O,X,X
TSOILZJ,O,O,X,X
TSOIJLZ,O,O,O,X
TSOIJZL,O,O,O,X
TSOIZLJ,O,O,X,X
TSOIZJL,O,O,X,X
TSOLIJZ,O,O,X,X
TSOLIZJ,O,O,X,X
TSOLJIZ,O,O,X,X
TSOLJZI,O,O,X,X
TSOLZIJ,O,O,X,X
TSOLZJI,O,O,X,X
TSOJILZ,O,O,O,X
TSOJIZL,O,O,O,O
TSOJLIZ,O,O,O,X
TSOJLZI,O,O,O,X
TSOJZIL,O,O,O,O
TSOJZLI,O,O,O,O
TSOZILJ,O,O,X,X
TSOZIJL,O,O,X,X
TSOZLIJ,O,O,X,X
TSOZLJI,O,O,X,X
TSOZJIL,O,O,X,O
TSOZJLI,O,O,X,O
TZILJSO,O,X,O,X
TZILJOS,O,X,X,X
TZILSJO,O,X,O,X
TZILSOJ,O,X,O,X
TZILOJS,O,X,O,X
TZILOSJ,O,X,O,X
TZIJLSO,O,X,O,O
TZIJLOS,O,X,X,O
TZIJSLO,O,O,O,O
TZIJSOL,O,O,O,O
TZIJOLS,O,X,X,O
TZIJOSL,O,O,X,O
TZISLJO,O,O,O,X
TZISLOJ,O,O,O,X
TZISJLO,O,O,O,X
TZISJOL,O,O,X,X
TZISOLJ,O,O,O,X
TZISOJL,O,O,X,X
TZIOLJS,O,X,O,X
TZIOLSJ,O,X,O,X
TZIOJLS,O,X,O,X
TZIOJSL,O,O,O,X
TZIOSLJ,O,O,O,X
TZIOSJL,O,O,O,X
TZLIJSO,O,X,O,O
TZLIJOS,O,X,X,O
TZLISJO,O,X,O,X
TZLISOJ,O,X,O,X
TZLIOJS,O,X,O,X
TZLIOSJ,O,X,O,X
TZLJISO,O,X,O,O
TZLJIOS,O,X,X,O
TZLJSIO,O,X,O,O
TZLJSOI,O,X,O,O
TZLJOIS,O,X,X,O
TZLJOSI,O,X,X,O
TZLSIJO,O,X,O,X
TZLSIOJ,O,X,O,X
TZLSJIO,O,X,O,O
TZLSJOI,O,X,X,O
TZLSOIJ,O,X,O,X
TZLSOJI,O,X,X,X
TZLOIJS,O,X,O,X
TZLOISJ,O,X,O,X
TZLOJIS,O,X,O,O
TZLOJSI,O,X,O,O
TZLOSIJ,O,X,O,X
TZLOSJI,O,X,O,X
TZJILSO,O,X,O,O
TZJILOS,O,X,X,O
TZJISLO,O,O,O,O
TZJISOL,O,O,O,O
TZJIOLS,O,X,X,O
TZJIOSL,O,O,X,O
TZJLISO,O,X,O,O
TZJLIOS,O,X,X,O
TZJLSIO,O,X,O,O
TZJLSOI,O,X,O,O
TZJLOIS,O,X,X,O
TZJLOSI,O,X,X,O
TZJSILO,O,O,O,O
TZJSIOL,O,O,O,O
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,O,O
TZJSOLI,O,O,O,O
TZJOILS,O,X,X,O
TZJOISL,O,O,X,O
TZJOLIS,O,X,X,O
TZJOLSI,O,X,X,O
TZJOSIL,O,O,X,O
TZJOSLI,O,O,X,O
TZSILJO,O,O,O,X
TZSILOJ,O,O,O,X
TZSIJLO,O,O,O,O
TZSIJOL,O,O,X,O
TZSIOLJ,O,O,O,X
TZSIOJL,O,O,X,X
TZSLIJO,O,O,O,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,O,O,O
TZSLJOI,O,O,X,O
TZSLOIJ,O,O,O,X
TZSLOJI,O,O,X,X
TZSJILO,O,O,O,O
TZSJIOL,O,O,X,O
TZSJLIO,O,O,O,O
TZSJLOI,O,O,X,O
TZSJOIL,O,O,X,O
TZSJOLI,O,O,X,O
TZSOILJ,O,O,O,X
TZSOIJL,O,O,X,X
TZSOLIJ,O,O,O,X
TZSOLJI,O,O,X,X
TZSOJIL,O,O,X,O
TZSOJLI,O,O,X,O
TZOILJS,O,X,O,X
TZOILSJ,O,X,O,X
TZOIJLS,O,X,O,X
TZOIJSL,O,O,O,X
TZOISLJ,O,O,O,X
TZOISJL,O,O,O,X
TZOLIJS,O,X,O,X
TZOLISJ,O,X,O,X
TZOLJIS,O,X,O,X
TZOLJSI,O,X,O,X
TZOLSIJ,O,X,O,X
TZOLSJI,O,X,O,X
TZOJILS,O,X,O,O
TZOJISL,O,O,O,O
TZOJLIS,O,X,O,O
TZOJLSI,O,X,O,O
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,O
TZOSILJ,O,O,O,X
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,O,O,O,X
TZOSJLI,O,O,O,X
TOILJSZ,O,O,O,X
TOILJZS,O,X,O,X
TOILSJZ,O,O,X,X
TOILSZJ,O,O,X,X
TOILZJS,O,X,O,X
TOILZSJ,O,X,O,X
TOIJLSZ,O,O,O,X
TOIJLZS,O,X,O,X
TOIJSLZ,O,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,O,X,O,X
TOIJZSL,O,O,O,X
TOISLJZ,O,O,X,X
TOISLZJ,O,O,X,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,X,X
TOISZJL,O,O,X,X
TOIZLJS,O,X,O,X
TOIZLSJ,O,X,O,X
TOIZJLS,O,X,O,X
TOIZJSL,O,O,O,X
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,O,X
TOLIJZS,O,X,O,X
TOLISJZ,O,O,X,X
TOLISZJ,O,O,X,X
TOLIZJS,O,X,O,X
TOLIZSJ,O,X,O,X
TOLJISZ,O,O,O,X
TOLJIZS,O,X,O,O
TOLJSIZ,O,O,O,X
TOLJSZI,O,O,O,X
TOLJZIS,O,X,O,O
TOLJZSI,O,X,O,O
TOLSIJZ,O,O,X,X
TOLSIZJ,O,O,X,X
TOLSJIZ,O,O,X,X
TOLSJZI,O,O,X,X
TOLSZIJ,O,O,X,X
TOLSZJI,O,O,X,X
TOLZIJS,O,X,O,X
TOLZISJ,O,X,O,X
TOLZJIS,O,X,O,O
TOLZJSI,O,X,O,O
TOLZSIJ,O,X,O,X
TOLZSJI,O,X,O,X
TOJILSZ,O,O,O,X
TOJILZS,O,X,O,O
TOJISLZ,O,O,O,X
TOJISZL,O,O,O,O
TOJIZLS,O,X,O,O
TOJIZSL,O,O,O,O
TOJLISZ,O,O,O,X
TOJLIZS,O,X,O,O
TOJLSIZ,O,O,O,X
TOJLSZI,O,O,O,X
TOJLZIS,O,X,O,O
TOJLZSI,O,X,O,O
TOJSILZ,O,O,O,X
TOJSIZL,O,O,O,O
TOJSLIZ,O,O,O,X
TOJSLZI,O,O,O,X
TOJSZIL,O,O,O,O
TOJSZLI,O,O,O,O
TOJZILS,O,X,O,O
TOJZISL,O,O,O,O
TOJZLIS,O,X,O,O
TOJZLSI,O,X,O,O
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
TOSILJZ,O,O,X,X
TOSILZJ,O,O,X,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,X,X
TOSIZJL,O,O,X,X
TOSLIJZ,O,O,X,X
TOSLIZJ,O,O,X,X
TOSLJIZ,O,O,X,X
TOSLJZI,O,O,X,X
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,X
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,O
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,O,O
TOSJZLI,O,O,O,O
TOSZILJ,O,O,X,X
TOSZIJL,O,O,X,X
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,O,X,O
TOSZJLI,O,O,X,O
TOZILJS,O,X,O,X
TOZILSJ,O,X,O,X
TOZIJLS,O,X,O,X
TOZIJSL,O,O,O,X
TOZISLJ,O,O,O,X
TOZISJL,O,O,O,X
TOZLIJS,O,X,O,X
TOZLISJ,O,X,O,X
TOZLJIS,O,X,O,X
TOZLJSI,O,X,O,X
TOZLSIJ,O,X,O,X
TOZLSJI,O,X,O,X
TOZJILS,O,X,O,O
TOZJISL,O,O,O,O
TOZJLIS,O,X,O,O
TOZJLSI,O,X,O,O
TOZJSIL,O,O,O,O
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,X
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,O,O,O,X
TOZSJLI,O,O,O,X
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,X
ITLJZSO,O,X,O,O
ITLJZOS,O,X,X,O
ITLJOSZ,O,O,X,X
ITLJOZS,O,X,X,O
ITLSJZO,O,O,X,X
ITLSJOZ,O,O,X,X
ITLSZJO,O,O,X,X
ITLSZOJ,O,O,X,X
ITLSOJZ,O,O,X,X
ITLSOZJ,O,O,X,X
ITLZJSO,O,X,O,O
ITLZJOS,O,X,X,O
ITLZSJO,O,X,O,X
ITLZSOJ,O,X,O,X
ITLZOJS,O,X,O,X
ITLZOSJ,O,X,O,X
ITLOJSZ,O,O,O,X
ITLOJZS,O,X,O,X
ITLOSJZ,O,O,X,X
ITLOSZJ,O,O,X,X
ITLOZJS,O,X,O,X
ITLOZSJ,O,X,O,X
ITJLSZO,O,O,O,O
ITJLSOZ,O,O,O,X
ITJLZSO,O,X,O,O
ITJLZOS,O,X,X,O
ITJLOSZ,O,O,X,X
ITJLOZS,O,X,X,O
ITJSLZO,O,O,O,O
ITJSLOZ,O,O,O,X
ITJSZLO,O,O,O,O
ITJSZOL,O,O,X,O
ITJSOLZ,O,O,O,X
ITJSOZL,O,O,X,O
ITJZLSO,O,X,O,O
ITJZLOS,O,X,X,O
ITJZSLO,O,O,O,O
ITJZSOL,O,O,O,O
ITJZOLS,O,X,X,O
ITJZOSL,O,O,X,O
ITJOLSZ,O,O,O,X
ITJOLZS,O,X,X,O
ITJOSLZ,O,O,O,X
ITJOSZL,O,O,O,O
ITJOZLS,O,X,X,O
ITJOZSL,O,O,O,O
ITSLJZO,O,O,X,X
ITSLJOZ,O,O,X,X
ITSLZJO,O,O,X,X
ITSLZOJ,O,O,X,X
ITSLOJZ,O,O,X,X
ITSLOZJ,O,O,X,X
ITSJLZO,O,O,O,O
ITSJLOZ,O,O,O,X
ITSJZLO,O,O,O,O
ITSJZOL,O,O,X,O
ITSJOLZ,O,O,O,X
ITSJOZL,O,O,X,O
ITSZLJO,O,O,X,X
ITSZLOJ,O,O,X,X
ITSZJLO,O,O,X,O
ITSZJOL,O,O,X,O
ITSZOLJ,O,O,X,X
ITSZOJL,O,O,X,X
ITSOLJZ,O,O,X,X
ITSOLZJ,O,O,X,X
ITSOJLZ,O,O,O,X
ITSOJZL,O,O,O,X
ITSOZLJ,O,O,X,X
ITSOZJL,O,O,X,X
ITZLJSO,O,X,O,X
ITZLJOS,O,X,X,X
ITZLSJO,O,X,O,X
ITZLSOJ,O,X,O,X
ITZLOJS,O,X,O,X
ITZLOSJ,O,X,O,X
ITZJLSO,O,X,O,O
ITZJLOS,O,X,X,O
ITZJSLO,O,O,O,O
ITZJSOL,O,O,O,O
ITZJOLS,O,X,X,O
ITZJOSL,O,O,X,O
ITZSLJO,O,O,O,X
ITZSLOJ,O,O,O,X
ITZSJLO,O,O,O,X
ITZSJOL,O,O,X,X
ITZSOLJ,O,O,O,X
ITZSOJL,O,O,X,X
ITZOLJS,O,X,O,X
ITZOLSJ,O,X,O,X
ITZOJLS,O,X,O,X
ITZOJSL,O,O,O,X
ITZOSLJ,O,O,O,X
ITZOSJL,O,O,O,X
ITOLJSZ,O,O,O,X
ITOLJZS,O,X,O,X
ITOLSJZ,O,O,X,X
ITOLSZJ,O,O,X,X
ITOLZJS,O,X,O,X
ITOLZSJ,O,X,O,X
ITOJLSZ,O,O,O,X
ITOJLZS,O,X,O,X
ITOJSLZ,O,O,O,X
ITOJSZL,O,O,O,X
ITOJZLS,O,X,O,X
ITOJZSL,O,O,O,X
ITOSLJZ,O,O,X,X
ITOSLZJ,O,O,X,X
ITOSJLZ,O,O,O,X
ITOSJZL,O,O,O,X
ITOSZLJ,O,O,X,X
ITOSZJL,O,O,X,X
ITOZLJS,O,X,O,X
ITOZLSJ,O,X,O,X
ITOZJLS,O,X,O,X
ITOZJSL,O,O,O,X
