sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TLJOSIZ,O,O,O,X,O
TLJOSZI,O,O,O,X,O
TLJOZIS,O,O,O,X,O
TLJOZSI,O,O,O,X,O
TLSIJZO,O,X,O,X,X
TLSIJOZ,X,O,O,X,X
TLSIZJO,O,X,O,O,X
TLSIZOJ,O,X,O,O,X
TLSIOJZ,O,O,O,X,X
TLSIOZJ,O,O,O,O,X
TLSJIZO,O,X,O,X,O
TLSJIOZ,X,O,O,X,X
TLSJZIO,O,X,O,X,O
TLSJZOI,O,X,O,X,O
TLSJOIZ,O,O,O,X,O
TLSJOZI,O,O,O,X,O
TLSZIJO,O,X,O,O,O
TLSZIOJ,O,X,O,O,O
TLSZJIO,O,X,O,O,O
TLSZJOI,O,X,O,O,O
TLSZOIJ,O,X,O,O,O
TLSZOJI,O,X,O,O,O
TLSOIJZ,O,O,O,X,O
TLSOIZJ,O,O,O,O,O
TLSOJIZ,O,O,O,X,O
TLSOJZI,O,O,O,X,O
TLSOZIJ,O,O,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,X,X,O,O,O
TLZIJOS,O,O,O,X,O
TLZISJO,X,X,O,O,O
TLZISOJ,X,X,O,O,O
TLZIOJS,O,O,O,X,O
TLZIOSJ,X,O,O,X,O
TLZJISO,X,X,O,O,O
TLZJIOS,O,O,O,X,O
TLZJSIO,O,X,O,O,O
TLZJSOI,O,X,O,O,O
TLZJOIS,O,O,O,X,O
TLZJOSI,O,O,O,X,O
TLZSIJO,O,X,O,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,X,O,O,O
TLZSJOI,O,X,O,O,O
TLZSOIJ,O,X,O,O,O
TLZSOJI,O,X,O,O,O
TLZOIJS,O,O,O,X,O
TLZOISJ,X,O,O,X,O
TLZOJIS,O,O,O,X,O
TLZOJSI,O,O,O,X,O
TLZOSIJ,O,O,O,X,O
TLZOSJI,O,O,O,X,O
TLOIJSZ,O,O,O,X,O
TLOIJZS,O,O,O,X,O
TLOISJZ,O,O,O,X,O
TLOISZJ,O,O,O,X,O
TLOIZJS,O,O,O,X,O
TLOIZSJ,X,O,O,X,O
TLOJISZ,O,O,O,X,O
TLOJIZS,O,O,O,X,O
TLOJSIZ,O,O,O,X,O
TLOJSZI,O,O,O,X,O
TLOJZIS,O,O,O,X,O
TLOJZSI,O,O,O,X,O
TLOSIJZ,O,O,O,X,O
TLOSIZJ,O,O,O,X,O
TLOSJIZ,O,O,O,X,O
TLOSJZI,O,O,O,X,O
TLOSZIJ,O,O,O,X,O
TLOSZJI,O,O,O,X,O
TLOZIJS,O,O,O,X,O
TLOZISJ,X,O,O,X,O
TLOZJIS,O,O,O,X,O
TLOZJSI,O,O,O,X,O
TLOZSIJ,O,O,O,X,O
TLOZSJI,O,O,O,X,O
TJILSZO,X,X,O,X,O
TJILSOZ,X,O,O,X,X
TJILZSO,X,X,O,O,O
TJILZOS,X,O,O,X,O
TJILOSZ,X,O,O,X,O
TJILOZS,X,O,O,X,O
TJISLZO,X,X,O,X,O
TJISLOZ,X,O,O,X,X
TJISZLO,X,X,O,X,O
TJISZOL,X,X,X,X,O
TJISOLZ,X,O,X,X,X
TJISOZL,X,O,X,X,X
TJIZLSO,X,X,O,O,O
TJIZLOS,X,O,O,X,O
TJIZSLO,X,X,O,O,O
TJIZSOL,X,X,X,O,O
TJIZOLS,X,O,O,X,O
TJIZOSL,X,O,X,X,O
TJIOLSZ,X,O,O,X,O
TJIOLZS,X,O,O,X,O
TJIOSLZ,X,O,X,X,O
TJIOSZL,X,O,X,X,O
TJIOZLS,X,O,O,X,O
TJIOZSL,X,O,X,X,O
TJLISZO,X,X,O,X,O
TJLISOZ,X,O,O,X,X
TJLIZSO,X,X,O,O,O
TJLIZOS,X,O,O,X,O
TJLIOSZ,X,O,O,X,O
TJLIOZS,X,O,O,X,O
TJLSIZO,X,X,O,X,O
TJLSIOZ,X,O,O,X,X
TJLSZIO,O,X,O,X,O
TJLSZOI,O,X,O,X,O
TJLSOIZ,O,O,O,X,O
TJLSOZI,O,O,O,X,O
TJLZISO,X,X,O,O,O
TJLZIOS,O,O,O,X,O
TJLZSIO,O,X,O,O,O
TJLZSOI,O,X,O,O,O
TJLZOIS,O,O,O,X,O
TJLZOSI,O,O,O,X,O
TJLOISZ,O,O,O,X,O
TJLOIZS,O,O,O,X,O
TJLOSIZ,O,O,O,X,O
TJLOSZI,O,O,O,X,O
TJLOZIS,O,O,O,X,O
TJLOZSI,O,O,O,X,O
TJSILZO,X,X,O,X,O
TJSILOZ,X,O,O,X,X
TJSIZLO,X,X,O,X,O
TJSIZOL,X,X,X,X,O
TJSIOLZ,X,O,X,X,X
TJSIOZL,X,O,X,X,X
TJSLIZO,X,X,O,X,O
TJSLIOZ,X,O,O,X,X
TJSLZIO,O,X,O,X,O
TJSLZOI,O,X,O,X,O
TJSLOIZ,O,O,O,X,O
