sequence,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFahBUdBFeB5?mBTnBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFxdB0hBliBX?hBmqBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBFeBThB6?nB8rBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jei7IvhFFdBXeBGhBT?nBxqBUrB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex9IvhF0gBlhB3iBT?lBOrBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgBunBi?mBTlB3rB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBThBliB8?rBCoBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFuhBliB3lB8?rBZmBCtB
TILJSZO,O,O,O,O,X,O,X,X,X,O,X,X
TILJSOZ,O,O,O,O,X,O,X,X,X,X,X,X
TILJZSO,O,O,O,O,X,O,X,X,X,O,X,X
TILJZOS,X,O,O,X,X,X,X,X,X,O,X,X
TILJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,O,O,O,O,X,X,O,X,X
TILSJOZ,X,O,O,O,O,O,X,X,X,X,X,X
TILSZJO,O,X,O,O,X,X,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,O,X,X,X,X,X
TILSOJZ,X,O,O,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,O,X,X,X,O,X,X,X,X,X
TILZJSO,O,O,O,X,X,O,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,O,O,X,X,X,X
TILZSOJ,O,O,O,X,X,X,O,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
TIJLSZO,O,O,O,O,O,X,X,O,X,X,X,X
TIJLSOZ,O,O,O,O,O,X,X,X,X,X,X,X
TIJLZSO,O,O,O,O,O,X,X,O,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,O,O,X,X,X,O,X,X,X
TIJSLOZ,O,O,O,O,O,X,X,X,O,X,X,X
TIJSZLO,O,X,O,O,O,X,X,O,O,X,X,X
TIJSZOL,O,X,O,X,O,X,X,O,X,X,O,X
TIJSOLZ,O,O,O,O,O,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,O,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,O,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,O,X,X,X,X
TIJZSLO,O,X,O,O,O,X,X,O,X,X,X,X
TIJZSOL,O,X,O,X,O,X,X,O,X,X,O,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,O,X,X,O,X
TIJOLSZ,O,O,X,O,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,O,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,O,X,O,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,O,O,X,O,X,O,O,X,X
TISLJOZ,O,O,O,O,O,X,X,X,O,X,X,X
TISLZJO,O,X,O,O,X,X,O,O,O,X,X,X
TISLZOJ,O,O,O,X,X,X,O,X,X,X,X,X
TISLOJZ,O,O,O,O,X,X,X,X,X,X,X,X
TISLOZJ,O,O,O,X,X,X,O,X,X,X,X,X
TISJLZO,O,O,O,O,O,O,X,X,O,X,X,X
TISJLOZ,O,O,O,O,O,O,X,X,O,X,X,X
TISJZLO,O,X,O,O,O,O,O,O,O,X,X,X
TISJZOL,O,X,O,X,O,X,O,O,X,X,O,X
TISJOLZ,O,O,O,O,O,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,O,X,X,X,X,X,X,X
TISZLJO,O,X,O,O,X,X,O,X,O,X,X,X
TISZLOJ,O,X,O,X,X,X,O,X,X,X,X,X
TISZJLO,O,X,O,O,X,X,O,X,O,X,X,X
TISZJOL,O,X,O,X,X,X,O,X,X,X,O,X
TISZOLJ,O,X,O,X,X,X,O,X,X,X,O,X
TISZOJL,X,X,O,X,X,X,O,X,X,X,O,X
TISOLJZ,O,O,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,O,X,X,X,O,X,X,X,X,X
TISOZJL,O,X,O,X,X,X,O,X,X,X,X,X
