sequence,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBGeBqnB/?oBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBGjBlmBU?oBXsBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhF+hB0dB6jBV?tBzrB/sB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBCeB+oBl?mBXsB8sB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFUdB1mBXjBG?jBzrBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhF8iB+jB3hBF?iBzrBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBfjB6jBW?tBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBWjBXjBS?tBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBXeB+oB0?mBlnBSxB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcB3iB+oBF?jB0mBSxB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFTeBFiB0mBG?oB3sBCsB
TILJSZO,X,X,X,X,O,O,X,X,X,O,X
TILJSOZ,X,X,X,X,X,X,X,X,X,O,X
TILJZSO,X,X,X,X,O,O,X,O,X,O,X
TILJZOS,X,X,X,X,X,O,X,O,X,O,X
TILJOSZ,X,X,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,O,X,X,O,X,X,X,X,X
TILSJZO,O,X,X,O,O,O,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,X,X,X,X
TILSZOJ,O,O,X,X,O,X,X,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,O,X,X,X,X,X,X
TILZJSO,X,O,X,X,O,X,X,O,X,O,X
TILZJOS,X,X,X,X,X,X,X,O,X,O,X
TILZSJO,O,X,X,X,O,X,X,O,X,X,X
TILZSOJ,O,X,X,X,O,X,X,O,X,X,X
TILZOJS,X,X,O,X,X,X,X,O,X,O,X
TILZOSJ,X,X,O,X,O,X,X,O,X,X,X
TILOJSZ,X,X,O,X,O,O,X,X,X,X,X
TILOJZS,X,X,O,X,O,O,X,X,X,X,X
