sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHMBJvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJvhB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhH01IvfB6tBWrBdqBKpBzsBRwB,v115@vhHX5IMjB+tBtsByrBTkByuBRwB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhH6+I0VBvfBToBdqBKpBWyBRwB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhH++I0VBvfB6tBdqBKpBzsBRwB,v115@vhHX5IKaBMjB+tBtsBTkByuBRwB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhH++IUbBvfB6tBdqBKpBzsBRwB,v115@vhHK6IMjB3dB+tBtsBTkByuBRwB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhHT5I0VBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhHT5IMoBunBdsBXmBKpBSyBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHU8IXjBdnBStBuqBTrBipBxxB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHG5IvjBtnBZkBKrBTtBUsBCqB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhHU9IynBTfB+tBtrB3sBipBRvB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhHa+IznBdsBXmBspBOpBSyBxvB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHqCJukBvsBUmBNqBKpBTtBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhHG3IzbB3hBKkBdsBSyBUrBxuB,v115@vhHT3IqbB3hBZkBdsBSyBUrBWvB,v115@vhHi3IzcB5oBUhBtqByxB3rB2uB,v115@vhHX5IMjBKfB+tBtsBiqBTpBRwB,v115@vhHK/IulBvtBUnBNrBKqBTpBRxB,v115@vhHG5IvjBiaBtnBKpBTtBUsBRqB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHKDJukBvsBUmBNqBKpBTtBRwB,v115@vhH+DJ6kBvsBUmBNqBKpBTtBRwB,v115@vhHM/I5oBmiBdlBSsByxB3qBTpB,v115@vhHq6I6tBPtB0mBtqBzkB2uBxwB,v115@vhH++I0VBvfBToBdqBKpBSwBxxB,v115@vhH01IvfB5oBznBdqBKpB2xBSwB,v115@vhH01IvfBSoBdqBKpBTtBGsBRwB,v115@vhHT1ISmBPlBZkBdsBSyBUrBWvB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhH01IvfBTjBWtBdqBKpBSwBxxB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB,v115@vhHx2IUcBtlBvsBqrB2pBTtByvB,v115@vhHM+ISoBPnBZkBNrBTtBSxBWvB,v115@vhHK6IPjB5oBNnBKpBzsB0rBGqB,v115@vhHG3I3hBKkBznBdsBSyBUrBxuB,v115@vhHi3I5oBUhBtqBzkByxB3rB2uB
ISLOTZJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,O,O,X,X,O,O,X,X
ISLOJTZ,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
ISLOJZT,O,X,X,X,O,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,O,X,X
ISLOZTJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X
ISLOZJT,O,X,X,X,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,O,O,X,O,O,X,O,O,O,X,X
ISJTLZO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISJTZLO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O
ISJTZOL,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O
ISJTOLZ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X
ISJTOZL,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X
ISJLTZO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
ISJLZTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X,O
ISJLZOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,X,O,X,O
ISJLOTZ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
ISJLOZT,X,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,O,O,O,X,X
ISJZTLO,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O
ISJZTOL,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X,O
ISJZLTO,X,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O
ISJZLOT,X,O,X,X,O,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O
ISJZOTL,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O
ISJZOLT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O
ISJOTLZ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
ISJOTZL,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
ISJOLTZ,O,X,O,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
ISJOLZT,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,X
ISJOZTL,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,O
ISJOZLT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,O
ISZTLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O
ISZTLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X
ISZTJLO,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O
ISZTJOL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O
ISZTOLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
ISZLTJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O
ISZLTOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X
ISZLJTO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,O,O
ISZLJOT,X,X,X,X,O,X,X,O,X,X,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,X,O,O,O
ISZLOTJ,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,X
ISZLOJT,O,X,X,X,O,O,X,X,O,X,O,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O
ISZJTLO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,O
ISZJTOL,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O
ISZJLTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,O,O
ISZJLOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,X,O,O,O
ISZJOTL,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O
ISZJOLT,O,X,X,X,O,O,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O
ISZOTLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,O,X
ISZOLTJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,O,X
ISZOLJT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O
ISZOJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O
ISZOJLT,O,X,X,X,O,O,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O
ISOTLJZ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,O,X,X
ISOTLZJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,O,X,X
ISOTJLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,O,X,X
ISOTJZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X
ISOTZLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
ISOLTJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,O,X,O,O,X,X
ISOLTZJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,O,O,O,X,O,O,X,X
ISOLJTZ,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
ISOLJZT,O,X,X,X,O,O,O,X,O,X,X,O,X,X,O,O,O,X,O,O,O,O,O,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,X,X,O,O,O,O,O,X,X
ISOLZTJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,X
ISOLZJT,O,X,X,X,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,O,O,X,O,O,O,O,O,O,X,X
ISOJTLZ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
ISOJTZL,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
ISOJLTZ,O,X,O,X,X,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
ISOJLZT,O,X,X,X,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,X
ISOJZTL,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,O
ISOJZLT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,O
ISOZTLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,O,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
ISOZLTJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,X
ISOZLJT,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O
ISOZJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O
ISOZJLT,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O
IZTLJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZTLJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
IZTLSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
IZTLSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
IZTLOJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
IZTLOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZTJLSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
