sequence,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?igB0kBFmB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?OpB8pBFmBiqB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBckB?igBFmBzpBOpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBTfB?igBFmB0kB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFZkBUgB?amBlfBGhBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je+/IvhFKgBXeB?UhBZkBFmBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBamB?FlB0pBZkBGrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2AJvhFXeBTfB?xlBFmBipB0pB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFTfBxlB?OmBipBcqBlpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jem6IvhFXeBUhB?xkBTkBFmByuB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeO/IvhFXeBRgB?lgBcmBaqBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBUhB?6pBOqBZkBFrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBFmBipBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBaqBFmBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jei6IvhFXeBUhB?xkBzkBFmB2uB
TILJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TILSOZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TILOSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TIJSZOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJSOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TIJZSOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJZOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
