sequence,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFxbB/iBGeBq?lBlmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFlbBGeBxhBz?lBCnB3rB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhF3bBGeBxhBU?iBCmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFShB/iBGeBR?mBllBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFXcBViBGeB6?lBxmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeBxgBTiBC?mB3mBUrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeB0gBxhBC?nBzlB3rB
TILJSZO,O,X,O,X,O,X,O
TILJSOZ,O,X,O,X,X,X,X
TILJZSO,O,X,O,X,O,X,O
TILJZOS,X,X,X,X,X,X,O
TILJOSZ,X,X,O,X,X,O,X
TILJOZS,X,X,X,X,X,O,O
TILSJZO,O,X,O,O,O,X,O
TILSJOZ,O,X,O,X,X,X,X
TILSZJO,O,X,O,O,O,X,O
TILSZOJ,O,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,O,X
TILSOZJ,O,X,X,X,X,X,X
TILZJSO,O,X,O,X,O,X,O
TILZJOS,X,X,X,X,X,X,O
TILZSJO,O,X,O,O,O,X,O
TILZSOJ,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,O,O
TILZOSJ,O,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,O,X
TILOJZS,X,X,X,X,X,O,O
TILOSJZ,O,X,O,X,X,O,X
TILOSZJ,O,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,O
TILOZSJ,O,X,X,X,X,X,X
TIJLSZO,X,X,O,X,O,X,O
TIJLSOZ,X,X,O,X,X,X,X
TIJLZSO,X,X,O,X,O,X,O
TIJLZOS,X,X,X,X,X,X,O
TIJLOSZ,X,X,O,X,X,O,X
TIJLOZS,X,X,X,X,X,O,O
TIJSLZO,X,X,O,X,O,X,X
TIJSLOZ,X,X,O,X,X,X,X
TIJSZLO,X,X,X,X,O,X,X
TIJSZOL,X,X,X,X,O,X,X
TIJSOLZ,X,X,O,X,X,X,X
TIJSOZL,X,X,X,X,O,X,X
TIJZLSO,X,X,X,X,O,X,O
TIJZLOS,X,X,X,X,X,X,O
TIJZSLO,X,X,X,X,O,X,O
TIJZSOL,X,X,X,X,O,X,X
TIJZOLS,X,X,X,X,X,X,O
TIJZOSL,X,X,X,X,O,X,X
TIJOLSZ,X,X,O,X,X,O,X
TIJOLZS,X,X,O,X,X,O,X
TIJOSLZ,X,X,O,X,X,O,X
TIJOSZL,X,X,X,X,O,X,X
TIJOZLS,X,X,X,X,X,O,X
TIJOZSL,X,X,X,X,O,X,X
TISLJZO,O,X,O,X,O,X,X
TISLJOZ,O,X,O,X,X,X,X
TISLZJO,O,X,O,X,O,X,X
TISLZOJ,O,X,X,X,X,X,X
TISLOJZ,O,X,O,X,X,O,X
TISLOZJ,O,X,X,X,X,X,X
TISJLZO,O,X,O,X,O,X,X
TISJLOZ,O,X,O,X,X,X,X
TISJZLO,X,X,X,X,O,X,X
TISJZOL,X,X,X,O,O,X,X
TISJOLZ,X,X,O,O,X,X,X
TISJOZL,X,X,X,O,O,X,X
TISZLJO,X,X,X,X,O,X,X
TISZLOJ,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,O,X,X
TISZJOL,X,X,X,O,O,X,X
TISZOLJ,X,X,X,O,X,X,X
TISZOJL,X,X,X,O,O,X,X
TISOLJZ,X,X,O,O,X,X,X
TISOLZJ,X,X,O,O,X,X,X
TISOJLZ,X,X,O,O,X,O,X
TISOJZL,X,X,X,O,O,X,X
TISOZLJ,X,X,X,O,X,X,X
TISOZJL,X,X,X,O,O,X,X
TIZLJSO,X,X,X,X,O,X,O
TIZLJOS,X,X,X,X,X,X,O
TIZLSJO,X,X,X,O,O,X,O
TIZLSOJ,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,O,O
TIZLOSJ,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,O,X,O
TIZJLOS,X,X,X,X,X,X,O
TIZJSLO,X,X,X,X,O,X,O
TIZJSOL,X,X,X,X,O,X,X
TIZJOLS,X,X,X,X,X,X,O
TIZJOSL,X,X,X,X,O,X,X
TIZSLJO,X,X,X,X,O,X,X
TIZSLOJ,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,O,X,O
TIZSJOL,X,X,X,O,O,X,X
TIZSOLJ,X,X,X,O,X,X,X
TIZSOJL,X,X,X,O,O,X,X
TIZOLJS,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,O,O
TIZOJSL,X,X,X,X,O,X,X
TIZOSLJ,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,O,X,X
TIOLJSZ,X,X,O,X,X,O,X
TIOLJZS,X,X,O,X,X,O,X
TIOLSJZ,X,X,O,X,X,O,X
TIOLSZJ,X,X,O,X,X,X,X
TIOLZJS,X,X,O,X,X,O,X
TIOLZSJ,X,X,O,X,X,X,X
TIOJLSZ,X,X,O,X,X,O,X
TIOJLZS,X,X,O,X,X,O,X
TIOJSLZ,X,X,O,X,X,O,X
TIOJSZL,X,X,X,X,O,X,X
TIOJZLS,X,X,X,X,X,O,X
TIOJZSL,X,X,X,X,O,X,X
TIOSLJZ,X,X,O,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,X
TIOSJLZ,X,X,O,X,X,O,X
TIOSJZL,X,X,X,X,O,X,X
TIOSZLJ,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,O,X,X
TIOZLJS,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,O,X
TIOZJSL,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X,X
TLIJSZO,O,X,O,X,X,X,O
TLIJSOZ,O,X,O,X,X,X,X
TLIJZSO,O,X,O,X,X,X,O
TLIJZOS,X,X,X,X,X,X,O
TLIJOSZ,X,X,O,X,X,O,X
TLIJOZS,X,X,X,X,X,O,O
TLISJZO,O,X,O,X,X,X,O
TLISJOZ,O,X,O,X,X,X,X
TLISZJO,O,X,O,X,X,X,O
TLISZOJ,O,X,X,X,X,X,X
TLISOJZ,O,X,O,X,X,O,X
TLISOZJ,O,X,X,X,X,X,X
TLIZJSO,O,X,O,X,X,X,O
TLIZJOS,X,X,X,X,X,X,O
TLIZSJO,O,X,O,X,X,X,O
TLIZSOJ,O,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,O,O
TLIZOSJ,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,O,X
TLIOJZS,X,X,X,X,X,O,O
TLIOSJZ,O,X,O,X,X,O,X
TLIOSZJ,O,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,O
TLIOZSJ,O,X,X,X,X,X,X
TLJISZO,O,X,O,X,X,X,O
TLJISOZ,O,X,O,X,X,X,X
TLJIZSO,O,X,O,X,X,X,O
TLJIZOS,X,X,X,X,X,X,O
TLJIOSZ,X,X,O,X,X,O,X
TLJIOZS,X,X,X,X,X,O,O
