sequence,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmB0sBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeR8IvhFGeBUhB?FiB/oBqsBzrB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmBXsB0sB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFfiBldB?5jB8nB6rB2xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JefBJvhF0cB5jB?ziBurBinB1xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFUdB5jB?lmB3nBatBWxB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeC8IvhF5jB/mB?FiB8nBesBzsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeG9IvhFRhB6oB?UhBlnBzrBXtB
TILJSZO,X,X,O,O,O,X,X,X
TILJSOZ,O,X,O,O,O,X,X,X
TILJZSO,O,X,X,O,X,X,X,X
TILJZOS,O,X,O,O,X,X,X,X
TILJOSZ,O,X,O,O,O,X,X,X
TILJOZS,O,X,O,O,X,X,X,X
TILSJZO,X,X,X,X,O,O,X,X
TILSJOZ,O,X,O,X,O,O,X,X
TILSZJO,X,X,X,O,X,O,O,X
TILSZOJ,X,X,X,O,X,O,O,X
TILSOJZ,O,X,O,X,O,O,X,X
TILSOZJ,X,X,X,O,X,O,X,X
TILZJSO,O,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X
TILZSJO,O,X,X,O,X,X,O,X
TILZSOJ,O,X,X,O,X,X,O,X
TILZOJS,O,X,O,X,X,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X
TILOJSZ,O,X,O,O,O,X,X,X
TILOJZS,O,X,O,O,X,X,X,X
TILOSJZ,O,X,O,X,O,O,X,X
TILOSZJ,X,X,X,O,X,O,X,X
TILOZJS,O,X,O,X,X,X,X,X
TILOZSJ,O,X,X,O,X,X,X,X
TIJLSZO,X,X,O,O,O,X,X,X
TIJLSOZ,O,X,O,O,O,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X
TIJLZOS,O,X,O,O,X,X,X,X
TIJLOSZ,O,X,O,O,O,X,X,X
TIJLOZS,O,X,O,O,X,X,X,X
TIJSLZO,X,X,O,X,O,O,X,X
TIJSLOZ,O,X,O,X,O,O,X,X
TIJSZLO,O,X,O,O,O,O,X,X
TIJSZOL,O,X,O,O,O,O,X,X
TIJSOLZ,O,X,O,X,O,O,X,X
TIJSOZL,O,X,O,O,O,O,X,X
TIJZLSO,O,X,X,O,X,X,X,X
TIJZLOS,O,X,O,O,X,X,X,X
TIJZSLO,O,X,O,O,O,X,X,X
TIJZSOL,O,X,O,O,O,X,X,X
TIJZOLS,O,X,O,X,X,X,X,X
TIJZOSL,O,X,O,O,O,X,X,X
TIJOLSZ,O,X,O,X,O,X,X,X
TIJOLZS,O,X,O,X,X,X,X,X
TIJOSLZ,O,X,O,X,O,O,X,X
TIJOSZL,O,X,O,O,O,O,X,X
TIJOZLS,O,X,O,X,X,X,X,X
TIJOZSL,O,X,O,O,O,X,X,X
TISLJZO,X,X,X,X,O,O,X,X
TISLJOZ,O,X,O,X,O,O,X,X
TISLZJO,X,X,X,X,X,O,O,X
TISLZOJ,X,X,X,X,X,O,O,X
TISLOJZ,O,X,O,X,O,O,X,X
TISLOZJ,X,X,X,X,X,O,X,X
TISJLZO,X,X,O,X,O,O,X,X
TISJLOZ,O,X,O,X,O,O,X,X
TISJZLO,O,X,O,X,O,O,X,X
TISJZOL,O,X,O,X,O,O,X,X
TISJOLZ,O,X,O,X,O,O,X,X
TISJOZL,O,X,O,X,O,O,X,X
TISZLJO,O,X,X,X,X,O,O,X
TISZLOJ,O,X,X,X,X,O,O,X
TISZJLO,O,X,X,X,O,O,O,X
TISZJOL,O,X,X,X,O,O,X,X
TISZOLJ,O,X,X,X,X,O,O,X
TISZOJL,O,X,X,X,O,O,X,X
TISOLJZ,O,X,O,X,O,O,X,X
TISOLZJ,X,X,X,X,X,O,X,X
TISOJLZ,O,X,O,X,O,O,X,X
TISOJZL,O,X,O,X,O,O,X,X
TISOZLJ,O,X,X,X,X,O,X,X
TISOZJL,O,X,X,X,O,O,X,X
TIZLJSO,O,X,X,O,X,X,X,X
TIZLJOS,O,X,O,X,X,X,X,X
TIZLSJO,O,X,X,O,X,X,O,X
TIZLSOJ,O,X,X,O,X,X,O,X
TIZLOJS,O,X,O,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X
TIZJLSO,O,X,X,O,X,X,X,X
TIZJLOS,O,X,O,O,X,X,X,X
TIZJSLO,O,X,O,O,O,X,X,X
TIZJSOL,O,X,O,O,O,X,X,X
TIZJOLS,O,X,O,X,X,X,X,X
TIZJOSL,O,X,O,O,O,X,X,X
TIZSLJO,O,X,X,X,X,O,O,X
TIZSLOJ,O,X,X,X,X,O,O,X
TIZSJLO,O,X,X,O,O,O,O,X
TIZSJOL,O,X,X,O,O,O,X,X
TIZSOLJ,O,X,X,X,X,O,O,X
TIZSOJL,O,X,X,X,O,O,X,X
TIZOLJS,O,X,O,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X
TIZOJSL,O,X,O,O,O,X,X,X
TIZOSLJ,O,X,X,X,X,O,X,X
TIZOSJL,O,X,X,X,O,O,X,X
TIOLJSZ,O,X,O,O,O,X,X,X
TIOLJZS,O,X,O,O,X,X,X,X
TIOLSJZ,O,X,O,X,O,O,X,X
TIOLSZJ,X,X,X,O,X,O,X,X
TIOLZJS,O,X,O,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X
TIOJLSZ,O,X,O,X,O,X,X,X
