sequence,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Jex6IvhFXcBOiB?6jBUgBziBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Je06IvhFxbBOiB?6jB3gBziBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Je06IvhFxbBKiB?zdB+jB3gBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Jex6IvhFXcBKiB?zdB+jBUgBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Je06IvhFxbB6jB?3gBmiBTiBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Jex6IvhFXcB6jB?UgBmiBTiBFsB
TILJSZO,O,O,O,O,O,O
TILJSOZ,O,O,O,O,O,X
TILJZSO,O,O,O,O,O,O
TILJZOS,O,O,O,O,X,O
TILJOSZ,O,O,O,O,X,X
TILJOZS,O,O,O,O,X,X
TILSJZO,O,O,O,O,O,O
TILSJOZ,O,O,O,O,O,X
TILSZJO,O,O,O,O,O,O
TILSZOJ,O,O,O,O,O,O
TILSOJZ,O,O,O,O,O,X
TILSOZJ,O,O,O,X,O,X
TILZJSO,O,O,O,O,O,O
TILZJOS,O,O,O,O,X,O
TILZSJO,O,O,O,O,O,O
TILZSOJ,O,O,O,O,O,O
TILZOJS,O,O,O,O,X,O
TILZOSJ,O,O,X,O,X,O
TILOJSZ,O,O,O,O,X,X
TILOJZS,O,O,O,O,X,X
TILOSJZ,O,O,X,O,X,X
TILOSZJ,O,O,X,X,X,X
TILOZJS,O,O,O,X,X,X
TILOZSJ,O,O,X,X,X,X
TIJLSZO,O,O,O,O,O,O
TIJLSOZ,O,O,O,O,O,X
TIJLZSO,O,O,O,O,O,O
TIJLZOS,O,O,O,O,X,O
TIJLOSZ,O,O,O,O,X,X
TIJLOZS,O,O,O,O,X,X
TIJSLZO,O,O,O,O,O,O
TIJSLOZ,O,O,O,O,O,X
TIJSZLO,O,O,O,O,O,O
TIJSZOL,O,O,O,O,O,O
TIJSOLZ,O,O,O,O,O,X
TIJSOZL,O,O,O,X,O,X
TIJZLSO,O,O,O,O,O,O
TIJZLOS,O,O,O,O,X,O
TIJZSLO,O,O,O,O,O,O
TIJZSOL,O,O,O,O,O,O
TIJZOLS,O,O,O,O,X,O
TIJZOSL,O,O,O,O,X,O
TIJOLSZ,O,O,O,O,X,X
TIJOLZS,O,O,O,O,X,X
TIJOSLZ,O,O,O,O,X,X
TIJOSZL,O,O,O,X,X,X
TIJOZLS,O,O,O,O,X,X
TIJOZSL,O,O,O,O,X,X
TISLJZO,O,O,O,O,O,O
TISLJOZ,O,O,O,O,O,X
TISLZJO,O,O,O,O,O,O
TISLZOJ,O,O,O,O,O,O
