sequence,v115@zgA8IeB8HeB8BeA8CeA8AeE8BeB8AeF8BeB8JeaAJv?hFugBzdB5jBlhBXnBUsB,v115@zgA8IeB8HeB8BeA8CeA8AeE8BeB8AeF8BeB8JeaAJv?hFugB3cBzdB5jBVnBUsB,v115@zgA8IeB8HeB8BeA8CeA8AeE8BeB8AeF8BeB8JeR7Iv?hFWjBTgBlhB6oBXnBUsB
OSLZJIT,O,X,X
OSJTILZ,O,O,O
OSJTIZL,O,O,O
OSJTLIZ,O,O,O
OSJTLZI,O,O,O
OSJTZIL,O,O,O
OSJTZLI,O,O,O
OSJITLZ,O,O,O
OSJITZL,O,O,O
OSJILTZ,O,O,O
OSJILZT,O,X,X
OSJIZTL,O,X,O
OSJIZLT,O,X,X
OSJLTIZ,O,O,O
OSJLTZI,O,O,O
OSJLITZ,O,O,O
OSJLIZT,O,X,X
OSJLZTI,O,X,X
OSJLZIT,O,X,X
OSJZTIL,O,X,O
OSJZTLI,O,X,O
OSJZITL,O,X,O
OSJZILT,O,X,X
OSJZLTI,O,X,X
OSJZLIT,O,X,X
OSZTILJ,O,X,X
OSZTIJL,O,X,O
OSZTLIJ,O,X,X
OSZTLJI,O,X,X
OSZTJIL,O,X,O
OSZTJLI,O,X,O
OSZITLJ,O,X,X
OSZITJL,O,X,O
OSZILTJ,O,X,X
OSZILJT,O,X,X
OSZIJTL,O,X,O
OSZIJLT,O,X,X
OSZLTIJ,O,X,X
OSZLTJI,O,X,X
OSZLITJ,O,X,X
OSZLIJT,O,X,X
OSZLJTI,O,X,X
OSZLJIT,O,X,X
OSZJTIL,O,X,O
OSZJTLI,O,X,O
OSZJITL,O,X,O
OSZJILT,O,X,X
OSZJLTI,O,X,X
OSZJLIT,O,X,X
OZTILJS,O,O,X
OZTILSJ,X,O,X
OZTIJLS,O,O,O
OZTIJSL,X,O,O
OZTISLJ,X,O,X
OZTISJL,X,O,X
OZTLIJS,O,O,X
OZTLISJ,X,O,X
OZTLJIS,O,O,X
OZTLJSI,X,O,X
OZTLSIJ,X,O,X
OZTLSJI,X,O,X
OZTJILS,O,O,O
OZTJISL,X,O,O
OZTJLIS,O,O,O
OZTJLSI,X,O,O
OZTJSIL,X,O,O
OZTJSLI,X,O,O
OZTSILJ,X,O,X
OZTSIJL,X,O,X
OZTSLIJ,X,O,X
OZTSLJI,X,O,X
OZTSJIL,X,O,X
OZTSJLI,X,O,X
OZITLJS,O,O,X
OZITLSJ,X,O,X
OZITJLS,O,O,O
OZITJSL,X,O,O
OZITSLJ,X,O,X
OZITSJL,X,O,X
OZILTJS,O,O,X
OZILTSJ,X,O,X
OZILJTS,O,O,X
OZILJST,O,X,X
OZILSTJ,O,X,X
OZILSJT,O,X,X
OZIJTLS,O,O,O
OZIJTSL,X,O,O
OZIJLTS,O,O,X
OZIJLST,O,X,X
OZIJSTL,O,X,O
OZIJSLT,O,X,X
OZISTLJ,O,X,X
OZISTJL,O,X,O
OZISLTJ,O,X,X
OZISLJT,O,X,X
OZISJTL,O,X,O
OZISJLT,O,X,X
OZLTIJS,O,O,X
OZLTISJ,X,O,X
OZLTJIS,O,O,X
OZLTJSI,X,O,X
OZLTSIJ,X,O,X
OZLTSJI,X,O,X
OZLITJS,O,O,X
OZLITSJ,X,O,X
OZLIJTS,O,O,X
OZLIJST,O,X,X
OZLISTJ,O,X,X
OZLISJT,O,X,X
OZLJTIS,O,O,X
OZLJTSI,X,O,X
OZLJITS,O,O,X
OZLJIST,O,X,X
OZLJSTI,O,X,X
OZLJSIT,O,X,X
OZLSTIJ,O,X,X
OZLSTJI,O,X,X
OZLSITJ,O,X,X
OZLSIJT,O,X,X
OZLSJTI,O,X,X
OZLSJIT,O,X,X
OZJTILS,O,O,O
OZJTISL,X,O,O
OZJTLIS,O,O,O
OZJTLSI,X,O,O
OZJTSIL,X,O,O
OZJTSLI,X,O,O
OZJITLS,O,O,O
OZJITSL,X,O,O
OZJILTS,O,O,X
OZJILST,O,X,X
OZJISTL,O,X,O
OZJISLT,O,X,X
OZJLTIS,O,O,X
OZJLTSI,X,O,X
OZJLITS,O,O,X
OZJLIST,O,X,X
OZJLSTI,O,X,X
OZJLSIT,O,X,X
OZJSTIL,O,X,O
OZJSTLI,O,X,O
OZJSITL,O,X,O
OZJSILT,O,X,X
OZJSLTI,O,X,X
OZJSLIT,O,X,X
OZSTILJ,O,X,X
OZSTIJL,O,X,O
OZSTLIJ,O,X,X
OZSTLJI,O,X,X
OZSTJIL,O,X,O
OZSTJLI,O,X,O
OZSITLJ,O,X,X
OZSITJL,O,X,O
OZSILTJ,O,X,X
OZSILJT,O,X,X
OZSIJTL,O,X,O
OZSIJLT,O,X,X
OZSLTIJ,O,X,X
OZSLTJI,O,X,X
OZSLITJ,O,X,X
OZSLIJT,O,X,X
OZSLJTI,O,X,X
OZSLJIT,O,X,X
OZSJTIL,O,X,O
OZSJTLI,O,X,O
OZSJITL,O,X,O
OZSJILT,O,X,X
OZSJLTI,O,X,X
OZSJLIT,O,X,X
