sequence,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFRhBFlB8qBGnBTp?B3rB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFGhB/nBRlBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFThB/nBOpB8pBqq?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFRgBSmB/nBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jel/IvhFRhBKpBXlB8qB+r?BTsB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhF8lBumBikBTnB3p?BVwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFzfBWmB/nB0mBCq?BVwB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBKpBWqB/rBTn?B0qB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBikBUmBTnB3p?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFSlBThB/nBupB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFUiBFmBxpBCsB3p?BzqB,v115@EhC8HeB8HeB8BeA8CeD8JeRBJvhF/pBFlB8qB+rBTn?BipB,v115@EhC8HeB8HeB8BeA8CeD8JeOEJvhFzhBRlBSsB3pBUr?BlqB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFXhBVnBUlBTpBxr?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeXAJvhF8lBVnB2pBxrBTp?BSwB
TILJSZO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
TILJZOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILSJZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILSZOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILZJSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
TILZJOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZSJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
TILZSOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
TILOSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILOZJS,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X
TILOZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJLSZO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
TIJLZOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
