sequence,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFuiBcjB?lgBanBXmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBSjB?lhBzlBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhF3dBcjB?6lBOmBFnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFSiBTeB?lgBXmBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Jex9IvhFlgBcmB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFGeBlgB?UiBXmBysBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBcjB?lhBzlB2sBqsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeZCJvhFWjBlgB?cmBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR9IvhFSjBlgB?3hBmnBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF1hBxdB?SnBOoBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JelAJvhFcmBxiB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je+BJvhFlgBxiB?inBzlBXoB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFlgBXmB?inBcoBGnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeWCJvhFcjBlgB?xmBzlB/sBatB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSCJvhFlgBOoB?xmBzlBUnBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeG8IvhFZiBCeB?VmBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeF8IvhFxdBSmB?OnBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSDJvhFlgBxmB?8sBfnBzlBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je1AJvhF6hBZiB?cjBzlBftBusB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JecDJvhFlgBxmB?fnBqsBzqBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF0hB5nB?OoBzlBanBFtB
ILJOZTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ILJOZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ILSTJZO,O,O,X,X,X,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X
ILSTJOZ,O,O,X,X,X,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X
ILSTZJO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ILSJTZO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ILSJTOZ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ILSJZTO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSJZOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSJOZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSZTJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILSZTOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ILSZJTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSZOJT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ILSOTZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ILSOJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSOJZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSOZJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,X,X,O,X,O,O,X,O,O,X,O,O,X,X,O,X,O,X
ILZTJOS,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X
ILZTSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ILZTOJS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ILZJTSO,O,O,O,X,X,O,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X
ILZJTOS,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ILZJSTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJSOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ILZSTOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILZSJTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZSJOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZSOJT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOTJS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZOJTS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X
ILOTJZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ILOTSZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ILOTZJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ILOJTSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
ILOJTZS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ILOJSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ILOJZTS,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O
ILOJZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ILOSTJZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ILOSTZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ILOSJTZ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ILOSJZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ILOSZTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ILOSZJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ILOZTJS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ILOZJST,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOZSTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJTLSZO,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
IJTLZSO,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJTLOSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
IJTLOZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IJTSLZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IJTSZLO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IJTSZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTZLSO,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X
IJTZLOS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJTZSLO,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
IJTZSOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJTOSZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IJTOZLS,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IJTOZSL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O
IJLTSZO,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLTZSO,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLTOZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLSZTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLSZOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLZTSO,X,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
IJLZTOS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJLZSTO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZSOT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLOTZS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLOZTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJLOZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSTLZO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IJSTLOZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IJSTZLO,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IJSTZOL,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJSTOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IJSLTOZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IJSLZTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSLZOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSZTLO,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZTOL,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZLTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSZLOT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSZOTL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJSZOLT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IJSOTZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IJSOLTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IJSOZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJSOZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZTLSO,X,X,O,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,O,X
IJZTLOS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJZTSLO,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
IJZTSOL,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IJZTOSL,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
IJZLTOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJZLSTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSTOL,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSLTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IJZOTSL,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IJZOLTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IJZOLST,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZOSTL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZOSLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOTLSZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X
IJOTLZS,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IJOTSZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IJOTZLS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IJOTZSL,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O
IJOLTSZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IJOLTZS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLZTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IJOLZST,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IJOSTZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IJOSLTZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOSLZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSZTL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IJOSZLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZTLS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IJOZTSL,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IJOZLTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IJOZLST,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZSTL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZSLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTLJZO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
ISTLJOZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
ISTLZJO,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
ISTLZOJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
ISTLOZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISTJLZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
ISTJLOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
ISTJZLO,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
ISTJZOL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
ISTJOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISTJOZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISTZLJO,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
ISTZLOJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISTZJLO,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
ISTZJOL,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ISTZOLJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
ISTZOJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISTOLJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
ISTOLZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
ISTOJLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISTOJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISTOZLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISTOZJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISLTJZO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
ISLTJOZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
ISLTZJO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
ISLTZOJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISLTOJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
ISLTOZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISLJTZO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
ISLJTOZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
ISLJZTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLJZOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLZTJO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLZJTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZOJT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ISLOTZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISLOJTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLOZJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ISJTLOZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ISJTZLO,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
ISJTZOL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
ISJTOLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJTOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
ISJLZTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLZOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
