sequence,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFlcB3dB5jBy?nBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdBTeBUhBW?oByrBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxcBFiB6oBX?jBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jel7IvhFUdBajB5jBO?mBzmBftB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFajB5jBFiBT?mBftBmrB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdB6jBziBm?mBUmBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBzdB+jBa?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBWjBamBT?jBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxdBCiBTjBO?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFUhBFiBTjBf?tBywBGtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeC9IvhFUhBxiBTjBX?nBmlBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeaDJvhF5jBUhBFiBf?tBmqBzrB
TILJSZO,X,O,X,O,X,O,O,X,X,X,X,X
TILJSOZ,X,O,X,O,X,O,O,X,X,X,X,X
TILJZSO,X,O,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,O,X,O,O,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,O,X,O,X,O,O,O,X,X,X,X
TILSJOZ,X,O,X,O,X,O,O,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,O,O,X,X,X,X
TILSZOJ,X,O,X,O,X,X,O,O,X,X,X,X
TILSOJZ,X,O,X,O,X,O,X,X,X,X,X,X
TILSOZJ,X,X,X,O,X,O,X,X,X,X,X,X
TILZJSO,X,O,X,X,X,O,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,O,X,O,X,O,X,X,X,X,X,X
TILOSZJ,X,X,X,O,X,O,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,O,O,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,O,O,X,X,X,X,X
TIJLZSO,O,O,X,X,X,O,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,X,O,X,O,O,X,X,X,X,X
TIJLOZS,O,O,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,O,X,O,X,O,O,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,O,O,X,X,X,X,X
TIJSZLO,X,O,X,O,X,O,O,X,X,X,X,X
TIJSZOL,X,O,X,O,X,O,O,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,O,O,X,X,X,X,X
TIJSOZL,X,O,X,O,X,O,O,X,X,X,X,X
TIJZLSO,O,O,X,X,X,O,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,O,X,X,X,X,X,X
TIJZSOL,X,O,X,O,X,O,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,O,X,X,X,X,X,X
TIJZOSL,X,O,X,O,X,O,X,X,X,X,X,X
TIJOLSZ,O,O,X,O,X,O,O,X,X,X,X,X
TIJOLZS,O,O,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,O,X,O,O,X,X,X,X,X
TIJOSZL,O,O,X,O,X,O,O,X,X,X,X,X
TIJOZLS,O,O,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,O,X,O,X,X,X,X,X,X
TISLJZO,X,O,X,O,O,O,O,O,X,X,X,O
TISLJOZ,X,O,X,O,X,O,O,X,X,X,X,X
TISLZJO,X,O,X,O,O,X,O,O,X,X,O,O
TISLZOJ,X,X,X,O,O,X,O,O,O,X,O,O
TISLOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TISLOZJ,X,X,X,O,O,O,X,X,O,X,X,O
TISJLZO,X,O,X,O,O,O,O,O,X,X,X,O
TISJLOZ,X,O,X,O,X,O,O,X,X,X,X,X
TISJZLO,X,X,X,O,O,O,O,O,X,X,O,O
