sequence,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhF0cBTfBlgBSnB/q?B2wB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFXcBifBGiBFlB8q?BzrB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gBTcB2kBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBzgBumBcn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeO/IvhFXbBRhBcnBThBFl?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFGbBTcBUgBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFxbBlgB3hBcnBmk?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBWmBTiB0m?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFWiBTfBKlBFmBXn?B8qB,v115@5gD8HeB8HeD8EeF8AeF8Je37IvhF1hBTfBcnBmfBxq?BCrB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFTfB0gB/qBCsBOr?BFsB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFXcBxkB8qBCsBOq?BFsB,v115@5gD8HeB8HeD8EeF8AeF8Je36IvhFxgBTiB2kBChB0m?BlqB
ISOLTJZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ISOLJTZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISOLJZT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ISOLZTJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ISOLZJT,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
ISOJTLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISOJLZT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ISOJZTL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJZLT,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X
ISOZTLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
ISOZTJL,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ISOZLTJ,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
ISOZLJT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ISOZJTL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZTLJSO,X,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
IZTLJOS,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X
IZTLSJO,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
IZTLSOJ,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
IZTLOJS,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X
IZTLOSJ,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
IZTJLSO,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
IZTJLOS,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IZTJSLO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTJSOL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
IZTJOLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZTJOSL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
IZTSLJO,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTSLOJ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTSJLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTSOJL,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTOLJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
IZTOLSJ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X
IZTOJLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZTOJSL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
IZTOSLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOSJL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZLTJSO,X,X,O,X,X,X,X,O,O,O,X,X,O,X,O,X
IZLTJOS,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X
IZLTSJO,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X
IZLTSOJ,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X
IZLTOJS,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X
IZLTOSJ,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X
IZLJTSO,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X
IZLJTOS,X,X,X,X,O,X,O,O,O,O,X,X,O,X,O,X
IZLJSTO,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X
IZLJSOT,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
IZLJOTS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X
IZLJOST,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X
IZLSTJO,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X
IZLSTOJ,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X
IZLSJTO,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X
IZLSJOT,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
IZLSOTJ,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X
IZLSOJT,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
IZLOTJS,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X
IZLOTSJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IZLOJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X
IZLOJST,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
IZLOSTJ,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X
IZLOSJT,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
IZJTLSO,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
IZJTLOS,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X
IZJTSLO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJTSOL,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
IZJTOLS,X,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
IZJTOSL,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZJLTSO,X,X,O,O,O,X,X,O,X,O,X,X,O,X,O,X
IZJLTOS,X,X,X,X,O,X,O,O,X,O,X,X,O,X,O,X
IZJLSTO,X,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X
IZJLSOT,X,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X
IZJLOTS,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X
IZJLOST,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O,X
IZJSTLO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJSLTO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
IZJSLOT,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
IZJSOTL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJSOLT,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
IZJOTLS,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZJOLTS,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X
IZJOLST,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X
IZJOSTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJOSLT,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IZSTLJO,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZSTLOJ,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZSTJLO,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSTJOL,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZSTOLJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSTOJL,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZSLTJO,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X
IZSLTOJ,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X
IZSLJTO,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
IZSLJOT,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
IZSLOTJ,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X
IZSLOJT,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
IZSJTLO,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSJOLT,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSOTJL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZSOLTJ,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X
IZSOLJT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
IZSOJTL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZSOJLT,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZOTLJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
IZOTLSJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IZOTJLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZOTJSL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSJL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZOLTJS,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X
IZOLTSJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IZOLJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X
IZOLJST,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOLSJT,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IZOJTLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJLTS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IZOJLST,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IZOJSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSLT,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZOSTJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZOSLTJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IZOSLJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOSJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSJZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
IOTLZJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTSJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTSZJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOTZJLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOTZJSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTZSJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLTJSZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
IOLTZJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLJZTS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZST,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X
IOLSJTZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X
IOLSJZT,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLSZTJ,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
IOLSZJT,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
IOLZTJS,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IOLZTSJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOLZJTS,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IOLZJST,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZSTJ,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X
IOLZSJT,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
IOJTLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJLZTS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLZST,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLZT,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJSZTL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IOJZTLS,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJZTSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZLTS,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJZLST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSTJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSTZJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IOSLJTZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSLJZT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSLZTJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSLZJT,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOSJTLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSJLZT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSJZTL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IOSZTLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSZTJL,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSZLTJ,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSZLJT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSZJTL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOZTLJS,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
IOZTJLS,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOZTJSL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O
IOZTSLJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IOZTSJL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IOZLTJS,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
IOZLJTS,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IOZLJST,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZLSTJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZLSJT,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O
IOZJTLS,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOZJTSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IOZJLTS,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOZJLST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJSLT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZSTLJ,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O
IOZSTJL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O
IOZSLTJ,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O
IOZSLJT,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O
IOZSJTL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZSJLT,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O
LTIJSZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTIJZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTIJZOS,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTIJOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTISJZO,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTISJOZ,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X
LTISZJO,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X
LTISZOJ,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X
LTISOJZ,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTISOZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
LTIZJSO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
LTIZJOS,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X
LTIZSJO,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTIZOJS,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
LTIZOSJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTIOJSZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
LTIOJZS,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTIOSJZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
LTIOZJS,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJISZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
LTJISOZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTJIZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTJIZOS,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTJSIZO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
LTJSIOZ,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
LTJSZIO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
LTJSZOI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
LTJSOZI,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
LTJZISO,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X
LTJZIOS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJZSIO,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJZSOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJZOIS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJZOSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJOISZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
LTJOIZS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
LTJOSZI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
LTJOZIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJOZSI,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
LTSIJZO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTSIJOZ,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
LTSIZJO,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
LTSIOJZ,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
LTSIOZJ,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X
LTSJIZO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTSJIOZ,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X
LTSJZIO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTSJZOI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTSJOIZ,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X
LTSJOZI,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LTSZIJO,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
LTSZIOJ,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LTSZJIO,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
LTSZJOI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTSZOIJ,O,O,O,X,O,X,O,O,X,X,O,O,X,O,X,X
LTSZOJI,O,O,X,X,O,X,O,O,X,X,O,O,X,O,X,X
LTSOIJZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
LTSOIZJ,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
LTSOJIZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
