sequence,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhF0cBTfBlgBSnB/q?B2wB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFXcBifBGiBFlB8q?BzrB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gBTcB2kBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBzgBumBcn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeO/IvhFXbBRhBcnBThBFl?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFGbBTcBUgBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFxbBlgB3hBcnBmk?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBWmBTiB0m?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFWiBTfBKlBFmBXn?B8qB,v115@5gD8HeB8HeD8EeF8AeF8Je37IvhF1hBTfBcnBmfBxq?BCrB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFTfB0gB/qBCsBOr?BFsB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFXcBxkB8qBCsBOq?BFsB,v115@5gD8HeB8HeD8EeF8AeF8Je36IvhFxgBTiB2kBChB0m?BlqB
TISZLJO,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X
TIZLJOS,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X
TIZLSJO,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X
TIZLSOJ,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X
TIZLOJS,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X
TIZJLSO,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZJSLO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZJOLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZJOSL,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZSLJO,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIZSLOJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIZSJLO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIZSOJL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIZOLJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TIZOJLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZOSLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLJZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TIOLZJS,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
