sequence,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBu?qBirB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBuqBF?nB0rBirB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex8IvhFXeBlgBUiBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFxdBlgB3iBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhF3cBFeB5lBT?iB0mB2wB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBFnBC?rBUrBmrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex7IvhFXeB0gBFnBC?rBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBq?qB2rB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBmrBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBOrBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhFchBXeB5lBF?nBTrBOsB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFXeBlgBxmB6?qBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je/AJvhFchBxdBFnBG?rBisBzqB
TILJSZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TILJSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TILSJOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TILSZOJ,X,X,X,X,X,O,O,O,X,X,X,O,X
TILSOJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
TILSOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TILZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,O,O,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TILZSOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
TILZOJS,X,X,X,X,O,O,O,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TILOZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
TILOZSJ,X,X,X,X,O,O,X,X,X,X,O,O,X
TIJLSZO,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TIJSLOZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TIJSZOL,O,O,O,O,O,X,X,X,O,X,X,O,X
TIJSOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
TIJZLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TIJZSOL,X,O,O,O,O,X,X,X,O,X,X,O,X
TIJZOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJOZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,X,X,X,X,O,X
TISLJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TISLJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TISLZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TISLZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TISLOJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TISLOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TISJLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TISJLOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TISJZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
TISJZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
TISJOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
TISZLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
TISZLOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TISZJLO,X,O,O,O,X,X,X,X,O,O,X,O,X
TISZJOL,X,O,O,O,X,X,X,X,O,O,X,O,X
TISZOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
TISZOJL,O,O,O,X,X,X,X,X,O,O,X,O,X
TISOLJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
