sequence,v115@7gB8GeC8HeF8DeG8AeD8Je06IvhF6gBxcB2kBThB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF0bBxcBzfBSmB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeK/IvhFGbBxcBUgBThB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8Jex7IvhFXdBifBzgB0fBGn?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF8fBFdBamB5mB3l?BTsB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF8fBzbBCdB/nBxl?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeT6IvhFxcBykBGhB/nB0g?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeT6IvhF2gBCdB/nBUhBxk?BlrB,v115@7gB8GeC8HeF8DeG8AeD8Jei6IvhFzbB3fBUiBxlBGn?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeF8IvhFXdBTfB0gBmfBxr?BCsB
TILJSZO,O,O,X,X,O,X,O,O,X,X
TILJSOZ,O,O,X,O,X,X,O,O,X,X
TILJZSO,O,O,X,X,O,X,X,X,X,X
TILJZOS,O,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,O,X,X,O,O,X,X
TILJOZS,O,X,X,O,O,X,X,X,X,X
TILSJZO,O,O,O,X,O,O,O,O,O,X
TILSJOZ,O,O,O,O,X,O,O,O,O,X
TILSZJO,O,O,O,X,O,O,O,O,O,X
TILSZOJ,X,O,O,X,X,O,O,O,O,X
TILSOJZ,O,O,O,O,X,O,O,O,O,X
TILSOZJ,O,O,O,O,X,O,O,O,O,X
TILZJSO,X,O,O,X,O,O,X,X,X,X
TILZJOS,X,X,O,X,O,O,X,X,X,X
TILZSJO,X,O,O,X,O,O,X,X,O,X
TILZSOJ,X,O,O,X,X,O,X,X,O,X
TILZOJS,X,O,O,X,O,O,X,X,X,X
TILZOSJ,X,O,O,X,X,O,X,X,O,X
TILOJSZ,O,O,X,O,X,X,O,O,X,X
TILOJZS,O,O,X,O,O,X,X,X,X,X
TILOSJZ,O,O,O,O,X,O,O,O,O,X
TILOSZJ,O,O,O,O,X,O,O,O,O,X
TILOZJS,X,O,O,X,O,O,X,X,X,X
TILOZSJ,X,O,O,O,X,O,X,X,O,X
TIJLSZO,O,O,X,X,O,X,O,O,X,X
TIJLSOZ,O,O,X,O,X,X,O,O,X,X
TIJLZSO,O,O,X,X,O,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,X,O,O,X,X
TIJLOZS,O,X,X,O,O,X,X,X,X,X
TIJSLZO,O,O,X,X,O,O,O,O,O,X
TIJSLOZ,O,O,X,O,X,O,O,O,O,X
TIJSZLO,O,O,X,X,O,O,O,O,O,X
TIJSZOL,O,O,X,O,X,O,X,O,O,X
TIJSOLZ,O,O,X,O,X,O,O,O,O,X
TIJSOZL,O,O,X,O,X,O,X,O,O,X
TIJZLSO,O,X,X,X,O,O,X,X,X,X
TIJZLOS,O,X,X,X,O,O,X,X,X,X
TIJZSLO,O,X,X,X,O,O,X,O,O,X
TIJZSOL,O,X,X,X,X,O,X,O,O,X
TIJZOLS,O,X,X,X,O,O,X,X,X,X
TIJZOSL,O,X,X,X,O,O,X,O,O,X
TIJOLSZ,O,O,X,O,O,X,X,O,X,X
TIJOLZS,O,O,X,O,O,X,X,X,X,X
TIJOSLZ,O,O,X,O,O,O,X,O,O,X
TIJOSZL,O,O,X,O,O,O,X,O,O,X
TIJOZLS,O,O,X,O,O,O,X,X,X,X
TIJOZSL,O,O,X,O,O,O,X,O,O,X
TISLJZO,O,O,O,X,O,O,O,O,O,X
TISLJOZ,O,O,O,O,X,O,O,O,O,X
TISLZJO,O,O,O,X,O,O,O,O,O,X
TISLZOJ,X,O,O,X,X,O,O,O,O,O
TISLOJZ,O,O,O,O,X,O,O,O,O,X
TISLOZJ,O,O,O,O,X,O,O,O,O,X
TISJLZO,O,O,O,X,O,O,O,O,O,X
TISJLOZ,O,O,O,O,X,O,O,O,O,X
TISJZLO,O,O,X,X,O,O,O,O,O,X
TISJZOL,O,O,X,O,X,O,X,O,O,O
TISJOLZ,O,O,O,O,X,O,O,O,O,X
TISJOZL,O,O,X,O,X,O,X,O,O,X
TISZLJO,O,O,O,X,O,O,O,O,O,X
TISZLOJ,X,O,O,X,X,O,O,O,O,O
TISZJLO,O,O,X,X,O,O,O,O,O,X
TISZJOL,O,O,X,O,X,O,X,O,O,O
TISZOLJ,O,O,O,O,X,O,X,O,O,O
TISZOJL,O,O,X,X,X,O,X,O,O,O
TISOLJZ,O,O,O,O,X,O,O,O,O,X
TISOLZJ,O,O,O,O,X,O,O,O,O,X
TISOJLZ,O,O,O,O,X,O,O,O,O,X
TISOJZL,O,O,X,O,X,O,X,O,O,X
TISOZLJ,O,O,O,O,X,O,X,O,O,O
TISOZJL,O,O,X,X,X,O,X,O,O,O
TIZLJSO,X,X,X,X,O,O,X,X,X,O
TIZLJOS,X,X,X,X,O,O,X,X,X,O
TIZLSJO,X,X,X,X,O,O,X,X,O,O
TIZLSOJ,X,X,X,X,X,O,X,X,O,O
TIZLOJS,X,X,X,X,O,O,X,X,X,O
TIZLOSJ,X,X,X,X,X,O,X,X,O,O
TIZJLSO,X,X,X,X,O,O,X,X,X,X
TIZJLOS,X,X,X,X,O,O,X,X,X,X
TIZJSLO,X,X,X,X,O,O,X,O,O,X
TIZJSOL,X,X,X,X,X,O,X,O,O,O
TIZJOLS,X,X,X,X,O,O,X,X,X,X
TIZJOSL,X,X,X,X,O,O,X,O,O,O
TIZSLJO,X,X,X,X,O,O,X,O,O,X
TIZSLOJ,X,X,X,X,X,O,X,O,O,O
TIZSJLO,X,X,X,X,O,O,X,O,O,X
TIZSJOL,X,X,X,X,X,O,X,O,O,O
TIZSOLJ,X,X,X,X,X,O,X,O,O,O
TIZSOJL,X,X,X,X,X,O,X,O,O,O
TIZOLJS,X,X,X,X,O,O,X,X,X,O
TIZOLSJ,X,X,X,X,O,O,X,X,O,O
TIZOJLS,X,X,X,X,O,O,X,X,X,X
TIZOJSL,X,X,X,X,O,O,X,O,O,O
TIZOSLJ,X,X,X,X,O,O,X,O,O,O
TIZOSJL,X,X,X,X,O,O,X,O,O,O
TIOLJSZ,O,O,X,O,O,X,X,O,X,X
TIOLJZS,O,O,X,O,O,X,X,X,X,X
TIOLSJZ,O,O,O,O,O,O,X,O,O,X
TIOLSZJ,O,O,O,O,O,O,X,O,O,X
TIOLZJS,X,O,O,X,O,O,X,X,X,X
TIOLZSJ,X,O,O,O,O,O,X,X,O,X
TIOJLSZ,O,O,X,O,O,X,X,O,X,X
TIOJLZS,O,O,X,O,O,X,X,X,X,X
