sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TLJISZO,X,X,O,X,X,X
TLJISOZ,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,X,X,O,X,X,X
TLJIOZS,X,O,X,X,X,X
TLJSIZO,X,X,O,X,X,X
TLJSIOZ,X,X,O,X,X,X
TLJSZIO,X,X,O,X,X,X
TLJSZOI,X,X,O,X,X,X
TLJSOIZ,X,X,O,X,X,X
TLJSOZI,X,X,O,X,X,X
TLJZISO,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X
TLJZOSI,X,O,X,X,X,X
TLJOISZ,X,X,O,X,X,X
TLJOIZS,X,O,X,X,X,X
TLJOSIZ,X,X,O,X,X,X
TLJOSZI,X,X,O,X,X,X
TLJOZIS,X,O,X,X,X,X
TLJOZSI,X,O,X,X,X,X
TLSIJZO,X,X,O,X,X,X
TLSIJOZ,O,X,O,X,X,X
TLSIZJO,X,X,O,X,X,X
TLSIZOJ,X,X,O,X,X,X
TLSIOJZ,O,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,X
TLSJIZO,X,X,O,X,X,X
TLSJIOZ,O,X,O,X,X,X
TLSJZIO,O,X,O,X,X,X
TLSJZOI,O,X,O,X,X,X
TLSJOIZ,O,X,O,X,X,X
TLSJOZI,O,X,O,X,X,X
TLSZIJO,O,X,O,X,X,X
TLSZIOJ,O,X,O,X,X,X
TLSZJIO,O,X,O,X,X,X
TLSZJOI,O,X,O,X,X,X
TLSZOIJ,O,X,O,X,X,X
TLSZOJI,O,X,O,X,X,X
TLSOIJZ,O,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,X
TLSOJIZ,O,X,O,X,X,X
TLSOJZI,O,X,O,X,X,X
TLSOZIJ,O,X,O,X,X,X
TLSOZJI,O,X,O,X,X,X
TLZIJSO,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X
TLZISJO,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X
TLZJISO,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,X
TLZSIJO,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X
TLZOISJ,O,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X
TLZOJSI,X,O,X,X,X,X
TLZOSIJ,O,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X
TLOIJZS,X,O,X,X,X,X
TLOISJZ,O,X,O,X,X,X
TLOISZJ,X,X,O,X,X,X
TLOIZJS,X,O,X,X,X,X
TLOIZSJ,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X
TLOJIZS,X,O,X,X,X,X
TLOJSIZ,X,X,O,X,X,X
TLOJSZI,X,X,O,X,X,X
TLOJZIS,X,O,X,X,X,X
TLOJZSI,X,O,X,X,X,X
TLOSIJZ,O,X,O,X,X,X
TLOSIZJ,X,X,O,X,X,X
TLOSJIZ,O,X,O,X,X,X
TLOSJZI,O,X,O,X,X,X
TLOSZIJ,O,X,O,X,X,X
TLOSZJI,O,X,O,X,X,X
TLOZIJS,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X
TLOZJIS,X,O,X,X,X,X
TLOZJSI,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X
TJILSZO,X,X,O,X,X,X
TJILSOZ,X,X,O,X,X,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X
TJILOZS,X,X,X,X,X,X
TJISLZO,X,X,O,X,X,X
TJISLOZ,X,X,O,X,X,X
TJISZLO,X,X,O,X,X,X
TJISZOL,X,X,O,X,X,X
TJISOLZ,X,X,O,X,X,X
TJISOZL,X,X,O,X,X,O
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X
TJIOLZS,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X
TJIOSZL,X,X,O,X,X,X
TJIOZLS,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,X
TJLISOZ,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X
TJLIOSZ,X,X,O,X,X,X
TJLIOZS,X,O,X,X,X,X
TJLSIZO,X,X,O,X,X,X
TJLSIOZ,X,X,O,X,X,X
TJLSZIO,X,X,O,X,X,X
TJLSZOI,X,X,O,X,X,X
TJLSOIZ,X,X,O,X,X,X
TJLSOZI,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X
TJLZOSI,X,O,X,X,X,X
TJLOISZ,X,X,O,X,X,X
TJLOIZS,X,O,X,X,X,X
TJLOSIZ,X,X,O,X,X,X
TJLOSZI,X,X,O,X,X,X
TJLOZIS,X,O,X,X,X,X
TJLOZSI,X,O,X,X,X,X
TJSILZO,X,X,O,X,X,X
TJSILOZ,X,X,O,X,X,X
TJSIZLO,X,X,O,X,X,X
TJSIZOL,X,X,O,X,X,X
TJSIOLZ,X,X,O,X,X,X
TJSIOZL,X,X,O,X,X,O
TJSLIZO,X,X,O,X,X,X
TJSLIOZ,X,X,O,X,X,X
TJSLZIO,X,X,O,X,X,X
TJSLZOI,X,X,O,X,X,X
TJSLOIZ,X,X,O,X,X,X
TJSLOZI,X,X,O,X,X,X
TJSZILO,X,X,O,X,X,X
TJSZIOL,X,X,O,X,X,X
TJSZLIO,X,X,O,X,X,X
TJSZLOI,X,X,O,X,X,X
TJSZOIL,X,X,O,X,X,X
TJSZOLI,X,X,O,X,X,X
TJSOILZ,X,X,O,X,X,X
TJSOIZL,X,X,O,X,X,O
TJSOLIZ,X,X,O,X,X,X
TJSOLZI,X,X,O,X,X,X
TJSOZIL,X,X,O,X,X,X
TJSOZLI,X,X,O,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,O,X,X,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X
TJZLOSI,X,O,X,X,X,X
TJZSILO,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X
TJZOLSI,X,O,X,X,X,X
TJZOSIL,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X
TJOILSZ,X,X,O,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X
TJOISZL,X,X,O,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,X
TJOLIZS,X,O,X,X,X,X
TJOLSIZ,X,X,O,X,X,X
TJOLSZI,X,X,O,X,X,X
TJOLZIS,X,O,X,X,X,X
TJOLZSI,X,O,X,X,X,X
TJOSILZ,X,X,O,X,X,X
TJOSIZL,X,X,O,X,X,X
TJOSLIZ,X,X,O,X,X,X
TJOSLZI,X,X,O,X,X,X
TJOSZIL,X,X,O,X,X,X
TJOSZLI,X,X,O,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X
TJOZLSI,X,O,X,X,X,X
TJOZSIL,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,X
TSILJOZ,X,X,O,X,X,X
TSILZJO,X,X,O,X,O,X
TSILZOJ,X,X,O,X,O,X
TSILOJZ,X,X,O,X,X,X
TSILOZJ,X,X,O,X,O,X
TSIJLZO,X,X,O,X,X,X
TSIJLOZ,X,X,O,X,X,X
TSIJZLO,X,X,O,X,X,X
TSIJZOL,X,X,O,X,X,X
TSIJOLZ,X,X,O,X,X,X
TSIJOZL,X,X,O,X,X,O
TSIZLJO,X,X,O,X,O,X
TSIZLOJ,X,X,O,X,O,X
TSIZJLO,X,X,O,X,O,X
TSIZJOL,X,X,O,X,O,X
TSIZOLJ,X,X,O,X,O,X
TSIZOJL,X,X,O,X,O,X
TSIOLJZ,X,X,O,X,X,X
TSIOLZJ,X,X,O,X,O,X
TSIOJLZ,X,X,O,X,X,X
TSIOJZL,X,X,O,X,X,O
TSIOZLJ,X,X,O,X,O,X
TSIOZJL,X,X,O,X,O,X
TSLIJZO,X,X,O,X,X,X
TSLIJOZ,O,X,O,X,X,X
TSLIZJO,X,X,O,X,O,X
TSLIZOJ,X,X,O,X,O,X
TSLIOJZ,O,X,O,X,X,X
TSLIOZJ,X,X,O,X,O,X
TSLJIZO,X,X,O,X,X,X
TSLJIOZ,O,X,O,X,X,X
TSLJZIO,O,X,O,X,X,X
TSLJZOI,O,X,O,X,X,X
TSLJOIZ,O,X,O,X,X,X
TSLJOZI,O,X,O,X,X,X
TSLZIJO,O,X,O,X,O,X
TSLZIOJ,O,X,O,X,O,X
TSLZJIO,O,X,O,X,O,X
TSLZJOI,O,X,O,X,O,X
TSLZOIJ,O,X,O,X,O,X
TSLZOJI,O,X,O,X,O,X
TSLOIJZ,O,X,O,X,X,X
TSLOIZJ,X,X,O,X,O,X
TSLOJIZ,O,X,O,X,X,X
TSLOJZI,O,X,O,X,X,X
TSLOZIJ,O,X,O,X,O,X
TSLOZJI,O,X,O,X,O,X
TSJILZO,X,X,O,X,X,X
TSJILOZ,X,X,O,X,X,X
TSJIZLO,X,X,O,X,X,X
TSJIZOL,X,X,O,X,X,X
TSJIOLZ,X,X,O,X,X,X
TSJIOZL,X,X,O,X,X,O
TSJLIZO,X,X,O,X,X,X
TSJLIOZ,O,X,O,X,X,X
TSJLZIO,O,X,O,X,X,X
TSJLZOI,O,X,O,X,X,X
TSJLOIZ,O,X,O,X,X,X
TSJLOZI,O,X,O,X,X,X
TSJZILO,O,X,O,X,X,X
TSJZIOL,O,X,O,X,X,X
TSJZLIO,O,X,O,X,X,X
TSJZLOI,O,X,O,X,X,X
TSJZOIL,O,X,O,X,X,X
TSJZOLI,O,X,O,X,X,X
TSJOILZ,X,X,O,X,X,X
TSJOIZL,X,X,O,X,X,O
TSJOLIZ,O,X,O,X,X,X
TSJOLZI,O,X,O,X,X,X
TSJOZIL,O,X,O,X,X,X
TSJOZLI,O,X,O,X,X,X
TSZILJO,O,X,O,X,O,X
TSZILOJ,O,X,O,X,O,X
TSZIJLO,O,X,O,X,O,X
TSZIJOL,O,X,O,X,O,X
TSZIOLJ,O,X,O,X,O,X
TSZIOJL,O,X,O,X,O,X
TSZLIJO,O,X,O,X,O,X
TSZLIOJ,O,X,O,X,O,X
TSZLJIO,O,X,O,X,O,X
TSZLJOI,O,X,O,X,O,X
TSZLOIJ,O,X,O,X,O,X
TSZLOJI,O,X,O,X,O,X
TSZJILO,O,X,O,X,O,X
TSZJIOL,O,X,O,X,O,X
TSZJLIO,O,X,O,X,O,X
TSZJLOI,O,X,O,X,O,X
TSZJOIL,O,X,O,X,O,X
TSZJOLI,O,X,O,X,O,X
TSZOILJ,O,X,O,X,O,X
TSZOIJL,O,X,O,X,O,X
TSZOLIJ,O,X,O,X,O,X
TSZOLJI,O,X,O,X,O,X
TSZOJIL,O,X,O,X,O,X
TSZOJLI,O,X,O,X,O,X
TSOILJZ,X,X,O,X,X,X
TSOILZJ,X,X,O,X,O,X
TSOIJLZ,X,X,O,X,X,X
TSOIJZL,X,X,O,X,X,O
TSOIZLJ,X,X,O,X,O,X
TSOIZJL,X,X,O,X,O,X
TSOLIJZ,O,X,O,X,X,X
TSOLIZJ,X,X,O,X,O,X
TSOLJIZ,O,X,O,X,X,X
TSOLJZI,O,X,O,X,X,X
TSOLZIJ,O,X,O,X,O,X
