sequence,v115@5gB8HeB8GeE8DeF8CeG8JeNAJvhFGcBTeBZkB8lBfq?B6pB,v115@5gB8HeB8GeE8DeF8CeG8Je//IvhFRbBchBTeB6lBNp?BeqB,v115@5gB8HeB8GeE8DeF8CeG8Je2/IvhFRbBchBTeB9lBKp?BfqB,v115@5gB8HeB8GeE8DeF8CeG8JeR7IvhFchBTeB6lBOpBdq?B/pB,v115@5gB8HeB8GeE8DeF8CeG8Je06IvhFShBTeBxpBNpBml?BXqB,v115@5gB8HeB8GeE8DeF8CeG8JeO/IvhFxbBTeBXhBcpBNq?BCqB,v115@5gB8HeB8GeE8DeF8CeG8JedAJvhFCcBTeBZkBXhBWq?B0pB
TILJSZO,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,O,X,X
TILJZSO,X,X,X,O,X,X,X
TILJZOS,X,X,X,O,O,X,X
TILJOSZ,X,X,X,X,O,X,X
TILJOZS,X,X,X,O,O,X,X
TILSJZO,X,X,O,X,O,X,X
TILSJOZ,X,X,O,X,O,X,X
TILSZJO,X,X,O,X,O,X,X
TILSZOJ,X,X,O,X,O,X,X
TILSOJZ,X,X,O,X,O,X,X
TILSOZJ,X,X,O,X,O,X,X
TILZJSO,X,X,X,O,X,X,X
TILZJOS,X,X,X,O,O,X,X
TILZSJO,X,X,O,X,O,X,X
TILZSOJ,X,X,O,X,O,X,X
TILZOJS,X,X,X,O,O,X,X
TILZOSJ,X,X,O,X,O,X,X
TILOJSZ,X,X,X,X,O,X,X
TILOJZS,X,X,X,O,O,X,X
TILOSJZ,X,X,O,X,O,X,X
TILOSZJ,X,X,O,X,O,X,X
TILOZJS,X,X,X,O,O,X,X
TILOZSJ,X,X,O,X,O,X,X
TIJLSZO,X,O,X,X,O,X,O
TIJLSOZ,X,O,X,X,O,X,O
TIJLZSO,X,O,X,O,X,X,X
TIJLZOS,X,O,X,O,O,X,X
TIJLOSZ,X,O,X,X,O,X,O
TIJLOZS,X,O,X,O,O,X,X
TIJSLZO,X,O,X,X,O,X,O
TIJSLOZ,X,O,X,X,O,X,O
TIJSZLO,O,O,X,X,O,X,O
TIJSZOL,O,O,X,X,O,X,O
TIJSOLZ,X,O,X,X,O,X,O
TIJSOZL,O,O,X,X,O,X,O
TIJZLSO,X,O,X,O,X,X,X
TIJZLOS,X,O,X,O,O,X,X
TIJZSLO,O,O,X,X,X,X,O
TIJZSOL,O,O,X,X,X,X,O
TIJZOLS,X,O,X,O,O,X,X
TIJZOSL,O,O,X,X,X,X,O
TIJOLSZ,X,O,X,X,O,X,O
TIJOLZS,X,O,X,O,O,X,X
TIJOSLZ,X,O,X,X,O,X,O
TIJOSZL,O,O,X,X,O,X,O
TIJOZLS,X,O,X,O,O,X,X
TIJOZSL,O,O,X,X,X,X,O
TISLJZO,X,X,X,X,O,X,O
TISLJOZ,X,X,X,X,O,X,O
TISLZJO,O,X,X,X,O,O,X
TISLZOJ,O,X,X,X,O,O,X
TISLOJZ,X,X,X,X,O,X,O
TISLOZJ,O,X,X,X,O,O,X
TISJLZO,X,O,X,X,O,X,O
TISJLOZ,X,O,X,X,O,X,O
TISJZLO,O,O,X,X,O,O,O
TISJZOL,O,O,X,X,O,O,O
TISJOLZ,X,O,X,X,O,X,O
TISJOZL,O,O,X,X,O,O,O
TISZLJO,O,X,X,X,O,O,X
TISZLOJ,O,O,X,X,O,O,X
TISZJLO,O,O,X,X,O,O,X
TISZJOL,O,O,X,X,O,O,X
TISZOLJ,O,O,X,X,O,O,X
TISZOJL,O,O,X,X,O,O,X
TISOLJZ,X,X,X,X,O,X,O
TISOLZJ,O,X,X,X,O,O,X
TISOJLZ,X,O,X,X,O,X,O
TISOJZL,O,O,X,X,O,O,O
TISOZLJ,O,O,X,X,O,O,X
TISOZJL,O,O,X,X,O,O,X
TIZLJSO,X,X,X,O,X,X,X
TIZLJOS,X,X,X,O,O,X,X
TIZLSJO,X,X,O,X,O,X,X
TIZLSOJ,X,X,O,X,O,X,X
TIZLOJS,X,X,X,O,O,X,X
TIZLOSJ,X,X,O,X,O,X,X
TIZJLSO,X,O,X,O,X,X,X
TIZJLOS,X,O,X,O,O,X,X
TIZJSLO,O,O,X,X,X,O,X
TIZJSOL,O,O,X,X,X,O,X
TIZJOLS,X,O,X,O,O,X,X
TIZJOSL,O,O,X,X,X,O,X
TIZSLJO,O,X,X,X,O,O,X
TIZSLOJ,O,O,X,X,O,O,X
TIZSJLO,O,O,X,X,O,O,X
TIZSJOL,O,O,X,X,O,O,X
TIZSOLJ,O,O,X,X,O,O,X
TIZSOJL,O,O,X,X,O,O,X
TIZOLJS,X,X,X,O,O,X,X
TIZOLSJ,X,X,O,X,O,X,X
TIZOJLS,X,O,X,O,O,X,X
TIZOJSL,O,O,X,X,X,O,X
TIZOSLJ,O,O,X,X,O,O,X
TIZOSJL,O,O,X,X,O,O,X
TIOLJSZ,X,X,X,X,O,X,X
TIOLJZS,X,X,X,O,O,X,X
TIOLSJZ,X,X,O,X,O,X,X
TIOLSZJ,X,X,O,X,O,X,X
TIOLZJS,X,X,X,O,O,X,X
TIOLZSJ,X,X,O,X,O,X,X
TIOJLSZ,X,O,X,X,O,X,O
TIOJLZS,X,O,X,O,O,X,X
TIOJSLZ,X,O,X,X,O,X,O
TIOJSZL,O,O,X,X,O,X,O
TIOJZLS,X,O,X,O,O,X,X
TIOJZSL,O,O,X,X,X,X,O
TIOSLJZ,X,X,X,X,O,X,O
TIOSLZJ,O,X,X,X,O,O,X
TIOSJLZ,X,O,X,X,O,X,O
TIOSJZL,O,O,X,X,O,O,O
TIOSZLJ,O,O,X,X,O,O,X
TIOSZJL,O,O,X,X,O,O,X
TIOZLJS,X,X,X,O,O,X,X
TIOZLSJ,X,X,O,X,O,X,X
TIOZJLS,X,O,X,O,O,X,X
TIOZJSL,O,O,X,X,X,O,X
TIOZSLJ,O,O,X,X,O,O,X
TIOZSJL,O,O,X,X,O,O,X
TLIJSZO,X,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,O,X,X
TLIJZSO,X,X,X,O,X,X,X
TLIJZOS,X,X,X,O,O,X,X
TLIJOSZ,X,X,X,X,O,X,X
TLIJOZS,X,X,X,O,O,X,X
TLISJZO,X,X,O,X,O,X,X
TLISJOZ,X,X,O,X,O,X,X
TLISZJO,X,X,O,X,O,X,X
TLISZOJ,X,X,O,X,O,X,X
TLISOJZ,X,X,O,X,O,X,X
TLISOZJ,X,X,O,X,O,X,X
TLIZJSO,X,X,X,O,X,X,X
TLIZJOS,X,X,X,O,O,X,X
TLIZSJO,X,X,O,X,O,X,X
TLIZSOJ,X,X,O,X,O,X,X
TLIZOJS,X,X,X,O,O,X,X
TLIZOSJ,X,X,O,X,O,X,X
TLIOJSZ,X,X,X,X,O,X,X
