sequence,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhFyh?BGeBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je2AJvhFRc?BCeB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BfjB6jBTgBemBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeOAJvhF8g?BCdBxiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFWj?BRhB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BWjB/lBamBTjBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFzd?B+jBRhB3hB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFyh?BGeBUjBxlBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem7IvhFzc?BfjB6jBxlB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeX8IvhFxd?B2lBCiBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je07IvhFxd?B2lBCiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem8IvhFSj?BxgBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jez8IvhFGe?BUjBxlB/lBamBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeyAJvhFzc?BxlBXoBGoB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFmc?BUjBxlBXmBStBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeC9IvhF/l?BUhBxiBTjBmlBFtB
TILJSZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TILJSOZ,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TILJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TILSJZO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TILSJOZ,X,O,X,X,O,X,O,X,O,O,X,O,X,O,X,X
TILSZJO,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TILSZOJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TILSOJZ,O,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X
TILSOZJ,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILZJOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TILZSJO,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TILZSOJ,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TILZOJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILOJSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TILOJZS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X
TILOSZJ,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TILOZSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJLSZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
