sequence,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFOiB6jB3gBc?mBziBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFKiBzdB+jB3?gBcmBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBXeBzhBS?oBmlBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBcmBm?iBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFyiB+jB3gBc?mBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBFiB8?nBTmBOsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFlcBCeB/nBT?jBxlBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jel7IvhF3cBciBTeBx?lBCoBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBTeBFiBm?lBfsBCtB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je09IvhF6jBRhBTgBO?mBfsBlsB
TILJSZO,O,X,X,X,X,X,O,O,X,X
TILJSOZ,O,O,X,X,X,X,O,O,X,X
TILJZSO,O,O,X,O,X,X,O,O,X,X
TILJZOS,O,O,X,X,X,X,X,O,X,X
TILJOSZ,O,O,X,X,X,X,X,O,X,X
TILJOZS,O,O,X,X,X,X,X,O,X,X
TILSJZO,O,X,O,X,X,X,O,O,X,X
TILSJOZ,O,O,X,X,X,X,X,O,X,X
TILSZJO,O,X,O,O,X,X,O,O,X,X
TILSZOJ,O,X,O,O,X,X,O,O,X,X
TILSOJZ,O,X,O,X,X,X,O,O,X,X
TILSOZJ,X,X,O,X,X,O,O,O,X,X
TILZJSO,O,O,O,O,X,X,O,O,X,X
TILZJOS,O,O,X,X,X,X,X,O,X,X
TILZSJO,O,O,O,O,X,X,O,O,X,X
TILZSOJ,O,O,O,O,X,X,O,O,X,X
TILZOJS,O,O,O,X,X,X,X,O,X,X
TILZOSJ,O,X,O,X,X,X,X,O,X,X
TILOJSZ,O,O,O,X,X,X,X,O,X,X
TILOJZS,O,O,O,X,X,X,X,O,X,X
TILOSJZ,O,X,O,X,X,X,X,O,X,X
TILOSZJ,X,X,O,X,X,X,X,O,X,X
TILOZJS,O,X,O,X,X,X,X,O,X,X
TILOZSJ,O,X,O,X,X,X,X,O,X,X
TIJLSZO,O,X,X,X,X,X,O,O,X,X
TIJLSOZ,O,O,X,X,X,X,O,O,X,X
TIJLZSO,O,O,X,O,O,X,O,O,X,X
TIJLZOS,O,O,X,X,X,X,X,O,X,X
TIJLOSZ,O,O,X,X,X,X,X,O,X,X
TIJLOZS,O,O,X,X,X,X,X,O,X,X
TIJSLZO,O,X,X,X,X,X,O,O,X,X
TIJSLOZ,O,O,X,X,X,X,O,O,X,X
TIJSZLO,X,O,X,X,O,X,O,O,X,X
TIJSZOL,X,O,X,X,O,X,O,O,X,X
TIJSOLZ,O,X,X,X,X,X,O,X,X,X
TIJSOZL,X,X,X,X,X,X,O,O,X,X
TIJZLSO,O,O,X,O,O,X,O,O,X,X
TIJZLOS,O,O,X,X,X,X,X,O,X,X
TIJZSLO,O,O,X,O,O,X,O,O,X,X
TIJZSOL,O,O,X,O,O,X,O,O,X,X
TIJZOLS,O,O,X,X,X,X,X,O,X,X
TIJZOSL,O,O,X,X,X,X,O,O,X,X
TIJOLSZ,O,O,X,X,X,X,X,O,X,X
TIJOLZS,O,O,X,X,X,X,X,O,X,X
TIJOSLZ,O,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,X,X,X,X,O,O,X,X
TIJOZLS,O,O,X,X,X,X,X,O,X,X
TIJOZSL,O,O,X,X,X,X,O,O,X,X
TISLJZO,O,X,X,X,X,X,O,O,X,X
TISLJOZ,O,O,X,X,X,X,X,O,X,X
TISLZJO,O,X,X,O,X,X,O,O,X,X
TISLZOJ,O,X,X,O,X,X,O,O,X,X
TISLOJZ,O,X,X,X,X,X,O,O,X,X
TISLOZJ,X,X,X,X,X,O,O,O,X,X
TISJLZO,O,X,X,X,X,X,O,O,X,X
TISJLOZ,O,O,X,X,X,X,O,O,X,X
TISJZLO,X,O,X,X,O,X,O,O,X,X
TISJZOL,X,O,X,X,O,X,O,O,X,X
TISJOLZ,O,X,X,X,X,X,O,X,X,X
TISJOZL,X,X,X,X,X,X,O,O,X,X
TISZLJO,O,O,X,O,O,X,O,X,X,X
TISZLOJ,O,O,X,O,X,X,O,X,X,X
TISZJLO,O,O,X,O,O,X,O,O,X,X
TISZJOL,O,O,X,O,O,X,O,O,X,X
TISZOLJ,O,O,X,O,X,X,O,X,X,X
TISZOJL,O,O,X,O,O,X,O,X,X,X
TISOLJZ,O,X,X,X,X,X,O,X,X,X
TISOLZJ,X,X,X,X,X,O,O,X,X,X
TISOJLZ,O,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,X,X,O,O,X,X
TISOZLJ,X,X,X,X,X,O,O,X,X,X
TISOZJL,X,X,X,X,X,O,O,X,X,X
TIZLJSO,O,O,O,O,X,X,O,O,X,X
TIZLJOS,O,O,X,X,X,X,X,O,X,X
TIZLSJO,O,O,O,O,X,X,O,O,X,X
TIZLSOJ,O,O,O,O,X,X,O,O,X,X
TIZLOJS,O,O,O,X,X,X,X,O,X,X
TIZLOSJ,O,X,O,X,X,X,X,O,X,X
TIZJLSO,O,O,O,O,O,X,O,O,X,X
TIZJLOS,O,O,X,X,X,X,X,O,X,X
TIZJSLO,O,O,X,O,O,X,O,O,X,X
TIZJSOL,O,O,X,O,O,X,O,O,X,X
TIZJOLS,O,O,O,X,X,X,X,O,X,X
TIZJOSL,O,O,X,X,X,X,O,O,X,X
TIZSLJO,O,O,O,O,O,X,O,X,X,X
TIZSLOJ,O,O,O,O,X,X,O,X,X,X
TIZSJLO,O,O,X,O,O,X,O,O,X,X
TIZSJOL,O,O,X,O,O,X,O,O,X,X
TIZSOLJ,O,O,O,O,X,X,O,X,X,X
TIZSOJL,O,O,X,O,O,X,O,X,X,X
TIZOLJS,O,O,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,O,X,X,X
TIZOJLS,O,O,O,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,X,O,X,X,X,O,X,X,X
TIZOSJL,O,X,X,X,X,X,O,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,O,X,X
TIOLJZS,O,O,O,X,X,X,X,O,X,X
TIOLSJZ,O,X,O,X,X,X,O,O,X,X
TIOLSZJ,X,X,O,X,X,X,O,O,X,X
TIOLZJS,O,X,O,X,X,X,X,O,X,X
TIOLZSJ,O,X,O,X,X,X,O,O,X,X
TIOJLSZ,O,O,O,X,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,X,O,X,X
TIOJSLZ,O,X,O,X,X,X,O,X,X,X
TIOJSZL,X,X,O,X,X,X,O,O,X,X
TIOJZLS,O,O,O,X,X,X,X,O,X,X
TIOJZSL,O,X,O,X,X,X,O,O,X,X
TIOSLJZ,O,X,O,X,X,X,O,X,X,X
TIOSLZJ,X,X,O,X,X,X,O,X,X,X
TIOSJLZ,O,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,X,X,O,O,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,X,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,O,X,X,X
TIOZJLS,O,O,O,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,O,X,X,X
TIOZSLJ,O,X,O,X,X,X,O,X,X,X
TIOZSJL,O,X,X,X,X,X,O,X,X,X
TLIJSZO,O,X,X,X,X,X,X,O,X,X
TLIJSOZ,O,O,X,X,X,X,X,O,X,X
TLIJZSO,O,O,X,O,X,X,X,O,X,X
TLIJZOS,O,O,X,X,X,X,X,O,X,X
TLIJOSZ,O,O,X,X,X,X,X,O,X,X
TLIJOZS,O,O,X,X,X,X,X,O,X,X
TLISJZO,O,X,O,X,X,X,X,O,X,X
TLISJOZ,O,O,X,X,X,X,X,O,X,X
TLISZJO,O,X,O,O,X,X,X,O,X,X
TLISZOJ,O,X,O,O,X,X,X,O,X,X
TLISOJZ,O,X,O,X,X,X,X,O,X,X
TLISOZJ,X,X,O,X,X,O,X,O,X,X
TLIZJSO,O,O,O,O,X,X,X,O,X,X
TLIZJOS,O,O,X,X,X,X,X,O,X,X
TLIZSJO,O,O,O,O,X,X,X,O,X,X
TLIZSOJ,O,O,O,O,X,X,X,O,X,X
TLIZOJS,O,O,O,X,X,X,X,O,X,X
TLIZOSJ,O,X,O,X,X,X,X,O,X,X
TLIOJSZ,O,O,O,X,X,X,X,O,X,X
TLIOJZS,O,O,O,X,X,X,X,O,X,X
TLIOSJZ,O,X,O,X,X,X,X,O,X,X
TLIOSZJ,X,X,O,X,X,X,X,O,X,X
TLIOZJS,O,X,O,X,X,X,X,O,X,X
TLIOZSJ,O,X,O,X,X,X,X,O,X,X
TLJISZO,O,X,O,X,X,X,X,O,X,X
TLJISOZ,O,O,O,X,X,X,X,O,X,X
TLJIZSO,O,O,O,O,O,X,X,O,X,X
TLJIZOS,O,O,O,X,X,X,X,O,X,X
TLJIOSZ,O,O,O,X,X,X,X,O,X,X
TLJIOZS,O,O,O,X,X,X,X,O,X,X
TLJSIZO,O,X,O,X,X,X,X,X,O,X
TLJSIOZ,O,O,O,X,X,X,X,X,O,X
TLJSZIO,O,O,O,O,O,X,X,O,O,X
TLJSZOI,O,O,O,O,O,X,X,O,O,X
TLJSOIZ,X,O,O,X,X,X,X,O,O,X
TLJSOZI,X,O,O,X,X,X,X,O,O,X
TLJZISO,O,O,O,O,O,X,X,O,X,X
TLJZIOS,O,O,O,X,X,X,X,O,O,X
TLJZSIO,O,O,O,O,O,X,X,O,O,X
TLJZSOI,O,O,O,O,O,X,X,O,O,X
TLJZOIS,O,O,O,X,X,X,X,O,O,X
TLJZOSI,O,O,O,O,O,X,X,O,O,X
TLJOISZ,O,O,O,X,X,X,X,O,X,X
TLJOIZS,O,O,O,X,X,X,X,O,X,X
TLJOSIZ,O,O,O,X,X,X,X,O,O,X
TLJOSZI,O,O,O,X,X,X,X,O,O,X
TLJOZIS,O,O,O,X,X,X,X,O,O,X
TLJOZSI,O,O,O,O,O,X,X,O,O,X
TLSIJZO,O,X,O,X,X,X,X,O,O,O
TLSIJOZ,O,O,X,X,X,X,X,O,O,X
TLSIZJO,O,X,O,O,X,X,X,O,O,O
TLSIZOJ,O,X,O,O,X,X,X,O,O,O
TLSIOJZ,O,X,O,X,X,X,X,O,O,X
TLSIOZJ,X,X,O,X,X,O,X,O,O,O
TLSJIZO,O,X,O,X,X,X,X,X,O,O
TLSJIOZ,O,O,O,X,X,X,X,X,O,X
TLSJZIO,O,O,O,O,X,X,X,O,O,O
TLSJZOI,O,O,O,O,X,X,X,O,O,X
TLSJOIZ,X,O,O,X,X,X,X,O,O,X
TLSJOZI,X,O,O,X,X,X,X,O,O,X
TLSZIJO,O,O,O,O,X,X,X,O,O,O
TLSZIOJ,O,O,O,O,X,O,X,O,O,O
TLSZJIO,O,O,O,O,X,X,X,O,O,O
TLSZJOI,O,O,O,O,X,O,X,O,O,X
TLSZOIJ,O,O,O,O,X,O,X,O,O,O
TLSZOJI,O,O,O,O,X,O,X,O,O,X
TLSOIJZ,O,X,O,X,X,X,X,O,O,X
TLSOIZJ,X,X,O,X,X,O,X,O,O,O
TLSOJIZ,O,X,O,X,X,X,X,O,O,X
TLSOJZI,O,X,O,X,X,X,X,O,O,X
TLSOZIJ,O,X,O,X,X,O,X,O,O,O
TLSOZJI,O,X,O,X,X,O,X,O,O,X
TLZIJSO,O,O,O,O,X,X,X,O,X,X
TLZIJOS,O,O,X,X,X,X,X,O,X,X
TLZISJO,O,O,O,O,X,X,X,O,X,X
TLZISOJ,O,O,O,O,X,O,X,O,X,X
TLZIOJS,O,O,O,X,X,X,X,O,O,X
TLZIOSJ,O,X,O,X,X,X,X,O,O,X
TLZJISO,O,O,O,O,O,X,X,O,X,X
TLZJIOS,O,O,O,X,X,X,X,O,O,X
TLZJSIO,O,O,O,O,O,X,X,O,O,X
TLZJSOI,O,O,O,O,O,O,X,O,O,X
TLZJOIS,O,O,O,X,X,X,X,O,O,X
TLZJOSI,O,O,O,O,O,X,X,O,O,X
TLZSIJO,O,O,O,O,O,X,X,O,O,X
TLZSIOJ,O,O,O,O,X,O,X,O,O,X
TLZSJIO,O,O,O,O,O,X,X,O,O,X
TLZSJOI,O,O,O,O,O,O,X,O,O,X
TLZSOIJ,O,O,O,O,X,O,X,O,O,X
TLZSOJI,O,O,O,O,X,O,X,O,O,X
TLZOIJS,O,O,O,X,X,X,X,O,O,X
TLZOISJ,O,X,O,X,X,O,X,O,O,X
TLZOJIS,O,O,O,X,X,X,X,O,O,X
TLZOJSI,O,O,O,O,X,O,X,O,O,X
TLZOSIJ,O,O,O,O,X,O,X,O,O,X
TLZOSJI,O,O,O,O,X,O,X,O,O,X
TLOIJSZ,O,O,O,X,X,X,X,O,X,X
TLOIJZS,O,O,O,X,X,X,X,O,X,X
TLOISJZ,O,X,O,X,X,X,X,O,X,X
TLOISZJ,X,X,O,X,X,X,X,O,X,X
TLOIZJS,O,X,O,X,X,X,X,O,X,X
TLOIZSJ,O,X,O,X,X,X,X,O,X,X
TLOJISZ,O,O,O,X,X,X,X,O,X,X
TLOJIZS,O,O,O,X,X,X,X,O,X,X
TLOJSIZ,O,O,O,X,X,X,X,O,O,X
TLOJSZI,O,O,O,X,X,X,X,O,O,X
TLOJZIS,O,O,O,X,X,X,X,O,O,X
TLOJZSI,O,O,O,O,X,X,X,O,O,X
TLOSIJZ,O,X,O,X,X,X,X,O,O,X
TLOSIZJ,X,X,O,X,X,O,X,O,O,X
TLOSJIZ,O,X,O,X,X,X,X,O,O,X
TLOSJZI,O,X,O,X,X,X,X,O,O,X
TLOSZIJ,O,X,O,X,X,O,X,O,O,X
TLOSZJI,O,X,O,X,X,O,X,O,O,X
TLOZIJS,O,O,O,X,X,X,X,O,O,X
TLOZISJ,O,X,O,X,X,O,X,O,O,X
