sequence,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufB3bBqiBT?eBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBGeBqkBz?iBllB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhF3bBGeBqkBz?iBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel6IvhF3bBuiBcjBK?kBRlBTqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFlbBuiBcjBy?kBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFCeB0gBXjBx?pBmpBlqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel7IvhFGeBifBziB0?fBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufBqiBTeB0?gBVqB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeG+IvhFxfBziB0kBl?lBikB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jei6IvhFGeB1kB0gBz?iBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBFjBGqBf?qBzqBCtB
TILJSZO,O,X,X,X,X,X,X,O,X,X,O
TILJSOZ,O,X,O,X,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,O,X,X,O,X,X,X
TILJZOS,X,O,X,X,O,X,X,O,X,O,X
TILJOSZ,O,O,O,X,X,X,O,O,X,O,X
TILJOZS,X,O,O,X,O,X,O,O,X,O,X
TILSJZO,O,X,X,X,O,X,X,O,X,X,X
TILSJOZ,O,X,O,X,O,X,O,O,X,X,X
TILSZJO,O,X,X,X,O,X,X,O,X,X,X
TILSZOJ,O,O,O,X,O,X,O,O,X,O,X
TILSOJZ,O,O,O,X,O,X,O,O,X,O,X
TILSOZJ,O,O,O,X,O,X,O,O,X,O,X
TILZJSO,O,X,X,X,O,X,X,O,X,X,X
TILZJOS,O,O,X,X,O,X,X,O,X,O,X
TILZSJO,O,X,X,X,O,X,X,O,X,X,X
TILZSOJ,O,O,O,X,O,X,X,O,X,O,X
TILZOJS,O,O,O,X,O,X,O,O,X,O,X
TILZOSJ,O,O,O,X,O,X,X,O,X,O,X
TILOJSZ,O,O,O,X,X,X,O,O,X,O,X
TILOJZS,X,O,O,X,O,X,O,O,O,O,X
TILOSJZ,O,O,O,X,X,X,O,O,X,O,X
TILOSZJ,O,O,O,X,O,X,O,O,X,O,X
TILOZJS,O,O,O,X,O,X,O,O,X,O,X
TILOZSJ,O,O,O,X,O,X,X,O,X,O,X
TIJLSZO,O,X,X,X,X,X,X,O,X,X,O
TIJLSOZ,O,X,X,X,X,X,X,O,X,X,X
TIJLZSO,X,X,X,X,O,X,X,O,X,X,X
TIJLZOS,X,X,X,X,O,X,X,O,X,O,X
TIJLOSZ,O,X,X,X,X,X,O,O,X,O,X
TIJLOZS,X,X,X,X,O,X,O,O,X,O,X
TIJSLZO,O,X,X,X,O,O,X,O,X,X,O
TIJSLOZ,O,X,X,X,O,O,O,O,X,X,X
TIJSZLO,O,X,X,X,O,O,X,O,X,X,O
TIJSZOL,X,X,X,X,O,O,X,X,X,X,O
TIJSOLZ,O,X,X,X,X,O,O,X,X,X,X
TIJSOZL,X,X,X,X,X,O,O,X,X,X,O
TIJZLSO,X,X,X,X,O,X,X,O,X,X,X
TIJZLOS,X,X,X,X,O,X,X,O,X,O,X
TIJZSLO,X,X,X,X,O,O,X,O,X,X,O
TIJZSOL,X,X,X,X,O,O,X,X,X,X,O
TIJZOLS,X,X,X,X,O,X,X,O,X,O,X
TIJZOSL,X,X,X,X,O,O,X,X,X,O,X
TIJOLSZ,X,X,X,X,X,X,O,O,X,O,X
TIJOLZS,X,X,X,X,X,X,O,O,O,O,X
TIJOSLZ,X,X,X,X,X,O,O,X,X,O,X
TIJOSZL,X,X,X,X,X,O,O,X,O,O,O
TIJOZLS,X,X,X,X,X,X,O,O,O,O,X
TIJOZSL,X,X,X,X,X,O,O,X,O,O,X
TISLJZO,O,X,X,X,O,O,X,O,X,X,X
TISLJOZ,O,X,O,X,O,O,O,O,X,X,X
TISLZJO,O,X,X,X,O,O,X,O,X,X,X
TISLZOJ,O,X,O,X,O,X,O,O,X,O,X
TISLOJZ,O,X,O,X,O,X,O,O,X,O,X
TISLOZJ,O,X,O,X,O,X,O,O,X,O,X
TISJLZO,O,X,X,X,O,O,X,O,X,X,O
TISJLOZ,O,X,X,X,O,O,O,O,X,X,X
TISJZLO,O,X,X,X,O,O,X,O,X,X,O
TISJZOL,X,X,X,X,O,O,X,X,X,X,O
TISJOLZ,O,X,X,X,X,O,O,X,X,X,X
TISJOZL,X,X,X,X,X,O,O,X,X,X,O
TISZLJO,O,X,X,X,O,O,X,O,X,X,X
TISZLOJ,O,X,X,X,O,X,O,O,X,O,X
TISZJLO,O,X,X,X,O,O,X,O,X,X,X
TISZJOL,X,X,X,X,O,O,X,X,X,X,X
TISZOLJ,X,X,X,X,O,X,O,X,X,O,X
TISZOJL,X,X,X,X,O,X,O,X,X,O,X
TISOLJZ,O,X,O,X,O,X,O,X,X,O,X
TISOLZJ,O,X,O,X,O,X,O,X,X,O,X
TISOJLZ,O,X,O,X,X,X,O,X,X,O,X
TISOJZL,X,X,X,X,X,X,O,X,O,O,X
TISOZLJ,X,X,X,X,O,X,O,X,X,O,X
TISOZJL,X,X,X,X,O,X,O,X,X,O,X
TIZLJSO,O,X,X,X,O,X,X,O,X,X,X
TIZLJOS,O,X,X,X,O,X,X,O,X,O,X
TIZLSJO,O,X,X,X,O,X,X,O,X,X,X
TIZLSOJ,O,X,X,X,O,X,X,O,X,O,X
TIZLOJS,O,X,X,X,O,X,O,O,O,O,X
TIZLOSJ,O,X,X,X,O,X,X,O,X,O,X
TIZJLSO,O,X,X,X,O,X,X,O,X,X,X
TIZJLOS,O,X,X,X,O,X,X,O,X,O,X
TIZJSLO,O,X,X,X,O,O,X,O,X,X,O
TIZJSOL,O,X,X,X,O,O,X,X,X,X,O
TIZJOLS,O,X,X,X,O,X,X,O,O,O,X
TIZJOSL,O,X,X,X,O,O,X,X,O,O,X
TIZSLJO,O,X,X,X,O,O,X,O,X,X,X
TIZSLOJ,O,X,X,X,O,X,O,O,X,O,X
TIZSJLO,O,X,X,X,O,O,X,O,X,X,X
TIZSJOL,O,X,X,X,O,O,X,X,X,X,X
TIZSOLJ,O,X,X,X,O,X,O,X,X,O,X
TIZSOJL,O,X,X,X,O,X,O,X,O,O,X
TIZOLJS,O,X,X,X,O,X,O,O,O,O,X
TIZOLSJ,O,X,X,X,O,X,X,O,X,O,X
TIZOJLS,O,X,X,X,O,X,O,O,O,O,X
TIZOJSL,O,X,X,X,O,X,O,X,O,O,X
TIZOSLJ,O,X,X,X,O,X,O,X,X,O,X
TIZOSJL,O,X,X,X,O,X,O,X,O,O,X
TIOLJSZ,O,O,O,X,X,X,O,O,X,O,X
TIOLJZS,X,O,O,X,O,X,O,O,O,O,X
TIOLSJZ,O,O,O,X,X,X,O,O,X,O,X
TIOLSZJ,O,O,O,X,O,X,O,O,X,O,X
TIOLZJS,X,O,O,X,O,X,O,O,X,O,X
TIOLZSJ,O,O,O,X,O,X,X,O,X,O,X
TIOJLSZ,X,O,O,X,X,X,O,O,X,O,X
TIOJLZS,X,O,O,X,X,X,O,O,O,O,X
TIOJSLZ,X,X,O,X,X,X,O,X,X,O,X
TIOJSZL,X,X,X,X,X,X,O,X,O,O,O
TIOJZLS,X,X,X,X,X,X,O,O,O,O,X
TIOJZSL,X,X,X,X,X,X,O,X,O,O,X
TIOSLJZ,O,X,O,X,O,X,O,X,X,O,X
TIOSLZJ,O,X,O,X,O,X,O,X,X,O,X
TIOSJLZ,O,X,O,X,X,X,O,X,X,O,X
TIOSJZL,X,X,X,X,X,X,O,X,O,O,X
TIOSZLJ,X,X,X,X,O,X,O,X,X,O,X
TIOSZJL,X,X,X,X,O,X,O,X,X,O,X
TIOZLJS,X,X,X,X,O,X,O,O,O,O,X
TIOZLSJ,X,X,X,X,O,X,X,O,X,O,X
TIOZJLS,X,X,X,X,O,X,O,O,O,O,X
TIOZJSL,X,X,X,X,O,X,O,X,O,O,X
TIOZSLJ,X,X,X,X,O,X,O,X,X,O,X
TIOZSJL,X,X,X,X,O,X,O,X,O,O,X
TLIJSZO,O,X,X,O,X,X,X,O,X,X,O
TLIJSOZ,O,X,O,X,X,X,X,O,X,X,X
TLIJZSO,X,X,X,O,O,X,X,O,X,X,X
TLIJZOS,X,O,X,O,O,X,X,O,X,X,X
TLIJOSZ,O,O,O,X,X,X,O,O,X,X,X
TLIJOZS,X,O,O,X,O,X,O,O,X,X,X
TLISJZO,O,X,X,O,O,X,X,O,X,X,X
TLISJOZ,O,X,O,X,O,X,O,O,X,X,X
TLISZJO,O,X,X,O,O,X,X,O,X,X,X
TLISZOJ,O,O,O,O,O,X,O,O,X,X,X
TLISOJZ,O,O,O,X,O,X,O,O,X,X,X
TLISOZJ,O,O,O,O,O,X,O,O,X,X,X
TLIZJSO,O,X,X,O,O,X,X,O,X,X,X
TLIZJOS,O,O,X,O,O,X,X,O,X,X,X
TLIZSJO,O,X,X,O,O,X,X,O,X,X,X
TLIZSOJ,O,O,O,O,O,X,X,O,X,X,X
TLIZOJS,O,O,O,O,O,X,O,O,X,X,X
TLIZOSJ,O,O,O,O,O,X,X,O,X,X,X
TLIOJSZ,O,O,O,X,X,X,O,O,X,X,X
TLIOJZS,X,O,O,X,O,X,O,O,O,X,X
TLIOSJZ,O,O,O,X,X,X,O,O,X,X,X
TLIOSZJ,O,O,O,O,O,X,O,O,X,X,X
TLIOZJS,O,O,O,O,O,X,O,O,X,X,X
TLIOZSJ,O,O,O,O,O,X,X,O,X,X,X
TLJISZO,O,X,X,O,X,X,X,O,X,X,O
TLJISOZ,O,X,O,X,X,X,X,O,X,X,X
TLJIZSO,X,X,X,O,X,X,X,O,X,X,X
TLJIZOS,X,O,X,O,X,X,X,O,X,X,X
TLJIOSZ,O,O,O,X,X,X,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,O,X,X,X
TLJSZIO,O,X,X,O,X,X,X,O,X,X,X
TLJSZOI,O,X,X,O,X,X,X,O,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,O,X,X,X
TLJSOZI,O,X,O,X,X,X,X,O,X,X,X
TLJZISO,X,X,X,O,X,X,X,O,X,X,X
TLJZIOS,X,O,X,O,X,X,X,O,X,X,X
TLJZSIO,X,X,X,O,X,X,X,O,X,X,X
TLJZSOI,X,X,X,O,X,X,X,O,X,X,X
TLJZOIS,X,O,X,O,X,X,X,O,X,X,X
TLJZOSI,X,O,X,O,X,X,X,O,X,X,X
TLJOISZ,O,O,O,X,X,X,X,O,X,X,X
TLJOIZS,X,O,O,X,X,X,X,O,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,O,X,X,X
TLJOSZI,O,O,O,X,X,X,X,O,X,X,X
TLJOZIS,X,O,O,X,X,X,X,O,X,X,X
TLJOZSI,X,O,O,X,X,X,X,O,X,X,X
TLSIJZO,O,X,X,O,X,X,X,O,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,O,X,X,X
TLSIZJO,O,X,X,O,X,X,X,O,X,X,X
TLSIZOJ,O,O,O,O,X,X,X,O,X,X,X
TLSIOJZ,O,O,O,X,X,X,X,O,X,X,X
TLSIOZJ,O,O,O,O,X,X,X,O,X,X,X
TLSJIZO,O,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,O,X,X,X
TLSJZIO,O,X,X,O,X,X,X,O,X,X,X
TLSJZOI,O,X,X,O,X,X,X,O,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,O,X,X,X
TLSJOZI,O,X,O,X,X,X,X,O,X,X,X
TLSZIJO,O,X,X,O,X,X,X,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,O,X,X,X
TLSZJIO,O,X,X,O,X,X,X,O,X,X,X
TLSZJOI,O,X,X,O,X,X,X,O,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,O,X,X,X
TLSZOJI,O,O,O,O,X,X,X,O,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,O,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,O,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,O,X,X,X
TLSOJZI,O,O,O,X,X,X,X,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,O,X,X,X
TLSOZJI,O,O,O,O,X,X,X,O,X,X,X
TLZIJSO,O,X,X,O,O,X,X,O,X,X,X
TLZIJOS,O,O,X,O,O,X,X,O,X,X,X
TLZISJO,O,X,X,O,O,X,X,O,X,X,X
TLZISOJ,O,O,O,O,O,X,X,O,X,X,X
TLZIOJS,O,O,O,O,O,X,X,O,O,X,X
TLZIOSJ,O,O,O,O,O,X,X,O,X,X,X
TLZJISO,O,X,X,O,O,X,X,O,X,X,X
TLZJIOS,O,O,X,O,O,X,X,O,X,X,X
TLZJSIO,O,X,X,O,X,X,X,O,X,X,X
TLZJSOI,O,X,X,O,X,X,X,O,X,X,X
TLZJOIS,O,O,X,O,X,X,X,O,X,X,X
TLZJOSI,O,O,X,O,X,X,X,O,X,X,X
TLZSIJO,O,X,X,O,X,X,X,O,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,O,X,X,X
TLZSJIO,O,X,X,O,X,X,X,O,X,X,X
TLZSJOI,O,X,X,O,X,X,X,O,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,O,X,X,X
TLZSOJI,O,O,O,O,X,X,X,O,X,X,X
TLZOIJS,O,O,O,O,X,X,X,O,O,X,X
TLZOISJ,O,O,O,O,X,X,X,O,X,X,X
TLZOJIS,O,O,O,O,X,X,X,O,O,X,X
TLZOJSI,O,O,O,O,X,X,X,O,X,X,X
TLZOSIJ,O,O,O,O,X,X,X,O,X,X,X
TLZOSJI,O,O,O,O,X,X,X,O,X,X,X
TLOIJSZ,O,O,O,O,X,X,O,O,X,X,X
TLOIJZS,X,O,O,O,X,X,O,O,O,X,X
TLOISJZ,O,O,O,O,X,X,O,O,X,X,X
TLOISZJ,O,O,O,O,X,X,O,O,X,X,X
TLOIZJS,O,O,O,O,X,X,O,O,X,X,X
TLOIZSJ,O,O,O,O,X,X,X,O,X,X,X
TLOJISZ,O,O,O,X,X,X,O,O,X,X,X
TLOJIZS,X,O,O,X,X,X,O,O,O,X,X
TLOJSIZ,O,O,O,X,X,X,X,O,X,X,X
TLOJSZI,O,O,O,O,X,X,X,O,X,X,X
TLOJZIS,X,O,O,O,X,X,X,O,O,X,X
TLOJZSI,X,O,O,O,X,X,X,O,X,X,X
TLOSIJZ,O,O,O,O,X,X,X,O,X,X,X
TLOSIZJ,O,O,O,O,X,X,X,O,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,O,X,X,X
TLOSJZI,O,O,O,O,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,O,X,X,X,O,X,X,X
TLOSZJI,O,O,O,O,X,X,X,O,X,X,X
TLOZIJS,O,O,O,O,X,X,X,O,O,X,X
TLOZISJ,O,O,O,O,X,X,X,O,X,X,X
TLOZJIS,O,O,O,O,X,X,X,O,O,X,X
TLOZJSI,O,O,O,O,X,X,X,O,X,X,X
TLOZSIJ,O,O,O,O,X,X,X,O,X,X,X
TLOZSJI,O,O,O,O,X,X,X,O,X,X,X
TJILSZO,O,X,X,X,X,X,X,O,X,X,O
TJILSOZ,O,X,X,X,X,X,X,O,X,X,X
TJILZSO,X,X,X,X,O,X,X,O,X,X,X
TJILZOS,X,X,X,X,O,X,X,O,X,X,X
TJILOSZ,O,X,X,X,X,X,O,O,X,X,X
TJILOZS,X,X,X,X,O,X,O,O,X,X,X
TJISLZO,O,X,X,X,O,X,X,O,X,X,O
TJISLOZ,O,X,X,X,O,X,O,O,X,X,X
TJISZLO,O,X,X,X,O,X,X,O,X,X,O
TJISZOL,X,X,X,X,O,X,X,X,X,X,O
TJISOLZ,O,X,X,X,X,X,O,X,X,X,X
TJISOZL,X,X,X,X,X,X,O,X,X,X,O
TJIZLSO,X,X,X,X,O,X,X,O,X,X,X
TJIZLOS,X,X,X,X,O,X,X,O,X,X,X
TJIZSLO,X,X,X,X,O,X,X,O,X,X,O
TJIZSOL,X,X,X,X,O,X,X,X,X,X,O
TJIZOLS,X,X,X,X,O,X,X,O,X,X,X
TJIZOSL,X,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,O,X,X,X
TJIOLZS,X,X,X,X,X,X,O,O,O,X,X
TJIOSLZ,X,X,X,X,X,X,O,X,X,X,X
TJIOSZL,X,X,X,X,X,X,O,X,O,X,O
TJIOZLS,X,X,X,X,X,X,O,O,O,X,X
TJIOZSL,X,X,X,X,X,X,O,X,O,X,X
TJLISZO,O,X,X,X,X,X,X,O,X,X,O
TJLISOZ,O,X,O,X,X,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X
TJLIZOS,X,O,X,X,X,X,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,X,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X,O,X,X,X
TJLSIZO,O,X,X,X,X,X,X,O,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,O,X,X,X
TJLSZIO,O,X,X,X,X,X,X,O,X,X,X
TJLSZOI,O,X,X,X,X,X,X,O,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,O,X,X,X
TJLSOZI,O,X,O,X,X,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,O,X,X,X
TJLZIOS,X,O,X,X,X,X,X,O,X,X,X
TJLZSIO,X,X,X,X,X,X,X,O,X,X,X
TJLZSOI,X,X,X,X,X,X,X,O,X,X,X
TJLZOIS,X,O,X,X,X,X,X,O,X,X,X
TJLZOSI,X,O,X,X,X,X,X,O,X,X,X
TJLOISZ,O,O,O,X,X,X,X,O,X,X,X
TJLOIZS,X,O,O,X,X,X,X,O,X,X,X
TJLOSIZ,O,O,O,X,X,X,X,O,X,X,X
TJLOSZI,O,O,O,X,X,X,X,O,X,X,X
TJLOZIS,X,O,O,X,X,X,X,O,X,X,X
TJLOZSI,X,O,O,X,X,X,X,O,X,X,X
TJSILZO,O,X,X,X,X,X,X,O,X,X,O
TJSILOZ,O,X,X,X,X,X,X,O,X,X,X
TJSIZLO,O,X,X,X,X,X,X,O,X,X,O
TJSIZOL,X,X,X,X,X,X,X,X,X,X,O
TJSIOLZ,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X,O
TJSLIZO,O,X,X,X,X,X,X,O,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,O,X,X,X
TJSLZIO,O,X,X,X,X,X,X,O,X,X,X
TJSLZOI,O,X,X,X,X,X,X,O,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,O,X,X,X
TJSLOZI,O,X,O,X,X,X,X,O,X,X,X
TJSZILO,O,X,X,X,X,X,X,O,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,O,X,X,X
TJSZLOI,O,X,X,X,X,X,X,O,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,O,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,X,X,O,X,X,X
TJZILOS,X,X,X,X,O,X,X,O,X,X,X
TJZISLO,X,X,X,X,O,X,X,O,X,X,O
TJZISOL,X,X,X,X,O,X,X,X,X,X,O
TJZIOLS,X,X,X,X,O,X,X,O,O,X,X
TJZIOSL,X,X,X,X,O,X,X,X,O,X,X
TJZLISO,X,X,X,X,O,X,X,O,X,X,X
TJZLIOS,X,X,X,X,O,X,X,O,X,X,X
TJZLSIO,X,X,X,X,X,X,X,O,X,X,X
TJZLSOI,X,X,X,X,X,X,X,O,X,X,X
TJZLOIS,X,X,X,X,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,X,X,X,O,X,X,X
TJZSILO,X,X,X,X,O,X,X,O,X,X,X
TJZSIOL,X,X,X,X,O,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,O,X,X,X
TJZSLOI,X,X,X,X,X,X,X,O,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,O,O,X,X
TJZOISL,X,X,X,X,O,X,X,X,O,X,X
